date,event_local_flag,holiday,rail_ridership,temperature_c,rainfall_mm,wind_speed_mps,snowfall_cm,y
2024-01-02,0.0,holiday,0.027,29.3,1.0,3.0,0.5,0
2024-01-03,0.0,holiday,0.141,28.5,4.9,3.4,3.2,0
2024-01-04,0.0,holiday,0.157,28.6,4.0,4.3,0.0,0
2024-01-05,0.0,holiday,0.027,27.1,4.9,4.0,0.9,0
2024-01-06,0.0,holiday,0.159,27.9,3.2,6.5,6.0,0
2024-01-07,0.0,holiday,0.0,28.1,,6.9,0.0,0
2024-01-08,0.0,holiday,0.145,27.4,0.7,6.6,0.8,1
2024-01-09,0.0,holiday,0.15,25.9,1.0,5.2,4.3,1
2024-01-10,0.0,holiday,0.057,27.2,7.0,5.9,0.4,0
2024-01-11,0.0,holiday,0.18,26.8,1.5,3.8,2.1,0
2024-01-12,0.0,holiday,0.077,29.7,5.3,5.2,0.0,1
2024-01-13,0.0,holiday,0.088,26.5,5.5,6.9,0.5,1
2024-01-14,1.0,holiday,0.04,28.7,2.9,6.3,3.6,0
2024-01-15,0.0,holiday,0.136,29.4,4.4,4.3,2.3,0
2024-01-16,0.0,holiday,0.079,27.1,1.7,8.1,0.2,0
2024-01-17,1.0,holiday,0.05,27.5,4.0,6.0,3.7,0
2024-01-18,0.0,holiday,0.101,25.7,0.3,6.4,0.0,0
2024-01-19,0.0,holiday,0.071,27.1,6.5,4.9,2.0,0
2024-01-20,0.0,holiday,0.096,27.2,4.5,5.7,4.5,0
2024-01-21,0.0,holiday,0.06,26.3,4.5,5.9,4.2,0
2024-01-22,0.0,holiday,0.084,26.0,2.3,5.9,1.8,0
2024-01-23,0.0,holiday,0.085,26.9,3.7,6.4,3.7,0
2024-01-24,0.0,holiday,0.103,26.9,4.3,5.4,4.2,0
2024-01-25,,holiday,,26.3,2.0,5.9,2.5,0
2024-01-26,1.0,holiday,0.126,26.7,6.0,6.2,1.2,1
2024-01-27,0.0,holiday,0.079,26.2,1.3,4.6,4.4,0
2024-01-28,0.0,holiday,0.127,26.3,1.5,6.5,1.0,0
2024-01-29,0.0,holiday,0.097,26.1,2.8,5.3,2.3,0
2024-01-30,0.0,holiday,0.168,26.1,4.2,4.9,5.6,0
2024-01-31,0.0,holiday,0.122,25.9,0.7,5.4,5.6,0
2024-02-01,0.0,weekday,0.61,26.0,7.4,6.4,3.1,1
2024-02-02,0.0,weekday,0.659,23.3,2.9,5.2,2.5,0
2024-02-03,0.0,holiday,0.118,24.0,4.2,6.9,0.3,0
2024-02-04,0.0,holiday,0.006,24.2,6.9,6.5,2.4,0
2024-02-05,0.0,weekday,,24.3,2.4,4.7,2.6,0
2024-02-06,0.0,weekday,,24.8,3.7,7.1,4.2,1
2024-02-07,0.0,weekday,0.683,24.8,2.7,5.7,3.2,0
2024-02-08,1.0,weekday,0.692,23.8,5.7,3.9,2.1,0
2024-02-09,0.0,weekday,0.663,25.4,,4.0,1.4,0
2024-02-10,0.0,holiday,0.099,24.4,5.7,5.0,3.7,0
2024-02-11,0.0,holiday,0.109,25.0,0.7,4.0,3.5,0
2024-02-12,0.0,weekday,0.623,23.6,2.7,5.4,2.1,0
2024-02-13,0.0,weekday,0.789,23.3,4.1,4.9,5.2,0
2024-02-14,0.0,weekday,0.655,24.3,3.0,3.7,1.2,0
2024-02-15,0.0,weekday,,23.4,3.5,5.1,2.0,0
2024-02-16,0.0,weekday,0.705,23.4,4.2,5.2,6.1,0
2024-02-17,0.0,holiday,0.107,23.3,1.4,6.0,4.2,0
2024-02-18,0.0,holiday,0.214,23.1,2.8,4.7,2.5,0
2024-02-19,0.0,weekday,0.598,23.7,7.3,7.2,0.1,1
2024-02-20,0.0,weekday,0.612,22.0,2.5,3.9,5.7,0
2024-02-21,0.0,weekday,0.627,21.1,5.3,5.9,2.4,0
2024-02-22,0.0,weekday,0.754,21.7,5.7,4.6,1.9,0
2024-02-23,1.0,weekday,0.691,22.0,4.7,6.2,5.7,0
2024-02-24,0.0,holiday,0.086,22.4,,6.7,2.5,0
2024-02-25,0.0,holiday,0.146,23.1,3.8,6.1,0.0,0
2024-02-26,0.0,weekday,0.701,22.4,3.7,4.9,7.2,0
2024-02-27,0.0,weekday,0.674,21.6,2.9,4.8,4.9,0
2024-02-28,0.0,weekday,0.571,21.2,3.2,7.3,6.9,0
2024-02-29,,weekday,0.651,20.2,4.4,3.1,6.0,0
2024-03-01,0.0,weekday,0.643,21.3,1.9,6.5,0.9,0
2024-03-02,0.0,holiday,0.072,20.5,4.1,5.8,5.2,0
2024-03-03,0.0,holiday,0.091,19.2,6.1,5.4,2.8,0
2024-03-04,0.0,weekday,0.648,20.5,2.5,5.4,2.7,0
2024-03-05,0.0,weekday,0.602,20.1,5.7,6.1,1.1,0
2024-03-06,0.0,weekday,0.676,21.0,3.2,3.2,2.6,0
2024-03-07,0.0,weekday,0.652,19.4,1.2,4.7,0.0,0
2024-03-08,0.0,weekday,0.694,20.5,2.3,4.8,3.9,0
2024-03-09,0.0,holiday,0.132,17.8,4.3,4.0,5.8,0
2024-03-10,0.0,holiday,0.074,20.1,2.9,3.4,4.5,0
2024-03-11,,weekday,0.724,19.3,4.6,6.2,2.9,1
2024-03-12,,weekday,0.717,21.0,4.8,6.5,2.9,1
2024-03-13,0.0,weekday,0.607,18.2,5.7,8.6,3.0,1
2024-03-14,0.0,weekday,0.735,19.4,5.5,4.3,3.3,0
2024-03-15,0.0,weekday,0.657,19.3,0.8,3.9,5.7,0
2024-03-16,0.0,holiday,0.14,19.7,6.0,4.9,4.6,0
2024-03-17,1.0,holiday,0.082,20.0,4.1,3.9,3.6,0
2024-03-18,1.0,weekday,0.643,17.4,2.1,5.6,6.5,1
2024-03-19,0.0,weekday,0.632,17.3,1.7,6.8,4.3,0
2024-03-20,0.0,weekday,0.64,18.0,4.3,6.5,2.9,1
2024-03-21,0.0,weekday,0.747,17.4,1.8,5.3,8.6,0
2024-03-22,0.0,weekday,0.561,17.8,8.3,3.6,6.6,0
2024-03-23,0.0,holiday,0.113,17.0,2.2,2.8,2.7,0
2024-03-24,0.0,holiday,0.133,18.3,1.5,5.4,6.2,0
2024-03-25,0.0,weekday,0.61,16.2,0.2,5.9,4.7,0
2024-03-26,0.0,weekday,0.692,15.3,2.8,5.9,5.2,1
2024-03-27,0.0,weekday,0.673,15.9,6.3,5.2,4.4,0
2024-03-28,0.0,weekday,0.616,16.6,2.3,5.7,5.0,0
2024-03-29,0.0,weekday,0.695,16.6,1.0,2.5,4.1,0
2024-03-30,0.0,holiday,0.062,16.7,0.4,6.1,4.9,0
2024-03-31,0.0,holiday,0.15,15.0,2.4,7.5,6.5,0
2024-04-01,0.0,weekday,0.708,16.3,3.2,7.9,1.4,1
2024-04-02,0.0,weekday,0.672,15.2,5.6,4.6,1.9,0
2024-04-03,1.0,weekday,0.638,16.1,0.6,5.6,1.7,0
2024-04-04,0.0,weekday,0.611,15.0,1.7,5.5,3.4,1
2024-04-05,0.0,weekday,0.644,15.0,2.1,5.5,1.3,0
2024-04-06,0.0,holiday,,15.8,1.7,4.8,2.5,0
2024-04-07,0.0,holiday,0.084,15.9,0.9,5.9,0.0,0
2024-04-08,0.0,weekday,,14.0,,2.8,2.6,0
2024-04-09,0.0,weekday,0.679,15.2,1.9,5.5,0.0,0
2024-04-10,0.0,weekday,0.699,15.0,9.5,5.8,0.5,1
2024-04-11,0.0,weekday,0.699,14.8,6.8,2.5,0.0,0
2024-04-12,1.0,weekday,0.617,14.7,8.4,3.0,0.0,0
2024-04-13,0.0,holiday,0.104,14.1,4.2,6.5,1.0,0
2024-04-14,0.0,holiday,0.0,13.9,2.4,5.5,0.0,0
2024-04-15,0.0,weekday,0.673,14.0,3.8,4.6,1.6,0
2024-04-16,0.0,weekday,,12.2,5.9,4.1,0.0,0
2024-04-17,0.0,weekday,0.625,13.8,2.7,6.8,0.1,1
2024-04-18,0.0,weekday,0.73,13.3,1.0,4.2,1.8,0
2024-04-19,0.0,weekday,0.628,14.3,2.9,4.4,1.9,0
2024-04-20,0.0,holiday,0.035,12.4,3.0,5.3,0.0,0
2024-04-21,0.0,holiday,0.067,13.5,8.6,3.5,3.2,0
2024-04-22,0.0,weekday,0.721,12.5,1.3,5.6,2.0,0
2024-04-23,0.0,weekday,0.633,11.0,3.1,5.3,0.0,0
2024-04-24,0.0,weekday,0.71,12.3,3.7,5.0,0.6,0
2024-04-25,1.0,weekday,0.635,12.0,7.7,7.8,1.0,1
2024-04-26,0.0,weekday,0.655,10.6,2.9,6.2,3.4,0
2024-04-27,0.0,holiday,0.138,11.6,4.4,4.4,1.5,0
2024-04-28,0.0,holiday,0.099,11.6,5.5,5.5,0.0,1
2024-04-29,0.0,weekday,0.698,12.3,1.3,4.7,2.4,0
2024-04-30,0.0,weekday,0.657,12.3,0.8,6.6,1.2,1
2024-05-01,0.0,holiday,0.071,10.1,3.3,7.2,0.0,0
2024-05-02,0.0,holiday,0.074,11.8,3.6,5.1,1.5,0
2024-05-03,1.0,holiday,0.115,11.9,4.3,7.4,0.0,1
2024-05-04,0.0,holiday,0.125,10.8,3.2,4.7,0.0,0
2024-05-05,0.0,holiday,0.085,11.3,,9.2,1.8,1
2024-05-06,0.0,holiday,0.089,11.1,1.0,5.2,0.4,0
2024-05-07,1.0,holiday,0.049,11.2,6.0,4.4,0.0,0
2024-05-08,0.0,holiday,0.057,10.3,2.1,9.4,0.9,1
2024-05-09,1.0,holiday,0.067,10.9,0.9,4.7,0.8,0
2024-05-10,1.0,holiday,0.053,10.6,3.5,3.5,0.0,0
2024-05-11,0.0,holiday,0.101,12.3,1.0,5.4,0.0,0
2024-05-12,0.0,holiday,0.109,10.9,5.5,5.4,4.2,1
2024-05-13,0.0,holiday,0.081,8.9,4.0,6.3,4.3,0
2024-05-14,1.0,holiday,0.128,10.8,,5.6,0.0,0
2024-05-15,1.0,holiday,0.052,10.0,1.5,6.7,0.9,0
2024-05-16,0.0,holiday,0.103,11.3,3.8,5.6,0.7,1
2024-05-17,0.0,holiday,0.129,8.9,5.4,7.3,0.0,1
2024-05-18,0.0,holiday,0.059,10.1,1.0,4.6,0.8,0
2024-05-19,0.0,holiday,0.082,9.5,4.5,4.9,0.0,1
2024-05-20,0.0,holiday,0.041,10.3,3.3,6.2,0.0,0
2024-05-21,,holiday,0.034,8.6,5.4,5.5,1.3,1
2024-05-22,0.0,holiday,0.155,10.0,6.5,5.1,0.0,1
2024-05-23,0.0,holiday,0.066,9.2,3.1,5.2,1.5,0
2024-05-24,0.0,holiday,0.087,9.0,2.2,5.3,0.2,0
2024-05-25,0.0,holiday,0.098,9.7,3.4,5.2,0.7,0
2024-05-26,0.0,holiday,0.218,8.8,2.1,4.1,0.0,0
2024-05-27,0.0,holiday,0.115,8.7,6.4,4.9,0.0,0
2024-05-28,0.0,holiday,0.105,8.9,10.6,4.8,0.1,0
2024-05-29,0.0,holiday,0.049,9.2,3.7,6.7,0.3,0
2024-05-30,0.0,holiday,0.047,9.2,2.0,5.4,0.0,0
2024-05-31,0.0,holiday,0.008,9.0,3.1,4.3,0.4,0
2024-06-01,0.0,holiday,0.033,8.6,26.4,6.6,2.7,1
2024-06-02,0.0,holiday,0.056,8.7,21.8,4.9,0.0,1
2024-06-03,0.0,weekday,0.564,8.9,20.1,6.4,0.9,1
2024-06-04,0.0,weekday,0.636,9.4,21.1,4.7,0.0,1
2024-06-05,0.0,weekday,,10.8,23.2,4.8,0.0,1
2024-06-06,0.0,weekday,0.678,10.8,21.0,4.6,1.0,1
2024-06-07,0.0,weekday,0.556,9.8,20.8,6.6,0.9,1
2024-06-08,0.0,holiday,0.0,9.5,21.8,3.4,0.0,0
2024-06-09,0.0,holiday,0.089,8.3,26.0,4.1,0.0,0
2024-06-10,0.0,weekday,0.673,7.4,19.9,4.4,3.7,1
2024-06-11,0.0,weekday,0.587,7.3,18.5,3.6,2.7,1
2024-06-12,0.0,weekday,0.724,9.2,19.3,6.3,0.0,1
2024-06-13,0.0,weekday,,9.1,24.5,5.1,0.2,0
2024-06-14,0.0,weekday,0.679,8.9,19.1,2.2,0.5,0
2024-06-15,0.0,holiday,0.039,8.5,22.2,6.7,0.0,1
2024-06-16,1.0,holiday,0.102,10.5,19.6,4.3,2.7,1
2024-06-17,0.0,weekday,0.617,8.8,20.9,6.6,2.4,1
2024-06-18,0.0,weekday,0.513,7.9,24.4,4.8,0.1,1
2024-06-19,0.0,weekday,0.599,9.4,26.7,5.6,0.6,1
2024-06-20,0.0,weekday,0.686,9.0,,6.0,0.0,1
2024-06-21,0.0,weekday,0.543,8.2,23.7,5.1,0.0,1
2024-06-22,0.0,holiday,0.058,9.3,21.5,7.0,0.0,1
2024-06-23,0.0,holiday,0.042,8.8,23.7,6.5,1.1,0
2024-06-24,0.0,weekday,0.63,9.4,18.3,5.8,0.0,1
2024-06-25,0.0,weekday,0.603,10.7,23.8,5.7,0.5,1
2024-06-26,1.0,weekday,0.637,9.4,23.2,6.9,2.5,1
2024-06-27,0.0,weekday,0.605,9.2,18.9,5.9,0.5,1
2024-06-28,0.0,weekday,0.666,9.9,26.7,6.5,0.3,1
2024-06-29,0.0,holiday,0.0,10.4,20.6,5.9,2.0,1
2024-06-30,0.0,,0.093,10.2,20.8,5.4,1.2,1
2024-07-01,0.0,weekday,0.622,8.8,20.7,5.8,0.0,1
2024-07-02,0.0,weekday,0.699,9.5,26.8,6.2,2.3,1
2024-07-03,0.0,weekday,0.592,8.7,19.9,3.9,0.0,0
2024-07-04,0.0,weekday,0.653,9.5,25.4,4.1,2.1,0
2024-07-05,0.0,weekday,0.623,10.1,19.1,3.8,0.0,0
2024-07-06,0.0,holiday,0.088,9.0,24.4,4.6,0.9,1
2024-07-07,0.0,holiday,0.064,9.3,20.9,4.5,2.7,1
2024-07-08,0.0,weekday,0.634,9.8,21.1,5.6,0.5,1
2024-07-09,0.0,weekday,0.564,9.5,24.7,4.5,0.0,0
2024-07-10,0.0,weekday,0.605,10.0,23.0,6.4,0.0,1
2024-07-11,0.0,weekday,0.649,10.5,2.0,4.5,1.6,0
2024-07-12,,weekday,0.641,8.5,7.4,6.3,0.0,0
2024-07-13,0.0,holiday,0.084,12.0,2.6,5.6,1.8,1
2024-07-14,0.0,holiday,0.023,9.7,3.2,5.8,0.1,1
2024-07-15,0.0,weekday,0.623,11.0,1.3,5.8,0.0,0
2024-07-16,0.0,weekday,0.694,10.3,5.7,3.8,0.0,0
2024-07-17,1.0,weekday,0.652,11.4,2.0,5.2,0.0,0
2024-07-18,0.0,weekday,0.717,11.5,4.8,6.3,1.9,0
2024-07-19,0.0,weekday,0.669,11.0,2.5,3.3,0.0,0
2024-07-20,0.0,holiday,0.026,10.1,1.6,5.4,0.0,0
2024-07-21,0.0,holiday,0.064,11.6,0.4,6.2,0.5,0
2024-07-22,0.0,weekday,0.635,11.4,0.7,4.8,2.3,0
2024-07-23,0.0,weekday,0.737,11.0,1.9,5.8,5.0,1
2024-07-24,0.0,weekday,0.657,10.6,4.5,4.6,0.0,0
2024-07-25,0.0,weekday,0.537,12.7,3.2,4.3,0.0,0
2024-07-26,1.0,weekday,0.66,13.6,2.9,5.3,0.1,0
2024-07-27,0.0,holiday,0.13,10.7,3.1,5.7,0.0,0
2024-07-28,0.0,holiday,0.113,12.2,,3.3,0.0,0
2024-07-29,0.0,weekday,0.714,11.1,0.9,6.2,0.8,0
2024-07-30,0.0,weekday,0.752,12.1,3.9,7.3,2.4,1
2024-07-31,0.0,weekday,0.648,12.8,1.5,6.3,0.0,1
2024-08-01,0.0,holiday,0.085,11.2,22.6,12.1,0.0,1
2024-08-02,0.0,holiday,0.0,13.2,16.9,11.5,0.0,1
2024-08-03,0.0,holiday,0.039,13.1,18.0,10.0,1.2,1
2024-08-04,0.0,holiday,,12.5,18.3,11.5,0.0,1
2024-08-05,0.0,holiday,0.025,11.9,16.6,11.6,0.0,1
2024-08-06,0.0,holiday,,13.7,17.1,10.7,0.0,1
2024-08-07,0.0,,0.143,12.3,16.9,10.8,0.0,1
2024-08-08,0.0,holiday,0.0,12.9,19.0,10.4,0.8,1
2024-08-09,0.0,holiday,0.0,13.7,22.7,10.0,1.2,1
2024-08-10,0.0,holiday,0.079,12.5,19.0,9.7,0.0,1
2024-08-11,0.0,holiday,0.03,13.0,20.6,12.0,0.7,1
2024-08-12,0.0,holiday,0.111,13.3,16.8,12.5,3.2,1
2024-08-13,0.0,holiday,0.008,15.0,25.6,10.8,0.0,1
2024-08-14,0.0,holiday,0.052,15.1,21.3,13.0,0.0,1
2024-08-15,0.0,holiday,0.085,14.3,20.9,12.4,0.0,1
2024-08-16,0.0,holiday,0.024,14.7,18.9,10.6,0.0,1
2024-08-17,0.0,holiday,0.075,15.1,19.4,8.6,2.8,1
2024-08-18,0.0,holiday,0.124,14.7,19.0,9.9,0.5,1
2024-08-19,,holiday,0.025,13.6,18.7,12.3,0.9,1
2024-08-20,0.0,holiday,0.0,15.7,19.9,8.7,0.0,1
2024-08-21,0.0,holiday,0.066,16.0,20.1,9.8,0.0,1
2024-08-22,0.0,holiday,,14.7,21.8,10.6,0.0,1
2024-08-23,0.0,holiday,0.031,15.2,19.4,11.0,0.7,1
2024-08-24,0.0,holiday,0.055,17.3,19.2,12.7,2.5,1
2024-08-25,0.0,holiday,0.0,15.9,21.3,11.5,0.1,1
2024-08-26,0.0,holiday,0.017,17.1,17.2,12.2,0.7,1
2024-08-27,0.0,holiday,0.032,17.3,19.1,13.0,0.4,1
2024-08-28,0.0,holiday,0.063,16.7,17.5,10.9,0.0,1
2024-08-29,0.0,holiday,0.112,17.7,16.9,9.3,2.3,1
2024-08-30,0.0,holiday,0.036,16.5,18.4,9.7,1.2,1
2024-08-31,1.0,holiday,0.142,17.1,,12.1,0.0,1
2024-09-01,0.0,holiday,0.004,18.3,19.8,11.0,0.0,1
2024-09-02,0.0,weekday,0.701,18.9,18.1,10.3,0.0,1
2024-09-03,0.0,weekday,0.645,15.9,22.0,12.4,0.6,1
2024-09-04,0.0,weekday,0.583,17.0,17.6,11.5,0.0,1
2024-09-05,,weekday,0.62,18.0,18.3,12.6,0.7,1
2024-09-06,0.0,weekday,0.59,18.1,21.4,12.2,3.9,1
2024-09-07,0.0,holiday,0.115,18.1,,10.4,0.0,1
2024-09-08,0.0,holiday,0.041,16.1,21.8,9.2,0.8,1
2024-09-09,0.0,weekday,0.678,17.9,18.7,8.6,0.0,1
2024-09-10,0.0,weekday,0.67,17.7,17.9,10.6,0.0,1
2024-09-11,1.0,weekday,0.624,18.7,17.2,11.2,1.3,1
2024-09-12,0.0,weekday,0.607,18.3,18.9,9.8,1.2,1
2024-09-13,0.0,weekday,0.628,20.4,17.6,8.9,0.0,1
2024-09-14,0.0,holiday,0.057,19.3,22.8,10.2,1.0,1
2024-09-15,0.0,holiday,0.009,19.1,19.0,12.9,0.0,1
2024-09-16,0.0,weekday,0.678,19.1,17.6,11.8,0.3,1
2024-09-17,1.0,weekday,0.647,20.0,25.3,11.0,1.1,1
2024-09-18,0.0,weekday,0.621,20.5,22.7,9.2,1.7,1
2024-09-19,0.0,weekday,0.738,20.5,19.5,11.1,0.0,1
2024-09-20,0.0,weekday,0.648,20.5,17.0,12.2,0.9,1
2024-09-21,0.0,holiday,0.05,20.6,20.7,9.2,0.0,1
2024-09-22,0.0,holiday,0.153,20.0,17.4,10.7,1.1,1
2024-09-23,0.0,weekday,0.61,19.6,23.2,11.9,0.0,1
2024-09-24,1.0,weekday,0.702,21.3,18.5,9.5,0.0,1
2024-09-25,1.0,weekday,0.627,20.2,16.5,11.9,1.1,1
