date,rainfall_mm,ferry_cancel_count,event_local_flag,holiday,temperature_c,wind_speed_mps,snowfall_cm,typhoon_alert_flag,mobility_inflow_index,tourist_inflow_count,lodging_occupancy_ratio,rail_ridership,temple_shrine_visits,onsen_visitors_count,y
2023-10-15,0.9,0.191,0.0,holiday,26.5,7.3,0.0,0,0.643,0.487,0.544,0.089,0.652,0.344,0.348
2023-10-16,7.5,0.167,0.0,weekday,26.7,3.9,0.0,0,0.234,0.0,0.0,0.655,0.149,,0.367
2023-10-17,7.2,0.204,,weekday,28.3,5.5,0.8,0,0.397,0.118,0.053,0.638,0.12,0.019,0.398
2023-10-18,1.6,0.174,0.0,weekday,27.1,4.6,0.3,0,0.532,0.177,0.0,0.724,0.154,0.06,0.425
2023-10-19,3.4,,0.0,weekday,28.2,4.2,1.4,0,0.418,0.13,0.08,0.642,0.0,0.039,0.379
2023-10-20,2.5,0.211,0.0,weekday,27.7,4.3,2.1,0,0.34,0.108,0.0,0.664,0.133,0.025,0.405
2023-10-21,4.6,0.231,0.0,holiday,27.9,6.6,0.0,0,0.691,0.46,0.513,0.144,0.587,0.385,0.336
2023-10-22,3.2,0.098,0.0,holiday,29.8,3.4,3.7,0,0.759,0.47,0.618,0.076,0.626,0.339,0.348
2023-10-23,4.2,0.148,0.0,weekday,28.0,4.1,1.8,0,0.486,0.176,0.096,0.687,0.021,0.0,0.403
2023-10-24,2.9,0.173,0.0,weekday,26.6,4.3,2.4,0,0.504,0.04,0.036,0.684,0.022,0.061,0.369
2023-10-25,5.2,0.123,0.0,weekday,28.2,4.9,0.0,0,0.34,0.099,0.0,0.731,0.146,0.0,0.399
2023-10-26,3.6,0.178,0.0,weekday,27.4,4.8,0.0,0,0.507,0.178,0.0,0.686,0.148,0.023,0.412
2023-10-27,5.1,0.195,0.0,weekday,26.7,5.1,2.6,0,0.541,0.3,0.0,0.741,0.091,0.0,0.467
2023-10-28,1.8,0.018,0.0,holiday,28.2,1.3,0.7,0,0.698,0.672,,0.177,0.553,0.257,0.404
2023-10-29,,0.202,0.0,holiday,28.1,5.9,0.3,0,0.593,0.454,0.578,0.034,0.571,0.209,0.283
2023-10-30,12.3,0.2,0.0,weekday,28.5,6.4,1.1,0,0.411,0.013,0.053,0.639,0.064,0.0,0.308
2023-10-31,9.8,0.226,0.0,weekday,28.0,4.6,1.4,0,0.503,0.093,0.0,0.622,0.078,0.0,0.431
2023-11-01,0.4,0.087,0.0,weekday,29.0,3.4,2.5,0,0.493,,0.0,0.682,0.173,0.024,0.469
2023-11-02,5.6,0.057,0.0,weekday,29.1,2.7,0.0,0,0.343,0.074,0.076,0.585,0.139,0.0,0.291
2023-11-03,4.0,0.053,0.0,weekday,27.7,2.8,0.1,0,0.409,0.134,0.012,0.627,0.062,0.025,0.365
2023-11-04,3.7,0.064,0.0,holiday,28.9,3.4,0.5,0,0.735,0.566,0.674,0.158,0.597,0.293,0.383
2023-11-05,2.4,0.13,,holiday,27.7,4.3,1.9,0,0.691,0.392,0.493,0.091,0.731,0.336,0.339
2023-11-06,7.1,0.088,0.0,weekday,29.4,2.2,0.0,0,0.46,0.099,0.078,0.589,0.191,0.003,0.349
2023-11-07,1.4,0.171,0.0,weekday,29.1,5.7,0.0,0,0.634,0.042,0.0,0.667,0.089,0.102,0.442
2023-11-08,6.6,0.222,0.0,weekday,29.0,6.6,0.0,0,0.407,,0.0,0.577,0.082,0.037,0.361
2023-11-09,0.5,0.074,0.0,weekday,29.1,1.5,1.9,0,0.416,0.171,0.01,0.591,0.096,0.0,0.382
2023-11-10,1.3,0.06,0.0,weekday,28.0,2.0,0.0,0,0.33,0.187,0.0,0.614,,,0.367
2023-11-11,3.1,0.137,0.0,holiday,29.1,3.9,0.0,0,0.703,0.69,0.611,0.105,0.597,0.427,0.341
2023-11-12,4.9,0.041,0.0,holiday,27.9,1.9,0.0,0,0.564,0.558,0.631,0.081,0.637,0.392,0.316
2023-11-13,,,0.0,weekday,27.3,3.0,0.0,0,0.369,0.142,,0.626,0.092,0.0,0.354
2023-11-14,1.6,0.177,0.0,weekday,29.2,4.2,0.0,0,0.477,0.115,0.0,0.793,,0.0,0.446
2023-11-15,2.1,0.114,0.0,weekday,28.0,4.0,0.8,0,0.448,0.228,0.067,0.681,0.08,0.0,0.452
2023-11-16,5.6,0.05,0.0,weekday,29.2,1.1,3.8,0,0.298,0.153,0.062,0.69,0.086,0.086,0.325
2023-11-17,3.1,,0.0,weekday,26.8,3.9,0.5,0,0.304,0.092,0.101,0.675,0.164,0.021,0.328
2023-11-18,1.5,0.085,0.0,holiday,30.3,2.7,1.4,0,0.647,0.567,0.586,0.117,0.596,0.414,0.354
2023-11-19,7.3,0.162,0.0,holiday,28.6,4.1,0.0,0,0.653,0.436,0.593,0.04,0.595,0.371,0.308
2023-11-20,3.7,0.14,0.0,weekday,29.8,2.9,0.0,0,0.524,0.265,0.136,0.774,0.114,0.012,0.474
2023-11-21,4.1,,0.0,weekday,28.8,3.9,1.3,0,0.433,0.096,0.0,0.617,,0.1,0.37
2023-11-22,2.7,0.13,0.0,weekday,28.1,3.5,1.0,0,0.453,0.236,0.058,0.671,0.16,0.005,0.433
2023-11-23,0.6,0.135,1.0,weekday,30.3,3.8,0.0,0,0.531,0.503,0.286,0.628,0.254,0.0,0.439
2023-11-24,4.4,0.159,0.0,weekday,27.5,4.9,0.4,0,0.39,0.177,0.105,0.649,0.084,0.0,0.369
2023-11-25,,0.144,0.0,holiday,27.6,4.3,0.0,0,0.598,0.66,0.641,0.036,0.565,0.382,0.293
2023-11-26,7.5,0.096,0.0,holiday,28.2,3.3,0.0,0,0.545,0.491,,0.002,0.616,0.356,0.343
2023-11-27,6.9,0.227,0.0,weekday,26.6,4.7,0.0,0,,0.231,0.0,0.65,0.097,0.0,0.36
2023-11-28,0.5,0.108,0.0,weekday,27.0,3.9,0.2,0,0.384,0.339,0.161,0.651,0.053,0.06,0.387
2023-11-29,2.5,0.097,0.0,weekday,28.7,3.0,0.8,0,0.494,0.097,0.037,0.572,0.167,0.034,0.409
2023-11-30,5.4,0.07,1.0,weekday,27.2,3.0,0.0,0,0.53,0.475,0.253,0.647,0.261,0.052,0.445
2023-12-01,1.9,0.205,1.0,holiday,27.1,4.4,6.6,0,0.688,0.661,0.476,0.073,0.521,0.192,0.377
2023-12-02,3.7,0.098,0.0,holiday,27.7,4.5,3.4,0,0.734,0.651,0.62,0.149,0.658,,0.489
2023-12-03,6.8,0.178,0.0,holiday,26.8,5.4,8.9,0,0.693,0.593,0.593,0.078,0.64,0.303,0.339
2023-12-04,1.2,0.064,0.0,holiday,26.3,3.7,13.5,0,0.623,0.366,0.407,0.0,0.349,0.232,0.294
2023-12-05,7.3,0.145,0.0,holiday,26.5,4.0,8.9,0,0.581,,0.393,0.116,0.248,0.218,0.299
2023-12-06,6.7,0.153,0.0,holiday,27.2,4.2,7.9,0,0.442,,,,0.346,0.21,0.255
2023-12-07,2.0,0.074,0.0,holiday,27.9,2.6,3.9,0,0.586,0.448,,0.17,0.375,0.268,0.337
2023-12-08,3.8,0.215,1.0,holiday,26.8,5.3,5.4,0,0.741,0.574,0.597,0.139,0.497,0.196,0.407
2023-12-09,1.8,0.092,0.0,holiday,25.2,3.0,13.2,0,0.646,0.598,,0.1,0.612,0.222,0.409
2023-12-10,0.4,0.15,0.0,holiday,26.6,4.2,8.2,0,0.55,0.428,0.555,0.07,0.65,0.374,0.347
2023-12-11,5.9,0.153,,holiday,25.2,3.7,9.8,0,0.599,0.268,0.312,0.088,0.423,0.049,0.282
2023-12-12,2.4,0.138,0.0,holiday,26.4,4.7,9.1,0,0.45,0.245,0.367,0.086,0.333,0.183,0.258
2023-12-13,0.8,0.109,0.0,holiday,25.8,3.5,10.8,0,0.563,,0.329,0.043,0.351,0.149,0.292
2023-12-14,1.4,0.089,0.0,holiday,26.9,3.4,3.0,0,0.459,0.364,,0.086,0.364,0.207,0.303
2023-12-15,4.7,0.111,0.0,holiday,25.0,2.5,10.1,0,0.443,0.191,0.275,0.059,0.365,0.18,0.326
2023-12-16,9.1,0.171,0.0,holiday,26.1,3.8,7.1,0,0.599,0.477,0.687,0.074,0.631,0.343,0.353
2023-12-17,2.8,0.148,0.0,holiday,26.0,3.1,9.4,0,0.708,0.627,0.616,0.052,0.526,0.318,0.346
2023-12-18,3.1,0.116,0.0,holiday,24.8,2.7,14.0,0,0.47,0.333,0.35,0.083,0.363,0.143,0.26
2023-12-19,4.7,0.204,1.0,holiday,25.3,5.6,7.0,0,0.672,0.48,0.579,0.156,0.547,0.176,0.462
2023-12-20,2.4,0.132,0.0,holiday,25.3,3.5,11.1,0,0.431,0.24,0.358,0.083,0.273,0.211,0.321
2023-12-21,3.0,0.186,0.0,holiday,23.6,4.1,13.6,0,0.68,0.298,0.272,0.059,0.362,0.132,0.319
2023-12-22,4.0,0.176,1.0,holiday,23.8,4.9,14.3,0,0.524,0.402,0.552,0.007,0.619,0.222,0.309
2023-12-23,1.2,0.122,1.0,holiday,24.5,3.3,12.1,0,0.662,0.698,0.846,0.078,0.757,0.376,0.385
2023-12-24,0.9,0.053,0.0,holiday,24.1,2.2,13.3,0,0.766,0.595,0.654,0.071,0.565,0.378,0.415
2023-12-25,4.5,0.059,0.0,holiday,23.6,2.4,11.5,0,0.442,,0.418,0.023,0.318,0.13,0.25
2023-12-26,4.8,0.185,0.0,holiday,24.2,4.9,8.7,0,0.465,0.299,0.336,0.01,0.426,0.2,0.235
2023-12-27,6.1,0.0,0.0,holiday,24.1,1.1,16.6,0,0.4,0.509,0.398,0.078,0.354,0.206,0.308
2023-12-28,1.9,0.123,0.0,holiday,24.9,4.0,11.2,0,0.496,0.19,,0.094,0.286,0.141,0.289
2023-12-29,6.5,0.133,0.0,holiday,24.5,4.7,11.2,0,0.606,0.276,0.37,0.125,0.447,0.179,0.341
2023-12-30,5.0,0.061,0.0,holiday,23.9,3.7,14.8,0,0.776,0.547,0.604,0.093,0.646,0.372,0.297
2023-12-31,7.0,0.208,0.0,holiday,22.8,4.3,14.9,0,0.636,0.472,0.629,0.051,0.664,0.311,0.365
2024-01-01,1.2,0.2,0.0,holiday,22.1,4.1,16.8,0,0.496,0.353,0.311,0.015,0.359,0.102,0.278
2024-01-02,2.7,0.148,0.0,holiday,22.3,4.7,15.3,0,0.471,0.184,0.274,0.127,0.411,0.066,0.352
2024-01-03,8.5,0.103,0.0,holiday,22.2,3.0,18.0,0,,0.236,0.278,0.061,0.277,0.147,0.234
2024-01-04,4.8,0.226,0.0,holiday,21.5,5.3,15.4,0,,0.236,0.332,0.152,0.406,0.175,0.319
2024-01-05,2.6,0.107,0.0,holiday,23.1,2.4,14.8,0,,0.301,0.299,0.091,0.312,0.142,0.369
2024-01-06,1.1,0.154,0.0,holiday,22.5,5.8,14.3,0,0.644,0.634,0.663,0.146,,0.362,0.358
2024-01-07,3.7,0.142,0.0,holiday,22.4,3.9,14.3,0,0.734,0.591,0.587,0.114,0.673,0.367,0.406
2024-01-08,4.7,0.141,0.0,holiday,20.8,4.8,17.4,0,0.529,0.443,0.335,0.003,0.393,0.215,0.279
2024-01-09,3.2,0.133,0.0,holiday,19.8,2.8,21.6,0,0.678,0.246,0.308,,0.264,0.182,0.345
2024-01-10,2.0,0.177,1.0,holiday,21.6,4.6,16.0,0,0.49,0.457,0.635,0.063,0.621,0.169,0.394
2024-01-11,9.0,0.168,0.0,holiday,19.8,4.0,26.1,0,0.584,0.24,0.237,0.017,0.216,0.193,0.331
2024-01-12,2.4,0.133,0.0,holiday,19.7,4.5,21.8,0,0.453,,0.3,0.037,0.405,0.096,0.288
2024-01-13,1.6,0.047,0.0,holiday,21.1,2.3,17.9,0,0.667,0.577,0.53,0.153,0.598,0.375,0.412
2024-01-14,3.7,0.087,0.0,holiday,19.9,1.4,21.6,0,,0.446,0.618,0.062,0.59,0.357,0.343
2024-01-15,5.4,0.127,0.0,holiday,19.9,5.1,25.8,0,0.606,0.26,0.332,0.039,0.326,0.197,0.292
2024-01-16,1.3,0.09,0.0,holiday,20.1,2.8,21.8,0,0.513,0.307,0.331,0.138,0.247,0.141,0.365
2024-01-17,3.1,0.094,0.0,holiday,19.4,2.6,22.1,0,0.613,0.331,0.312,0.022,0.335,0.17,0.263
2024-01-18,2.1,0.18,1.0,holiday,19.6,6.5,21.9,0,0.629,0.566,0.596,0.119,0.484,0.187,0.431
2024-01-19,1.9,0.104,0.0,holiday,18.1,3.4,23.2,0,0.584,0.266,0.305,0.137,0.236,0.216,0.4
2024-01-20,4.5,0.196,0.0,holiday,18.5,5.3,20.5,0,0.74,0.484,0.62,0.206,0.635,0.393,0.412
2024-01-21,5.0,0.084,0.0,holiday,18.2,2.7,22.2,0,0.734,0.383,0.63,0.027,0.64,0.377,0.364
2024-01-22,2.3,0.154,0.0,holiday,19.6,4.1,20.1,0,0.683,0.299,0.295,0.077,0.305,0.218,0.371
2024-01-23,5.1,0.218,0.0,holiday,18.2,5.3,24.1,0,0.468,0.152,0.308,0.058,0.332,0.167,0.262
2024-01-24,2.1,0.2,0.0,holiday,17.8,5.2,21.8,0,0.365,0.413,0.418,0.054,0.362,0.203,0.23
2024-01-25,5.3,0.168,0.0,holiday,17.9,4.3,24.3,0,0.609,0.372,0.392,0.078,0.306,0.204,0.335
2024-01-26,1.8,0.193,0.0,holiday,17.6,6.4,25.7,0,0.424,0.238,0.312,0.022,0.271,0.216,0.27
2024-01-27,3.6,0.16,0.0,holiday,18.9,4.1,23.2,0,0.824,0.483,0.464,0.151,0.611,0.365,0.384
2024-01-28,3.5,0.144,0.0,holiday,16.7,3.4,26.5,0,0.716,0.45,0.578,0.061,0.571,0.381,0.321
2024-01-29,3.5,,0.0,holiday,16.3,4.6,29.1,0,0.541,0.244,0.255,0.185,0.353,0.207,0.323
2024-01-30,8.1,0.179,0.0,holiday,17.3,4.9,27.7,0,0.648,0.106,0.345,0.099,0.244,0.127,0.394
2024-01-31,6.7,0.216,0.0,holiday,16.8,7.1,24.8,0,0.445,0.119,0.323,0.138,0.238,0.111,0.355
2024-02-01,3.4,0.165,0.0,weekday,15.9,4.3,27.7,0,0.41,0.0,0.025,0.665,0.062,0.053,0.387
2024-02-02,3.6,,0.0,weekday,16.2,3.4,26.7,0,0.38,0.033,0.002,0.691,0.121,0.007,0.393
2024-02-03,7.2,0.203,0.0,holiday,14.9,5.1,30.6,0,,0.446,0.625,0.006,0.619,0.416,0.337
2024-02-04,1.0,0.055,0.0,holiday,16.0,3.7,28.5,0,0.763,0.332,0.557,0.093,0.588,0.358,0.391
2024-02-05,2.3,0.147,0.0,weekday,16.4,4.2,30.2,0,0.443,0.0,0.0,0.561,0.023,0.115,0.355
2024-02-06,7.2,0.264,0.0,weekday,16.5,5.4,26.5,0,0.484,0.121,0.0,,0.058,0.0,0.356
2024-02-07,6.3,0.127,1.0,weekday,16.9,2.8,27.8,0,0.377,0.25,0.254,0.692,0.181,0.073,0.431
2024-02-08,9.0,0.142,1.0,weekday,15.4,3.8,28.4,0,0.431,0.235,0.305,0.624,0.233,,0.405
2024-02-09,2.0,0.197,0.0,weekday,16.1,4.5,26.7,0,0.405,0.114,0.025,0.606,0.054,0.0,0.361
2024-02-10,1.7,0.108,0.0,holiday,14.0,3.2,32.7,0,0.677,0.462,0.589,0.136,0.527,0.406,0.354
2024-02-11,4.7,0.119,0.0,holiday,14.8,3.5,33.5,0,0.756,0.439,0.61,0.114,0.571,0.44,0.398
2024-02-12,0.8,0.166,0.0,weekday,13.9,5.9,29.9,0,0.448,0.072,0.058,0.595,0.052,0.052,0.405
2024-02-13,2.4,0.086,0.0,weekday,12.2,4.5,35.0,0,0.395,0.123,0.0,0.635,0.004,0.148,0.37
2024-02-14,3.7,0.166,0.0,weekday,13.0,6.6,35.0,0,0.414,0.104,0.02,0.605,0.018,0.034,0.345
2024-02-15,6.5,0.086,0.0,weekday,15.1,3.0,31.1,0,0.551,,0.008,0.748,,0.008,0.45
2024-02-16,,,0.0,weekday,13.5,2.9,31.5,0,0.546,0.093,0.076,0.7,0.059,0.067,0.497
2024-02-17,0.3,0.156,0.0,holiday,14.0,5.2,35.0,0,0.57,0.334,0.591,0.106,0.481,0.481,0.327
2024-02-18,3.3,0.091,0.0,holiday,14.8,2.4,30.5,0,0.693,0.519,0.521,0.097,0.474,,0.38
2024-02-19,1.7,0.141,0.0,weekday,10.8,4.3,34.2,0,0.449,0.0,0.0,0.612,0.031,0.066,0.381
2024-02-20,3.4,0.098,0.0,weekday,12.5,3.1,31.7,0,0.535,0.042,0.0,0.687,0.0,0.068,0.444
2024-02-21,1.7,0.107,0.0,weekday,11.4,3.6,35.0,0,0.441,0.01,0.0,0.677,0.0,0.059,0.469
2024-02-22,2.8,0.114,0.0,,12.1,3.8,35.0,0,0.431,0.012,0.048,0.679,0.0,0.079,0.386
2024-02-23,6.5,0.093,0.0,weekday,9.8,3.2,35.0,0,0.344,0.024,0.064,0.712,0.033,0.169,0.349
2024-02-24,3.5,0.198,0.0,holiday,11.7,5.6,32.6,0,0.831,0.358,0.56,0.152,0.566,0.453,0.489
2024-02-25,5.8,0.092,0.0,holiday,11.1,2.1,35.0,0,0.764,0.378,0.603,0.074,0.467,0.306,0.368
2024-02-26,0.9,0.122,0.0,weekday,10.8,4.4,32.8,0,0.479,0.0,0.0,0.684,0.0,0.033,0.446
2024-02-27,1.9,0.162,0.0,weekday,10.5,5.3,31.4,0,0.373,0.0,0.0,0.654,0.043,0.037,0.427
2024-02-28,2.8,0.097,0.0,weekday,10.7,4.1,34.5,0,0.537,0.093,,0.637,0.052,0.011,0.406
2024-02-29,1.3,0.115,,weekday,10.1,4.4,35.0,0,0.542,0.022,0.0,0.718,0.0,0.073,0.386
2024-03-01,,0.168,1.0,weekday,8.8,4.9,35.0,0,0.487,0.269,0.325,0.691,0.262,0.027,0.396
2024-03-02,3.0,0.092,0.0,holiday,9.7,3.7,33.9,0,0.702,0.528,0.631,0.098,0.515,0.398,0.314
2024-03-03,3.1,0.159,0.0,holiday,10.2,3.9,35.0,0,0.73,0.478,0.559,0.155,0.674,0.522,0.417
2024-03-04,4.4,0.076,0.0,weekday,9.2,2.7,35.0,0,0.473,0.0,0.07,0.759,0.026,0.186,0.441
2024-03-05,2.6,0.046,0.0,weekday,8.8,2.1,33.5,0,0.515,0.164,0.071,0.598,0.0,0.037,0.37
2024-03-06,3.7,0.083,0.0,weekday,9.6,2.7,35.0,0,0.424,0.0,0.0,0.645,0.0,0.079,0.377
2024-03-07,7.5,0.131,0.0,weekday,9.6,4.2,33.6,0,0.337,0.0,0.0,0.653,0.034,0.056,0.311
2024-03-08,,0.072,0.0,weekday,9.3,2.8,33.0,0,0.326,0.0,0.0,0.717,0.0,0.019,0.359
2024-03-09,3.4,0.157,0.0,holiday,8.7,3.9,34.9,0,0.583,0.357,0.555,0.133,0.574,0.508,0.342
2024-03-10,5.0,0.081,0.0,holiday,7.6,2.2,35.0,0,0.705,0.302,0.532,0.083,0.49,0.454,0.331
2024-03-11,6.4,0.167,0.0,weekday,7.7,5.2,33.6,0,0.441,0.02,0.022,0.621,0.007,0.108,0.381
2024-03-12,3.6,0.131,0.0,weekday,7.5,3.6,35.0,0,0.432,0.093,0.055,0.707,0.071,0.063,0.493
2024-03-13,3.0,0.106,0.0,weekday,8.0,2.5,35.0,0,0.37,0.023,0.041,,0.09,,0.419
2024-03-14,5.0,0.194,0.0,weekday,8.2,4.8,34.6,0,0.505,0.048,0.0,0.636,0.019,0.089,0.403
2024-03-15,1.2,0.087,0.0,weekday,6.3,4.5,35.0,0,0.489,0.114,0.012,0.689,0.039,0.061,0.441
2024-03-16,3.1,0.129,0.0,holiday,6.8,4.0,35.0,0,0.756,0.376,,0.019,0.518,0.51,0.378
2024-03-17,5.9,0.205,0.0,holiday,6.3,5.7,35.0,0,0.836,0.474,0.533,0.203,0.492,0.331,0.446
2024-03-18,5.6,0.278,0.0,weekday,7.6,6.8,35.0,0,0.684,0.0,0.0,0.757,0.0,0.078,0.501
2024-03-19,1.8,0.065,0.0,weekday,7.1,1.0,34.0,0,0.428,,0.027,0.579,0.102,0.17,0.434
2024-03-20,1.5,0.186,0.0,weekday,7.2,5.2,34.7,0,0.717,0.042,0.0,0.739,0.0,0.148,0.57
2024-03-21,3.8,0.074,0.0,weekday,6.2,3.9,35.0,0,0.401,0.072,0.0,,0.0,0.097,0.386
2024-03-22,3.1,0.075,0.0,weekday,5.7,2.9,33.5,0,0.304,0.094,0.0,0.679,0.0,0.124,0.342
2024-03-23,4.7,0.154,0.0,holiday,4.3,4.1,33.8,0,0.601,0.388,0.545,0.029,0.392,0.415,0.278
2024-03-24,0.9,0.17,1.0,holiday,5.0,4.1,35.0,0,0.654,0.64,0.834,0.041,0.801,0.382,0.343
2024-03-25,3.9,0.046,0.0,weekday,5.1,2.1,35.0,0,0.431,0.0,0.029,0.735,0.003,0.127,0.362
2024-03-26,6.0,0.107,0.0,weekday,5.1,3.1,35.0,0,0.437,,0.0,0.686,0.002,0.102,0.458
2024-03-27,2.7,0.039,0.0,weekday,4.9,2.1,35.0,0,0.362,0.0,0.005,0.68,0.122,0.166,0.376
2024-03-28,2.0,,0.0,weekday,5.2,5.1,35.0,0,,0.065,0.041,0.654,0.0,0.112,0.368
2024-03-29,4.0,0.041,0.0,weekday,6.3,3.4,35.0,0,0.278,0.046,0.0,0.63,0.0,0.042,0.359
2024-03-30,2.4,0.119,0.0,holiday,7.1,4.1,35.0,0,0.707,0.303,0.56,0.045,0.508,0.477,0.415
2024-03-31,4.0,0.128,0.0,holiday,6.3,4.1,34.5,0,0.719,0.363,0.476,0.078,0.422,0.54,0.345
2024-04-01,4.1,0.175,0.0,weekday,6.0,5.9,0.8,0,0.358,0.012,0.012,0.602,0.039,0.115,0.292
2024-04-02,1.9,0.176,0.0,weekday,4.1,4.8,1.3,0,0.593,0.0,0.041,0.66,0.0,0.083,0.449
2024-04-03,6.7,0.19,0.0,weekday,4.0,5.7,0.0,0,0.259,0.004,0.048,0.66,0.01,0.065,0.35
2024-04-04,,0.102,1.0,weekday,5.4,3.2,0.0,0,0.402,0.137,0.168,0.748,0.173,0.118,0.555
2024-04-05,1.6,0.207,0.0,weekday,5.1,4.5,1.7,0,0.423,0.0,0.019,0.728,0.0,0.098,0.444
2024-04-06,3.0,0.095,0.0,holiday,4.3,3.3,1.9,0,0.815,0.452,0.546,0.158,0.479,0.439,0.464
2024-04-07,7.1,0.19,1.0,holiday,4.7,4.7,0.6,0,0.68,0.691,0.787,0.038,0.709,0.486,0.409
2024-04-08,7.1,0.201,0.0,weekday,4.6,4.9,0.0,0,0.34,0.0,0.0,0.679,0.04,0.173,0.398
2024-04-09,2.7,,0.0,weekday,2.9,3.0,1.0,0,0.403,0.0,0.0,0.623,0.0,0.127,0.382
2024-04-10,5.1,0.256,0.0,weekday,3.6,5.9,0.7,0,,0.081,0.021,0.667,0.004,0.14,0.367
2024-04-11,6.8,0.138,0.0,weekday,3.2,3.9,0.0,0,0.299,0.0,0.067,0.639,0.0,0.146,0.347
2024-04-12,2.1,0.122,0.0,weekday,4.0,4.0,2.4,0,0.438,0.21,0.05,0.725,0.0,0.164,0.405
2024-04-13,3.6,0.131,0.0,holiday,3.8,3.2,0.0,0,0.676,0.453,0.596,0.049,0.496,0.367,0.272
2024-04-14,3.7,0.057,0.0,holiday,4.5,1.3,0.0,0,0.853,0.413,0.538,0.123,0.419,0.416,0.442
