date,holiday,event_local_flag,rainfall_mm,lodging_occupancy_ratio,tourist_inflow_count,temperature_c,wind_speed_mps,snowfall_cm,typhoon_alert_flag,mobility_inflow_index,rail_ridership,temple_shrine_visits,onsen_visitors_count,beach_crowd_index,y
2023-11-01,weekday,0.0,5.8,0.043,0.153,28.6,5.5,1.0,0,0.48,0.653,0.033,0.032,0.263,0.086
2023-11-02,weekday,0.0,4.7,0.089,0.144,30.0,5.1,2.0,0,0.351,0.594,0.21,0.023,0.26,0.089
2023-11-03,weekday,1.0,1.1,0.239,0.373,29.1,5.1,0.0,0,0.443,0.623,,0.0,0.497,0.33
2023-11-04,holiday,1.0,1.4,0.946,0.739,29.3,7.0,2.7,0,0.591,0.016,0.803,0.329,0.487,0.803
2023-11-05,holiday,0.0,0.4,0.663,0.528,27.8,3.6,0.0,0,0.677,0.256,0.598,0.334,0.531,0.552
2023-11-06,weekday,0.0,4.0,0.038,0.078,28.5,5.9,2.1,0,0.457,0.587,0.166,0.0,0.374,0.09
2023-11-07,weekday,0.0,5.6,0.014,0.055,28.4,7.5,1.1,0,0.405,0.617,0.075,0.014,0.211,0.0
2023-11-08,weekday,0.0,3.4,0.014,0.089,28.8,5.9,0.0,0,0.537,0.676,0.066,0.0,0.194,0.026
2023-11-09,weekday,,3.7,0.095,0.122,28.6,4.5,1.1,0,0.331,0.662,0.206,0.025,0.154,0.037
2023-11-10,weekday,0.0,1.9,0.094,0.199,27.1,6.7,0.0,0,0.346,0.615,0.104,0.0,0.306,0.079
2023-11-11,holiday,0.0,3.8,0.64,0.546,27.7,5.7,0.8,0,0.572,0.173,0.553,0.302,0.392,0.563
2023-11-12,holiday,0.0,2.0,0.597,0.452,29.6,2.9,0.0,0,0.626,0.106,0.684,0.311,0.694,0.557
2023-11-13,weekday,0.0,3.9,0.0,0.115,29.4,4.4,3.3,0,0.565,0.837,0.053,,0.356,0.06
2023-11-14,weekday,0.0,5.0,0.04,0.184,29.0,4.6,0.0,0,0.519,0.649,0.219,0.015,0.35,0.036
2023-11-15,weekday,0.0,4.9,0.035,0.229,28.8,5.7,0.0,0,0.502,0.672,0.09,0.081,0.12,0.078
2023-11-16,weekday,0.0,5.0,0.04,0.034,27.8,3.3,1.5,0,0.573,0.736,0.014,0.036,0.273,0.043
2023-11-17,,0.0,0.4,0.055,0.086,27.7,4.5,2.6,0,0.402,0.668,0.062,0.109,,0.078
2023-11-18,holiday,0.0,0.4,0.509,0.426,27.6,6.2,0.0,0,0.768,0.123,0.54,0.3,0.507,0.512
2023-11-19,holiday,0.0,4.2,0.566,0.609,29.0,6.8,0.0,0,0.587,0.123,,0.406,0.428,0.594
2023-11-20,weekday,0.0,4.5,0.042,0.262,27.4,2.7,1.7,0,0.241,0.517,,0.034,0.423,0.161
2023-11-21,weekday,0.0,3.6,0.0,0.126,27.8,5.2,0.9,0,0.472,0.58,0.073,0.0,0.266,0.116
2023-11-22,weekday,1.0,1.8,0.279,0.411,28.8,4.6,2.1,0,0.544,0.7,0.206,0.0,0.277,0.411
2023-11-23,weekday,0.0,4.6,0.003,0.115,28.4,4.7,0.0,0,0.362,0.687,0.11,0.0,0.28,0.072
2023-11-24,weekday,0.0,1.2,0.014,0.065,29.0,5.1,0.0,0,0.258,0.624,0.147,0.0,0.265,0.061
2023-11-25,holiday,0.0,3.8,0.584,0.669,28.6,5.0,0.1,0,0.645,0.183,0.594,0.312,0.618,0.53
2023-11-26,holiday,0.0,5.2,0.707,0.551,27.4,4.3,2.6,0,0.765,0.141,0.558,0.196,0.444,0.555
2023-11-27,weekday,0.0,5.5,0.0,0.135,27.0,7.3,0.5,0,0.523,,0.098,0.0,0.16,0.07
2023-11-28,weekday,0.0,2.0,0.0,0.149,28.7,3.7,1.2,0,0.409,0.754,0.163,0.073,0.325,0.073
2023-11-29,,0.0,5.1,0.0,0.014,26.6,5.4,1.8,0,0.403,0.694,0.139,0.0,0.251,0.042
2023-11-30,weekday,0.0,0.4,0.0,0.067,26.7,7.8,0.0,0,0.422,0.551,0.117,0.0,0.18,0.047
2023-12-01,holiday,0.0,1.9,0.183,0.233,27.0,7.2,6.9,0,,0.083,0.316,0.183,0.309,0.498
2023-12-02,holiday,0.0,2.7,,0.486,27.2,4.1,8.7,0,0.824,0.255,0.579,0.387,0.568,0.565
2023-12-03,holiday,0.0,2.4,0.61,0.606,27.2,4.8,6.5,0,0.691,0.114,,0.32,0.499,0.59
2023-12-04,holiday,0.0,1.2,0.345,0.366,26.6,6.5,5.3,0,0.581,0.121,0.405,,0.306,0.521
2023-12-05,holiday,0.0,3.0,0.259,0.252,26.4,6.7,8.3,0,0.385,0.062,0.398,0.141,0.361,0.491
2023-12-06,holiday,0.0,4.7,0.285,0.42,28.4,4.4,3.0,0,0.658,0.028,0.287,0.165,0.45,0.502
2023-12-07,holiday,1.0,,0.543,0.53,26.6,5.0,8.4,0,0.607,0.068,0.515,0.074,0.31,0.726
2023-12-08,holiday,0.0,1.2,0.372,0.356,27.0,7.5,8.4,0,0.527,0.055,0.262,,0.289,0.528
2023-12-09,holiday,0.0,1.8,0.545,0.497,25.4,6.9,9.9,0,0.704,0.095,0.6,0.326,0.419,0.525
2023-12-10,holiday,0.0,2.7,0.541,0.421,25.0,5.9,9.4,0,0.796,0.174,0.68,0.318,0.485,0.498
2023-12-11,holiday,0.0,5.2,0.282,0.474,27.5,3.3,3.9,0,0.608,0.081,0.306,0.218,0.457,0.546
2023-12-12,holiday,1.0,6.9,0.482,0.488,25.8,4.0,4.0,0,0.625,0.063,0.6,0.243,0.388,0.63
2023-12-13,holiday,0.0,5.3,0.3,0.318,24.4,5.4,11.4,0,0.575,0.102,0.349,0.207,0.253,0.488
2023-12-14,holiday,0.0,3.5,0.236,0.267,26.0,5.9,11.4,0,0.414,0.1,0.36,,0.297,0.435
2023-12-15,holiday,0.0,4.6,0.255,0.176,25.1,7.7,11.1,0,0.495,0.061,0.285,0.121,0.178,0.446
2023-12-16,holiday,0.0,2.3,0.564,0.463,26.8,5.8,9.5,0,0.806,0.106,0.465,0.383,0.435,0.55
2023-12-17,holiday,0.0,4.3,0.646,0.537,26.6,4.9,9.8,0,0.613,0.191,0.554,0.4,0.369,0.495
2023-12-18,holiday,0.0,2.4,0.217,0.242,27.0,5.9,6.4,0,0.531,0.154,0.313,0.115,0.33,0.455
2023-12-19,holiday,0.0,1.7,0.298,0.375,26.1,5.2,8.7,0,0.622,0.092,0.372,0.166,0.326,0.521
2023-12-20,holiday,0.0,,0.31,0.289,26.4,3.4,8.2,0,0.499,0.04,0.384,0.165,,0.492
2023-12-21,holiday,0.0,3.0,0.309,0.208,25.2,7.7,6.9,0,0.53,0.039,0.327,0.105,0.296,0.497
2023-12-22,holiday,0.0,8.6,0.389,0.367,24.9,5.9,9.0,0,0.535,,0.242,0.179,0.275,0.443
2023-12-23,holiday,0.0,2.7,0.494,0.476,25.1,5.2,7.8,0,0.608,0.163,0.696,0.35,0.557,0.494
2023-12-24,holiday,1.0,1.3,0.783,0.767,24.2,4.7,8.7,0,0.742,0.098,0.842,0.275,0.399,0.831
2023-12-25,holiday,0.0,1.3,0.288,0.22,24.0,5.6,12.7,0,0.598,0.079,0.458,0.139,0.309,0.483
2023-12-26,holiday,0.0,4.9,0.256,0.336,23.4,5.4,15.7,0,0.387,0.007,0.386,0.204,0.162,0.484
2023-12-27,holiday,0.0,3.4,,0.312,24.8,5.3,11.7,0,0.471,0.054,0.442,0.174,0.328,0.459
2023-12-28,holiday,0.0,3.5,0.246,0.243,24.2,4.8,14.2,0,0.441,,0.319,0.192,0.279,0.431
2023-12-29,holiday,0.0,1.3,0.27,,24.3,7.8,10.9,0,,0.104,0.3,0.167,0.225,0.536
2023-12-30,holiday,0.0,,0.621,0.64,23.9,6.4,11.4,0,0.83,0.194,0.632,0.321,0.31,0.607
2023-12-31,holiday,1.0,4.7,0.795,0.756,22.9,6.2,15.3,0,0.614,0.056,0.871,0.452,0.421,0.812
2024-01-01,holiday,0.0,4.4,0.374,0.475,23.5,4.0,13.4,0,0.641,,0.337,0.181,0.361,0.466
2024-01-02,holiday,0.0,1.8,0.282,0.303,22.8,3.9,15.7,0,0.703,0.084,0.325,0.229,0.42,0.463
2024-01-03,holiday,0.0,5.1,0.339,0.244,20.1,7.4,20.9,0,0.486,0.121,,0.229,0.005,0.446
2024-01-04,holiday,,6.6,0.237,0.142,21.5,3.6,16.9,0,0.46,0.136,0.349,0.141,,0.415
2024-01-05,holiday,0.0,1.4,0.215,0.186,21.0,4.4,18.3,0,0.387,0.094,0.262,0.215,0.227,0.469
2024-01-06,holiday,0.0,0.9,0.577,0.536,20.5,5.7,20.2,0,0.699,,0.54,0.372,0.248,0.583
2024-01-07,holiday,,0.2,0.701,0.551,21.1,4.7,19.4,0,0.651,0.071,0.63,0.291,0.163,0.542
2024-01-08,holiday,,1.4,0.378,0.294,20.1,6.1,19.7,0,0.69,0.141,0.321,0.213,0.192,0.518
2024-01-09,holiday,0.0,3.6,0.351,,21.2,4.9,19.0,0,0.574,0.064,0.323,0.176,0.23,0.476
2024-01-10,holiday,0.0,8.6,0.268,0.207,20.2,8.1,20.2,0,0.609,0.128,0.289,0.277,0.183,0.439
2024-01-11,holiday,0.0,4.1,0.294,0.249,21.9,6.0,16.8,0,0.556,0.104,0.314,0.233,0.09,0.528
2024-01-12,holiday,0.0,5.9,0.363,0.307,20.4,6.6,20.0,0,0.572,0.024,0.357,0.197,0.166,0.448
2024-01-13,holiday,0.0,6.7,0.489,0.34,21.4,3.9,18.5,0,0.649,0.044,0.596,0.26,0.285,0.469
2024-01-14,holiday,0.0,3.3,0.595,0.499,20.7,3.3,20.5,0,0.767,0.104,0.627,,0.26,0.549
2024-01-15,holiday,0.0,6.3,0.333,0.256,21.4,4.5,12.3,0,0.521,0.09,0.338,0.24,,0.432
2024-01-16,holiday,0.0,1.6,0.339,0.438,20.5,5.7,19.4,0,0.529,0.059,0.245,0.13,0.269,0.471
2024-01-17,holiday,,,0.273,0.213,19.2,2.6,19.6,0,0.803,0.193,,0.164,0.12,0.429
2024-01-18,holiday,0.0,3.6,0.365,0.268,19.7,4.9,21.0,0,0.488,0.065,0.345,0.279,0.0,0.431
2024-01-19,holiday,0.0,1.4,0.363,0.386,20.0,3.9,19.5,0,0.657,0.038,0.27,0.161,0.1,0.476
2024-01-20,holiday,0.0,3.7,0.62,0.421,19.4,5.1,22.6,0,0.781,0.013,0.591,0.393,0.292,0.451
2024-01-21,holiday,0.0,1.0,0.629,0.525,19.1,4.6,21.1,0,0.629,0.084,0.584,0.394,0.261,0.558
2024-01-22,holiday,0.0,0.3,,0.281,18.2,5.2,22.6,0,0.521,0.0,0.334,0.125,0.005,0.43
2024-01-23,holiday,0.0,2.8,0.367,0.3,18.0,5.1,26.0,0,0.535,,0.362,0.282,0.061,0.495
2024-01-24,holiday,0.0,2.6,0.235,0.257,17.7,2.9,23.1,0,0.467,0.092,0.324,0.221,0.063,0.424
2024-01-25,holiday,0.0,1.4,0.288,0.344,17.1,6.2,26.0,0,0.527,0.149,0.282,0.129,0.027,0.461
2024-01-26,holiday,0.0,1.8,0.238,0.292,19.1,4.6,22.0,0,0.698,0.257,0.311,,0.219,0.513
2024-01-27,holiday,0.0,5.3,0.563,0.426,18.3,4.5,24.8,0,0.714,0.113,0.546,0.384,0.15,0.443
2024-01-28,holiday,0.0,4.0,0.723,0.645,18.3,4.1,23.1,0,0.661,0.115,0.595,0.254,0.204,0.58
2024-01-29,holiday,0.0,2.6,0.296,0.208,17.1,4.7,27.8,0,0.602,,0.269,0.194,0.0,0.425
2024-01-30,holiday,1.0,3.4,0.569,0.506,18.2,3.5,24.4,0,0.624,0.059,0.468,0.16,0.087,0.753
2024-01-31,holiday,1.0,2.9,0.408,0.428,15.4,7.3,31.5,0,0.558,0.068,0.586,0.237,0.0,0.67
2024-02-01,weekday,0.0,1.3,0.04,0.053,16.3,6.3,26.5,0,0.404,0.72,0.0,0.044,0.0,0.054
2024-02-02,weekday,1.0,3.1,0.273,0.298,15.8,6.3,26.4,0,0.423,0.796,0.232,0.0,0.013,0.297
2024-02-03,holiday,0.0,2.8,0.583,0.553,15.3,5.8,27.1,0,0.651,0.056,0.556,0.397,0.128,0.498
2024-02-04,holiday,0.0,5.2,0.494,0.344,16.7,3.8,28.7,0,0.706,0.048,0.594,0.314,0.0,0.436
2024-02-05,weekday,0.0,3.0,0.0,0.02,14.7,8.6,30.0,0,0.543,0.711,0.0,0.048,0.0,0.059
2024-02-06,weekday,0.0,2.1,0.0,0.0,14.7,3.2,31.7,0,0.506,0.691,0.09,0.052,0.0,0.054
2024-02-07,weekday,0.0,3.5,0.004,0.0,15.2,4.3,30.3,0,0.375,0.625,0.129,0.034,0.0,0.0
2024-02-08,weekday,0.0,7.8,0.0,0.079,14.7,4.7,28.2,0,0.45,0.726,0.103,0.035,0.0,0.048
2024-02-09,weekday,0.0,1.4,0.0,0.04,15.0,5.7,30.1,0,0.381,0.691,0.0,0.107,0.0,0.06
2024-02-10,holiday,0.0,3.8,0.581,0.519,13.5,3.3,32.7,0,0.621,0.094,0.54,0.383,0.157,0.492
2024-02-11,holiday,0.0,4.0,0.731,0.485,14.6,5.8,33.4,0,0.615,0.075,0.444,0.325,0.093,0.498
2024-02-12,weekday,0.0,11.5,0.105,0.181,13.9,5.6,32.3,0,0.387,0.567,0.055,0.027,0.0,0.012
2024-02-13,weekday,0.0,3.4,0.027,0.201,14.3,4.7,31.0,0,0.438,0.705,0.0,0.076,0.0,0.038
2024-02-14,weekday,0.0,2.3,0.075,0.039,12.8,3.4,35.0,0,0.428,0.721,0.043,0.019,0.0,0.0
2024-02-15,weekday,1.0,1.4,0.15,0.317,13.8,4.3,31.7,0,0.508,0.685,0.158,0.105,0.0,0.362
2024-02-16,weekday,0.0,1.6,0.0,0.115,13.2,3.9,31.4,0,0.397,0.619,0.112,0.045,0.0,0.038
2024-02-17,holiday,0.0,7.8,0.565,0.376,12.9,5.2,32.6,0,0.688,0.121,0.644,0.456,0.126,0.475
2024-02-18,holiday,0.0,2.2,0.599,0.4,12.0,2.2,35.0,0,0.506,0.028,0.61,0.419,0.297,0.502
2024-02-19,weekday,0.0,8.8,0.056,0.016,12.6,5.6,34.0,0,0.388,0.645,0.163,0.133,0.0,0.0
2024-02-20,weekday,0.0,3.5,0.015,0.0,13.2,4.6,35.0,0,0.384,0.631,0.057,0.004,0.027,0.0
2024-02-21,weekday,0.0,2.4,0.0,0.013,11.1,4.1,32.1,0,0.503,0.637,0.0,0.048,0.0,0.081
2024-02-22,weekday,0.0,6.2,0.0,0.075,11.4,4.0,32.3,0,0.339,0.653,0.05,0.023,0.0,0.048
2024-02-23,weekday,1.0,2.8,0.185,0.156,13.0,7.2,33.5,0,0.452,0.703,0.173,0.027,0.0,0.242
2024-02-24,holiday,0.0,5.1,0.554,0.476,13.2,7.6,31.8,0,0.757,0.153,0.532,0.421,0.156,0.473
2024-02-25,holiday,0.0,3.8,0.585,0.437,11.0,7.1,35.0,0,0.631,0.063,0.513,0.372,0.028,0.457
2024-02-26,weekday,0.0,7.4,0.0,0.0,11.0,5.4,35.0,0,0.372,0.613,0.0,0.049,0.0,0.014
2024-02-27,weekday,0.0,1.5,0.024,0.068,10.8,4.5,35.0,0,0.543,0.715,0.004,0.082,0.0,0.064
2024-02-28,weekday,0.0,1.2,0.105,0.182,9.9,5.6,34.7,0,0.363,0.622,0.016,0.04,0.0,0.047
2024-02-29,weekday,0.0,4.1,0.0,0.0,11.7,6.4,33.9,0,0.391,0.683,0.007,0.185,0.0,0.015
2024-03-01,weekday,0.0,1.9,0.0,0.0,10.6,5.4,32.7,0,0.377,0.588,0.019,0.044,0.056,0.009
2024-03-02,holiday,0.0,,0.599,0.398,10.3,3.9,35.0,0,0.67,0.043,0.586,0.349,,0.459
2024-03-03,holiday,0.0,6.8,0.594,0.467,9.4,6.0,34.3,0,0.616,0.104,0.456,0.488,0.04,0.52
2024-03-04,weekday,0.0,3.1,0.0,0.021,9.2,6.5,34.1,0,0.238,0.668,0.059,0.035,0.054,0.0
2024-03-05,weekday,0.0,1.5,0.06,0.034,9.9,5.9,33.9,0,0.559,0.663,0.045,0.038,0.0,0.0
2024-03-06,weekday,0.0,0.4,0.0,0.016,9.9,4.0,33.3,0,0.385,0.507,0.0,0.087,0.0,0.001
2024-03-07,weekday,0.0,3.0,0.0,0.003,9.2,5.4,33.2,0,0.451,0.682,0.033,0.068,0.0,0.017
2024-03-08,weekday,0.0,1.8,0.024,0.007,7.7,4.3,34.7,0,0.431,0.619,0.05,0.109,0.0,0.025
2024-03-09,holiday,0.0,5.6,0.562,0.282,9.2,7.0,35.0,0,0.597,0.012,0.507,0.402,0.108,0.441
2024-03-10,holiday,0.0,6.6,,0.307,8.5,7.4,34.8,0,0.639,0.11,0.539,0.455,0.199,0.456
2024-03-11,weekday,0.0,,0.0,0.0,8.4,4.6,35.0,0,0.396,0.686,0.0,0.067,0.0,0.01
2024-03-12,weekday,0.0,2.4,0.0,0.0,7.5,4.6,35.0,0,0.379,0.716,0.042,0.161,0.0,0.0
2024-03-13,weekday,0.0,7.1,0.0,0.046,8.5,3.0,35.0,0,0.377,,0.0,0.109,0.0,0.0
2024-03-14,weekday,0.0,,0.009,,7.4,4.7,35.0,0,0.41,0.673,0.0,0.091,,0.057
2024-03-15,weekday,0.0,2.7,0.0,0.038,7.5,3.8,35.0,0,0.178,0.593,0.0,0.01,0.0,0.0
2024-03-16,holiday,0.0,5.7,0.533,0.414,7.8,4.8,35.0,0,0.588,0.106,0.485,,0.193,0.455
2024-03-17,holiday,0.0,3.4,0.597,0.461,8.1,3.9,35.0,0,0.797,0.116,0.543,0.459,0.127,0.504
2024-03-18,weekday,0.0,4.0,0.073,0.029,8.5,6.3,33.4,0,0.347,0.616,0.08,0.117,0.0,0.009
2024-03-19,weekday,0.0,3.2,,0.0,7.8,5.7,32.9,0,0.38,0.639,0.054,0.099,0.053,0.0
2024-03-20,weekday,0.0,3.9,0.016,0.0,9.0,3.4,32.7,0,0.544,0.615,0.0,0.1,0.0,0.0
2024-03-21,weekday,0.0,4.3,0.002,0.0,6.0,4.0,35.0,0,0.424,0.707,0.029,0.142,0.0,0.038
2024-03-22,weekday,0.0,5.3,0.015,0.0,7.0,4.8,34.9,0,0.194,0.55,,0.124,0.0,0.026
2024-03-23,holiday,0.0,6.1,0.59,,6.4,6.8,32.4,0,0.598,0.164,0.518,0.493,0.0,0.51
2024-03-24,holiday,0.0,2.0,0.541,0.369,6.8,6.5,35.0,0,0.646,0.129,0.55,0.511,0.121,0.487
2024-03-25,weekday,0.0,3.7,0.0,,4.9,6.7,31.2,0,0.45,0.599,0.0,0.112,0.0,0.009
2024-03-26,weekday,0.0,2.7,0.0,,5.6,4.5,35.0,0,0.56,0.748,0.018,0.04,0.0,0.0
2024-03-27,weekday,0.0,6.5,0.04,0.0,5.0,4.6,34.7,0,0.459,0.668,0.016,0.125,0.0,0.012
2024-03-28,weekday,1.0,5.3,0.325,0.365,6.1,4.6,33.2,0,0.338,0.671,0.165,0.173,0.0,0.237
2024-03-29,weekday,0.0,7.7,0.001,0.103,4.1,4.6,34.1,0,0.29,0.666,0.092,0.16,0.0,0.0
2024-03-30,holiday,0.0,2.4,0.671,0.313,5.3,4.1,35.0,0,0.66,0.032,0.555,0.472,0.047,0.429
2024-03-31,holiday,1.0,3.1,0.885,0.7,5.6,5.5,32.7,0,0.667,0.078,0.728,0.375,0.09,0.8
2024-04-01,weekday,0.0,6.9,0.078,0.056,4.4,6.9,0.0,0,0.543,0.711,0.0,0.2,0.0,0.019
2024-04-02,weekday,0.0,2.3,0.063,0.0,4.8,6.4,0.0,0,0.41,0.719,0.136,0.156,0.0,0.0
2024-04-03,weekday,0.0,3.8,0.025,0.244,4.7,4.1,1.0,0,0.394,0.597,0.031,0.054,0.0,0.073
2024-04-04,weekday,0.0,3.3,0.0,0.0,5.0,9.4,0.0,0,0.221,0.594,0.052,0.099,0.0,0.0
2024-04-05,weekday,0.0,,0.068,0.0,4.7,5.4,3.1,0,0.378,0.74,0.023,0.095,0.0,0.003
2024-04-06,holiday,0.0,2.5,0.575,0.308,4.3,5.3,0.2,0,0.77,0.226,0.528,0.495,0.072,0.453
2024-04-07,holiday,0.0,1.8,0.59,0.461,3.2,4.9,1.1,0,0.705,0.136,0.503,0.449,0.172,0.517
2024-04-08,weekday,0.0,2.9,0.0,0.139,4.4,4.2,0.0,0,0.457,0.677,0.0,0.221,0.0,0.034
2024-04-09,weekday,0.0,0.8,0.045,0.0,3.5,6.7,0.0,0,,0.694,0.0,0.054,0.0,0.0
2024-04-10,weekday,0.0,2.3,0.014,0.0,3.4,1.9,1.9,0,0.496,0.668,0.0,0.167,0.0,0.025
2024-04-11,weekday,0.0,1.5,0.0,0.14,4.1,5.1,1.1,0,0.367,0.714,0.0,0.081,0.0,0.0
2024-04-12,weekday,0.0,2.7,0.045,0.0,4.1,7.2,0.8,0,0.503,0.66,0.0,0.103,0.038,0.0
2024-04-13,holiday,0.0,2.3,0.541,0.42,2.7,6.0,0.0,0,0.671,0.157,0.505,0.433,0.0,0.498
2024-04-14,holiday,0.0,1.3,0.634,0.515,5.3,5.7,0.0,0,0.643,0.071,0.444,0.478,,0.525
