date,temperature_c,wind_speed_mps,holiday,special_local_index,rainfall_mm,snowfall_cm,event_local_flag,typhoon_alert_flag,mobility_inflow_index,tourist_inflow_count,lodging_occupancy_ratio,rail_ridership,temple_shrine_visits,onsen_visitors_count,y
2023-09-28,26.7,7.8,weekday,0.281,10.0,1.1,1.0,0,0.452,0.257,0.207,0.631,0.294,0.0,0.274
2023-09-29,26.7,8.8,weekday,0.321,15.4,0.8,0.0,0,0.421,0.18,0.12,0.673,0.046,0.028,0.127
2023-09-30,26.5,7.6,holiday,0.448,12.1,1.4,,0,0.701,0.444,0.543,0.034,0.634,0.41,0.518
2023-10-01,26.9,6.0,holiday,0.486,1.3,0.0,,0,0.664,,1.0,0.154,0.805,0.342,0.867
2023-10-02,25.6,4.9,weekday,0.233,4.3,0.0,0.0,0,0.526,0.11,0.0,0.715,0.067,,0.016
2023-10-03,25.4,4.2,weekday,0.313,1.9,0.0,0.0,0,,0.096,0.052,0.695,0.142,0.0,0.095
2023-10-04,26.3,5.6,weekday,0.281,8.4,0.0,0.0,0,0.404,0.0,0.046,0.65,0.055,0.0,0.054
2023-10-05,25.4,5.1,weekday,0.318,2.3,0.1,0.0,0,0.404,0.157,0.003,0.738,0.092,0.038,0.044
2023-10-06,26.9,1.6,weekday,0.275,3.9,0.0,0.0,0,0.569,,0.0,0.637,0.087,0.07,0.014
2023-10-07,26.9,5.0,holiday,0.534,3.0,0.0,0.0,0,0.57,0.396,0.659,0.084,0.587,0.333,0.486
2023-10-08,27.3,2.1,holiday,0.45,5.2,0.9,0.0,0,,0.631,0.622,0.03,0.455,,0.575
2023-10-09,27.9,5.4,weekday,0.279,2.4,0.0,0.0,0,0.471,0.0,0.0,0.677,0.069,0.018,0.068
2023-10-10,26.7,2.6,weekday,0.395,4.0,4.1,0.0,0,0.511,0.288,0.002,0.68,0.131,0.015,0.081
2023-10-11,27.3,3.6,weekday,0.391,1.1,0.8,0.0,0,0.345,,0.023,0.578,0.118,0.08,0.02
2023-10-12,27.8,2.7,weekday,0.408,1.9,0.0,0.0,0,0.524,0.25,0.027,0.705,0.113,0.017,0.064
2023-10-13,28.9,4.9,weekday,0.375,5.3,0.7,0.0,0,0.409,0.084,0.0,0.763,0.084,0.0,0.08
2023-10-14,28.5,4.9,holiday,0.568,2.7,2.4,0.0,0,0.831,0.598,,0.088,0.63,0.324,0.598
2023-10-15,27.2,5.9,holiday,0.586,2.3,0.0,0.0,0,0.839,0.541,0.659,0.153,0.578,0.288,0.585
2023-10-16,27.0,2.0,weekday,0.339,9.7,1.0,0.0,0,0.527,0.179,0.059,0.747,0.053,0.0,0.109
2023-10-17,28.1,4.0,weekday,0.429,0.9,0.0,0.0,0,0.562,0.137,0.042,0.698,0.048,0.044,0.063
2023-10-18,27.0,2.8,weekday,0.319,4.4,0.0,0.0,0,0.47,0.0,0.024,0.611,0.081,0.031,0.011
2023-10-19,27.2,4.5,weekday,0.291,4.5,2.4,0.0,0,0.38,0.202,0.072,0.677,0.083,0.0,0.092
2023-10-20,28.3,3.6,weekday,0.366,5.7,0.6,1.0,0,0.364,0.263,0.206,0.612,,0.0,0.336
2023-10-21,28.7,3.8,holiday,0.621,2.6,0.0,0.0,0,0.734,0.475,0.616,0.067,,0.333,0.569
2023-10-22,28.4,4.6,holiday,0.625,0.9,0.1,0.0,0,0.611,,0.588,0.063,0.609,,0.563
2023-10-23,28.2,4.7,weekday,0.35,0.8,2.1,0.0,0,0.425,0.265,0.053,0.644,0.06,0.0,0.065
2023-10-24,27.4,7.0,weekday,0.349,2.3,0.0,1.0,0,0.416,0.283,0.23,0.675,0.351,0.0,0.319
2023-10-25,28.0,3.4,weekday,0.372,5.5,0.0,0.0,0,0.462,0.146,0.055,0.578,0.144,0.046,0.082
2023-10-26,28.8,2.9,weekday,0.392,4.3,0.7,0.0,0,0.362,0.029,0.015,0.608,0.052,0.033,0.0
2023-10-27,27.8,3.6,weekday,0.303,1.1,0.2,1.0,0,0.407,0.403,0.296,0.646,0.412,0.0,0.358
2023-10-28,27.5,1.7,holiday,0.532,,1.1,0.0,0,0.734,,0.583,,0.601,0.284,0.534
2023-10-29,28.5,5.4,holiday,0.502,3.6,0.0,0.0,0,0.775,0.515,0.648,0.09,0.623,0.359,0.543
2023-10-30,26.5,3.1,weekday,0.315,4.6,0.3,0.0,0,0.391,,0.033,0.659,0.141,0.0,0.063
2023-10-31,28.8,4.6,weekday,0.323,6.2,1.3,0.0,0,0.462,0.197,0.059,0.609,0.122,0.0,0.098
2023-11-01,30.0,3.8,weekday,0.459,0.8,1.9,1.0,0,0.384,0.415,0.321,0.707,0.32,0.057,0.372
2023-11-02,27.9,2.6,weekday,0.329,3.6,3.4,0.0,0,0.374,0.15,0.0,0.604,0.154,0.059,0.125
2023-11-03,28.0,2.7,weekday,0.429,1.3,3.1,0.0,0,0.304,0.0,0.002,0.656,0.161,0.0,0.06
2023-11-04,27.4,7.0,holiday,0.524,2.7,0.0,0.0,0,0.699,0.66,0.632,0.075,0.645,0.381,0.51
2023-11-05,28.8,2.8,holiday,0.503,2.3,1.0,0.0,0,0.654,,0.636,0.099,0.513,0.395,0.596
2023-11-06,28.1,2.9,weekday,0.259,7.8,0.4,0.0,0,0.389,0.134,0.0,0.622,0.277,0.0,0.018
2023-11-07,28.3,5.4,weekday,0.292,0.8,0.5,0.0,0,0.402,0.157,0.0,0.584,0.084,0.0,0.0
2023-11-08,26.9,6.2,weekday,0.267,3.5,0.7,0.0,0,0.396,0.128,0.0,0.582,0.166,0.0,0.092
2023-11-09,28.9,6.0,weekday,0.418,1.0,0.6,0.0,0,0.598,0.053,0.068,0.672,0.148,0.0,0.0
2023-11-10,30.2,1.9,weekday,0.405,5.2,0.0,0.0,0,0.419,0.195,0.085,0.655,0.106,0.0,0.098
2023-11-11,28.3,1.2,holiday,0.56,3.1,0.0,0.0,0,0.632,0.462,0.604,,0.592,0.408,0.588
2023-11-12,29.0,2.5,holiday,,1.9,0.8,1.0,0,0.705,0.955,0.945,0.12,0.81,0.335,0.906
2023-11-13,28.4,4.3,weekday,0.355,3.9,0.4,0.0,0,0.409,0.229,0.054,0.591,0.105,0.0,0.074
2023-11-14,28.3,6.5,weekday,0.302,5.7,0.0,0.0,0,0.475,0.101,0.059,0.615,0.076,0.0,0.049
2023-11-15,27.9,4.4,weekday,0.315,4.9,1.3,0.0,0,0.427,0.161,0.082,0.693,0.136,,0.064
2023-11-16,27.8,4.0,weekday,,10.0,0.4,1.0,0,0.288,0.302,0.162,0.736,0.385,0.03,0.328
2023-11-17,27.6,1.8,weekday,0.302,,1.2,1.0,0,0.47,0.455,0.339,0.674,0.406,0.019,0.377
2023-11-18,29.4,3.6,holiday,0.593,2.0,0.0,0.0,0,,0.401,0.615,0.132,0.562,0.311,0.575
2023-11-19,27.6,4.9,holiday,0.567,1.5,0.8,0.0,0,0.729,0.635,0.667,0.133,0.541,0.34,0.599
2023-11-20,28.7,4.4,weekday,0.294,6.9,0.6,0.0,0,0.523,0.133,0.0,0.647,0.095,0.0,0.065
2023-11-21,28.8,1.3,weekday,0.347,4.9,0.0,0.0,0,0.24,0.06,,0.597,0.096,0.01,0.096
2023-11-22,27.9,5.3,weekday,0.32,4.0,2.2,0.0,0,0.372,0.174,0.052,0.55,0.009,0.0,0.096
2023-11-23,27.7,3.5,weekday,0.344,3.0,0.0,0.0,0,,,0.086,0.666,0.038,0.082,0.081
2023-11-24,28.2,5.7,weekday,0.319,6.9,0.3,,0,0.369,0.17,0.03,0.631,,0.0,0.095
2023-11-25,28.8,3.2,holiday,0.534,1.3,0.0,0.0,0,0.693,0.644,0.63,0.078,0.526,0.299,0.593
2023-11-26,28.9,2.4,holiday,0.537,1.2,0.6,0.0,0,0.774,0.393,0.552,0.012,0.573,0.375,0.535
2023-11-27,27.9,4.9,weekday,0.397,3.9,1.8,0.0,0,0.361,0.144,0.048,0.666,0.069,0.078,0.111
2023-11-28,27.4,5.6,weekday,0.35,3.4,0.0,0.0,0,0.486,,0.022,,0.015,0.0,0.108
2023-11-29,27.1,4.3,weekday,0.352,4.9,0.0,,0,0.463,0.156,0.086,0.75,0.133,,0.048
2023-11-30,28.5,2.4,weekday,0.332,7.2,4.2,0.0,0,0.419,0.124,0.053,0.663,0.104,0.012,0.077
2023-12-01,28.4,0.3,holiday,,,7.3,0.0,0,0.644,0.282,0.236,0.011,0.324,0.195,0.472
2023-12-02,27.4,5.7,holiday,0.591,1.7,3.8,0.0,0,0.697,0.497,0.661,0.141,0.606,0.407,0.557
2023-12-03,26.4,4.1,holiday,0.462,4.2,8.0,1.0,0,0.526,0.947,0.887,0.065,0.758,0.379,0.838
2023-12-04,27.2,3.7,holiday,0.406,2.4,5.4,0.0,0,0.419,0.351,0.338,0.046,0.29,0.163,0.496
2023-12-05,26.8,3.4,holiday,0.323,2.7,7.9,0.0,0,0.687,0.463,0.27,0.128,0.348,0.2,0.5
2023-12-06,25.6,3.8,holiday,0.439,1.1,8.9,0.0,0,0.56,0.251,0.28,0.073,0.39,0.19,0.474
2023-12-07,25.8,1.7,holiday,0.385,2.8,8.4,0.0,0,0.517,0.292,0.257,0.002,0.307,0.18,0.509
2023-12-08,27.4,4.5,holiday,0.326,5.6,6.7,0.0,0,0.504,0.362,0.311,0.12,0.308,0.127,0.464
2023-12-09,25.3,2.9,holiday,0.538,3.1,11.1,0.0,0,0.739,0.515,0.567,0.097,0.601,0.325,0.516
2023-12-10,28.8,5.7,holiday,,1.3,1.6,0.0,0,0.623,0.679,0.659,,0.59,0.306,0.581
2023-12-11,26.5,5.3,holiday,0.414,0.9,9.9,0.0,0,0.482,0.563,0.319,0.127,0.392,0.088,0.507
2023-12-12,26.3,3.4,holiday,0.498,,8.5,1.0,0,0.423,0.394,0.473,,0.571,0.158,0.711
2023-12-13,24.3,5.4,holiday,0.39,4.2,12.9,0.0,0,0.439,0.391,0.258,0.0,0.272,0.262,0.485
2023-12-14,24.9,5.2,holiday,0.382,3.1,12.7,0.0,0,0.406,0.403,0.382,0.054,0.382,0.231,0.507
2023-12-15,26.1,3.3,holiday,0.42,1.7,9.0,0.0,0,0.57,0.369,0.37,0.02,0.336,0.148,0.497
2023-12-16,26.9,6.4,holiday,0.415,3.6,10.5,1.0,0,0.933,0.662,0.868,0.124,0.796,0.336,0.88
2023-12-17,26.2,6.8,holiday,0.522,1.5,7.6,0.0,0,0.656,0.551,0.561,0.149,0.586,0.32,0.588
2023-12-18,26.1,7.9,holiday,0.311,5.9,9.5,0.0,0,0.425,0.439,0.257,0.135,0.272,0.165,0.483
2023-12-19,25.2,3.6,holiday,0.331,6.8,10.0,0.0,0,0.448,0.401,0.303,0.055,0.258,0.224,0.479
2023-12-20,25.8,3.1,holiday,0.43,3.6,10.4,0.0,0,0.512,0.256,0.413,0.088,0.317,0.149,0.42
2023-12-21,24.6,5.0,holiday,0.305,4.6,12.0,0.0,0,0.523,0.229,0.284,0.101,0.426,0.168,0.438
2023-12-22,25.3,5.4,holiday,0.459,0.9,11.9,0.0,0,0.503,0.315,0.221,0.081,0.386,0.229,0.504
2023-12-23,25.4,3.6,holiday,0.479,3.6,12.1,0.0,0,0.582,0.542,0.671,,0.523,0.327,0.594
2023-12-24,24.1,2.2,holiday,0.431,1.5,16.2,0.0,0,0.635,0.566,0.642,0.006,0.605,0.332,0.535
2023-12-25,25.5,3.2,holiday,0.351,1.1,6.4,1.0,0,0.63,0.608,0.586,0.045,,,0.784
2023-12-26,23.6,4.1,holiday,0.443,1.3,11.9,0.0,0,0.633,0.375,0.448,0.001,0.22,0.195,0.499
2023-12-27,24.8,0.9,holiday,0.433,3.0,10.6,0.0,0,0.599,0.282,0.306,0.107,0.391,0.174,0.534
2023-12-28,23.3,4.8,holiday,0.304,1.3,13.3,0.0,0,0.465,0.38,0.289,0.123,0.391,0.115,0.45
2023-12-29,23.1,1.4,holiday,0.418,1.5,12.5,0.0,0,0.481,0.177,0.3,0.076,0.364,0.158,0.472
2023-12-30,23.3,3.8,holiday,0.485,0.6,17.7,0.0,0,0.706,0.518,0.489,0.101,0.552,0.365,0.517
2023-12-31,24.2,3.9,holiday,0.587,3.8,12.3,0.0,0,0.636,0.529,0.628,0.033,,0.409,0.563
2024-01-01,23.1,5.1,holiday,0.365,3.3,15.1,0.0,0,,0.221,0.268,0.054,0.355,0.172,0.468
2024-01-02,22.9,4.2,holiday,0.383,2.1,10.1,0.0,0,0.716,0.258,0.232,0.165,0.335,0.135,0.474
2024-01-03,22.4,2.1,holiday,0.398,3.8,17.8,0.0,0,0.471,0.217,0.28,0.037,0.374,0.133,0.443
2024-01-04,22.3,2.0,holiday,0.216,6.5,19.3,0.0,0,0.552,0.258,0.285,0.172,0.321,0.11,0.406
2024-01-05,23.3,4.8,holiday,0.357,2.4,13.0,0.0,0,0.53,0.218,0.301,0.01,0.329,0.204,0.506
2024-01-06,21.6,1.0,holiday,0.422,2.7,15.8,0.0,0,0.766,0.459,0.57,,0.742,0.357,0.5
2024-01-07,22.8,5.2,holiday,0.461,1.8,18.9,,0,0.797,0.45,0.623,0.102,0.546,0.345,0.586
2024-01-08,22.2,3.5,holiday,0.434,1.2,16.3,0.0,0,0.608,0.331,0.26,,0.312,0.13,0.475
2024-01-09,19.9,4.1,holiday,0.258,6.6,19.7,0.0,0,0.461,0.223,0.301,0.083,0.341,,0.42
2024-01-10,21.3,1.2,holiday,0.342,6.3,18.5,0.0,0,0.374,0.205,,0.134,,,0.457
2024-01-11,20.1,3.7,holiday,0.331,1.4,21.9,0.0,0,0.611,0.294,0.34,0.199,0.274,0.166,0.497
2024-01-12,19.8,3.1,holiday,0.205,2.8,17.4,0.0,0,0.565,0.258,,0.089,0.343,0.193,0.499
2024-01-13,20.9,3.7,holiday,0.433,10.2,20.4,0.0,0,0.576,0.524,0.579,0.033,0.549,0.306,0.523
2024-01-14,18.9,5.8,holiday,0.263,4.5,22.3,0.0,0,0.832,0.516,0.591,0.105,0.509,0.359,0.517
2024-01-15,20.1,3.1,holiday,0.239,2.3,21.1,0.0,0,0.52,0.26,0.275,0.023,0.307,0.199,0.462
2024-01-16,20.0,4.7,holiday,0.269,5.7,20.6,0.0,0,0.637,0.2,0.285,0.195,0.333,0.211,0.455
2024-01-17,19.5,3.2,holiday,0.243,6.2,20.9,0.0,0,0.526,0.237,0.294,0.066,0.263,0.096,0.416
2024-01-18,19.2,3.6,holiday,0.213,3.6,24.7,0.0,0,0.6,0.269,0.417,0.004,0.378,0.266,0.458
2024-01-19,18.9,1.8,holiday,0.2,6.6,23.1,0.0,0,0.705,0.191,0.312,0.08,0.205,0.167,0.462
2024-01-20,18.3,4.1,holiday,0.294,4.9,25.2,0.0,0,0.585,0.32,0.578,0.123,0.586,0.451,0.464
2024-01-21,18.8,2.3,holiday,0.39,4.0,24.3,0.0,0,0.648,0.446,0.671,0.092,0.566,0.445,0.562
2024-01-22,19.4,2.2,holiday,0.214,0.3,21.3,0.0,0,0.628,0.245,0.26,0.049,0.419,0.239,0.405
2024-01-23,19.0,4.2,holiday,0.179,4.3,22.5,0.0,0,0.665,0.25,0.303,0.0,0.367,0.172,0.446
2024-01-24,17.5,4.2,holiday,0.23,6.8,26.9,0.0,0,0.541,0.117,0.264,0.078,0.286,0.278,0.427
2024-01-25,18.3,3.4,holiday,0.245,0.4,20.3,1.0,0,0.556,,0.546,0.045,0.496,0.121,0.815
2024-01-26,19.1,5.8,holiday,0.266,,19.8,0.0,0,0.563,0.232,0.367,0.079,0.285,0.273,0.444
2024-01-27,17.9,4.5,holiday,0.349,0.8,21.3,0.0,0,0.64,0.38,0.511,0.0,0.6,0.316,0.472
2024-01-28,17.6,3.7,holiday,0.245,5.1,24.0,0.0,0,0.603,0.31,0.633,0.142,0.632,0.416,0.558
2024-01-29,15.9,3.3,holiday,0.201,3.6,25.9,0.0,0,0.649,0.086,0.288,0.172,0.314,0.294,0.397
2024-01-30,18.9,5.0,holiday,0.291,5.0,20.9,,0,0.573,0.23,0.329,,,0.24,0.451
2024-01-31,16.3,2.3,holiday,0.237,6.8,27.7,0.0,0,0.611,0.245,0.304,0.092,0.327,0.219,0.46
2024-02-01,17.0,5.2,weekday,0.087,,26.7,0.0,0,0.344,0.161,0.028,0.67,0.053,0.002,0.096
2024-02-02,17.2,3.4,weekday,0.057,2.3,23.1,0.0,0,0.33,0.0,0.03,0.598,0.0,0.036,0.031
2024-02-03,15.7,3.3,holiday,0.172,2.8,30.5,0.0,0,0.594,0.547,0.63,0.156,0.506,0.364,0.49
2024-02-04,14.8,3.7,holiday,0.228,2.4,31.6,0.0,0,0.781,0.373,0.639,0.107,0.571,0.391,0.513
2024-02-05,16.4,4.8,weekday,0.049,2.3,26.3,0.0,0,0.409,0.014,0.113,0.655,0.094,0.01,0.0
2024-02-06,15.8,2.9,weekday,0.133,4.7,31.8,0.0,0,0.336,0.175,0.054,0.633,0.074,0.0,0.027
2024-02-07,13.8,3.1,weekday,0.058,0.8,32.4,0.0,0,0.376,0.0,0.0,0.671,0.122,0.108,0.0
2024-02-08,13.9,6.0,weekday,0.087,1.2,33.8,0.0,0,0.569,,0.0,0.671,0.093,0.072,0.049
2024-02-09,16.4,5.3,weekday,0.076,5.9,27.1,0.0,0,0.395,0.0,0.0,0.606,0.0,0.01,0.017
2024-02-10,16.4,4.8,holiday,0.405,2.1,27.1,0.0,0,0.517,0.586,0.704,0.118,0.612,0.352,0.56
2024-02-11,14.0,3.7,holiday,0.323,3.2,34.8,0.0,0,0.733,0.276,0.534,0.156,0.464,0.408,0.514
2024-02-12,13.0,4.8,,0.0,0.2,31.3,0.0,0,0.428,0.186,0.059,0.675,0.007,0.039,0.048
2024-02-13,13.6,4.1,weekday,0.104,9.7,31.5,0.0,0,0.448,0.025,0.0,0.634,0.0,0.095,0.062
2024-02-14,13.8,3.1,weekday,0.101,2.4,29.1,0.0,0,0.46,0.0,,0.673,0.0,0.089,0.0
2024-02-15,12.8,5.0,weekday,0.009,3.9,35.0,0.0,0,0.418,0.069,0.0,0.672,0.03,0.008,0.003
2024-02-16,14.6,3.4,weekday,0.005,1.7,33.2,0.0,0,,0.0,0.018,0.53,0.001,0.0,0.009
2024-02-17,13.7,2.3,holiday,0.294,1.5,32.4,0.0,0,0.669,0.417,0.514,0.078,0.573,0.41,0.531
2024-02-18,13.5,5.8,holiday,0.244,6.2,35.0,0.0,0,0.651,0.351,0.54,,0.502,0.385,0.402
2024-02-19,13.5,0.9,weekday,0.0,1.6,32.9,0.0,0,0.381,0.06,0.03,0.666,0.122,0.033,0.0
2024-02-20,12.9,0.4,weekday,0.019,4.1,35.0,0.0,0,0.369,0.006,0.015,0.61,0.07,0.0,0.015
2024-02-21,11.2,4.4,weekday,0.034,1.7,34.1,0.0,0,0.459,0.0,,0.639,0.073,0.052,0.049
2024-02-22,11.8,4.4,weekday,0.0,5.6,33.0,0.0,0,0.471,,0.0,0.668,0.033,0.064,0.003
2024-02-23,11.1,4.1,weekday,0.0,,35.0,0.0,0,0.455,0.0,0.087,0.653,0.0,,0.0
2024-02-24,12.0,3.6,holiday,0.247,2.9,34.7,0.0,0,0.619,0.339,0.607,0.085,0.569,0.405,0.417
2024-02-25,12.6,3.0,holiday,0.187,5.0,31.1,0.0,0,0.675,0.469,0.52,0.0,0.591,0.402,0.47
2024-02-26,10.5,3.3,weekday,0.0,2.3,35.0,0.0,0,0.452,0.0,0.057,0.794,0.0,0.127,0.026
2024-02-27,10.3,2.5,weekday,0.013,2.1,35.0,1.0,0,0.335,0.157,0.267,0.728,0.222,0.029,0.262
2024-02-28,10.9,4.1,weekday,0.0,2.5,33.9,0.0,0,0.36,0.04,0.007,0.678,,0.101,0.0
2024-02-29,11.0,2.8,weekday,0.083,5.8,33.5,0.0,0,0.514,0.0,0.0,0.673,0.023,0.125,0.012
2024-03-01,9.6,3.3,weekday,0.026,2.7,33.9,,0,0.352,0.021,0.023,0.55,0.0,0.088,0.023
2024-03-02,10.4,4.1,holiday,0.196,5.8,35.0,0.0,0,0.61,0.458,0.623,0.145,0.572,0.489,0.554
2024-03-03,10.0,5.1,holiday,0.044,8.9,35.0,0.0,0,0.644,0.4,0.619,0.12,0.554,0.309,0.432
2024-03-04,10.1,2.8,weekday,0.052,1.6,35.0,0.0,0,0.392,0.078,0.046,0.607,0.137,0.088,0.036
2024-03-05,9.8,4.2,weekday,0.0,2.5,34.8,0.0,0,0.296,0.01,0.002,0.565,0.043,0.0,0.03
2024-03-06,9.5,3.0,weekday,0.0,3.0,34.3,0.0,0,0.385,0.0,0.011,0.572,0.095,0.03,0.035
2024-03-07,9.4,4.6,weekday,0.049,2.7,35.0,0.0,0,0.629,0.08,0.0,0.71,0.022,0.086,0.002
2024-03-08,9.3,4.4,weekday,0.078,8.2,35.0,0.0,0,0.354,0.0,0.0,0.616,0.007,0.0,0.0
2024-03-09,9.3,5.4,holiday,0.224,1.6,34.6,0.0,0,0.705,0.338,0.594,0.181,0.598,0.391,0.523
2024-03-10,9.4,2.3,holiday,0.31,2.2,33.0,0.0,0,0.724,0.354,0.573,0.084,0.53,0.335,0.482
2024-03-11,9.0,4.3,weekday,0.0,2.4,32.1,0.0,0,0.552,0.0,0.017,0.616,0.0,0.069,0.033
2024-03-12,6.6,2.8,weekday,0.0,0.8,33.4,0.0,0,0.486,0.023,0.021,0.678,0.044,0.054,0.016
2024-03-13,8.6,5.3,weekday,0.0,8.0,34.4,0.0,0,0.521,0.048,0.114,0.734,0.014,0.038,0.009
2024-03-14,8.1,4.4,weekday,0.016,8.8,34.0,0.0,0,0.435,0.0,0.072,0.704,0.0,0.162,0.033
2024-03-15,7.4,7.1,weekday,0.0,2.8,33.2,0.0,0,0.514,0.0,0.075,0.659,0.0,0.132,0.011
2024-03-16,5.5,0.7,holiday,0.163,0.5,32.5,0.0,0,0.767,0.404,0.578,0.206,0.496,0.558,0.48
2024-03-17,6.1,3.1,holiday,0.174,2.0,33.4,0.0,0,0.558,0.402,0.472,0.052,0.429,,0.46
2024-03-18,7.4,5.0,weekday,0.0,0.4,35.0,0.0,0,0.272,0.0,0.016,0.723,0.0,0.076,0.0
2024-03-19,5.8,3.7,weekday,0.0,7.1,35.0,0.0,0,0.394,0.0,0.0,0.641,0.034,0.147,0.004
2024-03-20,5.7,6.1,weekday,0.022,,35.0,0.0,0,0.5,0.0,0.046,0.674,0.0,0.101,0.0
2024-03-21,6.1,2.6,weekday,0.033,1.3,35.0,0.0,0,0.383,0.0,0.014,0.628,0.0,0.097,0.022
2024-03-22,5.7,3.5,weekday,0.037,2.9,33.5,0.0,0,0.446,0.0,0.0,0.615,0.0,0.089,0.035
2024-03-23,5.7,4.6,holiday,,5.9,35.0,0.0,0,,0.403,0.514,,0.414,0.43,0.465
2024-03-24,6.3,5.3,holiday,0.236,5.6,35.0,0.0,0,0.673,0.343,0.562,0.096,0.467,0.538,0.466
2024-03-25,6.2,3.0,weekday,0.0,4.0,33.6,0.0,0,0.481,0.0,0.023,0.677,0.064,0.132,0.0
2024-03-26,5.6,2.1,weekday,0.0,1.5,35.0,0.0,0,0.317,0.028,0.018,0.599,0.035,0.082,0.0
2024-03-27,4.1,1.9,weekday,0.0,7.5,35.0,0.0,0,0.365,0.022,0.0,0.767,0.03,0.176,0.0
2024-03-28,5.0,3.4,weekday,,1.3,34.3,0.0,0,0.256,0.0,0.028,0.639,,0.122,0.0
2024-03-29,6.5,4.0,weekday,0.0,4.3,34.3,0.0,0,0.504,,0.028,0.7,0.0,0.113,0.0
2024-03-30,3.9,1.2,holiday,0.252,7.7,35.0,0.0,0,0.638,0.433,0.584,0.017,0.407,0.515,0.513
2024-03-31,5.3,4.0,holiday,0.237,7.3,35.0,0.0,0,0.603,0.337,0.516,0.194,0.493,0.476,0.437
2024-04-01,4.5,5.6,weekday,0.0,1.1,0.0,0.0,0,0.417,0.0,0.0,0.693,0.043,0.098,0.0
2024-04-02,5.9,7.2,weekday,0.0,1.7,1.8,0.0,0,0.302,0.03,0.035,0.588,0.0,0.098,0.0
2024-04-03,3.8,4.3,weekday,0.0,1.0,0.0,0.0,0,0.373,0.0,0.0,0.602,0.013,0.147,0.044
2024-04-04,3.5,5.9,weekday,0.011,3.6,0.0,0.0,0,0.371,0.0,0.0,0.649,0.035,0.076,0.0
2024-04-05,5.6,3.2,weekday,0.0,3.1,0.0,0.0,0,0.568,0.045,0.059,0.703,0.003,,0.003
2024-04-06,3.1,4.6,holiday,0.139,8.5,0.7,1.0,0,0.792,0.588,0.802,0.126,0.681,0.54,0.725
2024-04-07,4.6,5.8,holiday,0.092,5.3,0.0,0.0,0,0.566,0.45,0.505,,,0.457,0.497
2024-04-08,5.1,2.8,weekday,0.0,2.5,0.0,,0,0.592,0.142,0.064,0.642,0.036,0.005,0.014
2024-04-09,3.2,4.3,weekday,0.0,4.0,2.1,0.0,0,0.468,0.0,0.0,0.775,0.0,0.129,0.02
2024-04-10,3.6,5.7,weekday,0.0,8.2,0.0,0.0,0,0.551,0.046,0.0,0.693,0.078,0.084,0.0
2024-04-11,4.4,4.5,weekday,,1.9,0.0,0.0,0,0.353,0.0,0.0,0.579,0.072,0.202,0.038
2024-04-12,3.3,3.1,weekday,0.0,4.8,0.0,0.0,0,0.553,0.083,0.005,0.723,0.0,0.119,0.001
2024-04-13,3.2,5.6,holiday,0.218,5.5,0.2,,0,0.697,0.314,,0.143,0.523,0.462,0.464
2024-04-14,2.5,3.5,holiday,0.184,2.5,0.0,0.0,0,0.613,0.466,,0.022,0.573,0.44,0.486
2024-04-15,2.8,5.0,weekday,0.038,1.8,0.0,0.0,0,0.371,0.008,0.063,,0.0,0.149,0.0
