date,snowfall_cm,rainfall_mm,wind_speed_mps,ferry_cancel_count,holiday,temperature_c,event_local_flag,typhoon_alert_flag,mobility_inflow_index,tourist_inflow_count,lodging_occupancy_ratio,rail_ridership,temple_shrine_visits,onsen_visitors_count,beach_crowd_index,snow_quality_index,ski_resort_visitors,flight_delay_count,y
2023-10-05,1.8,2.4,4.8,0.157,weekday,23.4,0.0,0,0.446,0.0,0.102,0.814,0.1,0.031,0.121,0.098,0.053,0.138,0
2023-10-06,0.0,10.3,2.8,0.111,weekday,26.2,0.0,0,0.403,0.077,0.033,0.688,0.056,0.027,0.268,0.0,0.0,0.154,1
2023-10-07,0.0,1.0,3.0,0.1,holiday,24.9,0.0,0,0.547,0.655,0.645,0.121,0.613,0.391,0.482,0.064,0.212,0.026,0
2023-10-08,1.5,3.3,2.5,0.067,holiday,25.5,0.0,0,0.851,0.429,0.544,0.139,0.619,0.261,0.385,0.0,0.287,0.096,0
2023-10-09,0.0,0.2,3.3,0.067,weekday,26.8,0.0,0,0.227,0.246,0.104,0.635,0.12,0.0,0.242,0.0,0.0,0.125,0
2023-10-10,1.4,1.2,6.7,0.267,weekday,25.2,0.0,0,0.392,0.0,0.021,0.645,0.11,0.0,,0.022,0.071,0.139,1
2023-10-11,1.0,2.1,3.0,0.113,weekday,25.9,0.0,0,0.462,0.133,0.031,0.604,0.067,0.001,0.266,0.041,0.0,0.047,0
2023-10-12,1.2,9.3,4.1,0.169,weekday,26.0,0.0,0,0.438,0.068,0.0,0.656,0.16,0.0,0.241,0.0,0.0,0.128,0
2023-10-13,0.0,1.1,5.4,0.221,weekday,26.3,0.0,0,0.509,0.067,0.003,0.681,0.0,0.0,0.228,0.0,0.005,0.165,1
2023-10-14,0.1,4.1,3.4,0.156,holiday,25.2,0.0,0,0.56,0.606,0.609,0.001,,0.473,0.4,0.0,0.093,0.081,0
2023-10-15,0.3,2.5,2.0,0.11,holiday,26.8,1.0,0,0.678,0.802,0.868,0.054,,,0.518,0.001,0.146,0.059,0
2023-10-16,0.9,2.8,5.8,0.201,weekday,26.7,0.0,0,0.457,0.177,0.046,0.61,0.184,0.0,0.175,0.071,0.0,0.167,1
2023-10-17,1.0,4.1,5.1,0.174,weekday,25.9,1.0,0,0.464,0.436,0.215,0.689,0.291,0.0,0.153,0.027,0.0,0.088,0
2023-10-18,0.1,3.8,4.0,0.051,weekday,26.7,0.0,0,0.378,0.177,0.0,0.724,0.071,0.038,0.353,0.0,0.097,0.16,1
2023-10-19,0.0,6.9,4.2,0.162,weekday,24.7,0.0,0,0.405,0.065,0.0,0.603,0.067,0.0,,0.0,0.0,0.136,0
2023-10-20,0.0,3.7,4.6,0.147,weekday,25.3,0.0,0,0.486,0.085,0.078,0.674,0.009,0.019,0.174,0.09,0.011,0.177,0
2023-10-21,0.0,2.8,4.6,0.155,holiday,26.4,0.0,0,0.605,0.542,0.569,0.035,0.579,0.308,0.564,0.106,0.329,0.097,0
2023-10-22,0.0,0.9,4.5,0.188,holiday,26.7,0.0,0,0.774,0.686,0.628,0.116,0.513,0.355,0.479,0.0,0.236,0.138,0
2023-10-23,0.0,0.9,0.6,0.003,weekday,26.6,0.0,0,0.484,,0.061,0.655,0.062,0.084,0.407,0.0,0.047,0.054,0
2023-10-24,3.7,4.0,3.4,0.153,weekday,26.0,0.0,0,0.318,0.125,0.019,0.677,0.0,0.0,0.206,0.0,0.064,0.076,0
2023-10-25,0.0,3.6,2.8,0.044,weekday,26.9,,0,0.336,0.07,0.017,0.713,0.101,,0.28,0.048,0.035,0.129,0
2023-10-26,0.0,5.6,6.2,0.229,weekday,27.5,0.0,0,0.536,0.261,0.001,0.682,0.103,0.0,0.208,0.046,0.002,0.191,1
2023-10-27,0.9,3.8,4.2,0.128,weekday,25.3,1.0,0,0.443,0.419,0.287,0.664,0.289,0.035,0.213,0.0,0.0,0.091,1
2023-10-28,3.7,3.5,3.2,,holiday,26.3,0.0,0,0.601,0.618,0.637,0.164,0.653,0.28,0.438,0.0,0.241,0.147,0
2023-10-29,0.4,2.6,2.2,0.125,holiday,25.8,0.0,0,0.773,0.516,0.619,0.152,0.609,0.372,0.435,0.0,0.168,0.123,0
2023-10-30,0.0,4.1,3.5,0.146,weekday,25.2,0.0,0,0.437,0.165,0.0,0.631,0.012,0.0,0.295,0.0,0.0,0.09,1
2023-10-31,1.0,0.1,4.0,,weekday,27.6,0.0,0,0.386,0.116,0.0,0.65,0.01,0.035,0.254,0.021,0.013,0.071,0
2023-11-01,0.0,2.0,6.0,0.172,weekday,24.3,0.0,0,0.448,0.125,0.105,0.677,0.0,0.0,0.077,0.019,0.0,0.198,1
2023-11-02,0.0,4.2,3.5,0.107,weekday,26.2,0.0,0,0.319,0.031,0.0,0.661,0.111,0.0,0.2,0.0,0.052,0.117,0
2023-11-03,1.1,8.0,4.7,0.178,weekday,24.7,0.0,0,0.421,0.021,0.022,0.664,0.138,0.0,0.0,,0.0,0.145,1
2023-11-04,0.5,2.5,2.6,0.054,holiday,25.4,0.0,0,0.687,0.734,0.582,0.138,0.637,0.343,0.349,0.104,0.291,0.124,0
2023-11-05,1.5,4.6,1.9,0.063,holiday,25.9,0.0,0,0.685,,0.708,0.0,0.525,0.375,0.44,0.0,0.173,0.044,0
2023-11-06,0.8,4.7,4.4,0.123,weekday,25.5,0.0,0,0.452,0.074,0.076,0.635,0.118,0.0,0.165,0.044,0.076,0.171,1
2023-11-07,0.6,7.4,4.4,0.136,weekday,24.0,0.0,0,0.364,0.0,0.011,0.7,0.066,0.0,0.194,0.0,0.0,0.14,0
2023-11-08,2.8,4.2,0.2,0.026,weekday,24.4,0.0,0,0.597,0.136,0.0,0.663,0.084,0.0,0.28,0.0,0.0,0.0,0
2023-11-09,1.3,3.5,6.7,0.208,weekday,25.1,0.0,0,0.461,0.107,0.021,,0.072,0.0,0.178,0.006,,0.156,0
2023-11-10,0.0,10.7,2.9,0.099,weekday,23.6,0.0,0,0.44,0.017,0.0,0.702,0.082,0.048,,0.061,0.0,0.127,0
2023-11-11,0.0,7.1,1.8,0.106,holiday,25.9,0.0,0,0.777,0.573,0.624,0.034,0.688,0.389,0.496,0.0,0.153,0.037,0
2023-11-12,0.8,,4.3,0.222,holiday,24.5,0.0,0,0.691,0.497,0.626,0.063,0.485,0.403,0.5,0.114,0.243,0.086,1
2023-11-13,0.2,3.4,4.7,0.199,weekday,24.3,1.0,0,0.409,0.497,0.282,0.723,0.259,0.0,0.334,0.0,0.0,0.161,0
2023-11-14,0.0,,4.7,0.119,weekday,24.9,0.0,0,0.413,0.047,0.0,,0.0,0.011,0.19,0.017,0.0,0.11,1
2023-11-15,1.2,5.0,3.2,0.101,weekday,24.3,0.0,0,0.507,0.158,0.033,0.666,0.045,0.02,0.109,0.0,0.076,0.133,0
2023-11-16,0.0,0.7,3.1,0.08,weekday,25.6,0.0,0,0.389,0.213,0.018,0.566,0.076,0.077,0.209,0.02,0.0,0.066,0
2023-11-17,0.0,0.8,5.3,0.13,weekday,25.4,0.0,0,0.405,0.129,0.032,0.838,0.108,0.058,0.266,0.0,0.031,0.167,1
2023-11-18,0.2,1.4,3.4,0.157,holiday,24.4,0.0,0,0.713,0.425,0.545,0.094,0.648,0.409,0.479,0.026,0.202,0.077,0
2023-11-19,0.0,0.8,2.5,0.132,holiday,24.2,0.0,0,0.64,0.499,0.596,0.108,0.588,,0.378,0.0,0.239,0.081,0
2023-11-20,0.0,3.3,2.6,0.114,weekday,23.8,0.0,0,0.461,0.029,0.0,0.636,0.141,0.0,0.173,0.037,0.077,0.068,0
2023-11-21,0.0,3.5,3.1,0.049,weekday,23.3,0.0,0,0.22,0.044,0.104,,0.121,0.0,0.219,0.0,0.048,0.036,0
2023-11-22,0.0,4.0,4.3,0.099,weekday,22.9,0.0,0,0.354,0.289,0.079,0.722,0.037,0.001,0.102,0.025,0.024,0.101,0
2023-11-23,1.8,2.2,4.2,0.115,weekday,24.7,0.0,0,,0.092,0.01,0.558,,0.0,0.326,0.034,0.112,0.137,0
2023-11-24,0.2,4.1,5.7,,weekday,23.1,0.0,0,0.408,0.113,0.012,0.652,0.148,0.018,0.054,0.012,0.0,0.1,1
2023-11-25,0.6,2.7,5.9,0.145,holiday,23.2,0.0,0,0.535,0.487,0.618,0.085,0.561,0.349,0.339,0.034,0.201,0.137,0
2023-11-26,2.7,4.9,3.6,0.154,holiday,20.9,0.0,0,0.624,0.528,0.632,0.044,0.611,0.508,0.263,0.115,0.222,0.121,0
2023-11-27,0.8,4.5,3.7,0.121,weekday,22.8,0.0,0,0.549,0.079,,0.68,0.028,0.0,0.141,0.107,0.022,0.062,0
2023-11-28,0.0,1.4,3.5,0.088,weekday,22.7,0.0,0,0.378,0.0,0.002,0.654,0.16,0.0,0.256,0.128,0.075,0.103,0
2023-11-29,0.6,3.2,2.6,0.093,weekday,23.1,0.0,0,0.482,0.1,0.048,,0.246,0.017,0.269,0.036,0.016,0.096,0
2023-11-30,0.0,1.8,4.5,0.126,weekday,23.0,0.0,0,0.298,0.037,0.0,0.58,0.107,0.003,0.11,0.01,0.0,0.144,0
2023-12-01,9.2,0.0,2.9,0.099,holiday,22.2,0.0,0,0.602,,0.287,0.055,0.276,0.223,0.276,0.154,0.177,0.047,0
2023-12-02,10.1,0.0,3.1,0.123,holiday,22.4,0.0,0,0.616,0.43,0.581,0.167,0.658,0.33,0.352,0.203,0.329,0.059,0
2023-12-03,15.8,0.0,2.1,0.101,holiday,20.0,0.0,0,0.595,0.448,0.54,0.092,0.564,0.36,0.356,0.256,0.324,0.073,0
2023-12-04,10.6,0.0,5.2,0.142,holiday,22.0,0.0,0,0.493,0.214,0.271,0.135,0.247,0.268,0.15,0.23,0.223,0.116,0
2023-12-05,9.1,0.0,5.2,0.131,holiday,22.2,0.0,0,0.651,0.181,0.28,0.18,0.28,0.119,0.227,0.218,0.233,0.109,0
2023-12-06,11.0,1.7,0.9,0.003,holiday,22.1,0.0,0,0.539,0.313,0.258,0.089,0.279,0.117,0.323,0.147,0.186,0.052,0
2023-12-07,8.3,0.0,4.5,0.154,holiday,21.5,1.0,0,0.542,0.488,0.539,0.099,0.465,0.154,0.241,0.193,0.202,0.106,0
2023-12-08,10.7,0.0,1.8,0.086,holiday,20.7,0.0,0,0.456,0.258,0.36,0.141,0.391,0.208,0.255,0.197,0.192,0.046,0
2023-12-09,14.2,0.0,5.6,0.108,holiday,20.2,0.0,0,0.712,0.568,0.568,0.215,0.584,0.42,0.368,0.247,0.355,0.104,0
2023-12-10,5.4,0.3,5.2,0.169,holiday,22.4,0.0,0,0.742,0.476,0.63,0.188,0.621,0.38,0.282,0.16,0.257,0.146,0
2023-12-11,12.9,0.0,3.3,0.088,holiday,20.3,0.0,0,0.664,0.346,0.368,0.175,0.343,0.088,0.098,0.259,0.302,0.096,0
2023-12-12,9.1,0.0,5.3,0.187,holiday,20.6,0.0,0,0.387,,0.369,0.114,0.49,0.23,0.234,0.176,0.255,0.151,0
2023-12-13,10.8,1.6,3.1,0.047,holiday,19.6,0.0,0,0.717,0.265,0.345,0.09,0.311,0.179,0.199,0.22,,0.066,0
2023-12-14,20.1,0.0,4.4,0.182,holiday,18.7,0.0,0,0.307,0.178,0.389,0.003,0.365,0.158,0.22,0.355,0.325,0.107,1
2023-12-15,11.9,0.0,4.6,0.089,holiday,19.3,1.0,0,0.356,0.465,0.556,0.0,0.477,0.179,0.221,0.233,0.233,0.098,1
2023-12-16,15.3,0.0,3.7,0.095,holiday,19.7,0.0,0,0.733,0.422,0.568,0.194,0.587,0.352,,0.183,0.245,0.072,0
2023-12-17,14.5,0.0,4.5,0.154,holiday,18.9,0.0,0,,0.58,0.71,0.124,0.638,0.434,0.181,0.331,0.457,0.09,0
2023-12-18,13.9,0.0,3.9,0.082,holiday,19.2,0.0,0,,0.287,0.24,0.031,0.315,0.113,0.097,0.469,0.372,0.094,0
2023-12-19,16.3,0.0,3.4,0.159,holiday,18.8,0.0,0,0.394,0.229,0.321,0.04,0.351,0.204,,0.398,0.336,0.051,0
2023-12-20,18.3,0.0,4.6,0.158,holiday,18.5,0.0,0,0.428,,,0.069,0.439,0.14,0.217,0.354,0.28,0.074,1
2023-12-21,15.9,0.0,1.3,0.0,,18.3,,0,0.569,0.204,0.343,0.134,0.337,0.253,0.231,,0.275,0.051,0
2023-12-22,20.5,0.0,4.0,0.109,holiday,18.4,0.0,0,0.64,0.25,0.209,0.05,0.226,0.18,0.119,0.355,0.265,0.01,0
2023-12-23,19.1,0.3,5.6,0.156,holiday,17.3,0.0,0,0.758,0.478,0.562,0.112,0.492,0.416,0.135,0.321,0.323,0.129,0
2023-12-24,18.5,0.0,5.8,0.187,holiday,17.7,0.0,0,0.634,0.528,0.545,,0.526,0.381,0.272,0.313,0.488,0.087,1
2023-12-25,16.0,0.0,4.0,0.118,holiday,18.9,0.0,0,0.594,0.325,0.261,0.097,0.3,0.107,0.199,0.383,0.355,0.149,0
2023-12-26,15.2,,6.7,0.193,holiday,18.1,0.0,0,0.455,0.364,0.271,0.122,0.382,0.226,0.053,0.351,0.257,0.113,1
2023-12-27,17.7,0.0,3.5,0.197,holiday,17.7,0.0,0,0.596,0.351,0.369,0.14,0.428,0.191,0.22,0.34,0.335,0.079,0
2023-12-28,19.1,0.0,1.4,0.024,holiday,17.4,0.0,0,0.395,0.13,0.337,0.106,0.266,0.22,0.05,0.372,0.33,0.017,0
2023-12-29,22.1,0.0,4.8,0.139,holiday,16.9,0.0,0,,0.242,0.316,0.129,0.3,0.228,0.102,0.464,0.38,0.154,0
2023-12-30,19.0,,1.8,0.055,,16.2,,0,0.671,,0.646,0.112,0.499,0.371,0.18,0.389,0.473,0.02,0
2023-12-31,22.7,0.0,5.1,0.161,holiday,16.5,0.0,0,,0.43,0.601,0.171,0.506,0.295,0.264,0.497,0.516,0.14,0
2024-01-01,19.1,0.0,5.0,0.19,holiday,16.8,0.0,0,,0.127,0.224,0.061,0.258,0.1,0.146,0.437,0.328,0.138,1
2024-01-02,25.6,0.0,2.9,0.103,holiday,15.2,0.0,0,0.647,0.051,0.294,,0.308,0.167,0.0,0.582,,0.01,0
2024-01-03,21.0,0.0,2.7,0.063,holiday,15.5,0.0,0,0.441,0.25,0.219,0.013,0.33,0.135,0.098,0.483,0.378,0.049,0
2024-01-04,17.9,0.0,4.7,0.167,holiday,16.1,0.0,0,,0.186,0.283,0.034,0.332,0.264,0.014,0.387,0.383,0.103,1
2024-01-05,21.8,0.0,3.9,0.137,holiday,16.2,0.0,0,0.56,0.085,,,0.331,0.186,0.064,0.355,0.355,0.067,0
2024-01-06,22.2,0.0,2.0,0.087,holiday,16.0,0.0,0,0.66,0.462,0.551,0.14,0.525,0.377,0.199,0.467,,0.052,1
2024-01-07,25.6,0.0,3.7,0.118,holiday,13.5,0.0,0,0.612,0.491,0.677,0.074,0.437,0.356,0.137,0.567,0.599,0.104,0
2024-01-08,25.8,0.0,6.6,0.179,holiday,13.7,0.0,0,0.608,0.238,0.302,0.103,0.255,0.197,0.039,0.601,0.435,0.1,0
2024-01-09,27.3,0.0,4.0,0.132,holiday,13.9,0.0,0,0.518,0.286,0.217,,0.294,,0.058,0.592,0.444,0.069,1
2024-01-10,24.1,0.0,2.5,0.051,holiday,14.2,0.0,0,0.48,0.233,0.208,0.156,0.334,0.23,0.0,0.646,0.447,0.073,0
2024-01-11,26.1,0.0,6.4,0.142,holiday,13.8,0.0,0,0.666,0.216,0.285,0.111,0.326,0.277,0.0,0.539,0.462,0.137,1
2024-01-12,27.1,0.0,3.0,0.097,holiday,13.4,0.0,0,0.51,0.273,0.344,0.075,0.256,0.272,0.0,0.536,0.413,0.107,0
2024-01-13,25.6,0.0,2.5,0.064,holiday,13.7,0.0,0,0.596,0.473,0.615,0.137,0.656,0.376,0.113,0.48,0.406,0.048,0
2024-01-14,27.6,0.0,4.8,0.142,holiday,13.2,0.0,0,,0.47,0.538,0.063,0.489,0.319,0.0,0.595,0.436,0.092,1
2024-01-15,27.6,0.0,6.4,0.197,,12.6,1.0,0,0.562,0.453,0.526,0.156,0.512,0.224,0.0,0.606,0.435,0.138,1
2024-01-16,23.1,0.0,1.5,0.061,holiday,14.4,1.0,0,0.655,0.585,0.594,0.104,0.572,0.196,0.087,0.53,0.351,0.006,0
2024-01-17,30.5,0.0,4.4,0.119,holiday,11.8,0.0,0,0.644,0.129,0.276,0.097,0.252,0.186,0.076,0.678,0.551,0.085,0
2024-01-18,25.6,0.0,2.6,0.037,holiday,11.5,0.0,0,0.723,0.196,0.203,0.009,0.194,0.243,0.081,0.569,0.403,0.03,0
2024-01-19,29.0,0.0,3.4,0.105,holiday,11.1,0.0,0,0.487,0.233,0.32,0.022,0.242,0.261,0.012,0.649,0.416,0.084,0
2024-01-20,27.8,0.0,2.9,0.083,holiday,13.5,0.0,0,0.589,0.418,0.489,0.065,0.561,0.43,0.209,0.539,0.551,0.086,0
2024-01-21,35.0,0.0,2.4,0.098,holiday,10.1,0.0,0,0.706,0.496,0.577,,0.475,0.411,0.148,0.757,0.691,,0
2024-01-22,28.8,0.0,3.6,0.118,holiday,12.0,0.0,0,0.495,0.235,0.276,0.124,0.286,0.234,,0.565,0.427,0.065,0
2024-01-23,31.9,,4.0,0.12,holiday,10.2,0.0,0,0.63,0.11,0.308,0.071,0.312,0.159,0.043,0.678,0.459,0.129,0
2024-01-24,30.8,0.0,5.4,0.163,holiday,10.8,0.0,0,0.56,0.134,0.334,0.124,0.268,0.256,0.0,0.667,0.444,0.104,1
2024-01-25,35.0,0.0,3.8,0.093,holiday,9.2,1.0,0,0.538,0.546,0.526,,0.481,0.293,0.0,0.734,,0.094,0
2024-01-26,30.3,0.0,5.5,0.115,holiday,10.8,0.0,0,0.54,0.088,0.323,0.13,0.299,0.159,0.074,0.716,0.488,0.128,0
2024-01-27,30.0,0.0,4.1,0.127,holiday,10.2,0.0,0,0.691,0.52,0.585,0.0,0.603,0.386,0.146,0.762,0.665,,0
2024-01-28,29.6,0.0,5.0,0.136,holiday,11.2,0.0,0,0.749,0.315,0.592,0.049,0.513,0.343,0.134,0.586,0.507,0.114,0
2024-01-29,35.0,0.0,3.3,0.137,holiday,9.8,,0,0.673,0.15,0.279,0.037,,0.191,0.064,0.829,0.533,0.055,0
2024-01-30,33.0,0.0,4.3,0.13,holiday,8.3,0.0,0,0.542,0.069,0.31,0.083,0.315,0.195,0.0,,,0.089,0
2024-01-31,34.1,0.0,3.0,0.127,holiday,7.3,1.0,0,0.593,0.411,0.531,0.046,0.399,0.296,0.0,0.749,0.522,0.08,0
2024-02-01,32.6,4.7,3.0,0.119,weekday,8.4,0.0,0,0.363,0.085,0.059,0.601,0.06,0.054,0.0,0.83,0.469,0.11,0
2024-02-02,35.0,0.0,5.8,0.178,weekday,7.1,0.0,0,0.528,0.057,0.0,0.656,0.081,0.084,0.0,0.764,0.397,0.141,1
2024-02-03,34.6,0.0,5.2,0.135,holiday,7.2,0.0,0,0.599,0.416,0.587,0.213,0.495,0.433,0.105,0.693,0.6,0.189,1
2024-02-04,35.0,0.0,4.3,0.094,holiday,8.7,0.0,0,,0.346,,0.063,0.567,0.446,0.208,0.716,0.586,0.086,0
2024-02-05,35.0,0.0,3.5,0.06,weekday,8.6,0.0,0,0.382,0.0,0.003,0.69,0.014,0.097,0.0,0.759,0.392,0.097,0
2024-02-06,35.0,2.4,3.6,0.11,weekday,8.9,0.0,0,0.342,0.0,0.0,0.61,0.001,0.004,0.056,0.723,0.389,0.081,0
2024-02-07,33.8,0.0,4.3,,weekday,6.9,0.0,0,0.426,0.0,0.079,0.754,0.081,0.184,0.0,0.852,0.472,0.042,0
2024-02-08,32.5,0.8,3.6,0.065,weekday,5.9,0.0,0,0.379,0.0,0.0,0.708,0.032,0.014,0.0,0.827,0.491,0.042,0
2024-02-09,35.0,0.0,4.1,0.114,weekday,6.8,1.0,0,0.365,0.254,0.295,0.761,0.215,0.064,0.0,0.795,0.486,0.136,0
2024-02-10,33.4,0.0,5.7,0.174,holiday,7.0,0.0,0,0.834,0.402,0.58,0.151,0.52,0.478,0.084,0.861,0.665,0.094,1
2024-02-11,34.4,0.0,3.3,0.063,holiday,6.2,0.0,0,0.689,0.298,0.524,0.178,0.481,0.512,0.0,0.784,0.597,0.086,0
2024-02-12,35.0,0.0,3.9,,weekday,6.1,0.0,0,,0.14,0.004,0.553,0.01,0.067,0.0,0.797,0.479,0.105,0
2024-02-13,34.1,0.0,1.5,0.022,weekday,6.6,0.0,0,0.551,0.0,0.056,0.744,0.0,,0.097,0.883,0.538,0.0,0
2024-02-14,34.6,0.0,2.2,0.063,weekday,5.9,0.0,0,0.428,0.0,0.039,0.724,,0.087,0.0,0.815,0.441,0.067,0
2024-02-15,33.8,0.0,6.9,0.204,weekday,6.2,0.0,0,0.331,0.0,0.0,0.7,0.0,0.083,0.0,0.89,,0.126,1
2024-02-16,33.4,0.0,6.6,0.209,weekday,6.9,1.0,0,0.534,0.194,,0.724,0.295,0.072,0.0,0.795,0.465,0.118,0
2024-02-17,34.7,,6.4,,holiday,4.2,0.0,0,0.7,0.147,0.498,0.138,0.587,0.445,0.048,0.94,0.723,0.197,1
2024-02-18,35.0,0.0,3.3,0.074,holiday,5.2,0.0,0,0.806,0.52,0.57,0.106,0.409,0.503,0.12,0.765,0.599,0.041,0
2024-02-19,30.8,0.0,3.3,0.111,weekday,4.2,0.0,0,0.441,0.035,0.029,0.632,0.049,0.204,0.0,0.898,0.5,0.083,0
2024-02-20,34.5,2.6,3.8,0.121,weekday,4.9,0.0,0,0.206,0.058,0.0,0.578,,0.231,0.0,0.848,0.543,0.103,0
2024-02-21,35.0,0.0,4.0,0.11,weekday,3.9,0.0,0,0.319,0.215,0.0,0.727,0.0,0.123,,0.865,0.493,0.102,0
2024-02-22,35.0,0.0,8.4,0.231,weekday,3.6,0.0,0,0.516,,0.0,0.785,0.009,0.082,0.0,0.954,0.479,0.178,1
2024-02-23,35.0,0.0,5.0,0.203,weekday,3.8,0.0,0,0.475,0.0,0.031,0.724,0.0,0.198,0.0,0.962,0.557,0.123,0
2024-02-24,35.0,0.0,4.2,0.134,holiday,3.9,1.0,0,0.802,0.514,0.808,0.055,0.717,0.531,0.155,0.889,,0.054,0
2024-02-25,35.0,0.0,4.3,0.198,holiday,4.4,0.0,0,0.515,0.277,,,0.534,0.408,0.155,0.836,0.71,0.048,0
2024-02-26,35.0,0.0,3.5,0.071,weekday,3.5,1.0,0,0.359,0.253,0.308,0.744,0.182,0.153,0.0,0.866,0.494,0.074,0
2024-02-27,35.0,0.0,2.2,0.048,weekday,2.7,0.0,0,0.537,0.012,0.028,0.674,0.021,0.127,0.0,0.982,0.491,0.045,0
2024-02-28,34.4,0.0,3.0,0.084,weekday,3.9,0.0,0,0.419,0.0,0.006,0.752,0.024,0.063,0.0,,0.463,0.055,0
2024-02-29,33.1,0.0,2.5,0.097,weekday,3.5,0.0,0,0.599,0.0,0.0,0.605,0.005,0.104,0.0,0.888,0.594,0.095,0
2024-03-01,34.2,0.0,3.0,0.062,weekday,2.2,0.0,0,0.408,0.0,0.0,0.622,0.079,0.126,0.0,0.987,0.517,0.054,0
2024-03-02,35.0,0.0,7.3,0.222,holiday,2.6,0.0,0,0.579,0.477,0.669,0.056,0.528,0.512,0.142,0.969,0.762,0.227,1
2024-03-03,35.0,0.0,4.2,0.09,holiday,3.9,0.0,0,0.584,0.554,0.635,0.021,0.517,0.448,0.12,0.9,,0.116,0
2024-03-04,35.0,0.0,5.9,0.186,weekday,1.5,0.0,0,0.383,0.0,0.0,0.711,0.0,0.13,0.0,0.95,0.527,0.152,1
2024-03-05,34.2,0.0,2.9,0.085,weekday,2.9,0.0,0,0.315,0.04,0.031,0.587,0.033,0.3,0.0,0.897,0.505,0.07,0
2024-03-06,35.0,0.0,6.8,0.227,weekday,1.3,0.0,0,0.55,0.0,0.084,0.583,0.0,0.216,0.0,0.961,0.531,0.145,1
2024-03-07,34.6,0.0,2.7,,weekday,1.4,0.0,0,0.454,0.051,0.009,0.63,0.014,0.182,0.0,0.983,0.519,0.124,0
