date,rail_ridership,mobility_inflow_index,holiday,rainfall_mm,temperature_c,wind_speed_mps,snowfall_cm,event_local_flag,typhoon_alert_flag,tourist_inflow_count,lodging_occupancy_ratio,temple_shrine_visits,onsen_visitors_count,beach_crowd_index,snow_quality_index,ski_resort_visitors,y
2023-10-04,0.787,0.565,weekday,1.4,27.0,4.2,0.1,0.0,0,0.11,0.089,0.121,0.113,0.32,0.0,0.056,0.527
2023-10-05,0.585,0.371,weekday,1.4,27.3,3.7,0.0,0.0,0,0.121,0.004,0.014,0.07,0.27,0.006,0.025,0.347
2023-10-06,0.572,0.389,weekday,2.5,27.5,2.9,0.0,0.0,0,0.183,0.037,,0.0,0.403,0.0,0.0,0.347
2023-10-07,0.062,0.719,holiday,,26.8,4.5,0.0,0.0,0,0.564,0.504,0.461,0.299,0.536,0.015,0.268,0.37
2023-10-08,0.113,0.691,holiday,1.6,28.4,6.0,0.0,0.0,0,,0.628,0.668,0.346,0.42,0.035,0.121,0.388
2023-10-09,0.617,0.334,weekday,4.1,27.9,5.2,0.0,1.0,0,0.472,0.321,0.288,0.019,0.271,0.0,0.0,0.406
2023-10-10,0.605,0.427,weekday,1.2,28.5,2.1,0.1,0.0,0,0.126,0.0,0.07,0.0,,0.054,0.017,0.344
2023-10-11,0.658,0.436,weekday,1.5,28.1,2.4,0.4,1.0,0,0.518,0.398,0.272,0.035,0.284,0.085,0.136,0.472
2023-10-12,0.686,0.435,weekday,,27.1,3.0,0.8,1.0,0,0.363,0.281,0.285,0.061,0.265,0.067,0.032,0.46
2023-10-13,0.655,0.492,weekday,5.0,27.7,2.5,1.5,0.0,0,0.085,0.002,0.129,0.015,0.322,0.0,0.005,0.408
2023-10-14,0.101,0.663,holiday,6.4,27.3,4.3,0.0,0.0,0,0.658,0.507,0.572,0.32,0.456,0.011,0.228,0.338
2023-10-15,0.144,0.689,holiday,1.3,28.2,6.4,0.0,0.0,0,0.595,0.666,0.613,0.407,,0.006,0.215,0.283
2023-10-16,0.743,0.489,weekday,3.9,26.5,2.7,3.8,0.0,0,0.153,0.0,0.155,0.013,0.197,0.037,0.0,0.427
2023-10-17,0.66,0.462,weekday,1.5,27.4,2.8,0.0,0.0,0,0.135,0.078,0.146,0.045,,0.0,0.039,0.428
2023-10-18,0.679,0.527,weekday,1.3,29.2,2.7,1.3,1.0,0,0.321,0.291,0.272,0.0,0.302,0.062,0.0,0.487
2023-10-19,0.782,,weekday,,27.3,4.2,0.3,0.0,0,0.095,0.005,0.082,0.0,0.306,0.035,0.062,0.468
2023-10-20,0.669,0.469,weekday,2.7,29.1,2.6,0.0,0.0,0,0.064,0.034,0.0,0.014,0.392,0.012,0.0,0.374
2023-10-21,0.06,0.737,holiday,3.3,28.1,4.7,1.9,1.0,0,0.763,0.854,0.78,0.299,0.445,0.045,0.229,0.388
2023-10-22,0.126,0.792,holiday,2.4,28.4,5.8,1.0,0.0,0,0.479,0.536,0.64,0.448,0.519,0.0,0.231,0.418
2023-10-23,0.736,0.523,weekday,2.7,27.5,4.8,0.8,0.0,0,0.203,0.0,0.197,0.072,0.161,,0.0,0.452
2023-10-24,0.811,0.261,weekday,1.3,27.9,3.6,1.4,0.0,0,0.146,0.029,0.103,0.0,0.386,,0.138,0.402
2023-10-25,0.66,0.404,weekday,,27.5,4.8,0.0,0.0,0,0.071,0.073,0.17,0.01,0.225,0.0,0.03,0.456
2023-10-26,0.67,0.363,weekday,3.0,27.9,4.4,1.8,0.0,0,0.0,0.034,0.19,0.0,0.31,0.0,0.0,0.405
2023-10-27,0.626,0.46,weekday,1.6,28.5,0.0,0.0,0.0,0,0.062,0.035,0.048,0.0,0.374,0.0,0.012,0.406
2023-10-28,0.062,0.674,holiday,2.1,28.5,4.0,0.0,0.0,0,0.632,0.58,0.591,0.308,0.527,0.0,0.182,0.348
2023-10-29,0.015,0.63,holiday,2.9,27.8,3.6,1.1,1.0,0,0.858,0.708,0.765,0.38,0.525,0.038,0.246,0.359
2023-10-30,0.667,0.476,weekday,2.1,28.4,5.0,0.7,0.0,0,0.056,0.0,0.104,0.026,,0.01,0.045,0.403
2023-10-31,0.624,,weekday,6.4,27.5,2.5,3.2,1.0,0,0.335,0.209,0.233,0.049,0.37,0.0,,0.405
2023-11-01,0.618,0.376,weekday,3.3,28.9,4.9,1.5,0.0,0,0.0,0.0,0.15,0.0,0.196,0.068,0.032,0.393
2023-11-02,0.607,0.328,weekday,3.9,27.6,4.3,0.1,0.0,0,0.0,,0.041,0.0,0.34,0.002,0.0,0.303
2023-11-03,0.72,0.403,weekday,4.6,28.6,4.6,0.0,0.0,0,0.064,0.066,0.101,0.0,0.389,0.0,0.0,0.398
2023-11-04,0.1,0.835,holiday,4.9,28.6,3.0,0.0,0.0,0,0.689,0.751,0.666,0.313,0.488,0.034,0.2,0.415
2023-11-05,0.057,0.705,holiday,3.1,28.0,5.9,2.7,0.0,0,0.544,0.555,0.528,0.332,0.547,,0.274,0.335
2023-11-06,0.596,0.454,weekday,6.6,27.7,5.1,0.6,0.0,0,0.072,0.007,0.099,0.0,0.455,0.0,0.0,0.357
2023-11-07,,0.418,weekday,2.8,28.5,3.8,0.2,0.0,0,0.025,0.0,0.058,0.027,0.28,0.073,0.0,0.425
2023-11-08,0.642,0.251,weekday,1.2,28.1,0.9,0.0,0.0,0,0.0,0.0,0.065,0.036,0.307,0.004,0.0,0.381
2023-11-09,0.619,0.455,weekday,,28.4,4.5,0.5,0.0,0,0.167,0.109,0.073,0.0,0.377,0.012,0.0,0.375
2023-11-10,0.6,0.448,weekday,9.6,29.0,4.9,0.0,0.0,0,0.175,0.028,0.002,0.065,0.368,0.008,0.012,0.33
2023-11-11,0.017,0.729,holiday,1.5,30.0,2.2,1.5,0.0,0,0.558,,0.541,0.331,0.636,0.0,0.256,0.362
2023-11-12,0.052,0.698,holiday,2.4,28.9,3.2,0.0,,0,0.849,0.919,0.808,0.352,0.609,0.033,0.245,0.432
2023-11-13,0.614,0.417,weekday,2.6,29.2,5.4,0.0,0.0,0,0.104,0.032,0.075,0.019,0.327,0.019,0.076,0.385
2023-11-14,0.567,0.458,weekday,5.9,28.7,4.8,0.0,0.0,0,0.161,0.0,0.181,0.0,0.339,,0.032,0.311
2023-11-15,0.607,0.386,weekday,2.0,28.3,3.4,4.1,0.0,0,0.208,0.074,0.109,0.026,0.274,0.056,0.0,0.317
2023-11-16,0.685,0.307,weekday,2.4,29.5,6.4,0.0,0.0,0,0.049,0.0,0.106,0.056,0.32,0.051,0.072,0.395
2023-11-17,0.677,0.302,weekday,0.8,29.3,3.1,0.4,0.0,0,0.113,0.04,0.172,0.0,0.417,0.0,0.002,0.358
2023-11-18,0.112,0.749,holiday,2.0,28.0,7.0,0.8,0.0,0,0.559,0.541,0.648,0.301,0.367,0.0,0.218,0.388
2023-11-19,0.115,0.653,holiday,2.0,27.8,3.9,0.0,0.0,0,0.45,0.57,0.504,0.387,0.589,,0.174,0.329
2023-11-20,0.667,0.432,weekday,5.0,27.2,3.3,0.0,0.0,0,0.024,0.0,0.084,0.0,0.321,0.0,0.028,0.438
2023-11-21,0.624,0.303,weekday,6.8,27.1,5.3,2.0,1.0,0,0.293,,0.255,0.0,0.256,0.078,0.0,0.365
2023-11-22,0.714,0.412,weekday,5.4,28.4,4.4,1.6,0.0,0,0.197,0.0,0.093,0.003,0.323,0.0,0.005,0.346
2023-11-23,0.665,0.315,weekday,6.1,26.6,5.0,0.0,0.0,0,0.161,,0.098,0.0,0.285,0.0,0.0,0.371
2023-11-24,0.704,0.399,weekday,1.1,28.2,4.2,0.0,0.0,0,0.216,0.009,0.192,0.0,0.341,0.0,0.018,0.448
2023-11-25,0.083,0.733,holiday,2.8,28.2,3.7,0.0,0.0,0,0.445,0.576,0.525,0.38,0.589,0.05,0.238,0.363
2023-11-26,0.174,0.755,holiday,1.6,26.9,4.9,0.0,0.0,0,0.57,0.606,0.603,0.298,0.393,0.0,0.144,0.376
2023-11-27,0.696,0.425,weekday,2.6,27.9,5.4,0.0,0.0,0,0.166,0.01,0.113,0.005,0.376,0.065,,0.416
2023-11-28,0.661,0.37,weekday,1.0,27.8,4.2,2.4,0.0,0,0.161,0.018,0.04,0.0,0.259,0.068,0.069,0.379
2023-11-29,0.595,0.31,weekday,2.7,27.6,4.6,1.0,0.0,0,0.113,0.127,0.052,0.029,0.283,0.091,0.005,0.314
2023-11-30,0.692,0.309,weekday,0.6,28.2,2.0,0.0,0.0,0,0.081,0.087,0.206,0.045,0.452,0.035,0.0,0.392
2023-12-01,0.068,0.549,holiday,2.2,28.1,3.5,0.3,0.0,0,0.292,0.265,0.36,0.082,0.471,0.0,0.166,0.311
2023-12-02,0.104,0.705,holiday,1.5,27.6,3.7,0.0,0.0,0,0.538,,0.58,0.273,0.417,0.006,0.187,0.309
2023-12-03,0.014,0.602,holiday,3.3,27.3,5.1,1.5,0.0,0,0.501,0.656,0.587,0.324,0.569,0.0,0.07,0.27
2023-12-04,0.07,0.538,holiday,4.3,25.7,3.7,3.1,0.0,0,0.258,0.275,0.37,0.168,0.421,0.054,0.067,0.315
2023-12-05,0.058,0.356,holiday,3.7,26.9,2.3,0.7,0.0,0,0.475,0.247,0.351,0.138,0.391,0.043,0.108,0.307
2023-12-06,0.011,0.585,holiday,5.8,26.6,5.2,0.8,0.0,0,0.347,0.398,0.36,0.211,0.273,0.018,0.083,0.29
2023-12-07,0.1,0.446,holiday,4.8,27.4,4.5,2.0,0.0,0,0.389,0.354,,0.084,0.249,0.0,0.065,0.243
2023-12-08,0.091,0.614,holiday,0.7,26.4,3.3,0.0,0.0,0,0.401,0.285,,0.158,0.576,0.0,0.134,0.379
2023-12-09,0.084,0.758,holiday,10.1,27.3,5.1,1.0,0.0,0,0.512,0.613,0.669,0.393,0.365,0.037,0.226,0.312
2023-12-10,0.068,0.658,holiday,3.2,25.6,3.3,4.1,0.0,0,0.493,0.554,0.612,0.434,0.472,0.053,0.214,0.316
2023-12-11,0.073,0.392,holiday,1.3,25.8,4.6,0.9,0.0,0,0.305,0.314,0.473,0.166,0.339,0.013,0.133,0.274
2023-12-12,0.025,0.485,holiday,6.5,26.8,3.1,0.7,0.0,0,0.321,0.305,0.314,0.094,0.217,0.0,0.153,0.263
2023-12-13,0.186,0.649,holiday,4.4,27.0,6.7,0.5,0.0,0,0.232,0.244,0.282,0.271,,0.0,0.111,0.37
2023-12-14,0.184,0.653,holiday,1.3,26.3,3.9,3.8,0.0,0,,0.282,0.376,0.209,0.313,0.116,0.119,0.371
2023-12-15,0.003,0.525,holiday,6.9,26.7,4.1,1.5,1.0,0,0.698,0.59,0.582,0.143,0.367,0.002,0.106,0.325
2023-12-16,0.136,0.564,holiday,2.8,25.7,6.0,1.6,0.0,0,0.597,,0.631,0.319,0.467,0.054,,0.334
2023-12-17,0.068,0.659,holiday,3.6,26.2,3.3,0.6,,0,0.497,0.576,0.527,0.353,0.53,0.005,0.162,0.345
2023-12-18,0.052,0.489,,6.1,23.9,4.4,3.3,0.0,0,0.224,0.351,0.356,0.243,0.219,,0.059,0.29
2023-12-19,0.085,,holiday,9.0,24.4,4.3,1.7,0.0,0,0.144,0.224,0.32,0.208,0.363,0.034,0.185,0.333
2023-12-20,0.035,0.602,holiday,5.1,24.9,1.1,1.9,0.0,0,0.325,0.426,0.281,0.132,0.343,,0.168,0.287
2023-12-21,0.063,0.504,holiday,0.9,24.5,5.3,2.0,0.0,0,0.383,0.395,,0.2,0.208,0.0,0.095,0.331
2023-12-22,0.085,0.543,holiday,2.5,25.1,2.0,1.6,0.0,0,0.344,0.279,0.359,0.16,0.376,0.0,0.1,0.312
2023-12-23,0.087,0.683,holiday,3.7,25.5,4.6,0.0,0.0,0,0.569,0.566,0.636,0.319,0.37,0.097,0.233,0.371
2023-12-24,0.116,0.72,holiday,2.9,23.9,4.1,4.0,0.0,0,0.472,0.608,0.596,0.368,0.357,0.0,0.152,0.366
2023-12-25,0.132,0.519,holiday,1.1,25.4,1.8,0.9,0.0,0,0.367,0.32,0.399,0.299,0.282,0.0,0.064,0.284
2023-12-26,0.123,0.609,holiday,5.3,26.2,3.8,1.7,0.0,0,0.398,0.315,0.335,0.236,0.241,0.022,0.092,0.319
2023-12-27,0.007,0.683,holiday,,25.3,5.4,2.6,0.0,0,0.241,0.285,0.373,0.109,0.183,0.0,0.056,0.274
2023-12-28,0.071,0.657,holiday,1.3,23.5,4.6,1.8,0.0,0,0.482,0.293,0.247,0.178,0.351,0.04,0.066,0.365
2023-12-29,0.137,0.606,holiday,3.9,22.5,6.5,0.0,0.0,0,0.314,0.354,0.397,0.203,0.15,,0.066,0.373
2023-12-30,0.166,0.689,holiday,2.0,22.6,4.9,2.5,0.0,0,0.475,0.518,0.606,0.461,0.318,0.084,0.227,0.344
2023-12-31,0.0,,holiday,5.1,23.8,3.8,0.4,0.0,0,0.662,0.685,0.593,0.405,0.466,0.0,0.219,0.335
2024-01-01,0.056,0.535,holiday,7.5,22.2,3.3,2.0,0.0,0,0.219,0.356,0.369,0.29,0.121,0.092,0.146,0.26
2024-01-02,0.012,0.477,holiday,3.7,23.9,3.4,1.5,0.0,0,0.406,0.33,0.42,0.166,0.343,0.0,0.076,0.252
2024-01-03,0.146,0.534,holiday,3.8,22.4,5.6,3.2,0.0,0,0.35,0.322,0.284,0.109,0.244,0.18,0.196,0.277
2024-01-04,0.111,0.516,holiday,,21.6,3.8,1.4,0.0,0,0.207,0.269,0.304,0.171,0.172,0.097,0.193,0.309
2024-01-05,0.033,0.426,holiday,5.7,22.9,4.9,1.3,,0,0.535,0.564,0.506,0.23,0.175,0.0,0.096,0.315
2024-01-06,0.088,0.753,holiday,3.3,21.8,3.9,3.3,0.0,0,0.381,0.563,0.594,0.322,0.314,0.105,0.312,0.37
2024-01-07,0.077,0.619,holiday,0.3,24.5,2.2,5.0,0.0,0,0.626,0.68,0.626,,0.349,0.031,0.217,0.342
2024-01-08,0.084,0.625,holiday,4.5,20.5,4.8,5.4,0.0,0,0.237,0.262,0.281,0.166,0.193,0.204,0.181,0.332
2024-01-09,0.051,0.439,holiday,2.5,22.4,4.7,1.5,0.0,0,0.343,0.376,0.432,0.148,0.127,0.057,0.14,0.25
2024-01-10,0.028,0.526,holiday,2.9,22.4,4.5,1.4,1.0,0,0.477,0.551,0.598,0.24,0.154,0.036,,0.285
2024-01-11,0.09,0.502,holiday,4.0,22.7,3.4,0.0,0.0,0,0.442,0.35,0.283,0.184,0.264,0.0,0.12,0.315
2024-01-12,0.031,0.581,holiday,,20.5,2.8,4.3,0.0,0,,,0.434,0.191,0.164,0.23,0.237,0.277
2024-01-13,0.153,0.833,holiday,2.0,21.5,4.7,6.9,0.0,0,0.613,0.619,0.614,0.351,,0.087,,0.416
2024-01-14,0.021,0.607,holiday,2.9,20.2,1.3,3.9,0.0,0,0.463,0.639,0.52,0.329,0.248,0.174,0.281,0.301
2024-01-15,0.081,0.592,holiday,1.7,21.2,4.1,0.0,1.0,0,0.575,,,0.127,0.143,,,0.413
2024-01-16,0.007,0.511,holiday,4.8,19.3,5.2,0.5,0.0,0,0.352,0.412,0.346,,0.019,0.166,0.153,0.3
2024-01-17,0.102,0.621,holiday,1.8,21.6,4.5,2.7,0.0,0,0.225,0.29,0.27,,0.162,0.019,0.193,0.365
2024-01-18,0.137,0.582,holiday,3.5,19.9,2.9,8.1,0.0,0,0.24,0.204,,0.087,0.177,0.27,0.217,0.351
2024-01-19,0.05,0.644,holiday,6.9,21.2,3.5,1.0,0.0,0,0.439,0.256,0.365,0.193,0.241,0.184,0.186,0.363
2024-01-20,0.13,0.575,holiday,5.0,19.4,4.0,3.9,0.0,0,0.365,0.59,0.593,0.3,0.29,0.187,,0.333
2024-01-21,0.096,0.776,holiday,3.2,20.5,5.3,6.0,0.0,0,0.538,0.566,0.58,0.308,0.321,0.095,,0.358
2024-01-22,0.052,0.489,holiday,4.3,18.6,4.0,6.0,0.0,0,0.191,0.302,0.387,0.228,0.028,0.212,0.28,0.244
2024-01-23,0.012,0.682,holiday,1.4,17.4,5.9,7.9,0.0,0,0.346,,0.305,0.254,0.1,0.392,0.349,0.306
2024-01-24,0.126,0.669,holiday,4.5,19.1,2.6,2.7,0.0,0,0.272,0.4,,0.352,0.236,0.195,0.146,0.4
2024-01-25,0.104,0.53,holiday,4.2,20.2,4.1,6.0,0.0,0,,0.305,0.397,0.08,0.103,0.208,0.229,0.283
2024-01-26,0.126,,holiday,2.5,18.3,3.4,2.6,0.0,0,0.122,0.199,0.271,0.179,0.185,0.23,0.224,0.314
2024-01-27,0.114,0.619,holiday,1.3,19.0,2.8,5.6,0.0,0,0.347,,0.583,0.429,0.188,0.266,0.316,0.389
2024-01-28,0.196,0.718,holiday,3.2,16.9,6.0,6.9,1.0,1,0.719,0.811,0.744,0.296,,0.311,0.379,0.536
2024-01-29,0.111,0.627,holiday,4.7,18.7,5.7,6.5,0.0,0,0.22,0.349,0.367,0.158,0.153,0.222,0.231,0.315
2024-01-30,0.028,0.557,holiday,7.0,17.6,4.0,6.5,0.0,0,0.289,0.299,0.443,0.059,0.105,0.249,0.249,0.251
2024-01-31,0.095,0.626,holiday,2.0,17.8,6.2,6.5,0.0,0,0.275,0.322,0.379,0.215,0.169,0.265,0.265,0.336
2024-02-01,0.519,0.381,weekday,1.2,16.5,3.6,4.5,0.0,0,0.049,0.0,0.05,0.116,0.02,0.301,0.081,0.368
2024-02-02,0.613,0.407,weekday,3.3,17.3,5.7,2.4,0.0,0,0.0,0.0,0.045,0.0,0.0,,0.047,0.394
2024-02-03,0.047,0.654,holiday,3.6,16.8,3.6,6.0,0.0,0,0.25,0.511,0.569,0.316,0.15,0.27,0.256,0.305
2024-02-04,0.05,0.705,holiday,4.0,17.1,4.7,6.9,0.0,0,0.445,0.53,0.547,0.391,0.27,0.257,0.41,0.363
2024-02-05,,0.485,weekday,6.6,16.8,4.0,4.4,0.0,0,0.0,0.0,0.105,0.029,,0.192,0.101,0.401
2024-02-06,0.665,0.324,weekday,8.1,16.1,5.7,3.5,0.0,0,0.192,0.025,,0.0,0.0,0.19,0.095,0.346
2024-02-07,0.716,0.304,weekday,1.6,17.8,4.2,1.8,0.0,0,0.042,0.0,0.088,0.079,0.106,0.25,0.114,0.364
2024-02-08,0.616,0.296,weekday,2.4,16.3,4.4,5.9,1.0,0,0.266,0.231,0.153,0.075,0.0,0.333,0.202,0.418
2024-02-09,0.662,0.376,weekday,2.9,16.2,1.7,7.9,0.0,0,0.0,0.0,0.083,0.024,0.058,0.302,0.233,0.345
2024-02-10,0.075,0.691,holiday,2.1,15.3,5.3,2.4,0.0,0,0.39,0.501,0.511,,,0.272,0.338,0.36
2024-02-11,0.154,0.683,holiday,1.0,15.3,4.4,8.1,0.0,0,0.402,,0.487,0.361,0.107,0.423,0.438,0.393
2024-02-12,0.669,,weekday,1.4,15.3,2.7,6.5,0.0,0,0.145,0.132,0.033,0.072,0.0,0.319,0.189,0.43
2024-02-13,0.618,0.438,weekday,3.8,15.1,5.1,3.9,,0,0.029,0.012,0.047,0.0,0.0,0.334,0.223,0.368
2024-02-14,0.646,0.323,weekday,1.7,15.7,3.6,6.2,0.0,0,0.0,0.01,0.163,0.041,0.025,0.335,,0.379
2024-02-15,0.721,0.454,weekday,4.2,14.4,5.7,6.5,1.0,0,0.308,0.279,0.216,0.073,0.0,0.407,0.226,0.43
2024-02-16,0.709,0.534,weekday,3.6,15.0,2.2,4.0,0.0,0,0.079,0.02,0.016,,0.0,0.288,0.123,0.453
2024-02-17,,0.746,holiday,3.7,14.0,3.7,8.5,0.0,0,0.35,0.65,0.603,0.372,0.153,0.394,,0.4
2024-02-18,0.101,0.622,holiday,1.6,12.7,3.5,4.6,0.0,0,0.43,0.67,0.479,0.366,0.211,0.322,0.327,0.295
2024-02-19,0.678,0.431,weekday,5.0,13.1,3.8,8.5,0.0,0,0.0,0.017,0.0,0.02,0.0,0.395,0.153,0.385
2024-02-20,0.647,0.358,weekday,3.1,13.6,3.3,3.8,0.0,0,0.031,0.057,0.12,0.0,0.0,0.343,0.162,0.353
2024-02-21,0.694,0.409,weekday,2.6,12.4,2.1,5.7,0.0,0,0.163,0.022,0.005,0.104,0.0,0.278,0.165,0.373
2024-02-22,0.564,0.335,weekday,0.7,10.8,2.8,6.9,0.0,0,0.0,0.0,0.032,0.005,0.0,0.5,0.363,0.334
2024-02-23,0.706,0.498,weekday,4.3,12.9,5.2,4.9,0.0,0,0.001,0.0,0.0,0.037,0.0,0.317,0.223,0.472
2024-02-24,0.121,0.635,holiday,2.2,12.3,3.7,6.6,0.0,0,0.289,0.527,0.569,0.457,0.172,0.511,0.528,0.378
2024-02-25,0.138,0.65,holiday,0.7,11.9,4.8,9.7,0.0,0,0.479,,0.534,0.393,0.068,0.378,0.46,0.373
2024-02-26,0.699,0.405,weekday,2.5,12.3,4.2,2.6,0.0,0,0.0,0.0,0.062,0.029,0.0,0.286,0.063,0.45
2024-02-27,0.638,0.341,weekday,3.2,12.8,3.8,2.9,0.0,0,0.0,0.006,0.188,0.119,0.0,0.362,0.209,0.359
2024-02-28,0.69,0.236,weekday,4.0,12.9,2.7,4.8,0.0,0,0.05,0.0,0.052,0.0,0.037,0.4,,0.404
2024-02-29,0.613,0.485,weekday,3.5,11.9,3.0,6.4,1.0,0,0.271,,0.188,0.063,0.0,0.346,0.118,0.428
2024-03-01,0.564,0.449,weekday,0.5,10.8,5.2,5.8,0.0,0,0.022,0.0,0.122,0.083,0.0,0.356,,0.382
2024-03-02,0.086,0.761,holiday,3.8,12.3,5.5,3.2,0.0,0,0.487,0.678,0.558,0.367,0.041,0.379,0.464,0.363
2024-03-03,,0.67,holiday,4.7,12.4,3.7,3.5,0.0,0,0.376,0.583,0.472,0.426,0.0,,0.394,0.373
2024-03-04,0.682,0.425,weekday,8.5,10.4,6.0,5.2,0.0,0,0.0,0.021,0.043,0.08,0.0,0.453,0.243,0.359
2024-03-05,0.658,0.477,weekday,1.8,10.8,2.5,7.8,1.0,0,0.222,0.28,0.186,0.0,0.0,0.457,0.27,0.421
2024-03-06,0.632,0.491,weekday,4.3,10.3,2.3,8.8,0.0,0,0.099,0.0,0.038,0.061,0.016,0.483,0.241,0.434
2024-03-07,0.647,0.312,weekday,2.3,9.0,4.3,2.3,0.0,0,0.0,0.047,0.0,0.12,0.05,0.442,0.127,0.38
2024-03-08,0.605,0.333,weekday,3.8,11.6,2.0,8.3,0.0,0,0.0,0.013,0.047,0.117,0.0,0.398,0.178,0.383
2024-03-09,0.125,0.656,holiday,1.1,10.6,4.3,4.1,0.0,0,0.46,0.637,0.534,0.411,0.21,0.463,0.441,0.369
2024-03-10,0.055,0.631,holiday,4.3,9.2,5.2,6.8,0.0,0,,0.518,0.577,0.407,0.062,0.501,0.401,0.3
2024-03-11,0.676,0.471,weekday,0.4,8.6,2.0,4.4,0.0,0,0.019,,0.055,0.135,0.0,0.543,0.325,0.36
2024-03-12,0.604,0.401,weekday,2.2,9.6,3.1,7.1,0.0,0,0.0,0.0,0.073,0.043,0.0,0.482,0.158,0.355
2024-03-13,0.636,0.458,weekday,3.1,10.6,4.2,7.6,1.0,0,0.217,0.261,0.212,0.063,0.0,0.436,0.23,0.451
2024-03-14,0.677,0.346,weekday,1.6,10.5,3.7,6.9,0.0,0,0.0,0.0,0.071,0.055,0.0,0.447,0.236,0.384
2024-03-15,0.69,0.595,weekday,4.8,9.5,7.0,3.0,0.0,0,0.0,0.0,0.0,0.08,0.0,0.577,0.294,0.462
2024-03-16,0.169,0.682,holiday,1.0,8.5,1.7,3.2,0.0,0,0.5,0.555,0.495,0.421,0.19,0.53,0.456,0.414
2024-03-17,0.125,0.791,holiday,2.4,10.3,3.6,4.3,0.0,0,0.362,,0.481,0.465,0.238,0.554,0.488,0.369
2024-03-18,0.637,0.267,weekday,2.7,7.9,3.0,2.0,0.0,0,0.074,0.038,0.063,0.0,0.0,0.532,0.343,0.321
2024-03-19,0.634,0.352,weekday,4.6,7.7,6.1,5.8,0.0,0,0.0,0.0,0.058,0.096,0.0,0.465,0.306,0.367
2024-03-20,0.695,0.563,weekday,5.2,8.3,5.5,4.7,0.0,0,0.127,0.038,0.105,0.071,,0.461,,0.442
2024-03-21,0.669,0.462,weekday,3.6,9.8,4.8,2.6,0.0,0,0.009,0.093,0.027,0.098,0.0,0.316,0.108,0.387
2024-03-22,0.787,0.536,weekday,7.2,7.9,3.3,7.1,0.0,0,0.041,0.0,0.0,0.079,0.0,0.511,0.082,0.491
