date,holiday,rainfall_mm,event_local_flag,temperature_c,wind_speed_mps,y
2023-11-15,weekday,5.1,0.0,30.3,3.5,0
2023-11-16,weekday,2.0,0.0,29.6,4.2,1
2023-11-17,weekday,1.1,0.0,28.2,5.8,0
2023-11-18,holiday,2.2,1.0,28.0,5.8,0
2023-11-19,holiday,7.1,0.0,28.8,4.8,1
2023-11-20,weekday,4.6,0.0,27.8,6.4,0
2023-11-21,weekday,0.8,0.0,29.8,4.9,0
2023-11-22,weekday,2.9,0.0,27.8,4.4,0
2023-11-23,weekday,4.5,0.0,28.7,5.9,0
2023-11-24,weekday,5.5,0.0,28.3,3.8,1
2023-11-25,holiday,0.4,0.0,31.4,4.7,0
2023-11-26,holiday,2.3,0.0,28.7,3.8,0
2023-11-27,weekday,4.9,0.0,28.9,4.8,0
2023-11-28,weekday,4.1,0.0,30.4,3.5,0
2023-11-29,weekday,2.6,0.0,30.7,6.4,0
2023-11-30,weekday,7.4,0.0,29.5,5.8,1
2023-12-01,holiday,8.1,0.0,30.0,4.8,1
2023-12-02,holiday,2.2,0.0,30.1,5.2,0
2023-12-03,holiday,10.3,0.0,30.1,6.0,0
2023-12-04,holiday,1.0,0.0,30.0,9.2,1
2023-12-05,holiday,3.3,0.0,29.7,4.2,0
2023-12-06,holiday,1.1,0.0,29.1,6.1,0
2023-12-07,holiday,7.5,0.0,29.8,6.2,1
2023-12-08,holiday,2.4,0.0,30.0,7.2,0
2023-12-09,holiday,6.5,0.0,30.1,7.5,1
2023-12-10,holiday,0.8,0.0,28.9,6.4,0
2023-12-11,holiday,3.5,0.0,29.4,6.4,1
2023-12-12,holiday,4.8,0.0,30.0,6.8,0
2023-12-13,holiday,1.1,0.0,30.8,5.9,0
2023-12-14,holiday,3.4,0.0,29.9,6.6,1
2023-12-15,holiday,1.8,0.0,30.3,2.0,0
2023-12-16,holiday,2.8,0.0,30.0,5.6,0
2023-12-17,holiday,1.8,1.0,29.4,5.6,0
2023-12-18,holiday,0.8,0.0,30.3,4.7,0
2023-12-19,holiday,8.1,0.0,31.0,7.3,1
2023-12-20,holiday,4.1,0.0,28.7,8.3,0
2023-12-21,holiday,7.7,0.0,29.0,4.0,0
2023-12-22,holiday,1.3,0.0,29.8,6.7,0
2023-12-23,holiday,3.2,0.0,29.7,5.5,0
2023-12-24,holiday,3.5,0.0,30.4,5.1,0
2023-12-25,holiday,2.0,0.0,31.0,2.3,0
2023-12-26,holiday,4.2,0.0,29.4,4.4,0
2023-12-27,,5.4,0.0,30.3,6.3,0
2023-12-28,holiday,5.2,1.0,29.4,4.7,0
2023-12-29,holiday,2.7,0.0,30.1,5.3,0
2023-12-30,holiday,5.1,0.0,29.0,5.4,1
2023-12-31,holiday,1.7,0.0,29.7,4.4,0
2024-01-01,holiday,2.1,0.0,29.2,4.1,0
2024-01-02,holiday,2.1,0.0,28.6,5.2,0
2024-01-03,holiday,4.3,1.0,31.7,5.4,0
2024-01-04,holiday,5.4,0.0,28.3,4.5,0
2024-01-05,holiday,3.5,0.0,28.8,6.7,0
2024-01-06,holiday,0.8,1.0,27.9,5.2,1
2024-01-07,holiday,0.9,0.0,28.9,6.4,1
2024-01-08,holiday,3.7,0.0,29.9,4.9,0
2024-01-09,holiday,3.2,0.0,29.3,4.8,1
2024-01-10,holiday,0.8,0.0,29.2,6.5,0
2024-01-11,holiday,4.6,0.0,29.5,6.0,1
2024-01-12,holiday,8.3,0.0,28.3,5.4,0
2024-01-13,holiday,4.1,0.0,27.5,5.0,0
2024-01-14,holiday,3.2,0.0,27.6,4.2,0
2024-01-15,holiday,3.8,0.0,29.5,4.8,0
2024-01-16,holiday,5.1,0.0,27.7,3.9,0
2024-01-17,holiday,1.1,0.0,27.9,4.2,0
2024-01-18,holiday,0.5,0.0,28.6,8.1,1
2024-01-19,holiday,5.4,0.0,29.2,7.3,1
2024-01-20,holiday,4.9,0.0,27.3,6.3,0
2024-01-21,holiday,4.7,0.0,26.8,2.1,0
2024-01-22,holiday,7.1,0.0,28.4,7.3,1
2024-01-23,holiday,0.2,0.0,27.8,3.5,0
2024-01-24,holiday,6.9,0.0,26.2,3.4,0
2024-01-25,holiday,4.8,0.0,26.8,4.8,0
2024-01-26,holiday,0.8,0.0,28.2,6.4,0
2024-01-27,holiday,5.6,0.0,27.1,5.3,0
2024-01-28,holiday,3.5,0.0,27.7,4.4,0
2024-01-29,holiday,4.1,0.0,26.7,5.1,0
2024-01-30,holiday,2.1,0.0,27.3,5.8,1
2024-01-31,holiday,6.5,1.0,26.0,4.7,1
2024-02-01,weekday,0.4,,24.8,3.5,0
2024-02-02,weekday,1.0,0.0,25.6,4.9,0
2024-02-03,holiday,5.6,1.0,27.1,4.9,0
2024-02-04,holiday,1.8,0.0,23.6,6.2,1
2024-02-05,weekday,5.8,0.0,26.4,3.4,0
2024-02-06,weekday,5.0,0.0,26.3,4.9,0
2024-02-07,weekday,0.6,0.0,26.3,6.7,0
2024-02-08,weekday,1.9,0.0,25.8,7.1,0
2024-02-09,weekday,4.3,0.0,25.1,5.3,0
2024-02-10,holiday,0.1,1.0,24.2,5.6,0
2024-02-11,holiday,2.6,0.0,24.4,8.7,1
2024-02-12,weekday,,0.0,24.5,5.4,0
2024-02-13,weekday,3.8,0.0,23.7,6.4,0
2024-02-14,weekday,7.0,0.0,24.5,5.1,0
2024-02-15,weekday,1.3,0.0,25.5,5.0,0
2024-02-16,weekday,3.8,0.0,23.5,6.4,0
2024-02-17,holiday,4.6,0.0,24.4,6.5,1
2024-02-18,holiday,1.3,0.0,24.2,3.7,0
2024-02-19,weekday,0.9,0.0,23.3,5.2,0
2024-02-20,weekday,4.3,1.0,24.0,4.0,0
2024-02-21,weekday,4.3,0.0,23.6,6.0,1
2024-02-22,weekday,3.6,0.0,23.7,4.9,0
2024-02-23,weekday,3.0,1.0,23.6,5.5,0
2024-02-24,holiday,1.8,1.0,23.2,7.3,1
2024-02-25,holiday,2.7,0.0,23.2,4.7,0
2024-02-26,,1.4,0.0,23.9,3.6,0
2024-02-27,weekday,1.6,0.0,22.1,3.7,0
2024-02-28,weekday,0.5,0.0,20.7,5.2,0
2024-02-29,weekday,2.0,0.0,22.8,3.3,0
2024-03-01,weekday,5.6,0.0,20.8,7.2,0
2024-03-02,holiday,2.2,0.0,21.3,6.2,1
2024-03-03,holiday,2.6,0.0,23.0,4.6,0
2024-03-04,weekday,3.5,0.0,22.8,4.2,0
2024-03-05,weekday,5.0,0.0,22.3,5.1,1
2024-03-06,weekday,8.6,0.0,21.5,4.8,1
2024-03-07,weekday,3.8,0.0,21.8,6.4,1
2024-03-08,weekday,1.9,0.0,20.3,2.8,0
2024-03-09,holiday,0.7,0.0,20.7,6.1,1
2024-03-10,holiday,1.8,1.0,20.3,6.4,1
2024-03-11,weekday,3.5,0.0,18.6,5.6,0
2024-03-12,weekday,4.6,0.0,20.5,5.6,1
2024-03-13,weekday,0.4,0.0,21.2,6.7,0
2024-03-14,weekday,3.0,0.0,18.6,6.6,0
2024-03-15,weekday,1.3,0.0,20.3,3.9,0
2024-03-16,holiday,6.3,0.0,19.0,3.7,0
2024-03-17,holiday,1.2,0.0,18.7,6.7,0
2024-03-18,weekday,4.8,0.0,18.3,6.0,0
2024-03-19,weekday,4.5,0.0,17.8,4.7,0
2024-03-20,weekday,1.6,0.0,20.4,4.7,0
2024-03-21,weekday,5.1,0.0,18.3,5.5,1
2024-03-22,weekday,0.8,0.0,18.2,4.3,0
2024-03-23,holiday,3.6,0.0,16.7,3.5,0
2024-03-24,holiday,1.7,0.0,18.8,4.1,0
2024-03-25,weekday,6.6,0.0,16.9,5.6,1
2024-03-26,weekday,4.7,0.0,18.8,3.4,1
2024-03-27,weekday,4.3,0.0,16.3,7.1,0
2024-03-28,weekday,2.4,0.0,17.7,5.4,0
2024-03-29,weekday,6.7,0.0,18.0,5.3,0
2024-03-30,holiday,3.4,0.0,16.7,6.0,0
2024-03-31,holiday,1.5,0.0,17.2,5.7,0
2024-04-01,weekday,,0.0,16.4,6.0,1
2024-04-02,weekday,4.3,0.0,17.1,6.4,0
2024-04-03,weekday,8.2,0.0,18.0,4.8,1
2024-04-04,weekday,4.2,0.0,16.3,3.8,0
2024-04-05,weekday,2.7,0.0,14.9,4.7,0
2024-04-06,holiday,0.6,0.0,16.5,7.4,0
2024-04-07,holiday,3.2,0.0,17.3,8.1,1
2024-04-08,weekday,8.5,0.0,16.8,6.8,1
2024-04-09,weekday,6.0,0.0,17.0,6.6,1
2024-04-10,weekday,3.1,0.0,14.5,5.6,0
2024-04-11,weekday,1.2,0.0,14.5,7.3,0
2024-04-12,weekday,1.4,0.0,14.1,4.3,0
2024-04-13,holiday,2.6,,14.1,4.2,0
2024-04-14,holiday,4.3,,15.3,3.9,0
2024-04-15,weekday,3.6,1.0,15.0,5.4,0
2024-04-16,weekday,1.9,0.0,14.0,5.5,0
2024-04-17,weekday,4.0,,13.4,4.4,0
2024-04-18,weekday,9.2,0.0,15.3,3.1,0
2024-04-19,weekday,1.7,0.0,13.6,4.3,1
2024-04-20,holiday,3.2,0.0,12.2,6.3,1
2024-04-21,holiday,7.1,0.0,13.5,4.3,0
2024-04-22,weekday,2.3,0.0,13.3,5.4,0
2024-04-23,weekday,3.5,0.0,13.5,6.7,0
2024-04-24,weekday,2.2,0.0,11.8,4.1,0
2024-04-25,weekday,3.9,0.0,12.5,3.8,0
2024-04-26,weekday,2.2,0.0,12.3,4.0,0
2024-04-27,holiday,1.9,0.0,12.3,5.5,0
2024-04-28,holiday,3.7,0.0,14.0,7.0,0
2024-04-29,weekday,0.9,0.0,12.0,4.6,0
2024-04-30,weekday,,0.0,11.6,7.1,0
2024-05-01,holiday,5.5,0.0,12.9,5.2,0
2024-05-02,holiday,1.4,0.0,13.5,5.8,0
2024-05-03,holiday,0.8,0.0,13.6,5.2,0
2024-05-04,holiday,3.4,0.0,12.9,5.4,1
2024-05-05,holiday,2.8,0.0,11.5,5.4,0
2024-05-06,holiday,6.9,0.0,12.8,4.5,0
2024-05-07,holiday,4.3,0.0,12.0,4.0,0
2024-05-08,holiday,6.4,0.0,12.7,5.8,0
2024-05-09,holiday,1.0,0.0,12.1,6.5,1
2024-05-10,holiday,7.9,0.0,12.3,4.2,0
2024-05-11,holiday,1.1,0.0,11.6,6.6,0
2024-05-12,holiday,1.5,0.0,10.7,6.0,0
2024-05-13,holiday,4.9,0.0,11.4,4.0,1
2024-05-14,holiday,5.3,0.0,12.5,5.2,0
2024-05-15,holiday,1.4,0.0,11.8,4.6,0
2024-05-16,holiday,3.9,0.0,10.8,4.0,0
2024-05-17,holiday,2.2,0.0,10.7,3.0,0
2024-05-18,holiday,1.8,0.0,10.9,5.8,1
2024-05-19,holiday,3.0,0.0,11.2,8.8,1
2024-05-20,holiday,6.1,0.0,11.0,6.9,0
2024-05-21,holiday,3.6,0.0,10.7,5.0,0
2024-05-22,holiday,0.6,1.0,11.1,3.5,0
2024-05-23,holiday,1.9,0.0,10.7,4.2,0
2024-05-24,holiday,0.9,0.0,10.9,7.7,1
2024-05-25,holiday,6.4,0.0,10.9,4.7,0
2024-05-26,holiday,4.7,0.0,10.7,8.1,1
2024-05-27,holiday,3.2,0.0,10.2,5.2,0
2024-05-28,holiday,2.7,0.0,10.1,5.8,0
2024-05-29,holiday,6.6,0.0,11.0,5.6,1
2024-05-30,holiday,2.4,0.0,9.7,3.5,0
2024-05-31,holiday,3.2,1.0,9.9,5.4,0
2024-06-01,holiday,19.3,0.0,10.8,4.8,0
2024-06-02,holiday,21.5,0.0,10.6,5.3,1
2024-06-03,weekday,22.6,,10.4,5.3,1
2024-06-04,weekday,20.1,0.0,10.9,7.0,1
2024-06-05,weekday,19.1,0.0,9.5,5.0,1
2024-06-06,weekday,21.0,0.0,9.8,5.0,0
2024-06-07,weekday,21.3,0.0,10.7,6.5,1
2024-06-08,holiday,21.0,0.0,11.1,5.8,1
2024-06-09,holiday,21.8,0.0,9.5,4.9,1
2024-06-10,weekday,19.9,0.0,10.6,4.9,0
2024-06-11,weekday,21.6,0.0,9.9,8.0,1
2024-06-12,weekday,20.7,0.0,10.0,5.6,1
2024-06-13,weekday,23.1,0.0,10.3,3.1,0
2024-06-14,weekday,20.2,0.0,8.7,5.6,1
2024-06-15,holiday,20.0,0.0,10.6,4.7,0
2024-06-16,holiday,,0.0,9.3,4.9,1
2024-06-17,weekday,23.9,0.0,10.5,4.2,1
2024-06-18,weekday,22.2,1.0,9.7,5.9,1
2024-06-19,weekday,19.1,0.0,9.5,5.1,0
2024-06-20,weekday,20.1,0.0,10.2,5.7,1
2024-06-21,weekday,21.1,0.0,10.6,6.0,0
2024-06-22,holiday,22.8,0.0,11.1,4.6,1
2024-06-23,holiday,21.9,0.0,9.6,5.6,1
2024-06-24,weekday,19.9,0.0,10.7,4.0,1
2024-06-25,weekday,18.7,0.0,10.0,6.9,1
2024-06-26,weekday,18.6,0.0,9.8,3.0,0
2024-06-27,weekday,23.8,0.0,10.9,6.7,1
2024-06-28,weekday,28.0,0.0,10.3,4.9,1
2024-06-29,holiday,19.1,0.0,9.3,5.7,1
2024-06-30,holiday,21.7,0.0,12.0,3.4,0
2024-07-01,weekday,22.9,0.0,10.0,4.4,1
2024-07-02,weekday,20.9,0.0,10.0,5.1,1
2024-07-03,weekday,28.3,1.0,10.0,3.7,0
2024-07-04,weekday,24.0,0.0,9.7,6.5,1
2024-07-05,weekday,19.5,0.0,10.2,3.9,1
2024-07-06,holiday,23.1,0.0,11.0,6.7,1
2024-07-07,holiday,,0.0,11.1,4.4,1
2024-07-08,weekday,26.9,0.0,10.2,5.7,1
2024-07-09,weekday,25.1,0.0,10.3,3.2,1
2024-07-10,weekday,19.2,0.0,10.9,6.0,1
2024-07-11,weekday,1.5,0.0,9.7,6.9,0
2024-07-12,weekday,2.9,0.0,10.5,3.7,0
2024-07-13,holiday,1.8,0.0,10.5,4.7,0
2024-07-14,holiday,7.8,0.0,12.3,3.5,0
2024-07-15,weekday,3.2,0.0,10.9,4.2,0
2024-07-16,weekday,,0.0,10.6,7.2,0
2024-07-17,weekday,4.2,0.0,11.1,6.3,0
2024-07-18,weekday,0.5,0.0,11.2,4.8,0
2024-07-19,weekday,5.0,0.0,12.9,4.9,1
2024-07-20,holiday,,0.0,12.1,5.6,0
2024-07-21,holiday,6.3,0.0,11.5,4.0,0
2024-07-22,weekday,4.4,0.0,13.8,3.3,0
2024-07-23,weekday,2.3,0.0,12.8,3.8,0
2024-07-24,weekday,4.7,0.0,12.4,4.6,0
2024-07-25,weekday,3.5,0.0,12.3,5.9,1
2024-07-26,weekday,2.7,0.0,14.0,6.1,0
2024-07-27,,1.9,0.0,12.8,3.3,0
2024-07-28,holiday,6.4,0.0,13.1,7.2,1
2024-07-29,weekday,2.3,0.0,14.0,5.3,0
2024-07-30,weekday,0.9,0.0,13.3,5.7,0
2024-07-31,weekday,1.5,0.0,13.8,5.3,1
2024-08-01,holiday,22.4,0.0,13.2,12.6,1
2024-08-02,holiday,23.0,1.0,13.8,10.4,1
2024-08-03,holiday,24.3,0.0,13.7,12.4,1
2024-08-04,holiday,19.9,0.0,14.7,11.4,1
2024-08-05,holiday,19.9,0.0,14.0,12.1,1
2024-08-06,holiday,21.6,0.0,14.1,11.7,1
2024-08-07,holiday,23.2,0.0,13.9,10.0,1
2024-08-08,holiday,24.6,,14.2,13.6,1
2024-08-09,holiday,21.6,0.0,15.4,11.7,1
2024-08-10,holiday,,0.0,15.7,11.5,1
2024-08-11,holiday,22.9,0.0,14.2,11.7,1
2024-08-12,holiday,21.5,1.0,14.0,13.2,1
2024-08-13,holiday,20.5,1.0,14.9,13.0,1
2024-08-14,holiday,23.3,0.0,15.7,10.6,1
2024-08-15,holiday,26.0,0.0,15.1,9.8,1
2024-08-16,holiday,21.9,0.0,15.8,11.2,1
2024-08-17,holiday,24.6,1.0,14.6,11.6,1
2024-08-18,holiday,19.7,0.0,16.5,12.6,1
2024-08-19,holiday,19.9,0.0,15.9,12.0,1
2024-08-20,holiday,19.3,0.0,17.2,11.4,1
2024-08-21,holiday,21.4,1.0,16.2,12.6,1
2024-08-22,holiday,21.2,0.0,16.8,11.6,1
2024-08-23,holiday,21.2,0.0,16.8,11.0,1
2024-08-24,holiday,24.1,0.0,15.9,13.5,1
2024-08-25,holiday,19.5,0.0,17.3,11.3,1
2024-08-26,holiday,19.9,0.0,17.7,12.5,1
2024-08-27,holiday,20.9,0.0,17.2,11.3,1
2024-08-28,holiday,20.6,1.0,16.8,11.7,1
2024-08-29,holiday,20.3,1.0,17.7,11.6,1
2024-08-30,holiday,23.7,0.0,18.5,13.0,1
2024-08-31,holiday,22.6,0.0,17.9,11.1,1
2024-09-01,holiday,24.8,0.0,16.4,14.6,1
2024-09-02,weekday,29.4,0.0,18.7,12.8,1
2024-09-03,weekday,20.5,0.0,17.0,12.5,1
2024-09-04,weekday,26.2,0.0,16.8,13.6,1
2024-09-05,weekday,23.1,0.0,19.2,11.8,1
2024-09-06,weekday,20.5,0.0,18.6,9.7,1
2024-09-07,holiday,20.6,0.0,20.4,10.8,1
2024-09-08,holiday,22.4,0.0,19.3,9.6,1
2024-09-09,weekday,19.8,0.0,21.0,10.1,1
2024-09-10,weekday,23.4,0.0,19.5,13.6,1
2024-09-11,weekday,20.4,0.0,19.5,13.3,1
2024-09-12,weekday,22.4,0.0,19.0,14.6,1
2024-09-13,weekday,22.7,0.0,20.0,11.6,1
2024-09-14,holiday,24.8,0.0,19.7,10.6,1
2024-09-15,holiday,24.8,0.0,20.4,11.5,1
2024-09-16,weekday,21.9,0.0,19.9,12.4,1
2024-09-17,weekday,22.6,0.0,20.2,12.1,1
2024-09-18,weekday,22.7,0.0,20.6,11.8,1
2024-09-19,weekday,25.6,0.0,21.4,11.7,1
2024-09-20,weekday,20.6,0.0,20.5,10.4,1
2024-09-21,holiday,27.1,0.0,22.4,11.8,1
2024-09-22,holiday,20.3,0.0,22.0,12.1,1
2024-09-23,weekday,19.4,0.0,20.7,14.1,1
2024-09-24,weekday,20.3,1.0,21.2,10.1,1
2024-09-25,weekday,19.7,0.0,21.6,12.1,1
2024-09-26,weekday,19.8,,22.1,11.4,1
2024-09-27,weekday,21.3,0.0,22.7,9.8,1
2024-09-28,holiday,20.9,1.0,23.1,12.1,1
2024-09-29,holiday,21.8,0.0,23.1,14.0,1
2024-09-30,weekday,22.3,0.0,22.3,10.5,1
2024-10-01,weekday,5.5,0.0,21.8,3.3,0
2024-10-02,weekday,1.0,0.0,23.7,5.5,0
2024-10-03,weekday,3.3,0.0,22.9,4.9,0
2024-10-04,weekday,7.8,0.0,23.3,4.5,0
2024-10-05,holiday,7.7,0.0,25.1,7.5,1
2024-10-06,holiday,5.8,0.0,23.2,5.9,1
2024-10-07,weekday,1.6,0.0,26.1,6.5,0
2024-10-08,weekday,1.7,1.0,22.8,3.6,0
2024-10-09,weekday,3.7,0.0,22.4,5.0,0
2024-10-10,weekday,6.9,0.0,24.5,5.5,0
2024-10-11,weekday,1.9,0.0,24.7,6.3,0
2024-10-12,holiday,6.3,0.0,25.2,6.1,0
2024-10-13,holiday,4.6,0.0,25.0,2.4,0
2024-10-14,weekday,1.6,0.0,23.6,5.6,1
2024-10-15,weekday,6.7,0.0,25.3,5.1,0
2024-10-16,weekday,3.6,0.0,25.0,7.2,0
2024-10-17,weekday,8.0,0.0,25.4,6.1,0
2024-10-18,weekday,2.8,0.0,25.4,4.4,0
2024-10-19,holiday,2.3,0.0,26.4,5.0,1
2024-10-20,holiday,3.2,,25.6,5.7,0
2024-10-21,weekday,6.9,0.0,26.2,5.3,0
2024-10-22,weekday,1.2,0.0,24.6,4.8,0
2024-10-23,weekday,3.2,0.0,26.7,4.2,1
2024-10-24,weekday,0.9,,25.4,6.9,1
2024-10-25,weekday,9.3,0.0,27.2,3.3,0
2024-10-26,holiday,3.6,0.0,28.2,5.4,0
2024-10-27,holiday,6.0,0.0,24.8,4.3,0
2024-10-28,weekday,,0.0,27.7,3.6,0
2024-10-29,weekday,5.6,0.0,27.6,5.2,0
2024-10-30,weekday,7.6,0.0,26.7,7.0,1
2024-10-31,weekday,0.9,0.0,26.8,6.2,1
2024-11-01,weekday,0.9,0.0,26.1,4.6,1
2024-11-02,holiday,,0.0,27.6,2.2,0
2024-11-03,holiday,8.7,0.0,28.2,4.1,0
2024-11-04,weekday,3.3,0.0,28.0,5.3,0
2024-11-05,weekday,3.0,0.0,27.3,4.9,0
2024-11-06,weekday,1.1,0.0,26.6,5.5,0
2024-11-07,weekday,2.8,0.0,27.4,5.1,0
2024-11-08,weekday,2.6,1.0,29.1,4.9,0
2024-11-09,holiday,4.7,0.0,28.0,5.7,0
2024-11-10,holiday,6.0,1.0,28.6,4.1,0
2024-11-11,weekday,,0.0,27.7,5.3,0
2024-11-12,weekday,2.8,0.0,28.3,6.5,0
2024-11-13,weekday,2.4,,29.5,3.8,0
2024-11-14,weekday,2.3,0.0,29.5,6.5,0
2024-11-15,weekday,4.4,0.0,29.7,6.9,1
2024-11-16,holiday,5.7,0.0,29.1,5.5,0
2024-11-17,holiday,5.3,0.0,29.1,4.2,0
2024-11-18,weekday,4.5,0.0,28.7,6.8,0
2024-11-19,weekday,1.2,0.0,29.8,6.5,0
2024-11-20,weekday,3.6,0.0,29.8,4.2,0
2024-11-21,weekday,7.4,0.0,29.9,5.8,1
2024-11-22,weekday,1.7,0.0,29.3,6.7,1
2024-11-23,holiday,6.5,0.0,29.8,3.9,0
2024-11-24,holiday,0.1,0.0,28.1,5.1,0
2024-11-25,weekday,2.1,1.0,30.5,5.0,0
2024-11-26,weekday,2.8,1.0,29.6,4.8,1
2024-11-27,weekday,4.8,0.0,29.2,3.5,0
2024-11-28,weekday,2.5,0.0,29.0,5.6,0
2024-11-29,weekday,5.1,0.0,29.1,6.0,1
2024-11-30,holiday,4.5,0.0,29.0,5.3,0
2024-12-01,holiday,4.0,1.0,29.4,5.6,1
2024-12-02,holiday,2.9,0.0,30.4,5.9,1
2024-12-03,holiday,3.2,0.0,28.7,3.7,0
2024-12-04,holiday,0.3,0.0,29.6,5.4,0
2024-12-05,holiday,2.8,0.0,29.8,6.8,1
2024-12-06,holiday,2.6,1.0,30.9,4.8,0
2024-12-07,holiday,1.7,0.0,29.8,4.6,0
2024-12-08,holiday,4.9,0.0,31.7,3.7,0
2024-12-09,,7.2,0.0,28.7,7.1,0
2024-12-10,holiday,5.9,0.0,29.5,4.1,1
2024-12-11,holiday,2.1,0.0,31.3,5.1,0
2024-12-12,holiday,1.1,0.0,29.1,4.8,0
2024-12-13,holiday,6.6,0.0,29.2,6.9,1
2024-12-14,holiday,4.5,0.0,31.1,4.6,0
2024-12-15,holiday,2.1,0.0,28.9,5.9,1
2024-12-16,holiday,4.9,0.0,30.2,6.2,0
2024-12-17,holiday,4.1,0.0,30.2,4.1,0
2024-12-18,holiday,0.9,0.0,29.4,3.5,0
2024-12-19,holiday,5.2,0.0,30.6,5.5,1
2024-12-20,holiday,,0.0,30.4,4.3,0
2024-12-21,holiday,3.9,0.0,30.4,3.9,0
2024-12-22,holiday,3.7,0.0,28.5,8.0,1
2024-12-23,holiday,2.8,0.0,29.3,2.2,0
2024-12-24,holiday,,0.0,28.9,5.2,0
2024-12-25,holiday,0.3,0.0,30.1,5.4,0
2024-12-26,holiday,1.8,0.0,30.8,5.4,0
2024-12-27,holiday,3.9,0.0,29.2,3.4,0
2024-12-28,holiday,5.6,0.0,28.8,6.7,1
2024-12-29,holiday,1.6,0.0,29.3,5.6,0
2024-12-30,holiday,3.1,0.0,28.1,2.1,0
2024-12-31,holiday,6.7,0.0,28.3,4.8,0
2025-01-01,holiday,6.3,0.0,29.5,5.8,0
2025-01-02,holiday,5.9,0.0,30.2,4.3,0
2025-01-03,holiday,0.9,0.0,29.4,2.9,0
2025-01-04,holiday,3.2,0.0,29.3,3.5,0
2025-01-05,holiday,4.3,0.0,29.8,3.2,0
2025-01-06,holiday,3.4,0.0,29.6,5.1,0
2025-01-07,holiday,2.7,0.0,28.8,6.4,0
