date,snowfall_cm,snow_quality_index,wind_speed_mps,rail_ridership,holiday,temperature_c,rainfall_mm,event_local_flag,typhoon_alert_flag,mobility_inflow_index,tourist_inflow_count,lodging_occupancy_ratio,temple_shrine_visits,onsen_visitors_count,y
2023-09-27,0.0,0.011,7.0,0.731,weekday,25.4,11.2,0.0,0,0.336,0.123,0.0,0.095,0.114,0
2023-09-28,1.4,0.0,7.7,0.577,weekday,24.7,10.6,0.0,0,0.41,0.181,0.042,0.163,0.0,0
2023-09-29,2.0,0.0,6.7,0.622,weekday,25.2,13.5,0.0,0,0.476,0.0,0.0,0.162,0.06,0
2023-09-30,0.0,0.048,7.1,0.03,holiday,25.9,11.7,0.0,0,0.671,0.425,0.579,0.559,0.394,0
2023-10-01,1.5,0.046,5.6,0.052,holiday,26.7,2.7,0.0,0,0.609,0.507,0.633,,0.399,0
2023-10-02,2.3,0.0,2.2,0.631,weekday,26.5,2.3,0.0,0,0.404,0.0,0.0,0.036,0.04,0
2023-10-03,0.2,0.132,2.8,0.716,weekday,26.5,8.2,0.0,0,0.46,0.09,0.014,0.17,0.004,0
2023-10-04,2.6,0.082,4.5,0.57,weekday,26.4,0.9,0.0,0,0.288,0.164,0.085,0.104,0.032,0
2023-10-05,1.2,0.0,4.8,0.62,weekday,26.2,3.3,,0,0.423,0.028,0.016,0.129,0.0,0
2023-10-06,0.0,0.042,3.4,0.687,weekday,27.5,3.0,0.0,0,0.561,0.094,0.006,0.126,0.009,0
2023-10-07,3.0,0.077,3.4,0.072,holiday,25.6,1.3,0.0,0,0.773,0.487,0.541,0.603,,0
2023-10-08,2.4,0.071,4.7,0.037,holiday,27.1,2.1,0.0,0,0.562,0.479,0.559,0.549,0.352,0
2023-10-09,0.0,,2.6,0.581,weekday,26.6,1.0,0.0,0,0.239,0.06,0.069,0.128,0.05,0
2023-10-10,0.0,0.0,1.6,0.636,weekday,27.4,6.3,0.0,0,0.645,0.151,0.068,0.091,0.04,0
2023-10-11,0.2,0.0,3.6,0.66,weekday,27.7,5.3,0.0,0,0.449,0.034,0.083,,0.031,0
2023-10-12,1.0,0.014,4.4,0.585,weekday,27.4,5.1,0.0,0,0.478,0.0,0.0,0.13,0.0,0
2023-10-13,0.5,0.031,5.2,0.715,weekday,27.2,1.9,1.0,0,0.661,0.443,0.178,0.39,0.098,0
2023-10-14,1.3,0.0,6.2,0.145,holiday,27.5,5.3,0.0,0,0.74,0.528,0.56,0.555,0.285,0
2023-10-15,0.5,0.021,3.1,0.11,holiday,28.0,4.8,0.0,0,0.756,0.367,0.499,0.601,0.385,0
2023-10-16,1.4,0.0,5.2,0.667,weekday,26.8,2.6,1.0,0,0.419,0.387,0.275,0.357,0.028,0
2023-10-17,2.7,0.0,2.5,0.674,,26.9,5.6,0.0,0,0.389,0.074,0.0,0.131,0.0,0
2023-10-18,1.1,0.0,4.7,0.581,weekday,28.3,4.9,0.0,0,0.493,0.245,0.04,0.05,0.0,0
2023-10-19,0.0,0.074,3.2,0.675,weekday,27.0,,0.0,0,0.441,0.007,0.058,0.067,0.0,0
2023-10-20,0.0,0.0,2.6,0.733,weekday,27.2,3.9,0.0,1,0.614,,0.044,0.136,0.01,0
2023-10-21,0.0,0.0,3.1,0.141,holiday,29.0,,0.0,0,0.691,0.642,0.594,0.594,0.366,0
2023-10-22,1.9,0.0,4.0,0.096,holiday,28.6,2.7,0.0,0,0.71,0.517,0.554,0.538,0.256,0
2023-10-23,1.7,0.0,3.5,0.609,weekday,27.0,0.5,0.0,0,0.299,0.124,0.0,0.139,0.0,0
2023-10-24,0.0,0.003,3.7,0.645,weekday,27.8,1.4,0.0,0,0.517,0.23,0.136,0.06,0.035,0
2023-10-25,2.4,0.0,4.2,0.675,weekday,27.5,1.9,0.0,0,0.596,0.167,0.029,0.105,0.075,0
2023-10-26,0.0,0.014,4.5,0.62,weekday,28.7,1.7,0.0,0,0.293,0.196,0.005,0.0,0.0,0
2023-10-27,4.6,0.034,4.5,0.743,weekday,29.0,4.8,0.0,0,0.543,0.144,0.018,0.134,0.0,0
2023-10-28,0.0,0.025,6.0,0.059,holiday,29.5,5.2,0.0,0,0.756,0.551,0.609,0.632,0.289,0
2023-10-29,2.7,0.103,1.5,0.13,holiday,28.7,2.9,0.0,0,0.635,0.417,0.591,0.617,0.236,0
2023-10-30,0.0,0.001,1.9,0.597,weekday,28.0,2.5,0.0,0,0.33,0.075,0.0,0.075,0.013,0
2023-10-31,0.0,0.023,3.8,0.697,weekday,27.8,3.3,0.0,0,0.493,0.107,0.0,0.096,0.01,0
2023-11-01,0.1,0.0,1.2,,weekday,28.6,3.3,0.0,0,0.308,0.049,0.043,0.1,0.0,0
2023-11-02,0.2,0.0,4.7,0.634,weekday,27.6,6.1,0.0,0,0.404,0.14,0.0,0.121,0.036,0
2023-11-03,0.5,0.022,4.9,0.7,weekday,28.7,6.0,0.0,0,0.297,0.117,0.028,0.152,0.041,0
2023-11-04,0.0,0.0,3.5,0.085,holiday,27.5,,0.0,0,0.687,0.498,0.572,0.686,0.294,0
2023-11-05,0.1,0.112,3.8,0.004,holiday,29.2,4.0,0.0,0,0.464,0.72,0.672,0.604,0.418,0
2023-11-06,0.0,0.0,4.3,0.718,weekday,27.8,2.1,0.0,0,0.32,0.033,0.0,0.119,0.028,0
2023-11-07,0.0,0.068,3.9,0.598,weekday,29.4,2.0,0.0,0,0.454,0.312,0.058,0.174,0.009,0
2023-11-08,0.0,0.0,4.7,0.669,weekday,29.0,2.1,1.0,0,0.434,0.412,0.296,0.287,0.0,0
2023-11-09,1.5,0.0,3.6,0.651,weekday,26.4,4.2,,0,,0.013,0.0,0.008,0.0,0
2023-11-10,1.0,0.0,6.5,0.76,weekday,28.2,1.5,0.0,0,0.382,0.128,0.0,0.154,0.002,0
2023-11-11,0.0,0.04,4.4,0.085,holiday,28.6,1.9,0.0,0,0.663,0.595,0.607,0.592,0.311,0
2023-11-12,1.4,0.016,1.1,0.0,holiday,29.0,11.4,0.0,0,,0.423,0.529,0.62,0.439,0
2023-11-13,1.5,0.02,6.7,0.551,weekday,28.1,2.5,0.0,0,0.502,0.093,0.0,0.066,0.0,0
2023-11-14,0.0,0.0,3.7,0.673,weekday,28.6,8.5,1.0,0,0.278,0.448,0.246,0.374,0.037,0
2023-11-15,0.0,0.0,5.8,0.552,weekday,29.3,5.7,0.0,0,0.442,0.088,0.053,0.023,0.0,0
2023-11-16,0.3,0.0,3.0,0.702,weekday,29.2,2.8,0.0,0,,0.088,,0.16,0.003,0
2023-11-17,0.0,0.004,3.7,0.562,weekday,28.3,6.2,0.0,0,0.474,0.112,0.094,0.124,0.092,0
2023-11-18,0.0,0.022,3.4,0.141,holiday,28.4,4.2,0.0,0,0.8,0.39,0.548,0.574,0.37,0
2023-11-19,2.6,0.058,1.7,0.112,holiday,27.7,0.8,0.0,0,0.745,0.531,0.659,0.65,0.314,0
2023-11-20,0.0,0.0,2.6,,weekday,27.8,0.9,0.0,0,0.367,0.178,0.061,0.099,0.0,0
2023-11-21,1.5,0.057,3.0,0.603,weekday,27.2,0.8,0.0,0,0.368,0.062,0.098,0.138,0.0,0
2023-11-22,0.7,0.0,3.7,0.649,weekday,28.1,6.2,0.0,0,0.583,0.078,,0.073,0.0,0
2023-11-23,0.0,0.0,5.1,0.714,weekday,28.7,1.9,0.0,0,0.39,0.134,,0.101,0.002,0
2023-11-24,2.1,0.026,3.9,0.707,weekday,27.9,0.7,0.0,0,0.384,0.021,0.029,0.037,0.088,0
2023-11-25,3.8,0.002,2.6,0.118,holiday,27.5,2.4,0.0,1,0.61,0.372,0.594,0.594,0.341,0
2023-11-26,0.0,,4.8,0.012,holiday,27.1,5.6,0.0,0,0.643,0.436,0.638,0.596,0.403,0
2023-11-27,0.0,0.062,1.7,0.682,weekday,28.2,5.4,0.0,0,0.346,0.184,0.0,0.046,0.008,0
2023-11-28,0.0,0.027,4.2,0.646,weekday,25.6,4.0,1.0,0,,,0.28,0.312,0.004,0
2023-11-29,1.0,0.008,2.5,0.668,weekday,29.4,3.5,0.0,0,0.479,0.18,0.0,0.032,0.0,0
2023-11-30,0.2,0.0,5.5,0.643,weekday,27.7,2.6,0.0,0,0.357,0.175,0.068,,0.003,0
2023-12-01,10.9,0.137,4.5,0.047,holiday,26.3,0.0,0.0,0,0.554,0.381,0.32,0.351,0.248,0
2023-12-02,7.4,0.087,4.1,0.138,holiday,27.4,0.0,0.0,0,0.756,0.631,0.547,0.563,0.308,0
2023-12-03,6.3,0.053,7.9,0.128,holiday,27.7,0.0,0.0,0,0.764,,0.605,0.572,0.311,1
2023-12-04,7.7,0.032,4.0,0.135,holiday,26.1,0.0,0.0,0,0.665,0.291,,0.288,0.135,0
2023-12-05,7.1,0.053,4.5,0.126,holiday,27.8,0.0,1.0,0,0.519,0.666,0.613,0.531,0.125,0
2023-12-06,10.5,0.052,4.9,0.099,holiday,26.2,0.0,0.0,0,,0.382,0.319,0.396,0.119,1
2023-12-07,9.3,0.122,5.3,0.109,holiday,27.4,0.0,0.0,0,0.501,0.225,0.281,,0.156,1
2023-12-08,7.6,0.056,4.9,,holiday,26.5,0.0,0.0,0,0.439,0.294,0.365,0.362,0.133,1
2023-12-09,7.4,0.0,4.8,0.085,,26.2,0.0,0.0,0,0.685,0.55,0.631,0.61,0.398,1
2023-12-10,6.6,0.092,3.3,0.102,holiday,26.7,0.0,0.0,0,0.611,0.479,0.621,0.631,0.386,0
2023-12-11,10.1,0.103,2.2,0.0,holiday,26.5,0.0,0.0,0,0.558,0.389,0.364,0.411,0.174,1
2023-12-12,8.6,0.04,3.4,0.027,holiday,24.8,0.0,0.0,0,0.349,0.337,0.344,0.464,0.171,0
2023-12-13,14.4,0.116,3.0,0.069,holiday,23.9,3.2,0.0,0,0.453,0.442,0.402,0.354,0.291,1
2023-12-14,6.0,0.145,2.8,0.089,holiday,26.8,0.0,0.0,0,0.556,0.372,0.262,0.326,0.189,0
2023-12-15,8.3,0.032,2.0,0.119,holiday,26.2,0.0,0.0,0,0.396,0.297,0.261,0.379,0.107,0
2023-12-16,7.5,0.023,5.4,0.089,holiday,26.4,0.0,0.0,0,0.639,0.499,0.689,0.677,0.314,0
2023-12-17,9.1,0.048,3.8,0.02,holiday,25.5,0.0,,0,0.694,0.579,0.656,0.511,0.394,0
2023-12-18,14.8,0.168,4.7,0.138,holiday,25.4,0.0,0.0,0,0.631,0.233,0.266,0.24,0.177,1
2023-12-19,13.2,0.089,3.5,0.08,holiday,25.2,0.4,0.0,0,0.618,0.237,0.227,,0.134,0
2023-12-20,10.3,0.182,1.8,0.095,holiday,24.8,0.0,0.0,0,0.514,0.406,0.395,0.301,0.178,0
2023-12-21,10.4,0.072,3.6,0.092,holiday,24.5,0.3,0.0,0,0.565,0.345,0.369,0.372,0.225,1
2023-12-22,13.9,0.069,1.9,0.036,holiday,24.1,0.0,0.0,0,0.656,0.324,0.304,0.323,0.17,0
2023-12-23,11.4,0.155,3.7,0.09,holiday,24.5,0.0,0.0,0,0.723,0.527,0.521,0.557,0.356,0
2023-12-24,11.9,0.159,3.0,0.144,holiday,24.5,0.0,0.0,0,,0.56,0.652,0.529,0.35,1
2023-12-25,13.9,0.114,6.8,0.102,holiday,23.8,0.3,0.0,0,0.469,0.302,0.316,0.37,0.275,1
2023-12-26,10.0,0.072,3.9,,holiday,24.4,0.6,0.0,0,0.356,0.317,0.319,0.343,0.201,0
2023-12-27,17.3,0.187,1.9,0.056,holiday,23.7,0.0,0.0,0,0.531,,0.306,0.377,0.164,1
2023-12-28,11.0,0.08,2.0,0.106,holiday,25.1,0.0,0.0,0,0.543,0.219,0.263,0.33,0.119,0
2023-12-29,15.5,0.191,4.5,,holiday,23.0,0.2,0.0,0,0.579,,0.279,0.344,0.203,1
2023-12-30,14.2,0.12,5.0,0.034,holiday,23.0,0.0,0.0,0,0.593,0.505,0.612,0.522,0.263,1
2023-12-31,14.6,0.169,2.7,0.159,holiday,23.5,0.7,0.0,0,0.586,0.584,0.6,0.628,0.3,1
2024-01-01,15.7,0.24,5.5,0.076,holiday,22.6,0.0,0.0,0,,0.494,0.439,0.333,0.162,1
2024-01-02,13.9,0.161,4.7,0.126,holiday,23.7,0.2,0.0,0,0.579,0.185,0.341,0.473,0.186,1
2024-01-03,18.8,0.301,4.3,0.116,holiday,22.5,0.7,0.0,0,0.678,0.302,0.19,0.309,0.171,1
2024-01-04,15.8,0.131,4.5,0.087,holiday,23.9,0.0,0.0,0,0.511,0.215,0.255,0.304,0.135,1
2024-01-05,19.4,0.247,3.4,0.079,holiday,22.7,0.0,0.0,0,0.526,0.211,0.221,0.276,0.107,1
2024-01-06,18.1,0.238,3.3,0.057,holiday,22.1,0.1,0.0,0,0.679,0.48,0.641,0.636,0.329,1
2024-01-07,16.8,0.28,5.1,0.067,holiday,21.0,0.0,0.0,0,0.638,0.419,0.594,0.601,0.342,1
2024-01-08,17.3,0.19,3.1,0.067,holiday,20.6,0.0,0.0,0,0.518,0.309,0.318,0.258,0.197,1
2024-01-09,21.2,0.324,5.2,0.063,holiday,21.4,0.0,1.0,0,0.623,0.247,0.416,0.533,0.163,1
2024-01-10,21.7,0.225,7.0,0.048,holiday,20.5,0.1,1.0,0,0.368,0.378,0.553,0.528,0.156,1
2024-01-11,20.5,0.384,5.2,0.034,holiday,19.9,0.0,0.0,0,0.568,0.326,0.298,0.327,0.106,1
2024-01-12,20.9,0.451,5.6,0.215,holiday,19.4,0.0,0.0,0,0.69,0.237,0.29,0.272,0.252,1
2024-01-13,20.2,0.426,2.0,0.079,holiday,20.0,0.0,0.0,0,0.795,0.446,0.608,0.575,0.373,1
2024-01-14,22.0,0.275,5.3,0.042,holiday,20.9,0.0,0.0,0,0.672,0.439,0.607,0.491,0.344,1
2024-01-15,18.9,0.271,4.6,0.123,holiday,21.0,0.0,0.0,0,0.567,0.251,0.27,,0.174,1
2024-01-16,16.0,0.209,2.3,0.085,holiday,21.8,0.0,0.0,0,0.56,0.382,0.315,0.306,0.135,0
2024-01-17,22.7,0.362,7.0,0.15,holiday,20.4,0.0,0.0,0,0.618,0.144,0.344,0.348,0.24,1
2024-01-18,21.7,0.428,2.1,0.115,holiday,19.2,0.0,0.0,0,0.7,0.349,0.342,0.414,,1
2024-01-19,19.1,0.244,1.8,0.052,holiday,22.0,0.0,0.0,0,,0.153,0.232,0.304,0.273,1
2024-01-20,23.8,0.439,4.5,0.006,holiday,18.2,0.0,0.0,0,0.664,0.357,0.486,0.556,0.341,1
2024-01-21,22.3,0.359,6.6,0.088,holiday,19.0,0.0,0.0,0,0.651,0.464,0.559,0.548,0.402,1
2024-01-22,21.2,,4.1,0.033,holiday,19.6,0.0,1.0,0,0.556,0.509,0.553,0.564,0.195,1
2024-01-23,24.1,0.322,5.2,0.184,holiday,18.5,0.0,0.0,0,0.567,0.243,0.254,0.322,0.187,1
2024-01-24,26.3,0.447,2.2,0.059,holiday,18.4,0.0,0.0,0,0.46,0.358,0.261,0.402,0.214,1
2024-01-25,24.3,0.377,3.8,0.156,holiday,17.4,0.0,0.0,0,0.586,0.337,0.34,0.343,0.296,1
2024-01-26,27.2,0.49,3.8,0.151,holiday,16.2,0.0,0.0,0,0.53,0.248,0.267,0.288,0.245,1
2024-01-27,25.9,0.497,4.5,,holiday,16.2,0.0,0.0,0,0.706,0.513,0.682,0.61,0.305,1
2024-01-28,23.6,0.443,2.8,0.096,holiday,18.1,1.2,0.0,0,0.826,,0.58,0.501,0.45,1
2024-01-29,25.4,0.438,5.3,0.114,holiday,17.2,0.0,0.0,0,0.546,0.258,0.308,0.334,0.13,1
2024-01-30,24.0,0.415,4.7,0.027,holiday,17.7,1.2,0.0,0,0.547,0.144,0.281,0.376,0.155,1
2024-01-31,26.9,0.539,3.8,0.137,holiday,16.9,1.6,0.0,0,0.596,0.321,0.324,0.239,0.204,1
2024-02-01,28.9,0.492,5.6,0.65,weekday,16.5,0.0,1.0,0,0.345,0.271,0.268,0.388,0.103,1
2024-02-02,29.0,0.522,2.9,0.64,weekday,16.5,0.0,0.0,0,0.387,0.0,0.0,0.049,0.014,1
2024-02-03,28.9,0.585,5.1,0.132,holiday,15.4,0.0,0.0,0,0.655,0.41,0.64,0.521,0.345,1
2024-02-04,32.2,0.569,4.2,0.07,holiday,14.3,0.0,0.0,0,0.672,0.575,0.612,0.664,0.416,1
2024-02-05,26.8,0.513,3.9,0.628,weekday,15.5,0.0,0.0,0,0.378,0.143,0.069,0.096,,1
2024-02-06,29.9,0.616,4.0,0.611,weekday,14.7,0.0,0.0,0,0.318,0.0,0.0,0.135,0.029,1
2024-02-07,26.7,,4.4,0.66,weekday,15.6,0.0,0.0,0,0.309,0.012,0.0,0.071,0.0,1
2024-02-08,30.2,0.632,0.6,0.634,weekday,14.0,0.0,0.0,0,0.407,0.023,0.072,0.126,0.177,1
2024-02-09,27.6,0.526,4.9,0.636,weekday,16.3,0.0,0.0,0,0.487,0.0,0.038,0.013,0.008,1
2024-02-10,29.5,0.453,2.8,0.107,holiday,15.5,0.0,0.0,0,0.587,0.382,0.569,0.516,,1
2024-02-11,33.8,0.709,4.2,0.129,holiday,13.5,0.0,0.0,0,0.586,0.291,0.601,0.559,0.358,1
2024-02-12,30.9,0.648,6.2,0.598,weekday,14.2,0.0,0.0,0,0.423,0.125,0.0,0.028,0.0,1
2024-02-13,35.0,0.731,1.6,0.708,weekday,12.9,0.0,0.0,0,0.364,0.009,0.0,0.032,0.139,1
2024-02-14,32.0,0.724,5.1,0.662,weekday,13.7,3.2,1.0,0,0.35,0.277,,0.285,0.0,1
2024-02-15,33.6,0.657,2.2,0.652,weekday,12.9,0.0,0.0,0,0.53,0.039,0.0,0.0,0.055,1
2024-02-16,31.8,0.6,3.7,0.673,weekday,13.5,0.0,0.0,0,0.394,0.0,0.079,0.099,0.034,1
2024-02-17,33.6,0.677,5.8,0.095,holiday,14.1,0.0,1.0,0,0.681,0.635,0.885,,0.345,1
2024-02-18,31.0,0.567,5.1,0.116,holiday,13.5,0.0,0.0,0,0.625,0.484,0.499,0.631,0.396,1
2024-02-19,35.0,0.662,3.2,0.589,weekday,10.5,0.0,0.0,0,0.385,0.0,,0.0,0.061,1
2024-02-20,35.0,0.649,4.5,0.647,weekday,12.6,0.0,0.0,0,0.469,0.065,0.053,0.0,0.021,1
2024-02-21,33.6,0.617,3.4,0.621,weekday,13.4,1.0,1.0,0,0.493,0.329,0.26,0.192,0.085,1
2024-02-22,34.3,0.753,4.0,,,10.8,0.0,,0,,0.075,0.0,0.0,0.172,1
2024-02-23,34.6,0.654,4.0,0.665,weekday,12.3,0.0,0.0,0,0.464,0.102,0.041,0.112,0.0,1
2024-02-24,35.0,0.699,5.9,0.087,holiday,11.0,0.0,0.0,0,0.729,0.289,0.423,0.525,0.386,1
2024-02-25,34.5,0.629,4.8,0.061,holiday,12.7,0.0,0.0,0,0.592,0.393,0.635,0.49,0.448,1
2024-02-26,34.2,0.758,3.2,0.648,weekday,11.1,0.0,0.0,0,0.421,0.022,0.025,0.0,0.04,1
2024-02-27,35.0,0.639,2.2,0.609,weekday,9.6,0.0,0.0,0,0.458,0.062,0.011,0.017,0.06,1
2024-02-28,33.6,0.65,5.3,0.621,weekday,9.5,0.0,,0,0.473,,0.003,0.0,0.112,1
2024-02-29,31.3,0.662,2.8,,weekday,11.8,0.0,0.0,0,0.398,0.023,0.026,0.019,0.094,1
2024-03-01,33.7,0.742,6.1,0.688,weekday,10.7,0.0,0.0,0,0.426,0.0,0.0,0.0,0.004,1
2024-03-02,35.0,0.685,5.7,0.158,holiday,10.2,0.0,0.0,0,0.566,0.379,0.56,0.499,0.412,1
2024-03-03,35.0,0.674,7.0,0.062,holiday,9.6,0.0,0.0,0,0.653,0.407,0.617,0.498,0.342,1
2024-03-04,34.0,0.879,6.1,0.616,weekday,7.5,0.0,0.0,0,0.555,0.0,0.0,0.082,0.034,1
2024-03-05,35.0,0.689,6.6,0.727,weekday,10.7,0.0,0.0,0,0.47,0.045,0.023,0.085,0.107,1
2024-03-06,34.9,0.785,5.9,0.629,weekday,8.2,0.8,0.0,0,0.329,0.003,0.005,0.029,0.021,1
2024-03-07,32.2,0.77,4.3,0.679,weekday,9.1,0.2,0.0,0,0.428,0.203,0.086,0.036,0.111,1
2024-03-08,35.0,0.641,4.9,0.678,weekday,8.2,0.0,0.0,0,0.344,0.049,0.0,0.031,0.046,1
2024-03-09,35.0,0.756,4.0,0.144,holiday,9.4,0.0,0.0,0,0.855,0.515,0.563,0.548,,1
2024-03-10,35.0,0.687,3.6,0.093,holiday,8.0,0.0,0.0,0,0.717,0.36,0.542,0.566,0.482,1
2024-03-11,32.4,0.686,4.0,0.63,weekday,8.9,0.0,0.0,0,0.54,0.061,0.048,0.021,0.138,1
2024-03-12,32.9,0.752,5.0,0.656,weekday,9.5,0.0,0.0,0,0.494,,0.067,0.0,0.061,1
2024-03-13,34.9,0.824,3.6,0.668,weekday,7.4,3.5,0.0,0,0.395,0.0,0.0,0.005,0.2,1
2024-03-14,32.6,0.839,5.2,0.605,weekday,6.6,0.0,0.0,0,0.257,0.0,,0.1,0.134,1
2024-03-15,35.0,0.794,3.7,0.693,weekday,7.6,0.0,0.0,0,0.486,0.0,0.006,0.056,0.152,1
2024-03-16,35.0,,2.4,0.079,holiday,6.6,0.0,0.0,0,0.731,0.474,0.545,0.585,0.48,1
2024-03-17,35.0,0.875,6.3,0.071,holiday,5.8,0.0,0.0,0,0.679,0.413,0.601,0.549,0.459,1
2024-03-18,35.0,0.782,3.2,0.677,weekday,6.7,0.0,0.0,0,0.374,,0.0,0.0,0.05,1
2024-03-19,32.2,0.75,2.1,0.668,weekday,5.2,0.0,0.0,0,0.393,0.026,0.045,0.0,0.068,1
2024-03-20,33.5,0.842,3.9,0.631,weekday,7.0,0.0,0.0,0,0.522,0.0,0.054,0.0,0.09,1
2024-03-21,35.0,0.839,6.2,0.651,weekday,6.4,0.0,0.0,0,0.464,0.007,0.0,0.0,0.149,1
2024-03-22,35.0,0.869,5.0,0.635,weekday,6.5,0.0,0.0,0,0.432,0.0,,0.002,0.083,1
2024-03-23,35.0,0.811,4.6,0.184,holiday,5.4,0.0,,0,0.804,0.312,0.626,0.518,0.478,1
2024-03-24,34.8,,3.6,0.011,holiday,6.5,0.0,0.0,0,0.674,0.464,0.628,0.485,0.45,1
2024-03-25,35.0,0.92,6.2,,weekday,5.1,0.0,0.0,0,0.445,0.0,0.054,0.0,0.175,1
2024-03-26,35.0,0.872,4.2,0.64,weekday,6.7,0.0,0.0,0,0.526,0.035,0.023,0.0,0.099,1
2024-03-27,33.3,0.806,6.0,0.609,weekday,6.1,,0.0,0,0.319,0.145,0.072,0.062,0.067,1
2024-03-28,33.4,0.921,2.9,0.686,weekday,5.7,,0.0,0,0.518,0.197,0.049,0.092,0.044,1
2024-03-29,35.0,0.917,4.4,,weekday,4.4,0.0,0.0,0,0.351,0.0,0.016,0.065,0.183,1
2024-03-30,34.3,0.837,6.9,0.096,holiday,3.5,0.0,0.0,0,0.733,0.462,0.588,0.528,0.524,1
2024-03-31,35.0,0.778,7.2,0.14,holiday,6.0,0.0,0.0,0,0.604,0.196,0.447,0.563,0.44,1
2024-04-01,0.0,0.524,4.0,0.709,weekday,6.5,5.2,0.0,0,0.449,0.0,0.0,0.0,0.145,0
2024-04-02,0.3,0.508,3.2,0.715,weekday,5.6,4.2,1.0,0,0.436,0.241,0.278,0.226,0.112,1
2024-04-03,0.9,0.549,3.9,0.573,weekday,4.7,3.1,0.0,0,0.441,0.139,0.001,0.0,0.227,0
2024-04-04,0.0,,2.3,0.637,weekday,4.7,,0.0,0,0.305,0.001,0.009,0.0,0.069,0
2024-04-05,0.0,0.564,2.7,0.659,weekday,2.9,2.3,0.0,0,0.42,0.108,0.039,0.0,,0
2024-04-06,0.1,0.54,5.2,0.16,holiday,3.6,3.7,1.0,0,0.739,0.73,0.804,0.702,0.494,0
2024-04-07,0.0,0.598,4.3,0.0,holiday,3.7,1.5,0.0,0,0.646,0.485,0.591,0.485,0.379,0
2024-04-08,0.0,0.484,4.2,0.614,weekday,2.9,8.5,0.0,0,0.383,0.099,0.0,0.0,0.145,0
2024-04-09,0.0,0.529,1.7,0.645,weekday,3.1,6.3,0.0,0,0.395,0.0,0.024,0.0,0.119,0
2024-04-10,0.2,0.522,2.3,0.528,weekday,3.5,3.8,0.0,0,0.441,,,0.0,,0
2024-04-11,0.0,0.564,3.0,0.71,weekday,3.8,2.4,0.0,0,0.425,0.0,0.066,0.047,0.11,0
2024-04-12,4.4,0.567,1.2,0.631,weekday,3.5,2.4,1.0,0,0.486,0.179,0.304,0.257,0.159,0
2024-04-13,1.6,0.668,6.0,0.073,holiday,2.5,4.1,0.0,0,0.764,0.474,0.556,0.478,0.485,1
2024-04-14,2.5,0.504,1.6,0.107,holiday,3.3,7.3,0.0,0,,0.342,,0.538,0.488,0
2024-04-15,2.3,0.549,3.5,0.629,weekday,2.3,4.8,0.0,0,0.398,0.0,0.029,0.0,0.177,0
2024-04-16,1.5,0.621,2.6,0.598,weekday,2.7,1.1,0.0,0,0.494,0.0,0.0,0.038,0.124,1
2024-04-17,0.1,0.587,3.3,0.596,weekday,1.9,3.7,1.0,0,0.345,0.246,0.292,0.26,,1
2024-04-18,0.0,0.562,3.2,0.76,weekday,4.4,2.7,0.0,0,0.585,0.0,0.068,0.052,0.09,0
2024-04-19,0.0,0.511,4.6,0.668,weekday,3.5,3.4,0.0,0,0.294,0.056,0.023,0.025,0.093,1
2024-04-20,0.0,0.565,5.8,0.111,holiday,1.4,6.3,0.0,0,0.727,0.342,0.46,0.461,0.441,1
2024-04-21,0.0,0.58,5.2,0.06,holiday,2.2,4.3,0.0,0,0.769,0.484,0.624,0.453,0.433,1
