date,rainfall_mm,ferry_cancel_count,lodging_occupancy_ratio,holiday,temperature_c,wind_speed_mps,snowfall_cm,event_local_flag,typhoon_alert_flag,mobility_inflow_index,tourist_inflow_count,rail_ridership,y
2023-09-30,13.6,0.272,0.632,holiday,22.8,7.7,2.0,0.0,0,0.639,0.386,0.018,1
2023-10-01,0.5,0.102,0.882,holiday,24.3,2.8,0.0,1.0,0,0.671,0.691,0.156,0
2023-10-02,4.2,0.15,0.0,weekday,24.4,3.4,1.9,0.0,0,0.408,0.022,0.678,0
2023-10-03,1.8,0.169,0.305,weekday,22.7,5.4,0.0,1.0,0,0.489,0.421,0.746,0
2023-10-04,1.2,0.131,0.0,weekday,24.6,5.2,0.2,0.0,0,0.55,0.106,0.594,0
2023-10-05,5.5,0.111,0.113,weekday,24.6,3.5,2.5,0.0,0,0.296,0.044,0.639,0
2023-10-06,1.0,0.128,0.019,weekday,26.1,2.2,0.0,0.0,0,0.309,0.155,0.636,0
2023-10-07,4.1,0.124,0.75,holiday,24.9,5.8,0.0,0.0,0,0.628,0.652,0.206,0
2023-10-08,2.9,0.071,0.599,holiday,24.5,2.2,1.7,0.0,0,0.567,0.576,0.05,0
2023-10-09,3.6,0.192,0.0,weekday,24.5,5.1,0.0,0.0,0,0.447,0.028,0.745,1
2023-10-10,3.4,0.156,0.023,weekday,24.5,4.1,0.0,0.0,0,0.386,0.168,0.611,0
2023-10-11,2.2,0.129,0.056,weekday,24.3,4.5,0.0,0.0,0,0.497,0.161,0.731,0
2023-10-12,8.1,0.131,0.06,weekday,25.0,4.6,0.0,0.0,0,0.315,0.045,0.603,0
2023-10-13,,0.146,0.006,weekday,26.0,6.1,0.0,0.0,0,0.239,0.047,0.569,0
2023-10-14,5.5,0.087,0.654,holiday,25.4,2.7,0.0,0.0,0,0.728,0.592,0.08,0
2023-10-15,4.2,0.212,0.586,holiday,26.2,7.1,0.1,0.0,0,0.878,0.534,0.206,0
2023-10-16,5.1,0.136,0.051,weekday,27.0,5.1,0.0,0.0,0,0.221,0.155,0.665,0
2023-10-17,3.1,0.193,0.058,weekday,24.8,5.2,1.6,0.0,0,0.336,0.216,,1
2023-10-18,5.8,0.141,,weekday,26.3,3.3,2.9,0.0,0,0.683,0.002,0.759,0
2023-10-19,1.8,0.113,0.06,weekday,27.1,3.2,1.3,0.0,0,0.397,0.153,0.681,0
2023-10-20,3.2,0.177,0.0,weekday,25.9,4.6,3.4,0.0,0,0.419,0.052,0.683,0
2023-10-21,9.9,0.192,0.577,holiday,26.6,5.3,0.9,0.0,0,0.647,0.497,0.064,0
2023-10-22,1.7,0.163,0.563,holiday,24.7,3.5,1.6,0.0,0,0.777,0.53,0.106,0
2023-10-23,4.5,,0.0,weekday,26.6,1.0,0.0,0.0,0,0.402,0.174,0.668,0
2023-10-24,2.0,0.133,0.09,weekday,26.8,4.1,0.6,0.0,0,,0.176,0.627,0
2023-10-25,1.7,0.177,0.0,weekday,28.2,4.5,0.9,0.0,0,0.455,0.141,0.591,1
2023-10-26,4.6,0.146,0.083,weekday,28.2,3.9,0.9,0.0,0,0.379,0.062,0.699,0
2023-10-27,5.2,0.227,0.0,weekday,27.9,5.7,0.0,0.0,0,0.338,0.0,0.613,1
2023-10-28,8.8,0.067,0.637,holiday,28.0,1.9,0.0,0.0,0,0.635,0.408,0.0,0
2023-10-29,1.2,0.143,0.518,holiday,28.0,3.8,1.2,0.0,0,0.687,0.424,0.107,0
2023-10-30,6.3,0.203,0.098,weekday,28.9,4.9,0.0,0.0,0,0.333,0.193,0.652,1
2023-10-31,5.3,0.228,0.016,weekday,27.6,5.4,0.2,0.0,0,0.417,0.149,0.633,1
2023-11-01,2.7,0.114,0.037,weekday,28.4,3.6,0.0,0.0,0,0.298,,0.646,0
2023-11-02,1.3,0.14,0.042,weekday,28.2,3.8,0.0,0.0,0,0.536,0.133,,0
2023-11-03,1.1,0.09,0.063,,30.1,1.7,2.2,0.0,0,0.342,0.097,0.595,0
2023-11-04,,0.086,0.583,holiday,28.4,3.5,0.6,0.0,0,0.666,0.515,0.169,0
2023-11-05,,0.102,0.622,holiday,29.1,3.0,1.5,0.0,0,0.751,0.496,0.149,0
2023-11-06,1.4,0.107,0.121,weekday,27.4,4.0,1.9,0.0,0,0.616,0.132,0.762,0
2023-11-07,1.5,0.13,0.052,weekday,29.3,5.1,2.2,0.0,0,0.378,0.141,0.598,0
2023-11-08,5.6,0.169,0.0,weekday,28.3,4.3,0.0,0.0,0,0.377,0.293,0.692,0
2023-11-09,2.9,0.187,0.048,weekday,28.1,4.8,1.0,0.0,0,0.337,0.124,0.756,0
2023-11-10,1.4,0.154,0.0,weekday,27.1,5.5,0.0,0.0,0,0.438,0.129,0.742,1
2023-11-11,3.0,0.091,0.799,holiday,28.3,2.2,0.7,1.0,0,0.664,0.622,0.115,0
2023-11-12,4.5,0.1,0.687,holiday,29.2,3.4,1.5,0.0,0,0.754,0.659,0.1,0
2023-11-13,2.7,0.086,0.047,weekday,29.1,2.9,0.1,0.0,0,0.459,0.087,0.561,0
2023-11-14,6.7,,0.037,weekday,29.1,2.0,0.8,0.0,0,0.506,0.075,,0
2023-11-15,4.2,0.105,0.033,weekday,28.6,4.1,0.6,0.0,0,0.33,0.146,0.655,1
2023-11-16,1.0,0.044,0.016,weekday,30.0,2.6,0.0,0.0,0,0.474,0.278,0.694,0
2023-11-17,5.8,0.121,,weekday,27.7,2.6,1.3,0.0,0,0.239,0.106,0.651,0
2023-11-18,1.2,0.066,0.538,holiday,29.0,2.2,2.0,0.0,0,0.764,0.417,,0
2023-11-19,3.5,0.129,0.587,holiday,29.0,2.4,0.0,0.0,0,0.696,0.633,0.07,0
2023-11-20,3.3,0.098,0.079,weekday,28.8,3.2,0.0,0.0,0,,0.145,0.719,0
2023-11-21,3.3,0.183,0.0,weekday,28.6,3.8,3.8,0.0,0,0.438,0.166,0.595,0
2023-11-22,0.8,0.094,0.0,weekday,28.7,3.1,0.6,,0,0.357,0.005,0.604,0
2023-11-23,3.9,0.153,0.095,weekday,28.3,5.1,1.5,0.0,0,0.395,0.104,0.672,1
2023-11-24,1.8,0.111,0.044,weekday,29.3,2.3,0.0,0.0,0,0.502,0.043,0.668,0
2023-11-25,0.3,0.198,0.686,holiday,28.5,4.0,0.3,0.0,0,0.525,0.595,0.034,1
2023-11-26,0.4,0.006,0.589,holiday,29.8,1.9,0.0,0.0,0,0.633,0.57,0.088,0
2023-11-27,8.7,,0.171,weekday,29.3,4.3,0.6,0.0,0,0.583,0.122,0.678,0
2023-11-28,1.3,0.139,0.061,weekday,29.2,3.3,0.4,0.0,0,0.539,0.231,0.686,0
2023-11-29,1.1,0.13,0.04,weekday,30.0,3.5,0.5,0.0,0,0.453,0.154,0.666,0
2023-11-30,2.5,0.069,0.047,weekday,27.6,3.4,0.0,0.0,0,0.367,0.135,0.687,0
2023-12-01,2.9,0.182,0.323,holiday,29.0,5.1,3.7,0.0,0,0.618,0.242,0.047,0
2023-12-02,3.4,0.092,0.614,holiday,28.0,2.4,2.6,0.0,0,0.689,0.476,0.17,0
2023-12-03,1.2,0.103,0.506,holiday,28.9,2.6,0.0,0.0,0,0.663,0.634,0.141,0
2023-12-04,7.6,0.178,0.348,holiday,28.7,4.9,1.6,0.0,0,0.609,0.212,0.0,0
2023-12-05,2.1,0.062,0.28,holiday,28.8,3.3,0.0,0.0,0,0.593,0.309,0.14,0
2023-12-06,3.9,0.143,0.363,holiday,28.8,3.4,0.0,0.0,0,0.601,0.238,0.051,0
2023-12-07,3.6,0.205,0.239,holiday,28.8,5.8,0.5,0.0,0,0.561,0.22,0.067,1
2023-12-08,1.6,0.093,0.451,holiday,27.1,4.1,0.0,0.0,0,0.543,0.453,0.156,0
2023-12-09,0.4,0.472,0.496,holiday,28.5,3.9,1.3,0.0,1,0.892,0.447,0.148,1
2023-12-10,2.1,0.154,0.836,holiday,28.8,3.2,0.0,,0,0.683,0.514,0.053,0
2023-12-11,2.2,0.083,0.366,holiday,28.3,3.3,4.9,0.0,0,0.724,0.458,0.025,0
2023-12-12,1.4,0.163,,holiday,27.1,3.4,0.0,1.0,0,0.555,0.545,0.025,0
2023-12-13,1.2,0.093,0.331,holiday,28.2,2.0,2.3,0.0,0,0.666,0.335,0.163,0
2023-12-14,5.9,0.103,0.334,holiday,27.8,2.1,0.2,0.0,0,0.53,0.273,0.067,0
2023-12-15,2.1,0.085,0.335,holiday,29.3,2.5,1.4,0.0,0,0.563,0.358,0.155,0
2023-12-16,6.0,0.094,0.671,holiday,27.7,2.4,4.7,0.0,0,0.568,0.562,0.092,0
2023-12-17,8.2,0.219,0.649,holiday,26.3,4.8,0.0,0.0,0,0.631,0.62,0.0,1
2023-12-18,1.9,,0.332,holiday,28.4,2.6,0.9,0.0,0,0.527,0.412,0.0,0
2023-12-19,1.5,0.141,0.284,holiday,27.8,4.6,6.2,0.0,0,0.538,0.244,0.111,0
2023-12-20,1.7,0.105,0.461,holiday,28.3,3.3,0.0,0.0,0,0.575,0.358,0.099,0
2023-12-21,4.9,0.195,0.348,holiday,27.4,4.8,0.0,0.0,0,0.448,0.405,0.151,0
2023-12-22,2.8,0.037,0.308,holiday,27.3,2.3,0.0,0.0,0,0.423,0.31,0.031,0
2023-12-23,6.9,0.182,0.628,holiday,29.2,5.0,1.5,0.0,0,0.593,0.576,0.119,0
2023-12-24,1.5,0.072,0.576,holiday,27.7,3.1,1.0,0.0,0,0.742,0.532,0.136,0
2023-12-25,1.5,0.084,0.395,holiday,27.0,2.9,2.5,0.0,0,0.581,0.493,0.023,0
2023-12-26,4.1,,0.403,holiday,27.2,1.5,3.8,0.0,0,0.544,0.454,0.107,0
2023-12-27,2.3,0.203,0.287,holiday,26.4,4.7,1.4,0.0,0,0.552,0.258,0.119,0
2023-12-28,3.3,0.22,0.311,holiday,26.9,6.4,0.2,0.0,0,0.651,0.406,0.101,1
2023-12-29,3.9,0.063,0.473,holiday,27.1,2.7,1.2,1.0,0,0.592,0.498,0.075,0
2023-12-30,2.9,0.104,0.55,holiday,24.7,2.4,0.0,,0,0.613,0.554,0.156,0
2023-12-31,7.0,0.155,0.654,holiday,27.2,5.4,3.5,0.0,0,0.661,0.685,0.099,1
2024-01-01,3.5,0.173,0.324,holiday,26.1,4.6,1.5,0.0,0,,0.219,0.017,0
2024-01-02,4.4,0.192,0.34,holiday,26.6,4.1,1.1,0.0,0,0.625,,0.04,1
2024-01-03,6.5,0.132,0.33,holiday,26.8,3.7,2.1,,0,0.545,0.288,0.123,1
2024-01-04,4.9,0.149,0.558,holiday,25.8,3.5,0.0,1.0,0,0.443,0.57,0.064,0
2024-01-05,3.2,0.04,0.22,holiday,26.7,3.4,1.3,0.0,0,0.754,0.322,0.147,0
2024-01-06,5.1,0.05,0.551,holiday,26.3,2.0,2.1,0.0,0,0.825,0.435,,0
2024-01-07,0.1,0.179,0.637,holiday,25.5,6.0,1.1,0.0,0,0.652,0.399,0.075,0
2024-01-08,4.2,0.107,0.306,holiday,25.6,4.0,2.5,0.0,0,0.537,0.298,0.058,0
2024-01-09,4.5,0.121,0.367,holiday,25.7,3.1,0.1,0.0,0,0.596,0.335,0.071,0
2024-01-10,4.1,0.154,0.431,holiday,25.5,3.5,0.9,0.0,0,0.585,0.331,0.052,0
2024-01-11,3.0,0.105,0.52,holiday,25.4,2.8,3.1,1.0,0,0.494,0.464,0.12,0
2024-01-12,5.0,0.195,0.286,holiday,24.4,4.8,0.0,0.0,0,0.711,0.243,0.0,0
2024-01-13,3.1,0.122,0.588,holiday,25.4,4.1,1.7,0.0,0,0.639,0.501,0.08,0
2024-01-14,5.8,0.191,0.597,holiday,22.8,7.1,2.4,0.0,0,0.795,0.496,0.152,1
2024-01-15,4.7,0.182,0.363,holiday,26.1,4.8,0.4,0.0,0,0.452,0.264,0.048,1
2024-01-16,2.4,0.118,0.522,holiday,25.0,3.6,5.0,1.0,0,0.51,0.508,0.019,0
2024-01-17,1.5,0.132,0.325,holiday,24.6,3.6,1.0,0.0,0,,0.13,0.096,0
2024-01-18,2.4,0.089,0.247,holiday,24.5,2.5,1.9,0.0,0,0.517,,0.0,0
2024-01-19,6.4,0.147,0.403,holiday,23.6,3.4,2.3,0.0,0,0.632,0.248,0.0,0
2024-01-20,2.5,0.15,0.566,holiday,24.8,5.1,1.5,0.0,0,0.729,0.365,0.169,0
2024-01-21,1.3,0.09,0.579,holiday,23.1,4.0,3.1,0.0,0,0.594,0.469,0.073,0
2024-01-22,3.5,0.128,0.566,holiday,23.9,3.4,0.2,1.0,0,0.743,0.55,0.177,0
2024-01-23,3.8,,0.322,holiday,23.7,2.9,0.7,0.0,0,0.613,0.221,0.178,0
2024-01-24,1.2,0.084,0.345,holiday,22.2,2.9,2.3,0.0,0,0.522,0.337,0.049,0
2024-01-25,8.7,0.261,0.282,holiday,22.6,5.1,1.6,0.0,0,0.524,0.153,0.016,1
2024-01-26,9.3,0.204,0.344,holiday,22.9,5.0,2.4,0.0,0,0.547,0.294,0.169,0
2024-01-27,4.7,0.159,0.598,holiday,22.1,3.7,9.4,0.0,0,0.611,,0.165,1
2024-01-28,8.6,0.184,0.679,holiday,21.9,4.5,0.9,0.0,0,0.599,0.373,0.05,0
2024-01-29,0.7,0.098,0.236,holiday,22.5,2.6,4.7,0.0,0,0.585,0.255,0.105,0
2024-01-30,2.8,0.082,0.18,holiday,21.7,3.2,2.8,0.0,0,0.569,0.363,0.0,0
2024-01-31,6.9,0.076,0.369,holiday,22.8,2.4,2.7,0.0,0,0.667,0.309,0.123,0
2024-02-01,5.9,0.185,0.0,weekday,21.2,4.2,3.2,0.0,0,0.379,0.0,0.663,0
2024-02-02,6.9,0.207,0.0,weekday,22.3,6.3,0.4,0.0,0,0.412,0.0,0.707,1
2024-02-03,3.4,0.128,0.527,holiday,21.1,3.3,3.5,0.0,0,0.588,0.378,0.0,0
2024-02-04,6.7,0.126,0.672,holiday,21.0,4.1,3.4,0.0,0,,0.494,0.067,0
2024-02-05,5.1,0.154,0.0,weekday,21.9,5.0,1.7,0.0,0,0.411,0.044,0.741,0
2024-02-06,5.8,0.166,0.248,weekday,19.8,3.8,4.3,1.0,0,0.375,,0.543,0
2024-02-07,4.4,0.177,0.0,weekday,20.4,5.2,2.1,0.0,0,0.309,0.064,0.671,0
2024-02-08,6.2,0.126,0.0,weekday,19.2,2.6,1.0,,0,0.367,0.089,0.656,0
2024-02-09,2.1,0.137,0.041,weekday,21.3,4.1,3.6,0.0,0,0.391,0.004,0.622,0
2024-02-10,10.6,0.226,,holiday,20.1,4.9,1.4,0.0,0,0.609,0.391,0.072,0
2024-02-11,5.0,0.171,0.507,holiday,20.0,5.6,3.2,0.0,0,0.683,0.343,0.109,0
2024-02-12,5.2,0.184,0.0,weekday,20.3,4.9,0.3,0.0,0,0.448,0.155,0.627,1
2024-02-13,3.9,0.148,0.063,weekday,19.2,3.8,0.9,0.0,0,0.475,0.114,0.702,0
2024-02-14,2.5,0.131,0.165,weekday,17.5,3.4,3.1,0.0,0,0.297,0.129,0.617,0
2024-02-15,1.0,0.105,0.0,weekday,18.9,4.7,6.4,0.0,0,0.277,0.0,0.638,0
2024-02-16,1.5,0.07,0.365,weekday,18.1,4.7,4.0,1.0,0,,0.253,0.646,0
2024-02-17,2.7,0.152,0.625,holiday,18.2,4.3,3.2,0.0,0,0.742,0.463,0.064,0
2024-02-18,3.0,0.143,0.607,holiday,17.0,3.4,4.6,0.0,0,0.716,0.409,0.119,0
2024-02-19,1.8,0.246,0.0,weekday,17.1,5.5,7.2,0.0,0,0.301,0.029,0.689,1
2024-02-20,,0.155,0.068,weekday,17.8,6.1,1.4,0.0,0,0.309,0.0,0.534,1
2024-02-21,4.1,0.123,0.013,weekday,16.7,3.8,5.7,0.0,0,0.418,0.053,0.697,0
2024-02-22,2.5,0.165,0.016,weekday,15.7,3.5,3.1,0.0,0,0.512,0.0,,1
2024-02-23,4.0,0.147,0.0,weekday,16.3,5.2,0.0,0.0,0,0.524,0.186,0.756,0
2024-02-24,4.1,0.079,0.871,holiday,17.1,2.3,1.7,1.0,0,0.828,0.726,0.157,0
2024-02-25,3.4,0.071,0.577,holiday,17.0,2.6,6.6,0.0,0,0.751,0.311,0.196,0
2024-02-26,3.5,0.147,0.047,weekday,17.4,4.3,1.2,0.0,0,0.489,0.075,0.773,1
2024-02-27,7.0,0.187,0.0,weekday,15.1,5.0,4.8,0.0,0,0.322,0.0,0.635,1
2024-02-28,4.5,0.131,0.0,weekday,15.5,3.0,6.3,0.0,0,0.293,0.0,0.686,0
2024-02-29,5.0,,0.0,weekday,17.1,4.9,5.6,0.0,0,0.397,0.0,0.616,0
2024-03-01,7.6,0.17,0.0,weekday,15.3,4.1,4.3,0.0,0,0.45,0.0,0.728,0
2024-03-02,1.5,0.121,0.536,holiday,16.3,4.2,1.8,0.0,0,0.606,0.466,0.091,0
2024-03-03,,0.114,0.557,holiday,15.7,2.6,5.6,0.0,0,0.814,0.298,0.007,0
2024-03-04,3.3,0.167,0.047,weekday,14.4,3.4,5.8,0.0,0,0.499,0.114,0.702,0
2024-03-05,1.0,0.189,0.05,weekday,14.8,4.0,7.0,0.0,0,0.457,0.179,0.63,0
2024-03-06,4.7,0.099,0.0,weekday,14.4,2.3,5.0,0.0,0,0.458,0.097,0.712,0
2024-03-07,3.6,0.241,0.0,weekday,13.9,7.4,4.4,0.0,0,0.43,0.0,0.595,0
2024-03-08,3.7,0.108,0.0,weekday,15.1,3.9,4.4,0.0,0,0.328,0.0,0.652,1
2024-03-09,5.3,0.097,0.562,holiday,15.0,2.0,5.5,0.0,0,0.688,0.458,0.132,0
2024-03-10,1.7,0.113,0.604,holiday,13.5,4.6,6.3,0.0,0,,0.457,0.1,0
2024-03-11,3.8,0.113,0.011,weekday,14.1,4.6,2.0,0.0,0,0.508,0.0,0.71,0
2024-03-12,3.6,0.111,0.0,weekday,13.4,3.2,5.5,0.0,0,0.492,0.008,0.693,0
2024-03-13,4.3,0.102,0.073,weekday,15.1,2.4,3.3,0.0,0,0.626,0.0,0.65,0
2024-03-14,0.7,0.146,0.0,weekday,13.4,3.7,4.9,,0,0.407,0.0,0.68,0
2024-03-15,,,0.0,weekday,13.4,3.1,4.0,0.0,0,0.38,0.0,0.658,0
2024-03-16,3.7,0.082,0.838,holiday,12.5,3.6,5.0,1.0,0,0.712,0.67,0.056,1
2024-03-17,2.6,0.054,0.654,holiday,10.9,3.6,6.9,0.0,0,0.661,0.449,0.145,0
2024-03-18,3.1,0.185,0.0,weekday,12.4,4.6,3.8,0.0,0,0.46,0.0,0.524,0
2024-03-19,9.1,0.117,0.0,weekday,11.6,2.6,7.0,0.0,0,0.629,0.0,0.739,0
2024-03-20,1.8,0.155,0.0,weekday,11.2,5.9,8.3,0.0,0,0.44,0.0,0.627,1
2024-03-21,1.2,0.15,0.055,weekday,10.4,4.1,6.1,0.0,0,0.376,0.01,0.681,0
2024-03-22,7.4,0.093,0.022,weekday,11.0,3.3,5.3,0.0,0,0.432,,0.714,0
2024-03-23,9.9,0.207,0.62,holiday,10.4,4.5,2.5,0.0,0,0.658,0.403,0.052,0
2024-03-24,3.8,0.087,0.586,holiday,9.2,3.9,4.0,0.0,0,0.749,0.404,0.055,0
2024-03-25,5.1,0.174,0.038,weekday,11.8,3.7,3.0,0.0,0,0.466,0.0,0.726,0
2024-03-26,3.7,0.173,0.07,weekday,11.2,3.6,6.5,0.0,0,,0.194,,0
2024-03-27,5.4,0.151,0.044,weekday,10.8,4.1,5.6,0.0,0,0.374,0.0,,0
2024-03-28,5.2,0.199,0.05,weekday,10.4,5.3,4.3,0.0,0,0.357,0.169,0.668,0
2024-03-29,3.2,0.192,0.0,weekday,9.9,4.9,4.1,0.0,0,0.39,0.0,0.569,0
2024-03-30,2.7,0.136,,holiday,9.1,4.0,5.8,0.0,0,0.778,0.499,0.114,1
2024-03-31,,0.207,0.631,holiday,11.2,6.7,5.9,0.0,0,0.697,0.235,0.025,1
2024-04-01,0.9,0.132,0.0,weekday,11.7,3.4,3.2,0.0,0,0.403,0.0,0.675,0
2024-04-02,3.4,0.073,0.017,weekday,9.5,4.6,0.0,0.0,0,0.323,0.0,0.651,0
2024-04-03,4.0,0.108,0.0,weekday,9.5,3.4,0.0,0.0,0,0.44,0.0,0.606,1
2024-04-04,2.8,0.054,0.01,weekday,8.6,3.1,0.6,0.0,0,0.345,,0.686,0
2024-04-05,2.9,0.132,0.0,weekday,9.8,4.1,0.6,0.0,0,0.411,0.029,0.694,0
2024-04-06,4.2,0.149,0.572,holiday,9.8,3.6,2.6,0.0,0,0.61,0.294,0.152,0
2024-04-07,6.6,0.093,0.612,holiday,9.4,3.8,1.9,0.0,0,0.694,0.391,0.096,0
2024-04-08,5.4,0.104,0.213,weekday,9.5,4.4,0.2,1.0,0,0.283,0.147,0.596,0
2024-04-09,6.1,0.156,0.012,weekday,9.9,3.9,0.0,0.0,0,,0.0,0.635,0
2024-04-10,1.3,0.087,0.0,weekday,8.2,3.0,0.0,0.0,0,0.474,0.007,0.608,0
2024-04-11,3.3,0.122,,weekday,8.2,3.8,0.0,0.0,0,0.41,0.0,0.662,1
2024-04-12,2.5,0.158,0.0,weekday,9.0,5.0,0.8,0.0,0,0.452,0.0,0.611,0
2024-04-13,0.8,0.101,0.698,,10.5,3.8,3.3,0.0,0,0.58,0.485,0.005,0
2024-04-14,0.4,0.222,0.612,holiday,7.8,5.1,0.0,0.0,0,0.758,0.605,,0
2024-04-15,5.8,0.096,0.0,weekday,7.0,2.6,2.3,0.0,0,0.409,0.0,0.694,0
2024-04-16,0.5,0.189,,weekday,7.2,6.4,0.0,0.0,0,0.293,0.0,0.647,1
2024-04-17,3.9,0.153,0.0,weekday,6.9,3.2,0.8,0.0,0,0.477,0.054,,0
2024-04-18,6.1,0.628,0.04,weekday,8.6,6.4,1.1,0.0,1,0.529,0.0,0.629,1
2024-04-19,2.6,0.221,0.0,weekday,7.2,6.6,0.0,0.0,0,0.535,0.026,0.722,1
2024-04-20,7.2,0.216,0.585,holiday,6.9,5.1,2.6,0.0,0,0.658,0.372,0.135,0
2024-04-21,4.1,0.117,0.566,holiday,7.5,3.2,0.0,0.0,0,0.654,0.372,0.037,0
2024-04-22,2.0,0.131,0.008,weekday,7.1,3.5,2.2,0.0,0,0.564,0.033,0.624,0
2024-04-23,6.2,0.139,0.0,weekday,7.1,5.6,2.1,0.0,0,0.485,0.026,0.646,1
2024-04-24,5.0,0.132,0.0,weekday,6.6,5.8,1.3,0.0,0,0.422,0.0,0.735,1
2024-04-25,4.1,0.056,0.0,weekday,5.8,1.9,1.2,0.0,0,0.5,0.0,0.666,0
2024-04-26,1.2,0.117,0.072,weekday,6.3,4.2,0.2,0.0,0,0.499,0.0,0.753,0
2024-04-27,2.2,0.199,0.551,holiday,7.3,5.4,0.0,0.0,0,0.656,0.315,0.089,0
2024-04-28,1.4,0.133,0.571,holiday,4.5,4.2,2.6,0.0,0,0.559,0.319,0.033,0
2024-04-29,,0.177,0.098,weekday,6.2,4.8,1.8,0.0,0,0.451,0.028,0.599,1
2024-04-30,3.0,,0.0,weekday,5.7,6.2,0.0,0.0,0,0.302,0.0,0.683,1
2024-05-01,6.7,0.087,0.349,holiday,6.6,2.4,0.0,0.0,0,0.478,0.182,0.069,0
2024-05-02,2.8,0.125,0.334,holiday,5.9,4.2,0.0,0.0,0,0.528,0.068,0.0,0
2024-05-03,0.1,0.08,0.193,holiday,5.9,3.8,0.3,0.0,0,0.657,0.094,0.073,0
2024-05-04,3.6,0.094,,,4.2,1.3,0.9,1.0,0,0.681,0.692,0.076,0
2024-05-05,3.1,0.155,0.516,holiday,5.9,4.2,2.0,0.0,0,,,0.142,0
2024-05-06,1.2,0.071,0.218,holiday,5.4,2.8,0.0,0.0,0,0.538,0.173,0.051,0
2024-05-07,1.9,0.127,0.36,holiday,5.2,4.4,0.3,0.0,0,0.536,0.327,0.142,0
2024-05-08,6.3,0.142,0.301,holiday,5.6,3.7,0.0,0.0,0,0.501,0.143,0.057,1
2024-05-09,1.5,0.167,0.33,holiday,4.8,3.7,0.0,0.0,0,0.448,0.266,0.0,0
2024-05-10,0.7,0.185,0.38,holiday,5.7,4.2,1.0,0.0,0,0.511,0.236,0.077,1
2024-05-11,3.7,0.096,0.625,holiday,4.2,1.5,2.1,0.0,0,0.591,0.331,0.008,0
2024-05-12,3.4,0.212,0.547,holiday,5.5,4.9,3.5,0.0,0,0.55,,0.098,0
2024-05-13,2.0,0.058,0.268,holiday,5.5,3.4,0.3,0.0,0,0.438,0.147,0.0,0
2024-05-14,,0.202,0.482,holiday,5.4,4.7,0.0,1.0,0,0.392,0.356,0.0,0
2024-05-15,,0.187,0.254,holiday,5.3,4.6,1.3,0.0,0,0.576,0.243,0.083,0
2024-05-16,2.2,0.12,0.3,holiday,6.8,3.1,0.8,0.0,0,0.583,0.307,0.063,0
2024-05-17,0.7,0.053,0.288,holiday,4.7,2.5,5.7,0.0,0,0.351,0.174,0.082,0
2024-05-18,4.9,0.2,0.528,holiday,3.7,6.5,0.0,0.0,0,0.68,0.297,0.079,1
2024-05-19,1.9,,0.549,holiday,6.0,2.7,1.8,0.0,0,0.596,0.322,0.053,0
2024-05-20,1.7,0.128,0.328,holiday,6.7,3.5,0.0,0.0,0,0.456,0.188,0.103,0
2024-05-21,,0.122,0.224,,4.9,4.5,2.6,0.0,0,0.57,0.156,0.008,0
2024-05-22,2.6,0.067,0.189,holiday,6.0,3.5,0.1,0.0,0,0.668,0.12,0.088,0
2024-05-23,2.6,0.117,0.319,holiday,6.1,2.8,1.7,0.0,0,0.515,0.208,0.016,0
