date,holiday,temperature_c,rainfall_mm,wind_speed_mps,snowfall_cm,event_local_flag,typhoon_alert_flag,mobility_inflow_index,tourist_inflow_count,lodging_occupancy_ratio,rail_ridership,temple_shrine_visits,y
2023-10-02,weekday,25.6,,4.6,0.0,0.0,0,0.27,0.251,0.017,0.588,,0.103
2023-10-03,weekday,25.2,2.7,5.8,0.0,1.0,0,0.506,0.379,0.294,0.695,0.323,0.366
2023-10-04,weekday,24.8,3.4,5.0,0.3,0.0,0,0.455,0.05,0.0,0.667,0.148,0.057
2023-10-05,weekday,23.9,2.3,4.8,2.0,0.0,0,0.401,0.061,0.038,0.664,0.059,0.086
2023-10-06,weekday,24.1,0.8,5.8,0.0,0.0,0,0.434,0.125,0.077,0.571,0.118,0.105
2023-10-07,holiday,25.9,4.1,5.3,1.6,0.0,0,0.793,0.644,0.734,0.027,0.543,0.617
2023-10-08,holiday,25.1,5.0,4.9,0.0,0.0,0,0.784,,0.616,,0.505,0.611
2023-10-09,weekday,24.7,4.6,5.0,0.0,0.0,0,0.442,0.0,0.055,0.659,0.105,0.014
2023-10-10,weekday,25.7,4.8,4.8,0.9,0.0,0,0.457,0.089,0.067,0.648,0.121,0.089
2023-10-11,weekday,25.7,1.0,5.2,2.5,0.0,0,0.36,0.113,0.0,0.674,0.082,0.049
2023-10-12,weekday,25.5,5.6,6.8,2.0,1.0,0,0.372,0.383,0.283,0.632,0.266,0.293
2023-10-13,weekday,25.5,3.8,6.7,2.7,0.0,0,0.42,0.137,0.01,0.717,0.043,0.074
2023-10-14,holiday,25.5,5.3,5.9,0.0,0.0,0,0.637,0.547,0.621,0.121,0.619,0.519
2023-10-15,holiday,26.8,4.1,5.1,1.2,0.0,0,0.657,0.582,0.605,0.052,0.506,0.555
2023-10-16,weekday,25.2,3.4,5.3,0.0,0.0,0,0.404,0.106,0.0,0.627,0.119,0.047
2023-10-17,weekday,25.9,0.7,6.4,2.0,0.0,0,0.43,,0.027,0.611,0.102,0.089
2023-10-18,weekday,26.7,3.5,6.3,3.5,0.0,0,0.422,0.0,0.02,0.641,0.024,0.055
2023-10-19,weekday,26.9,0.7,5.5,0.4,0.0,0,0.5,0.132,0.0,0.664,0.126,0.093
2023-10-20,weekday,28.5,3.2,6.0,0.0,0.0,0,0.343,0.185,0.09,0.654,0.167,0.091
2023-10-21,holiday,26.7,2.0,6.4,0.4,0.0,0,0.647,0.486,0.526,0.155,0.657,0.491
2023-10-22,holiday,27.5,3.5,4.0,0.0,0.0,0,0.653,0.557,0.605,0.106,0.574,0.533
2023-10-23,weekday,26.2,4.7,5.6,0.0,1.0,0,0.337,0.333,0.316,0.678,0.375,0.341
2023-10-24,weekday,28.2,7.2,4.8,1.2,0.0,0,0.369,0.109,0.0,0.666,0.11,0.026
2023-10-25,weekday,26.6,2.3,5.1,0.3,0.0,0,0.289,0.181,0.0,0.64,0.072,0.018
2023-10-26,weekday,27.8,1.1,6.9,1.0,0.0,0,0.451,0.098,0.0,0.63,0.167,0.095
2023-10-27,weekday,28.9,1.8,6.7,1.4,0.0,0,0.382,0.228,0.0,0.627,0.131,0.078
2023-10-28,holiday,28.9,3.5,5.5,0.0,1.0,0,0.75,0.848,0.894,0.131,0.808,0.811
2023-10-29,holiday,26.4,3.3,5.6,0.6,0.0,0,0.769,0.455,0.599,0.087,0.617,0.542
2023-10-30,weekday,28.5,3.4,5.8,0.0,0.0,0,0.256,0.176,0.036,0.59,0.092,0.075
2023-10-31,weekday,27.8,1.1,6.0,0.0,0.0,0,0.352,0.217,0.064,0.64,0.079,0.112
2023-11-01,weekday,28.5,4.5,5.9,2.4,0.0,0,0.567,0.122,0.141,0.683,0.18,0.125
2023-11-02,weekday,29.2,,6.0,0.0,1.0,0,0.398,0.318,0.185,0.638,0.342,0.371
2023-11-03,weekday,28.7,2.4,5.3,0.0,0.0,0,0.369,0.165,0.078,0.696,0.038,0.108
2023-11-04,holiday,28.7,3.1,4.6,1.2,0.0,0,0.729,0.6,0.571,0.186,0.573,0.564
2023-11-05,holiday,29.5,4.8,4.7,0.2,0.0,0,0.54,0.613,0.592,0.119,0.592,0.583
2023-11-06,weekday,26.9,6.6,1.6,0.0,1.0,0,0.414,0.305,0.279,0.604,0.282,0.236
2023-11-07,weekday,28.0,3.5,5.8,0.0,0.0,0,,0.138,,0.627,0.069,0.116
2023-11-08,weekday,27.6,6.5,6.3,0.0,0.0,0,0.406,0.136,0.0,,0.093,0.033
2023-11-09,weekday,29.0,1.8,5.0,0.0,0.0,0,0.611,0.046,0.026,0.657,0.098,0.077
2023-11-10,weekday,28.4,3.4,7.5,0.8,0.0,0,0.49,0.19,0.019,0.687,0.081,0.062
2023-11-11,holiday,30.0,4.0,5.4,0.1,1.0,0,0.668,0.773,0.857,0.066,0.887,0.788
2023-11-12,holiday,28.7,6.7,5.5,1.7,0.0,0,0.645,0.332,0.571,0.013,0.639,0.423
2023-11-13,weekday,30.2,4.3,3.6,0.0,0.0,0,0.472,0.055,0.042,0.659,0.073,0.038
2023-11-14,weekday,27.4,2.9,5.3,2.0,0.0,0,0.326,0.144,0.042,0.585,0.068,0.059
2023-11-15,weekday,28.8,3.0,5.8,0.8,1.0,0,0.386,,0.367,0.689,0.237,0.368
2023-11-16,weekday,28.8,4.6,6.2,0.4,0.0,0,0.527,0.013,0.008,0.636,0.068,0.054
2023-11-17,weekday,28.7,1.9,5.0,0.0,0.0,0,0.486,0.147,0.009,0.746,0.144,0.088
2023-11-18,holiday,28.7,1.3,5.1,0.8,0.0,0,0.726,0.461,0.602,0.138,,0.549
2023-11-19,holiday,29.2,1.3,6.3,0.0,,0,,0.379,0.562,0.133,0.577,0.527
2023-11-20,weekday,29.7,9.3,3.0,0.8,0.0,0,0.472,0.122,0.0,0.682,0.111,0.019
2023-11-21,weekday,28.0,7.2,6.2,0.0,0.0,0,0.521,0.142,0.043,0.654,0.156,0.053
2023-11-22,weekday,28.8,4.0,5.6,0.0,0.0,0,0.217,0.068,0.0,0.724,0.222,0.061
2023-11-23,weekday,28.8,6.4,4.7,0.0,0.0,0,0.631,0.182,,0.643,0.151,0.085
2023-11-24,weekday,30.1,0.2,5.1,0.8,,0,0.354,0.174,0.142,0.681,0.218,0.05
2023-11-25,holiday,29.3,6.3,3.6,1.0,1.0,0,0.702,0.745,,0.058,0.835,0.837
2023-11-26,holiday,29.3,5.9,5.1,2.2,0.0,0,0.788,0.52,0.735,0.077,0.536,0.58
2023-11-27,weekday,29.5,3.5,6.2,0.0,0.0,0,0.414,0.196,0.082,0.636,0.034,0.074
2023-11-28,weekday,29.4,2.4,2.7,0.0,0.0,0,0.442,0.329,0.0,0.616,0.068,0.126
2023-11-29,weekday,29.2,3.0,6.4,0.0,0.0,0,0.405,0.117,0.014,0.664,0.042,0.126
2023-11-30,weekday,31.0,5.3,4.6,1.6,0.0,0,0.534,0.167,0.0,0.758,0.047,0.046
2023-12-01,holiday,28.9,0.7,7.5,2.9,0.0,0,0.737,0.354,0.339,0.054,0.357,0.532
2023-12-02,holiday,29.1,,2.8,0.0,0.0,0,0.625,0.7,0.609,0.095,0.613,0.628
2023-12-03,holiday,29.0,5.1,6.0,4.0,0.0,0,0.651,0.672,,0.085,0.597,0.637
2023-12-04,holiday,29.7,5.3,7.9,2.2,0.0,0,0.419,0.238,0.355,0.134,0.328,0.532
2023-12-05,holiday,30.9,3.7,7.1,0.0,0.0,0,0.464,,0.284,0.076,0.373,0.478
2023-12-06,holiday,28.8,5.6,3.4,0.0,,0,0.562,0.299,0.357,,0.361,0.483
2023-12-07,holiday,29.4,7.9,6.5,0.0,0.0,0,0.528,0.383,0.36,,0.265,0.512
2023-12-08,holiday,28.8,3.3,5.9,3.2,0.0,0,0.516,0.297,0.362,0.098,0.349,0.446
2023-12-09,holiday,27.9,9.3,4.8,0.3,0.0,0,0.73,0.511,0.549,0.147,0.504,0.528
2023-12-10,holiday,30.0,1.9,4.3,0.0,0.0,0,0.656,0.605,0.651,0.124,0.599,0.608
2023-12-11,holiday,29.8,2.1,5.7,0.0,1.0,0,0.639,0.57,0.615,0.154,0.497,0.781
2023-12-12,holiday,29.2,0.9,4.9,1.0,1.0,0,0.662,0.598,0.646,0.074,0.477,0.784
2023-12-13,holiday,27.4,10.6,4.9,0.0,0.0,0,0.545,0.155,0.279,0.048,0.366,0.428
2023-12-14,holiday,28.6,3.1,6.5,1.6,0.0,0,0.484,0.372,0.345,0.089,0.316,0.513
2023-12-15,holiday,27.4,3.1,3.0,3.3,0.0,0,0.497,0.397,0.362,0.054,0.404,0.508
2023-12-16,holiday,26.4,3.5,4.4,0.0,0.0,0,0.748,0.57,0.567,0.172,0.687,0.598
2023-12-17,holiday,28.3,3.7,6.7,1.4,0.0,0,,0.527,0.559,0.166,0.604,0.563
2023-12-18,holiday,27.3,1.5,5.5,0.6,0.0,0,0.498,0.402,0.25,0.088,0.314,0.493
2023-12-19,holiday,29.7,7.0,5.4,2.7,0.0,0,0.631,0.452,0.375,0.064,0.43,0.473
2023-12-20,holiday,27.9,9.3,4.9,0.0,0.0,0,0.692,0.314,0.313,0.124,0.353,0.459
2023-12-21,holiday,28.0,1.8,5.3,0.7,0.0,0,0.573,0.39,0.356,0.071,0.294,0.534
2023-12-22,holiday,26.6,6.6,5.5,2.1,0.0,0,0.721,0.389,0.375,0.062,0.389,0.48
2023-12-23,holiday,27.0,4.6,8.2,0.0,0.0,0,0.705,0.566,0.671,0.086,0.647,0.568
2023-12-24,holiday,27.4,6.4,4.4,2.0,0.0,0,0.71,0.661,0.689,0.182,0.607,0.611
2023-12-25,holiday,27.5,2.2,4.4,0.7,0.0,0,0.506,0.243,0.277,0.018,0.267,0.407
2023-12-26,holiday,28.5,6.1,3.4,1.3,,0,0.453,0.291,0.232,0.02,0.296,0.444
2023-12-27,holiday,27.2,0.7,5.9,4.3,0.0,0,0.531,0.359,0.258,0.124,0.271,0.479
2023-12-28,holiday,26.6,2.5,4.9,1.6,0.0,0,0.488,0.28,0.267,0.032,0.4,0.484
2023-12-29,holiday,26.5,0.8,5.8,3.1,0.0,0,0.522,0.447,0.409,0.047,0.29,0.536
2023-12-30,holiday,26.7,0.2,3.7,2.0,0.0,0,0.73,0.638,0.6,0.094,0.592,0.491
2023-12-31,holiday,26.7,1.5,3.2,2.5,0.0,0,0.62,0.569,0.617,0.136,0.565,0.59
2024-01-01,holiday,27.1,6.9,3.2,2.4,0.0,0,0.603,0.197,0.221,0.163,0.328,0.471
2024-01-02,holiday,27.2,2.1,5.5,0.0,0.0,0,0.621,0.32,0.347,0.136,0.341,0.475
2024-01-03,holiday,26.1,3.8,4.5,3.6,0.0,0,0.506,0.21,0.366,,0.323,0.516
2024-01-04,holiday,25.4,8.2,4.1,5.9,0.0,0,0.506,0.247,0.343,,0.304,0.47
2024-01-05,holiday,26.7,3.1,5.1,3.3,0.0,0,0.527,0.241,0.413,0.088,0.388,0.506
2024-01-06,holiday,26.1,0.7,7.3,2.6,0.0,0,0.698,0.422,0.624,0.167,0.611,0.572
2024-01-07,holiday,25.4,1.8,7.3,0.6,0.0,0,0.625,0.342,0.598,0.139,0.738,0.481
2024-01-08,holiday,25.2,5.5,6.7,0.0,0.0,0,0.437,,0.266,0.106,0.306,0.466
2024-01-09,holiday,25.2,5.7,5.2,2.7,0.0,0,0.494,0.309,0.369,0.108,0.365,0.493
2024-01-10,holiday,24.3,3.0,3.2,0.6,0.0,0,0.563,0.387,0.399,0.185,0.358,0.517
2024-01-11,holiday,26.3,2.2,4.4,1.4,0.0,0,0.585,0.287,0.325,0.089,0.388,0.454
2024-01-12,holiday,24.5,3.1,6.6,1.5,0.0,0,0.601,0.286,0.336,0.014,0.358,0.445
2024-01-13,holiday,25.8,,6.3,2.4,0.0,0,0.704,0.479,0.624,0.134,0.63,0.559
2024-01-14,holiday,25.4,3.0,5.9,0.4,1.0,0,0.475,0.763,0.922,0.04,0.815,0.835
2024-01-15,holiday,24.1,8.9,6.3,6.9,0.0,0,0.445,0.231,0.252,,0.363,0.384
2024-01-16,holiday,22.8,4.7,5.6,2.8,0.0,0,0.528,0.326,0.403,0.099,0.365,0.468
2024-01-17,holiday,24.7,4.2,5.0,2.0,0.0,0,0.571,0.307,0.314,0.039,0.355,0.425
2024-01-18,holiday,22.3,,6.7,2.7,0.0,0,0.599,0.424,0.314,,0.395,0.451
2024-01-19,holiday,24.8,2.4,4.3,2.5,0.0,0,0.541,,0.295,0.12,0.287,0.565
2024-01-20,holiday,23.1,3.4,5.6,3.3,0.0,0,0.63,0.5,0.577,0.052,0.611,0.56
2024-01-21,holiday,23.8,2.6,6.6,3.8,0.0,0,0.607,0.486,0.54,0.0,0.576,0.561
2024-01-22,holiday,23.9,4.2,5.6,2.2,0.0,0,0.484,0.189,0.171,0.005,0.354,0.42
2024-01-23,holiday,22.4,1.1,4.9,2.8,0.0,0,0.585,0.227,0.269,0.042,0.389,0.5
2024-01-24,holiday,22.6,1.9,5.4,3.7,0.0,0,0.413,0.26,0.285,0.086,0.386,0.417
2024-01-25,holiday,23.6,6.0,2.8,2.5,0.0,0,0.653,0.308,0.305,0.077,0.317,0.446
2024-01-26,holiday,22.5,1.9,5.5,5.3,0.0,0,0.537,0.362,,0.021,0.366,0.484
2024-01-27,holiday,22.9,3.4,4.8,1.4,0.0,0,0.585,0.391,0.56,0.001,0.63,0.525
2024-01-28,holiday,22.3,3.2,5.3,0.1,0.0,0,0.66,,0.563,0.063,0.655,0.525
2024-01-29,holiday,22.0,8.3,7.9,1.7,1.0,0,0.59,0.658,0.591,0.045,0.504,0.791
2024-01-30,holiday,22.4,5.2,6.1,5.4,0.0,0,0.577,0.277,0.236,0.0,0.346,0.49
2024-01-31,holiday,21.9,1.6,6.1,2.0,1.0,0,0.544,0.645,0.545,0.116,0.487,0.771
2024-02-01,weekday,21.4,2.8,6.4,3.2,0.0,0,0.393,0.196,,0.72,0.06,0.078
2024-02-02,weekday,20.3,7.3,5.7,3.2,0.0,0,0.45,0.044,0.022,0.666,0.034,0.017
2024-02-03,holiday,20.6,4.6,4.5,3.2,0.0,0,0.763,0.534,0.697,0.065,0.531,0.546
2024-02-04,holiday,20.8,3.2,7.3,2.3,0.0,0,0.557,0.437,0.484,0.096,0.563,0.468
2024-02-05,weekday,19.9,4.9,7.1,5.1,1.0,0,0.33,0.237,0.22,0.615,0.299,0.266
2024-02-06,weekday,19.9,2.1,5.9,4.4,1.0,1,0.305,0.267,0.276,0.629,0.271,0.337
2024-02-07,weekday,20.2,7.2,6.3,1.5,0.0,0,0.391,0.0,0.018,0.644,0.097,0.024
2024-02-08,weekday,19.1,3.8,5.8,2.2,0.0,0,0.558,0.045,0.053,0.701,0.125,0.037
2024-02-09,weekday,19.3,1.0,4.1,3.8,0.0,0,,0.032,0.075,0.663,0.081,0.003
2024-02-10,holiday,18.9,,7.3,3.1,0.0,0,0.791,0.237,0.558,0.092,0.633,0.509
2024-02-11,holiday,20.2,2.3,4.0,1.8,0.0,0,0.776,0.429,0.604,0.115,0.567,0.528
2024-02-12,weekday,19.3,6.0,6.4,2.7,0.0,0,0.34,0.044,0.079,0.648,0.014,0.052
2024-02-13,weekday,18.2,1.3,5.6,3.8,1.0,0,0.311,0.459,0.329,0.705,0.324,0.421
2024-02-14,weekday,19.0,2.2,7.5,6.5,0.0,0,0.443,0.13,0.053,0.742,0.08,0.08
2024-02-15,weekday,19.1,0.8,5.8,4.3,0.0,0,0.387,0.227,,0.725,0.062,0.092
2024-02-16,weekday,18.3,1.3,5.8,5.8,0.0,0,0.372,0.094,0.0,0.656,0.098,0.073
2024-02-17,holiday,19.8,0.5,5.1,5.4,0.0,0,0.577,0.395,0.632,0.088,0.621,0.512
2024-02-18,holiday,17.8,4.5,5.9,2.9,0.0,0,0.653,0.427,0.571,0.078,0.511,0.462
2024-02-19,weekday,15.9,1.7,7.1,5.6,0.0,0,0.532,0.037,0.007,0.867,0.031,0.0
2024-02-20,weekday,16.9,2.8,6.3,5.3,0.0,0,0.511,0.229,0.073,0.632,0.03,0.029
2024-02-21,weekday,16.4,2.5,5.9,4.3,0.0,0,0.541,0.046,0.079,0.685,0.087,0.063
2024-02-22,weekday,16.8,3.5,6.6,7.2,,0,0.442,0.042,0.011,0.615,0.051,0.0
2024-02-23,weekday,15.2,2.4,4.2,7.1,0.0,0,0.442,0.0,0.0,0.69,0.166,0.052
2024-02-24,holiday,17.2,2.6,4.4,4.5,0.0,0,0.614,0.374,0.58,0.232,0.512,0.487
2024-02-25,holiday,16.5,6.2,4.0,5.0,0.0,0,0.815,0.491,0.546,0.126,0.625,0.499
2024-02-26,weekday,15.6,4.7,4.8,4.6,0.0,0,0.508,0.017,,0.674,0.066,0.046
2024-02-27,weekday,16.7,1.3,5.4,5.3,0.0,0,0.367,0.051,0.113,0.583,0.138,0.042
2024-02-28,weekday,16.6,3.2,6.4,3.8,0.0,0,0.502,0.018,0.0,0.709,,0.003
2024-02-29,weekday,14.8,4.0,5.9,6.0,0.0,0,0.496,,0.017,0.599,0.143,0.055
2024-03-01,weekday,17.3,6.0,4.6,5.8,0.0,0,0.485,0.168,0.0,0.672,,0.019
2024-03-02,holiday,16.2,2.7,6.8,4.7,0.0,0,0.767,0.559,0.689,0.148,0.545,0.538
2024-03-03,holiday,16.5,7.2,4.4,4.4,0.0,0,0.727,0.427,0.569,0.088,0.466,0.476
2024-03-04,weekday,15.6,1.7,4.0,5.9,0.0,0,0.304,0.074,0.0,0.69,0.078,0.036
2024-03-05,weekday,15.2,,5.3,4.8,0.0,0,0.325,0.0,0.031,0.731,0.136,0.0
2024-03-06,weekday,15.3,5.7,5.1,4.8,0.0,0,0.35,0.103,0.0,0.59,0.098,0.0
2024-03-07,weekday,13.9,4.4,8.7,3.2,0.0,0,0.418,0.082,0.042,0.613,0.08,0.011
2024-03-08,weekday,14.0,2.6,5.9,5.3,0.0,0,0.395,0.0,0.0,0.694,0.084,0.0
2024-03-09,holiday,13.9,5.0,6.5,5.4,0.0,0,0.641,0.458,0.572,0.06,0.632,0.491
2024-03-10,holiday,13.8,1.5,5.1,4.6,0.0,0,0.532,0.453,0.61,0.008,0.535,0.531
2024-03-11,weekday,15.1,3.2,3.8,3.3,0.0,0,0.456,0.015,0.065,0.648,0.055,0.036
2024-03-12,weekday,12.6,9.0,4.7,1.2,0.0,0,0.342,0.112,0.087,0.597,0.049,0.05
2024-03-13,weekday,14.0,2.4,8.0,5.5,0.0,0,0.633,0.0,0.043,0.713,0.09,0.045
2024-03-14,weekday,13.2,6.2,5.8,2.4,0.0,0,0.491,0.039,0.0,0.739,0.034,0.017
2024-03-15,weekday,12.2,1.7,4.4,5.1,0.0,0,0.578,0.0,0.0,0.737,0.075,0.049
2024-03-16,holiday,13.1,4.3,6.4,4.9,,0,0.592,0.453,0.618,0.13,0.45,0.532
2024-03-17,holiday,13.5,6.3,3.3,4.8,0.0,0,0.801,0.382,0.58,0.089,0.628,0.527
2024-03-18,weekday,11.8,,6.5,6.6,1.0,0,0.416,0.255,0.227,0.642,0.294,0.241
2024-03-19,weekday,13.1,4.2,4.6,4.2,0.0,0,0.319,0.009,0.0,,0.109,0.0
2024-03-20,weekday,11.9,2.7,5.4,4.0,0.0,0,,0.111,0.111,0.667,0.043,0.075
2024-03-21,weekday,12.1,4.3,4.2,7.2,0.0,0,0.47,0.111,0.0,0.677,0.012,0.015
2024-03-22,weekday,12.2,1.0,7.3,6.8,0.0,0,0.484,0.205,0.082,0.715,0.037,0.007
2024-03-23,holiday,10.1,6.2,5.2,0.2,,0,0.662,0.277,,0.128,0.44,0.463
2024-03-24,holiday,11.7,3.0,4.2,4.5,0.0,0,0.694,0.404,0.557,0.096,,0.488
2024-03-25,weekday,11.8,3.6,3.8,5.9,0.0,0,0.425,0.084,0.076,0.632,0.0,0.0
2024-03-26,weekday,11.1,3.7,3.6,2.5,0.0,0,0.359,0.0,0.0,0.631,0.031,0.0
2024-03-27,weekday,11.4,2.7,6.7,4.8,0.0,0,0.354,0.043,0.0,0.687,0.022,0.0
2024-03-28,weekday,10.3,2.1,6.4,6.0,0.0,0,0.371,0.0,0.0,0.743,0.032,0.071
2024-03-29,weekday,9.5,,4.1,6.0,0.0,0,0.465,0.0,0.0,0.625,0.047,0.0
2024-03-30,holiday,9.4,2.5,7.1,6.5,0.0,0,0.678,0.374,0.582,0.127,0.49,0.479
2024-03-31,holiday,8.8,7.5,3.2,4.6,0.0,0,0.599,0.327,,0.087,0.516,0.464
2024-04-01,weekday,10.9,8.0,6.9,0.0,0.0,0,0.375,0.0,0.04,0.676,0.0,0.039
2024-04-02,weekday,11.3,3.9,5.4,3.3,0.0,0,0.433,0.0,0.005,0.684,0.0,0.022
2024-04-03,weekday,10.4,10.9,5.7,1.9,0.0,0,0.495,0.089,0.005,0.557,0.021,0.0
2024-04-04,weekday,10.1,4.3,3.9,2.0,0.0,0,0.416,0.0,0.059,0.612,,0.002
2024-04-05,weekday,10.5,2.3,4.3,0.7,0.0,0,0.241,,0.016,0.683,0.059,0.0
2024-04-06,holiday,8.6,3.7,7.3,0.0,1.0,0,0.61,0.511,0.782,0.104,0.688,0.691
2024-04-07,holiday,8.3,0.9,6.8,0.0,1.0,0,0.673,0.614,0.862,0.14,0.794,0.785
2024-04-08,weekday,8.4,2.6,4.1,0.4,0.0,0,0.462,0.0,0.041,0.591,0.055,0.0
2024-04-09,weekday,9.1,1.6,3.8,0.0,0.0,0,0.336,0.0,0.016,0.687,0.0,0.0
2024-04-10,weekday,9.6,5.6,3.7,0.0,0.0,0,0.533,0.053,0.053,0.622,0.061,0.006
2024-04-11,weekday,7.6,1.7,4.0,2.7,0.0,0,0.418,0.01,0.023,0.705,0.039,0.0
2024-04-12,weekday,7.3,7.6,4.2,0.5,0.0,0,0.405,0.0,0.0,0.739,0.047,0.0
2024-04-13,holiday,7.9,4.4,5.0,0.7,0.0,0,0.731,0.506,0.626,0.197,0.516,0.538
2024-04-14,holiday,8.2,5.0,6.9,0.0,0.0,0,0.651,0.391,0.645,0.02,0.537,0.489
2024-04-15,weekday,6.5,6.2,7.3,1.9,1.0,0,0.392,0.315,0.281,0.735,0.156,0.338
2024-04-16,weekday,9.2,5.6,4.6,0.0,1.0,0,0.326,0.189,0.386,0.673,0.149,0.295
2024-04-17,weekday,6.2,0.7,3.4,0.3,0.0,0,0.34,0.038,0.0,0.661,0.0,0.065
2024-04-18,weekday,8.0,5.3,4.5,0.2,0.0,0,0.316,0.0,0.033,0.604,0.017,0.009
2024-04-19,weekday,8.7,7.5,5.4,0.7,0.0,0,0.427,0.013,0.0,0.593,0.0,0.0
2024-04-20,holiday,8.7,7.3,4.8,0.0,1.0,0,0.81,0.625,0.838,0.054,0.669,0.756
2024-04-21,holiday,7.4,4.9,6.3,0.9,0.0,0,0.584,0.325,0.681,0.124,0.522,0.486
2024-04-22,weekday,6.2,0.8,3.8,3.8,0.0,0,0.442,0.037,0.046,0.673,0.027,0.065
2024-04-23,weekday,6.4,8.0,6.6,0.0,0.0,0,0.487,0.0,0.056,0.694,0.033,0.0
2024-04-24,weekday,7.7,2.6,6.2,0.0,0.0,0,0.466,0.0,0.0,0.635,0.0,0.007
2024-04-25,weekday,6.9,3.4,4.2,0.0,0.0,0,0.544,0.052,0.0,0.711,0.019,0.0
2024-04-26,weekday,6.2,8.0,4.6,0.0,0.0,0,0.353,0.0,0.014,0.655,0.0,0.0
2024-04-27,holiday,6.2,4.2,6.1,0.0,0.0,0,0.763,0.451,0.542,0.053,0.57,0.511
2024-04-28,holiday,7.6,4.0,5.7,2.1,0.0,0,,0.371,0.595,0.0,0.479,0.49
2024-04-29,weekday,6.7,2.5,8.9,0.0,0.0,0,0.417,0.148,0.054,0.683,,0.008
2024-04-30,weekday,4.4,5.1,2.5,0.0,0.0,0,0.536,0.0,0.0,0.623,0.0,0.0
2024-05-01,holiday,7.0,4.7,6.9,1.5,0.0,0,0.49,0.166,0.311,0.082,0.309,0.455
2024-05-02,holiday,6.3,3.3,4.9,2.0,0.0,0,0.644,0.171,0.192,0.079,0.334,0.364
2024-05-03,holiday,6.0,1.2,4.0,1.7,0.0,0,0.536,0.186,0.409,0.126,0.197,0.421
2024-05-04,holiday,6.3,1.3,5.6,3.2,0.0,0,0.598,0.21,0.528,0.145,0.501,0.429
2024-05-05,holiday,5.8,1.4,4.1,0.0,0.0,0,0.627,0.426,0.56,0.0,0.484,0.461
2024-05-06,holiday,5.1,1.9,3.5,0.0,0.0,0,0.684,0.293,0.408,0.0,0.225,0.469
2024-05-07,holiday,5.7,1.3,3.5,0.0,0.0,0,0.561,0.135,0.378,0.068,0.258,0.429
2024-05-08,holiday,5.4,1.0,3.5,0.4,0.0,0,0.593,0.255,0.35,,0.261,0.424
2024-05-09,holiday,4.7,5.0,6.1,0.0,0.0,0,0.8,0.144,0.293,0.136,0.247,0.386
2024-05-10,holiday,5.9,2.0,4.5,0.0,0.0,0,0.762,0.137,0.233,0.139,0.325,0.421
2024-05-11,holiday,5.1,6.6,4.4,0.4,0.0,0,0.648,0.29,0.475,0.022,0.468,0.408
2024-05-12,holiday,5.6,1.1,6.9,0.4,0.0,0,0.815,0.42,0.604,0.106,0.496,0.488
2024-05-13,holiday,6.2,4.0,2.3,0.0,0.0,0,0.514,0.111,0.244,0.045,0.276,0.438
2024-05-14,holiday,4.2,1.7,6.5,0.0,0.0,0,0.628,0.146,0.304,0.098,0.328,0.368
