date,holiday,event_local_flag,tourist_inflow_count,rainfall_mm,temple_shrine_visits,temperature_c,wind_speed_mps,snowfall_cm,typhoon_alert_flag,mobility_inflow_index,lodging_occupancy_ratio,rail_ridership,y
2023-10-25,weekday,1.0,0.462,3.4,0.25,29.0,4.7,1.1,0,0.408,0.276,0.673,0.456
2023-10-26,weekday,0.0,0.142,0.3,0.259,28.2,6.0,3.1,0,0.499,0.205,0.754,0.448
2023-10-27,weekday,1.0,0.319,4.7,0.327,26.4,3.2,1.1,0,0.236,0.263,0.664,0.395
2023-10-28,holiday,0.0,0.472,2.6,0.588,27.0,3.7,0.0,0,0.807,0.53,0.065,0.356
2023-10-29,holiday,0.0,0.551,6.7,,27.8,1.9,0.8,0,0.687,0.578,0.152,0.386
2023-10-30,weekday,0.0,0.214,2.1,0.122,27.5,2.8,0.0,0,0.395,0.107,,0.445
2023-10-31,weekday,0.0,0.167,2.0,0.028,27.9,2.1,2.3,0,0.377,0.06,0.593,0.395
2023-11-01,weekday,0.0,0.17,7.0,0.142,27.9,4.2,4.6,0,0.356,0.0,0.63,0.33
2023-11-02,weekday,0.0,0.207,5.1,0.168,27.5,5.3,2.0,0,0.413,0.04,0.676,0.418
2023-11-03,weekday,0.0,0.05,9.9,0.072,28.4,3.4,0.0,0,0.452,0.0,0.674,0.439
2023-11-04,holiday,0.0,0.478,8.8,0.643,28.6,4.4,0.0,0,0.828,0.563,0.091,0.396
2023-11-05,holiday,0.0,0.642,1.6,0.547,28.8,3.3,6.6,0,0.523,0.709,0.08,0.329
2023-11-06,weekday,0.0,,4.4,0.0,27.2,4.5,0.2,0,0.329,0.103,0.647,0.378
2023-11-07,weekday,0.0,0.005,8.8,0.115,28.6,3.4,0.0,0,0.408,0.0,0.683,0.397
2023-11-08,weekday,0.0,0.154,5.5,0.112,29.1,3.2,0.8,0,0.557,0.094,0.605,0.368
2023-11-09,weekday,0.0,0.145,5.6,0.089,28.7,5.5,0.0,0,0.321,0.0,0.662,0.348
2023-11-10,weekday,0.0,0.123,0.7,,28.8,3.5,1.0,0,0.37,0.036,0.612,0.407
2023-11-11,holiday,0.0,0.609,2.1,0.589,29.1,4.4,0.0,0,0.718,0.677,0.078,0.34
2023-11-12,holiday,0.0,0.372,2.3,0.67,28.8,3.4,3.7,0,0.736,0.585,0.109,0.38
2023-11-13,weekday,0.0,0.192,1.4,0.106,28.7,2.8,3.0,0,0.429,0.152,0.659,0.392
2023-11-14,weekday,0.0,0.149,3.2,0.095,27.8,4.6,0.7,0,0.471,0.0,0.606,0.366
2023-11-15,weekday,0.0,0.117,1.9,0.059,28.9,5.0,1.3,0,0.522,0.017,0.719,0.474
2023-11-16,weekday,0.0,0.032,0.9,0.104,27.1,1.6,0.0,0,0.448,0.0,0.606,0.421
2023-11-17,weekday,0.0,0.171,5.4,0.141,28.9,2.4,0.0,0,0.397,0.035,0.726,0.401
2023-11-18,holiday,0.0,0.444,1.9,,28.8,3.3,1.2,0,0.801,0.54,0.174,0.442
2023-11-19,holiday,0.0,0.663,4.2,0.677,28.6,3.5,2.8,0,0.712,0.527,0.048,0.376
2023-11-20,weekday,0.0,0.156,1.3,0.088,30.2,2.8,0.0,0,0.386,0.0,0.639,0.358
2023-11-21,weekday,0.0,0.231,5.1,0.144,29.0,4.7,0.0,0,0.407,0.092,0.628,0.33
2023-11-22,weekday,0.0,0.259,3.3,0.094,28.3,3.5,0.3,0,0.393,0.047,0.667,0.385
2023-11-23,weekday,0.0,0.208,2.1,0.108,28.3,5.3,0.0,0,0.291,0.0,0.704,0.36
2023-11-24,weekday,0.0,0.131,,0.075,27.9,1.9,0.0,0,0.287,0.094,0.625,0.351
2023-11-25,holiday,1.0,0.832,3.3,,28.7,5.4,0.0,0,,0.905,0.174,0.459
2023-11-26,holiday,0.0,0.573,0.7,0.603,29.0,3.5,0.5,0,0.73,,0.071,0.36
2023-11-27,weekday,0.0,0.143,4.5,0.037,28.8,4.2,1.2,0,0.288,0.032,0.625,0.322
2023-11-28,weekday,0.0,0.189,2.6,0.053,29.8,2.3,0.7,0,0.471,0.018,0.667,0.4
2023-11-29,weekday,0.0,0.32,4.0,0.092,27.4,3.3,0.9,0,0.412,0.0,0.575,0.357
2023-11-30,weekday,0.0,0.221,2.5,0.021,28.3,3.9,1.4,0,,0.071,0.713,0.441
2023-12-01,holiday,0.0,0.286,2.1,0.357,29.0,3.2,0.0,0,0.402,,0.035,0.248
2023-12-02,holiday,0.0,0.504,2.6,0.624,28.2,3.9,1.4,0,0.68,0.669,0.046,0.337
2023-12-03,holiday,0.0,0.483,4.7,0.674,28.5,2.5,0.0,0,0.721,0.653,0.067,0.35
2023-12-04,holiday,0.0,0.414,4.6,0.416,28.7,2.6,0.0,0,0.49,0.334,0.0,0.237
2023-12-05,holiday,0.0,0.286,1.2,0.391,28.4,3.6,1.9,0,0.523,0.286,0.0,0.254
2023-12-06,holiday,0.0,0.21,3.1,0.358,28.6,5.8,0.6,0,0.626,0.334,0.108,0.363
2023-12-07,holiday,0.0,0.428,7.3,0.299,28.9,4.7,0.0,0,0.579,0.294,0.107,0.386
2023-12-08,holiday,0.0,0.394,3.5,0.402,28.3,4.5,2.0,0,0.44,0.388,0.074,0.293
2023-12-09,,0.0,0.512,6.6,0.661,28.7,2.7,1.8,0,0.697,0.634,0.077,0.366
2023-12-10,holiday,0.0,0.653,7.4,0.605,28.9,3.8,1.2,0,0.491,0.629,0.025,0.234
2023-12-11,holiday,0.0,0.312,3.4,0.249,27.6,6.1,1.3,0,0.451,0.243,0.073,0.28
2023-12-12,holiday,0.0,0.333,3.3,0.367,28.9,4.8,0.3,0,0.535,0.302,0.103,0.281
2023-12-13,holiday,0.0,0.358,5.2,0.378,28.4,5.4,1.2,0,0.328,0.417,0.0,0.216
2023-12-14,holiday,0.0,0.32,,0.408,27.8,5.8,4.9,0,0.53,0.204,0.014,0.289
2023-12-15,holiday,0.0,0.281,1.9,0.435,28.4,4.0,0.0,0,0.531,0.344,0.11,0.352
2023-12-16,holiday,0.0,0.637,1.7,0.637,28.9,7.8,0.0,0,0.6,0.643,0.061,0.371
2023-12-17,holiday,0.0,0.39,6.4,0.616,28.0,4.6,0.2,0,0.706,0.625,0.025,0.302
2023-12-18,holiday,0.0,0.273,2.3,0.388,29.3,2.1,0.1,0,0.709,0.392,0.146,0.377
2023-12-19,holiday,0.0,0.363,0.8,0.28,28.8,4.4,1.5,0,0.428,0.273,0.021,0.318
2023-12-20,holiday,0.0,0.348,2.7,0.382,27.2,6.4,3.3,0,0.515,0.261,0.118,0.336
2023-12-21,holiday,0.0,0.254,3.9,0.318,29.6,4.2,0.0,0,,0.385,0.054,0.25
2023-12-22,holiday,1.0,0.762,3.2,0.607,27.7,2.9,1.6,0,0.683,0.577,0.139,0.444
2023-12-23,holiday,0.0,0.388,3.9,0.555,27.1,1.4,2.7,0,0.605,0.583,0.145,0.362
2023-12-24,holiday,0.0,0.579,1.2,0.61,27.3,5.7,0.9,0,0.6,0.513,0.133,0.412
2023-12-25,holiday,0.0,0.241,2.1,0.366,27.3,3.0,5.5,0,0.458,0.308,0.1,0.359
2023-12-26,holiday,0.0,0.288,7.7,0.341,27.4,5.1,2.9,0,0.459,0.355,0.034,0.323
2023-12-27,holiday,0.0,0.439,4.1,0.427,28.2,3.2,0.0,0,0.469,0.337,0.037,0.301
2023-12-28,holiday,0.0,0.387,2.9,0.323,25.7,4.6,1.4,0,0.537,,0.084,0.291
2023-12-29,holiday,0.0,0.386,1.9,0.423,26.5,4.1,4.1,0,0.626,0.378,,0.327
2023-12-30,holiday,1.0,0.805,4.6,0.805,27.2,5.2,1.4,0,0.637,0.883,0.052,0.361
2023-12-31,holiday,0.0,0.573,4.6,0.59,26.0,6.4,2.2,0,0.801,0.606,0.014,0.293
2024-01-01,holiday,0.0,0.398,,0.281,25.3,2.3,2.6,0,0.531,0.363,0.154,0.347
2024-01-02,holiday,0.0,0.378,3.7,0.439,26.3,2.7,5.0,0,0.517,,0.096,0.356
2024-01-03,holiday,0.0,0.379,1.4,0.356,27.1,3.0,1.8,0,0.478,,0.062,0.321
2024-01-04,holiday,0.0,0.392,2.8,0.336,27.5,3.5,4.5,0,0.497,0.407,0.13,0.315
2024-01-05,holiday,0.0,,5.0,0.311,27.1,2.6,0.0,0,0.447,0.333,0.048,0.267
2024-01-06,holiday,0.0,0.551,,0.654,25.4,5.2,3.5,0,0.676,0.633,0.027,0.294
2024-01-07,holiday,0.0,0.485,8.5,,26.7,3.6,0.0,0,0.655,0.668,0.215,0.382
2024-01-08,holiday,0.0,0.356,3.6,0.349,25.9,3.4,3.0,0,0.624,0.265,0.11,0.346
2024-01-09,holiday,0.0,0.238,1.7,0.355,25.5,4.3,2.2,0,0.488,0.237,0.092,0.32
2024-01-10,holiday,0.0,0.242,0.5,,25.4,2.7,0.6,0,0.489,0.318,0.079,0.302
2024-01-11,holiday,0.0,0.178,4.0,0.405,27.2,4.2,0.0,0,0.478,0.318,0.098,0.322
2024-01-12,holiday,0.0,0.361,3.7,0.403,23.9,3.3,2.8,0,0.408,0.327,0.135,0.29
2024-01-13,holiday,0.0,0.658,4.3,0.612,25.1,3.5,0.2,0,0.549,0.567,,0.353
2024-01-14,holiday,0.0,0.547,1.0,0.629,25.7,5.0,3.6,0,0.753,0.556,0.186,0.406
2024-01-15,holiday,1.0,0.415,3.6,0.59,24.9,4.5,0.0,0,0.43,0.489,0.009,0.282
2024-01-16,holiday,0.0,0.222,5.6,0.245,24.4,5.3,0.0,0,0.614,0.287,0.03,0.203
2024-01-17,holiday,0.0,0.326,1.7,0.342,23.3,4.3,2.7,0,0.481,0.362,0.053,0.271
2024-01-18,holiday,0.0,0.214,6.2,0.325,23.6,0.9,1.4,0,0.499,0.325,0.118,0.291
2024-01-19,holiday,,0.389,1.5,0.482,23.4,6.1,3.7,0,0.663,0.473,0.117,0.375
2024-01-20,holiday,0.0,0.565,1.5,0.534,24.2,4.1,4.4,0,0.664,0.602,0.134,0.38
2024-01-21,holiday,0.0,0.509,1.8,0.546,23.5,1.7,0.0,0,0.772,0.662,0.11,0.358
2024-01-22,holiday,0.0,0.45,4.7,0.352,22.3,4.3,3.8,0,0.553,0.366,0.061,0.367
2024-01-23,holiday,0.0,0.354,5.7,0.27,21.8,4.5,3.0,0,0.703,0.336,0.088,0.319
2024-01-24,holiday,0.0,0.32,3.3,0.389,22.6,1.5,4.4,0,0.535,0.313,0.131,0.332
2024-01-25,holiday,0.0,0.19,1.5,0.252,24.3,6.5,2.1,0,0.581,0.233,0.083,0.383
2024-01-26,holiday,0.0,0.398,1.2,0.31,23.7,2.9,1.5,0,0.481,0.249,0.046,0.288
2024-01-27,holiday,0.0,,1.4,0.511,23.0,5.0,5.8,0,0.612,0.623,0.039,0.33
2024-01-28,holiday,0.0,0.454,6.8,0.659,22.1,5.2,5.3,0,0.665,0.576,0.003,0.307
2024-01-29,holiday,0.0,0.253,2.3,0.32,21.5,4.8,2.5,0,0.535,0.262,,0.292
2024-01-30,holiday,1.0,0.502,7.8,0.523,22.2,4.5,1.5,0,0.561,0.518,0.13,0.357
2024-01-31,holiday,0.0,0.302,0.8,0.317,21.9,5.9,1.5,0,0.461,0.327,0.052,0.274
2024-02-01,weekday,0.0,,3.9,0.057,21.8,2.9,2.4,0,0.436,0.042,0.718,0.402
2024-02-02,weekday,0.0,0.0,2.8,0.138,20.8,4.1,1.6,0,0.381,0.03,0.655,0.325
2024-02-03,holiday,1.0,,5.7,0.754,20.9,4.4,3.7,0,0.709,0.893,0.116,0.426
2024-02-04,holiday,0.0,0.579,2.2,,21.2,3.4,4.0,0,0.616,0.6,0.108,0.334
2024-02-05,weekday,1.0,0.314,3.3,0.285,19.9,3.1,2.1,0,0.602,0.296,0.699,0.47
2024-02-06,weekday,0.0,0.179,,0.052,20.0,1.5,5.7,0,0.385,0.017,0.622,0.46
2024-02-07,weekday,0.0,0.136,4.0,0.086,21.6,6.8,0.4,0,0.364,,,0.367
2024-02-08,weekday,0.0,0.015,4.1,0.079,20.3,3.6,0.0,0,0.307,0.0,0.691,0.382
2024-02-09,weekday,,0.162,4.2,0.137,21.9,2.9,0.0,0,0.554,0.057,0.686,0.478
2024-02-10,holiday,0.0,0.541,3.6,0.613,18.6,5.2,5.9,0,0.588,0.604,0.078,0.422
2024-02-11,holiday,,0.413,4.2,0.615,19.5,1.6,1.5,0,0.663,0.598,0.065,0.37
2024-02-12,weekday,0.0,0.0,3.4,0.132,17.5,2.3,0.7,0,0.369,,0.581,0.321
2024-02-13,weekday,0.0,0.092,0.7,0.098,20.3,1.5,4.2,0,0.319,0.0,0.612,0.356
2024-02-14,weekday,1.0,0.283,4.9,0.35,17.8,2.8,5.2,0,0.399,0.147,0.66,0.434
2024-02-15,weekday,0.0,0.0,6.6,0.0,20.0,3.9,1.9,0,0.58,0.099,0.698,0.413
2024-02-16,weekday,0.0,0.051,,0.137,18.8,4.0,4.8,0,0.368,0.083,0.636,0.386
2024-02-17,holiday,0.0,0.634,5.7,0.53,17.4,2.8,5.8,0,0.691,,0.097,0.419
2024-02-18,holiday,0.0,0.426,3.3,0.527,18.3,2.6,6.4,0,0.709,0.581,0.025,0.296
2024-02-19,weekday,0.0,0.0,1.5,0.151,16.6,6.0,2.9,0,,0.0,0.693,0.386
2024-02-20,weekday,0.0,0.08,6.2,0.025,16.2,5.6,5.9,0,0.353,0.023,0.572,0.355
2024-02-21,weekday,0.0,0.0,,0.029,17.1,5.5,4.5,0,,0.022,0.761,0.438
2024-02-22,weekday,0.0,0.161,1.8,0.006,18.2,4.2,4.9,0,0.495,0.015,0.66,0.459
2024-02-23,weekday,0.0,0.098,6.0,0.042,16.3,4.3,4.3,0,0.558,0.029,0.617,0.351
2024-02-24,holiday,0.0,0.49,4.0,0.588,17.3,2.7,3.8,0,0.668,0.606,0.026,0.289
2024-02-25,holiday,0.0,0.33,4.5,0.455,16.2,6.5,2.6,0,0.734,0.562,0.034,0.336
2024-02-26,weekday,0.0,0.073,1.8,0.0,16.4,2.7,7.3,1,0.428,0.057,0.714,0.409
2024-02-27,weekday,0.0,0.011,7.4,0.056,15.1,2.7,2.3,0,0.612,0.0,0.633,0.487
2024-02-28,weekday,0.0,,5.5,0.084,15.8,3.5,4.9,0,0.448,0.0,0.646,0.345
2024-02-29,weekday,0.0,,2.9,0.033,15.6,5.1,3.7,0,0.363,0.0,0.611,0.384
2024-03-01,weekday,0.0,0.029,1.5,0.061,14.6,2.1,7.7,0,0.434,0.0,0.7,0.469
2024-03-02,holiday,0.0,0.571,5.3,0.611,16.7,4.3,3.0,0,0.579,0.633,0.084,0.286
2024-03-03,holiday,0.0,0.45,1.9,0.539,15.8,4.6,1.8,0,0.825,0.615,0.049,0.384
2024-03-04,weekday,0.0,0.0,7.8,0.1,14.4,4.3,7.6,0,0.43,,0.638,0.376
2024-03-05,weekday,0.0,0.0,4.1,0.046,14.7,4.3,6.2,0,0.338,0.0,0.652,0.379
2024-03-06,weekday,0.0,,4.0,0.0,14.7,4.6,3.5,0,0.336,0.0,0.727,0.433
2024-03-07,weekday,0.0,0.0,4.8,0.032,14.2,3.4,6.9,0,0.605,0.009,0.656,0.411
2024-03-08,weekday,0.0,0.095,3.7,0.071,14.6,3.3,4.5,0,0.531,0.036,0.761,0.481
2024-03-09,holiday,0.0,0.329,2.7,0.594,14.3,3.3,6.2,0,0.59,0.577,0.048,0.338
2024-03-10,holiday,0.0,0.415,3.1,0.564,14.0,4.6,3.5,0,0.585,0.571,0.08,0.365
2024-03-11,weekday,0.0,0.0,7.2,0.034,15.8,5.9,5.4,0,0.568,0.021,0.639,0.43
2024-03-12,weekday,0.0,0.0,5.6,,14.3,4.7,3.7,0,0.57,0.064,0.69,0.438
2024-03-13,weekday,0.0,0.0,,0.068,12.7,2.4,4.2,0,0.386,0.036,0.743,0.423
2024-03-14,weekday,0.0,0.0,2.2,0.0,14.6,4.8,3.6,0,0.569,0.0,0.675,0.476
2024-03-15,weekday,,0.0,0.5,0.003,14.2,5.1,6.8,0,0.363,0.031,0.666,0.388
2024-03-16,holiday,0.0,0.374,4.1,0.584,12.4,6.5,5.5,0,0.774,0.651,0.043,0.327
2024-03-17,holiday,0.0,0.469,10.2,0.594,13.0,3.1,4.0,0,0.769,0.686,0.206,0.416
2024-03-18,weekday,0.0,0.0,3.9,0.006,10.9,4.5,6.2,0,0.467,0.0,0.698,0.395
2024-03-19,weekday,0.0,0.0,3.2,0.031,11.0,3.1,5.2,0,0.45,0.079,0.708,0.416
2024-03-20,weekday,0.0,0.025,2.3,0.0,13.3,4.6,7.1,0,0.393,0.0,0.688,0.441
2024-03-21,weekday,0.0,0.0,1.6,0.029,12.1,2.8,5.5,0,0.46,0.058,0.618,0.388
2024-03-22,weekday,1.0,0.217,7.5,,11.0,3.2,2.4,0,0.385,0.209,0.614,0.451
2024-03-23,holiday,0.0,0.342,3.4,0.556,11.7,5.7,2.9,0,0.691,0.548,0.161,0.347
2024-03-24,,0.0,0.572,2.0,0.592,13.4,3.2,2.1,0,0.665,0.672,0.045,0.334
2024-03-25,weekday,0.0,0.088,3.1,0.041,10.7,5.8,2.6,0,0.391,0.0,0.705,0.413
2024-03-26,weekday,0.0,0.0,4.9,0.02,9.3,4.4,4.6,0,0.456,0.0,0.597,0.395
2024-03-27,weekday,0.0,0.044,3.4,0.035,9.9,4.7,2.5,0,0.597,0.0,0.618,0.416
2024-03-28,weekday,0.0,0.073,1.5,0.017,9.5,4.7,5.3,0,0.454,0.047,0.663,0.363
2024-03-29,weekday,0.0,0.0,4.9,0.0,10.1,2.0,4.1,0,0.457,0.008,0.58,0.373
2024-03-30,holiday,0.0,0.497,2.5,0.485,9.3,5.5,6.9,0,0.642,,0.11,0.373
2024-03-31,holiday,0.0,0.373,3.0,0.549,10.7,2.7,7.3,0,0.773,0.547,0.062,0.321
2024-04-01,weekday,0.0,0.047,4.4,0.063,10.0,4.3,0.8,0,0.372,0.0,0.675,0.425
2024-04-02,weekday,0.0,0.0,0.6,0.074,8.6,3.7,0.0,0,0.458,0.0,0.666,0.377
2024-04-03,weekday,0.0,0.013,4.0,0.107,9.3,5.4,0.0,0,0.292,0.0,0.623,0.357
2024-04-04,weekday,1.0,0.282,1.1,0.242,9.9,1.1,0.2,0,,0.293,0.721,0.484
2024-04-05,weekday,0.0,0.0,5.8,0.0,9.2,5.2,2.2,0,0.293,0.0,0.638,0.36
2024-04-06,holiday,0.0,0.431,4.5,0.448,9.4,5.9,0.0,0,0.603,0.579,0.008,0.231
2024-04-07,holiday,0.0,0.369,2.1,0.465,8.5,1.3,1.1,0,0.707,0.664,0.094,0.365
2024-04-08,weekday,0.0,0.0,1.7,0.028,9.1,3.4,0.0,0,,0.003,0.707,0.408
2024-04-09,weekday,0.0,0.0,5.6,0.131,8.6,3.7,0.0,0,0.354,0.013,0.707,0.413
2024-04-10,weekday,0.0,0.0,,0.083,8.8,2.7,0.0,0,0.402,0.076,0.721,0.376
2024-04-11,weekday,0.0,,4.7,0.084,9.0,4.3,0.0,0,0.384,,0.636,0.389
2024-04-12,weekday,0.0,0.0,5.8,0.0,6.4,3.8,0.0,0,0.367,0.034,0.7,0.34
2024-04-13,holiday,0.0,0.51,1.5,0.475,9.7,3.6,0.0,0,0.752,0.593,0.069,0.331
2024-04-14,holiday,0.0,0.334,3.7,0.544,6.2,2.3,0.0,0,0.677,0.522,0.09,0.294
2024-04-15,weekday,0.0,0.0,5.8,0.02,8.2,3.1,0.0,0,0.415,0.004,0.724,0.43
2024-04-16,weekday,0.0,0.0,6.2,0.065,7.3,4.1,0.4,0,,0.0,0.648,0.39
2024-04-17,weekday,0.0,0.0,1.6,,10.2,2.1,0.0,0,0.371,0.007,0.646,0.374
2024-04-18,weekday,0.0,0.124,6.5,0.0,6.2,2.8,0.0,0,0.646,0.02,0.612,0.378
2024-04-19,weekday,0.0,0.0,7.6,0.093,6.7,3.3,0.7,0,0.409,0.059,0.664,0.395
2024-04-20,holiday,0.0,0.427,5.9,0.508,7.2,3.8,0.0,0,0.702,0.623,0.086,0.347
2024-04-21,holiday,1.0,,5.4,0.697,7.7,1.9,1.8,0,0.643,0.812,0.042,0.343
2024-04-22,weekday,0.0,0.122,6.1,0.0,5.8,3.9,0.0,0,0.597,0.11,0.818,0.479
2024-04-23,weekday,0.0,,3.1,0.078,7.6,2.9,1.5,0,0.421,0.025,0.667,0.398
2024-04-24,weekday,1.0,0.328,2.3,0.196,7.9,3.2,1.9,0,0.141,0.295,0.607,0.336
2024-04-25,weekday,0.0,0.012,3.7,0.0,6.9,4.3,0.0,0,0.393,0.032,0.679,0.408
2024-04-26,weekday,0.0,0.016,2.6,0.0,7.6,2.8,1.6,0,0.513,0.0,0.605,0.442
2024-04-27,holiday,0.0,,1.4,0.531,7.0,4.1,2.4,0,,,0.133,0.463
2024-04-28,holiday,0.0,0.561,1.9,0.504,6.2,5.4,2.1,0,0.635,0.603,0.108,0.391
2024-04-29,weekday,0.0,0.0,3.4,0.045,7.4,3.6,0.0,0,0.399,0.0,0.623,0.422
2024-04-30,weekday,0.0,0.099,5.4,0.005,6.0,4.2,0.0,0,0.337,0.04,0.67,0.383
2024-05-01,holiday,0.0,0.118,6.5,0.291,5.9,2.6,2.2,0,0.559,0.254,0.099,0.338
2024-05-02,holiday,0.0,0.182,2.4,0.17,7.1,4.6,0.0,0,0.535,0.239,0.097,0.358
2024-05-03,holiday,0.0,0.213,1.6,0.222,5.9,3.5,0.0,0,0.549,0.32,0.108,0.359
2024-05-04,holiday,1.0,0.574,5.2,0.673,5.3,5.3,0.0,0,0.716,0.855,0.175,0.431
2024-05-05,holiday,0.0,0.415,7.5,0.476,6.4,3.4,0.5,0,0.626,0.559,0.084,0.335
2024-05-06,holiday,1.0,0.586,6.7,,6.4,3.8,0.0,0,0.633,0.523,0.111,0.384
2024-05-07,holiday,0.0,0.247,3.8,0.265,5.9,5.0,1.1,0,0.551,0.319,0.144,0.308
2024-05-08,holiday,0.0,0.132,5.6,0.269,6.2,3.4,3.0,0,0.624,0.187,0.058,0.37
2024-05-09,holiday,0.0,0.221,2.0,0.211,5.0,2.4,0.0,0,0.695,0.347,0.113,0.353
2024-05-10,holiday,0.0,0.273,3.7,0.255,4.7,3.1,0.0,0,0.634,0.281,0.045,0.297
2024-05-11,holiday,0.0,0.395,6.5,0.513,3.8,2.9,0.4,0,0.761,0.693,0.17,0.461
2024-05-12,holiday,0.0,0.282,2.9,0.459,6.1,4.8,2.3,0,0.647,0.458,0.0,0.304
2024-05-13,holiday,0.0,0.21,1.4,0.232,5.7,2.8,0.0,0,0.564,,0.092,0.354
2024-05-14,holiday,0.0,0.334,2.7,0.31,5.2,5.3,0.8,0,0.478,0.241,0.045,0.294
2024-05-15,holiday,0.0,0.173,0.9,0.099,4.4,2.1,0.0,0,0.705,0.347,0.152,0.374
