date,snowfall_cm,holiday,temperature_c,rail_ridership,rainfall_mm,wind_speed_mps,event_local_flag,typhoon_alert_flag,mobility_inflow_index,tourist_inflow_count,lodging_occupancy_ratio,temple_shrine_visits,onsen_visitors_count,beach_crowd_index,snow_quality_index,ski_resort_visitors,y
2023-10-03,0.0,weekday,26.8,0.621,6.7,2.5,0.0,1,0.53,0.127,0.035,0.071,0.009,0.259,0.0,0.0,1
2023-10-04,3.5,weekday,27.6,0.615,6.0,2.9,0.0,0,0.403,0.042,0.03,0.095,0.0,0.172,0.064,0.0,0
2023-10-05,0.0,weekday,25.5,0.658,3.9,2.6,0.0,0,0.456,0.158,0.009,0.105,0.0,,0.003,0.044,0
2023-10-06,2.4,weekday,27.1,0.664,0.7,2.4,0.0,0,0.402,0.269,0.044,0.128,0.006,0.402,0.0,0.0,0
2023-10-07,2.4,holiday,28.1,0.117,8.7,3.1,0.0,0,0.727,0.565,0.586,0.583,0.372,0.403,0.06,0.151,0
2023-10-08,0.0,holiday,26.6,0.053,6.7,2.0,0.0,0,0.756,0.515,0.553,0.648,0.394,0.531,0.0,0.073,0
2023-10-09,0.0,weekday,27.8,0.699,1.3,4.3,0.0,0,0.49,0.033,0.025,0.028,0.014,0.319,0.053,0.054,0
2023-10-10,1.4,weekday,26.7,0.737,2.7,4.2,0.0,0,0.522,0.045,0.046,0.124,0.041,0.211,,0.067,1
2023-10-11,0.0,weekday,28.9,0.589,1.9,3.7,0.0,0,0.346,0.153,0.062,0.024,0.0,0.41,0.0,0.0,0
2023-10-12,0.8,weekday,28.6,0.565,3.4,3.0,0.0,0,0.386,0.184,0.019,0.19,0.078,0.327,0.1,0.041,1
2023-10-13,0.7,weekday,26.8,0.567,4.2,2.7,0.0,0,0.403,0.103,0.117,0.074,0.035,0.225,0.0,0.022,0
2023-10-14,0.7,holiday,26.9,0.109,3.6,3.3,0.0,0,0.738,0.609,0.6,0.549,0.433,0.397,0.0,0.29,0
2023-10-15,0.0,holiday,29.5,0.106,4.6,4.8,0.0,0,0.69,0.545,0.642,0.614,0.311,0.545,0.0,0.12,0
2023-10-16,0.0,weekday,28.4,0.627,6.1,3.7,0.0,0,0.448,0.065,0.0,0.134,0.0,0.237,,,0
2023-10-17,0.0,weekday,27.4,0.73,1.5,3.4,0.0,0,0.453,0.088,0.119,0.181,0.077,0.473,0.029,0.056,0
2023-10-18,0.9,weekday,27.3,0.718,5.2,3.1,0.0,0,0.405,0.141,0.047,0.014,0.0,0.321,0.047,0.002,0
2023-10-19,0.0,weekday,28.6,0.634,4.7,3.2,0.0,0,0.409,0.167,0.036,0.074,0.0,0.324,0.06,0.0,1
2023-10-20,0.9,weekday,27.2,0.577,6.8,4.4,0.0,0,0.266,0.261,0.017,0.153,,0.24,0.0,0.014,0
2023-10-21,0.0,holiday,27.5,0.061,2.7,4.1,0.0,0,0.637,0.585,0.492,0.636,0.458,0.442,0.065,0.244,0
2023-10-22,0.0,holiday,27.9,,3.3,3.4,0.0,0,0.69,0.494,0.576,0.643,0.325,0.514,0.0,0.153,0
2023-10-23,2.4,weekday,26.9,0.666,0.9,0.6,,0,0.342,0.217,0.076,0.054,0.0,0.32,0.042,0.0,0
2023-10-24,2.1,weekday,27.4,0.621,2.9,3.3,0.0,0,0.437,0.081,0.064,0.174,,0.335,0.0,0.076,0
2023-10-25,0.0,weekday,28.4,0.647,3.1,2.8,0.0,0,0.611,0.08,0.016,0.017,0.03,0.313,0.076,0.03,1
2023-10-26,0.0,weekday,28.3,0.621,6.0,1.0,0.0,0,0.45,0.172,0.0,0.097,0.0,0.448,0.037,0.0,0
2023-10-27,0.1,weekday,28.1,0.622,1.5,3.2,0.0,0,0.501,0.189,0.032,0.104,0.0,0.334,0.0,,0
2023-10-28,0.0,holiday,28.3,0.147,2.1,4.8,0.0,0,0.66,0.433,0.553,0.652,0.337,0.43,0.0,0.147,0
2023-10-29,0.3,holiday,28.0,0.103,4.5,4.8,0.0,0,0.776,0.673,0.729,0.63,0.334,0.422,0.038,0.269,0
2023-10-30,0.0,weekday,28.3,0.664,0.5,5.5,0.0,0,0.334,0.127,0.087,0.173,0.0,0.314,0.013,0.04,0
2023-10-31,0.4,weekday,29.7,0.692,5.2,4.5,0.0,0,0.488,0.07,0.0,0.0,0.039,0.423,0.025,0.0,0
2023-11-01,0.0,weekday,28.9,0.699,2.5,4.9,0.0,0,0.286,0.17,0.086,0.103,0.0,0.373,0.0,0.0,0
2023-11-02,1.1,weekday,28.8,0.682,2.1,3.5,0.0,0,0.49,0.169,0.079,0.144,0.0,0.329,0.028,0.0,0
2023-11-03,0.0,weekday,28.8,0.7,,6.0,0.0,0,0.482,0.272,0.034,0.137,0.0,0.33,0.0,0.0,1
2023-11-04,0.2,holiday,28.2,0.145,5.1,4.8,0.0,0,0.644,0.574,0.499,0.565,0.352,0.52,0.0,0.216,0
2023-11-05,0.8,holiday,29.7,0.048,3.4,5.3,0.0,0,0.603,0.523,0.628,0.607,0.33,0.497,0.0,0.223,1
2023-11-06,0.0,weekday,27.7,0.623,5.3,3.9,0.0,0,0.393,0.154,0.004,0.102,0.0,0.343,0.0,0.0,0
2023-11-07,0.8,weekday,29.1,0.667,2.6,4.2,0.0,0,0.402,0.227,0.052,0.179,0.005,0.241,0.094,0.02,0
2023-11-08,0.0,weekday,29.5,0.603,5.7,2.8,0.0,0,0.451,0.148,,0.071,0.0,0.196,,0.0,0
2023-11-09,0.0,weekday,28.0,0.626,4.6,4.7,0.0,0,0.491,0.158,0.039,0.125,0.013,0.332,0.0,0.0,0
2023-11-10,1.3,weekday,27.5,0.67,5.5,4.9,0.0,0,,0.238,0.036,0.172,0.042,0.192,0.04,0.043,0
2023-11-11,1.7,holiday,28.2,0.182,3.4,4.1,0.0,0,0.766,0.571,0.621,0.515,0.339,0.549,0.0,,0
2023-11-12,0.0,holiday,29.3,0.153,1.1,3.0,0.0,0,0.724,0.644,0.679,0.648,0.388,0.553,0.0,0.189,0
2023-11-13,0.0,weekday,29.6,0.742,5.7,4.1,0.0,0,0.388,0.173,0.0,0.104,0.039,0.375,0.002,0.0,0
2023-11-14,0.0,weekday,27.0,0.598,1.8,4.4,0.0,0,0.35,0.07,0.053,0.08,,0.376,0.043,0.058,0
2023-11-15,1.8,weekday,27.6,0.655,,5.8,0.0,0,0.34,0.057,,0.128,0.039,0.268,0.03,0.0,1
2023-11-16,0.0,weekday,28.9,0.663,,3.8,0.0,0,0.538,0.238,0.0,0.105,0.021,0.374,0.0,0.039,0
2023-11-17,2.6,weekday,28.2,0.645,4.3,3.4,0.0,0,0.362,0.203,0.061,0.071,0.005,0.343,0.0,0.009,0
2023-11-18,0.8,holiday,27.6,0.1,5.2,4.9,0.0,0,0.756,0.561,0.678,0.51,0.407,0.438,0.006,0.264,1
2023-11-19,0.0,holiday,29.3,0.124,,3.0,0.0,0,0.595,0.608,0.608,0.565,,0.531,0.0,0.196,0
2023-11-20,2.1,weekday,30.6,0.691,7.4,3.2,0.0,0,0.413,0.226,0.01,0.118,0.029,0.376,0.01,0.01,0
2023-11-21,1.3,weekday,29.5,0.663,2.9,6.5,0.0,0,0.377,0.144,0.087,0.109,0.023,0.302,0.0,0.0,1
2023-11-22,0.7,weekday,27.6,0.627,1.1,4.1,0.0,0,0.33,0.124,0.044,0.102,0.0,0.352,0.058,0.051,0
2023-11-23,0.0,weekday,28.0,0.673,3.1,3.6,0.0,0,0.41,0.255,0.043,0.072,,0.211,0.0,0.0,0
2023-11-24,0.0,weekday,28.5,0.616,3.2,3.7,1.0,0,0.406,0.382,0.268,0.335,0.0,,0.0,0.0,0
2023-11-25,1.3,holiday,27.6,0.078,0.4,4.2,,0,,0.487,0.627,0.536,0.282,0.567,0.0,0.219,0
2023-11-26,0.0,holiday,26.7,0.122,2.0,2.6,0.0,0,0.708,0.492,0.603,0.58,0.468,0.44,0.086,0.29,0
2023-11-27,0.8,weekday,27.8,0.698,2.9,4.1,0.0,0,0.362,0.205,,0.164,0.0,0.164,0.112,0.071,0
2023-11-28,0.1,weekday,28.6,0.643,1.3,4.7,0.0,0,0.504,0.171,0.0,0.136,0.022,0.276,0.001,0.0,0
2023-11-29,0.0,weekday,26.9,0.607,1.8,3.8,0.0,0,0.461,0.115,0.069,0.008,0.0,0.25,0.12,0.099,0
2023-11-30,0.0,weekday,27.6,0.705,3.3,4.5,0.0,0,0.43,0.171,0.083,0.053,0.022,0.229,0.0,0.0,0
2023-12-01,1.5,holiday,27.3,0.094,2.2,5.6,0.0,0,0.469,0.379,0.296,0.376,0.265,0.258,0.0,0.089,0
2023-12-02,0.0,holiday,28.4,0.069,1.8,4.0,0.0,0,0.542,0.522,0.561,0.591,0.362,0.529,0.084,0.188,0
2023-12-03,2.3,holiday,27.8,0.126,1.5,3.6,0.0,0,0.733,0.572,0.566,0.589,0.372,,0.0,0.205,0
2023-12-04,1.6,holiday,26.5,0.067,1.8,3.8,1.0,0,0.45,0.593,0.588,0.606,0.178,0.574,0.125,0.266,0
2023-12-05,2.7,holiday,27.0,0.016,0.9,5.5,0.0,0,0.401,0.283,0.261,0.339,0.207,0.416,0.059,0.161,1
2023-12-06,3.1,holiday,25.7,0.052,4.9,3.2,0.0,0,0.64,0.345,0.251,0.347,0.139,0.323,0.048,0.071,0
2023-12-07,0.7,holiday,28.2,0.094,1.5,4.5,0.0,0,0.593,0.318,0.243,0.362,0.187,0.367,0.0,0.034,0
2023-12-08,1.9,holiday,27.1,0.062,5.9,4.6,0.0,0,0.525,0.36,0.358,,0.089,0.328,0.0,0.09,1
2023-12-09,4.0,holiday,26.8,0.035,3.4,3.7,0.0,0,0.568,0.429,0.612,0.594,0.387,0.424,0.0,0.134,0
2023-12-10,2.2,holiday,25.8,0.096,3.4,3.8,0.0,0,0.748,0.419,,0.642,0.337,0.528,0.058,0.226,0
2023-12-11,4.1,holiday,26.1,0.062,0.7,3.8,0.0,0,0.49,0.261,0.209,0.335,0.142,0.406,0.044,0.124,1
2023-12-12,0.3,holiday,26.5,0.0,5.4,3.5,1.0,0,0.689,0.719,0.545,0.645,0.188,0.414,0.0,0.087,0
2023-12-13,0.9,holiday,24.9,0.062,3.6,3.9,0.0,0,0.485,0.395,0.362,0.34,0.149,0.288,0.0,0.106,0
2023-12-14,1.4,holiday,25.1,0.033,7.4,4.4,0.0,0,0.558,0.153,0.222,0.396,,0.298,0.009,0.0,0
2023-12-15,1.8,holiday,23.7,0.078,3.4,5.5,0.0,0,0.488,0.339,0.277,0.401,0.161,0.281,0.017,0.053,0
2023-12-16,2.2,holiday,24.8,0.094,2.0,4.0,0.0,0,0.489,0.409,0.578,,0.326,0.391,0.095,0.283,0
2023-12-17,2.4,holiday,25.4,0.103,3.2,4.2,0.0,1,0.55,0.557,0.664,0.636,0.365,0.473,0.006,0.142,1
2023-12-18,0.0,holiday,25.0,0.049,5.6,4.9,0.0,0,,0.342,0.289,0.325,0.241,0.294,0.021,,1
2023-12-19,0.0,holiday,25.2,0.065,5.5,2.3,1.0,0,0.562,0.571,0.565,0.61,0.147,0.393,0.018,0.055,0
2023-12-20,0.0,holiday,25.1,0.121,2.0,4.6,0.0,0,0.553,0.28,0.35,0.428,0.14,0.309,0.0,0.17,0
2023-12-21,1.4,holiday,24.7,0.044,,2.7,0.0,0,0.434,0.172,0.291,0.364,0.166,0.353,0.0,0.034,0
2023-12-22,3.9,holiday,24.8,0.072,9.7,5.6,0.0,0,0.692,0.111,0.317,0.388,0.161,0.212,,0.074,1
2023-12-23,1.5,holiday,24.9,0.081,2.7,3.4,1.0,0,0.591,0.747,0.783,0.81,0.339,0.33,0.026,0.171,0
2023-12-24,2.5,holiday,25.2,0.131,1.3,5.3,0.0,0,0.782,0.403,0.589,,0.286,0.387,0.0,0.273,0
2023-12-25,0.8,holiday,24.6,0.087,5.6,4.9,0.0,0,0.583,0.201,0.284,0.351,0.171,0.266,0.044,0.054,1
2023-12-26,2.2,holiday,24.5,0.04,8.9,3.6,0.0,0,,0.395,0.348,0.443,0.086,0.214,0.065,0.105,0
2023-12-27,2.0,holiday,23.2,0.076,4.7,4.5,0.0,0,0.591,0.337,0.399,0.454,0.231,0.127,0.026,0.209,1
2023-12-28,2.7,holiday,22.3,0.055,7.3,3.3,0.0,0,0.601,0.381,0.333,0.348,,0.26,0.094,0.168,0
2023-12-29,5.4,holiday,23.0,0.056,,3.8,0.0,0,0.628,0.11,0.302,0.389,0.203,0.144,0.05,0.113,0
2023-12-30,4.0,holiday,24.8,0.139,0.3,4.8,0.0,0,0.671,0.464,0.606,0.544,0.381,0.484,0.053,0.242,0
2023-12-31,0.8,holiday,21.9,0.097,3.4,5.1,0.0,0,0.691,0.427,0.607,0.596,0.463,0.283,0.143,0.285,0
2024-01-01,2.4,holiday,24.7,0.122,2.1,5.9,0.0,0,0.518,0.158,0.298,0.38,0.157,0.24,0.044,0.0,0
2024-01-02,1.9,holiday,23.4,0.181,3.8,5.0,0.0,0,0.565,0.185,0.308,,0.219,0.122,0.035,0.119,1
2024-01-03,1.5,holiday,24.6,0.091,1.8,2.9,0.0,0,0.578,0.207,0.214,0.391,0.074,0.362,0.0,0.071,0
2024-01-04,3.4,holiday,23.5,0.0,5.6,3.0,0.0,0,0.57,0.258,,0.281,0.177,0.316,0.077,0.149,0
2024-01-05,2.4,holiday,22.0,0.091,3.7,4.4,1.0,0,0.63,0.46,0.594,0.509,0.057,0.239,0.0,0.083,0
2024-01-06,2.5,holiday,21.8,0.05,1.5,4.3,0.0,0,0.732,0.31,0.528,0.665,0.347,0.266,0.028,0.265,0
2024-01-07,4.9,holiday,21.6,0.132,3.9,3.6,0.0,0,0.87,0.604,0.572,0.526,0.393,0.318,0.141,0.359,0
2024-01-08,4.9,holiday,22.4,0.075,,5.4,0.0,0,0.555,0.382,0.344,0.371,0.182,0.157,0.109,0.215,1
2024-01-09,4.5,,21.3,0.025,6.0,4.6,0.0,0,0.616,0.224,0.279,0.33,0.16,0.337,0.142,0.179,0
2024-01-10,0.0,holiday,21.8,0.0,4.4,4.5,0.0,0,0.589,0.247,0.456,0.38,0.239,0.184,0.175,0.221,1
2024-01-11,2.2,holiday,20.9,0.024,2.0,3.3,0.0,0,0.523,0.384,0.292,0.323,0.195,0.301,0.121,0.063,0
2024-01-12,4.0,holiday,21.1,0.109,5.2,4.6,0.0,0,0.575,0.137,0.321,0.245,0.252,0.25,0.154,0.218,0
2024-01-13,1.7,holiday,21.3,0.04,,5.3,0.0,0,0.772,,0.611,0.566,0.337,,0.032,0.293,0
2024-01-14,3.9,holiday,20.4,0.04,2.4,5.2,0.0,0,0.493,0.523,0.617,0.54,0.402,0.258,0.162,0.278,0
2024-01-15,3.2,holiday,22.1,0.072,0.4,2.5,0.0,0,0.509,0.305,0.4,0.376,0.126,0.334,0.048,0.097,0
2024-01-16,4.2,holiday,20.6,0.046,3.1,5.0,0.0,0,0.463,0.289,0.342,0.272,0.12,0.208,0.162,0.147,1
2024-01-17,2.3,holiday,20.5,0.034,1.3,4.1,0.0,0,0.351,0.203,0.241,0.288,0.202,0.29,0.105,0.211,0
2024-01-18,4.8,holiday,19.6,0.186,8.4,5.4,0.0,0,0.679,,0.349,0.281,0.209,0.0,,0.182,1
2024-01-19,1.0,holiday,19.5,0.056,6.7,5.2,0.0,0,0.556,0.239,,0.333,0.117,0.133,0.261,0.177,0
2024-01-20,0.0,holiday,20.1,0.05,3.1,2.1,0.0,0,0.604,0.497,0.591,0.581,0.396,0.149,0.101,0.159,0
2024-01-21,2.4,holiday,19.2,0.073,2.8,6.2,0.0,0,0.597,0.453,0.542,0.62,0.391,0.322,0.147,0.303,1
2024-01-22,2.5,holiday,18.3,0.042,1.3,4.7,0.0,0,0.495,0.122,0.303,0.326,0.088,0.112,0.265,0.246,0
2024-01-23,5.6,holiday,18.8,0.056,9.9,2.7,0.0,0,0.645,0.15,0.205,0.279,0.152,0.134,0.168,0.127,0
2024-01-24,6.3,holiday,18.8,0.006,0.7,4.1,0.0,0,0.491,0.208,0.352,0.268,0.231,0.176,0.212,0.116,0
2024-01-25,0.0,holiday,18.1,0.122,7.0,3.5,0.0,0,0.626,0.278,0.357,0.255,,0.049,0.035,0.082,0
2024-01-26,3.9,holiday,18.8,0.169,1.8,4.9,0.0,0,0.437,0.175,0.27,0.362,0.193,0.091,0.193,0.148,0
2024-01-27,4.3,holiday,18.0,0.178,1.2,3.7,0.0,0,0.697,0.429,0.575,0.557,0.443,0.12,0.21,0.312,0
2024-01-28,4.3,holiday,18.1,0.019,2.6,3.6,0.0,0,0.671,0.5,0.558,0.497,0.404,0.191,0.157,0.275,0
2024-01-29,1.9,holiday,18.1,0.111,0.6,4.1,0.0,0,0.56,0.203,0.297,0.369,0.248,0.268,0.235,0.183,1
2024-01-30,2.4,holiday,17.3,0.014,4.4,4.4,0.0,0,0.403,0.169,0.227,0.29,0.176,0.046,0.253,0.204,0
2024-01-31,4.7,holiday,18.6,0.044,3.2,3.6,1.0,0,0.486,0.568,0.604,0.459,0.165,0.103,0.159,0.201,0
2024-02-01,4.4,weekday,17.6,0.638,6.9,3.0,0.0,0,0.579,0.113,0.043,0.105,0.0,0.0,0.308,0.2,0
2024-02-02,2.0,weekday,16.9,0.591,,6.7,0.0,0,0.433,0.0,0.11,0.017,0.052,0.043,0.304,0.156,1
2024-02-03,4.3,holiday,17.4,0.054,4.3,2.7,0.0,0,0.626,0.424,0.623,0.579,0.398,0.222,0.194,0.301,0
2024-02-04,3.4,holiday,16.6,0.132,1.5,2.5,0.0,0,0.804,0.478,0.577,0.616,0.431,0.301,0.228,0.342,0
2024-02-05,6.0,weekday,16.7,0.699,2.4,4.5,0.0,0,0.332,0.122,0.01,0.043,0.026,0.083,0.242,0.188,0
2024-02-06,4.9,weekday,17.2,0.711,4.1,4.7,0.0,0,0.541,0.0,0.014,0.062,0.014,0.0,0.231,0.148,0
2024-02-07,5.7,weekday,17.3,0.612,8.2,5.0,0.0,0,0.392,0.188,0.031,0.073,0.013,0.082,0.202,0.045,0
2024-02-08,5.8,weekday,14.9,,2.0,3.6,0.0,0,0.284,0.048,0.052,0.041,0.04,0.0,0.201,0.087,0
2024-02-09,2.6,weekday,15.7,0.672,0.5,3.0,0.0,0,0.372,0.023,0.0,0.005,0.0,0.0,0.269,,0
2024-02-10,2.6,holiday,16.0,0.118,1.1,3.0,0.0,0,0.659,0.427,0.594,0.518,0.337,,0.257,0.33,0
2024-02-11,6.5,holiday,15.1,0.119,5.8,5.9,0.0,0,0.709,0.466,0.563,0.542,0.396,0.096,0.28,0.332,1
2024-02-12,6.1,weekday,15.3,0.68,8.0,7.2,0.0,0,0.37,0.049,0.0,0.092,0.073,0.0,0.335,0.217,1
2024-02-13,5.9,weekday,14.6,0.564,4.8,3.6,0.0,0,0.497,0.032,0.08,,0.034,0.0,0.323,0.228,0
2024-02-14,3.5,weekday,15.1,,3.6,4.9,0.0,0,0.478,0.0,0.0,0.0,0.017,0.0,0.252,0.16,0
2024-02-15,8.4,weekday,15.1,0.629,1.8,3.8,0.0,0,0.439,0.0,0.0,0.106,0.005,0.037,0.318,,0
2024-02-16,5.3,weekday,15.1,0.668,3.0,5.2,0.0,0,0.342,0.0,0.108,0.032,0.098,0.0,0.333,0.174,0
2024-02-17,4.4,holiday,13.1,0.155,3.3,3.0,0.0,0,,0.38,0.619,0.618,0.529,0.048,0.233,0.348,0
2024-02-18,4.0,holiday,15.3,0.176,1.7,7.6,0.0,0,0.779,0.431,0.596,0.509,0.355,0.149,0.228,0.346,1
2024-02-19,3.2,weekday,14.6,0.647,6.9,4.3,0.0,0,0.577,0.077,0.0,0.014,0.049,0.0,0.361,0.075,1
2024-02-20,7.8,weekday,13.6,0.706,2.8,3.7,0.0,0,0.538,0.128,0.0,0.084,0.009,0.0,,0.186,1
2024-02-21,6.0,weekday,13.3,0.688,5.1,3.6,0.0,0,0.521,0.0,0.0,0.091,0.083,0.02,0.436,0.301,0
2024-02-22,4.3,weekday,14.0,,4.1,1.9,0.0,0,0.611,0.0,0.044,0.043,0.005,0.0,0.296,0.137,0
2024-02-23,7.5,weekday,12.4,0.587,5.8,5.8,0.0,0,0.236,0.0,0.0,0.062,0.035,,0.316,0.137,0
2024-02-24,4.4,holiday,12.4,0.086,3.9,4.2,0.0,0,0.604,0.415,0.666,0.571,,0.123,0.369,0.41,1
2024-02-25,5.6,holiday,12.4,0.064,1.3,5.6,0.0,0,0.674,0.548,0.59,0.54,0.361,0.059,0.34,0.336,0
2024-02-26,6.9,weekday,12.0,0.672,3.4,1.9,0.0,0,0.487,0.0,,0.054,0.019,0.0,0.366,0.252,0
2024-02-27,5.8,weekday,13.6,0.749,4.6,4.4,0.0,0,0.564,0.0,0.0,0.0,0.103,0.0,,0.176,0
2024-02-28,7.0,weekday,11.2,0.665,3.9,1.9,,0,0.259,0.179,0.0,0.015,0.121,0.0,0.379,0.188,0
2024-02-29,3.8,weekday,10.8,0.637,3.7,4.2,0.0,0,0.388,0.052,0.133,0.09,0.083,0.0,0.378,0.237,0
2024-03-01,2.3,weekday,11.5,0.681,2.7,3.9,,0,0.558,0.0,0.0,0.045,0.016,0.0,0.347,0.205,1
2024-03-02,4.8,holiday,12.6,0.049,1.8,4.7,0.0,0,0.649,0.44,0.52,0.586,0.417,0.188,0.431,0.452,0
2024-03-03,6.8,holiday,11.3,0.16,2.2,2.8,0.0,0,0.735,0.425,0.593,0.529,0.432,0.189,0.458,0.416,0
2024-03-04,4.0,weekday,11.2,0.691,3.5,4.5,1.0,0,0.541,0.235,0.286,0.161,0.056,0.0,0.427,0.196,0
2024-03-05,4.7,weekday,12.4,0.743,4.8,3.4,0.0,0,0.345,0.0,0.0,0.0,0.098,0.0,0.341,0.245,0
2024-03-06,5.5,weekday,10.7,0.674,2.6,3.3,0.0,0,0.394,0.088,0.0,0.052,0.084,,0.327,0.097,0
2024-03-07,5.9,weekday,10.8,0.684,5.5,6.5,0.0,0,0.401,0.0,0.024,0.0,0.093,0.0,,0.223,1
2024-03-08,6.8,weekday,9.9,0.599,3.2,4.1,0.0,0,0.393,0.08,,0.0,0.112,0.0,0.441,0.208,1
2024-03-09,4.7,holiday,10.3,0.079,3.6,4.5,0.0,0,0.596,0.349,0.592,0.439,0.454,0.139,0.406,0.414,1
2024-03-10,4.9,holiday,10.6,0.152,3.0,3.5,1.0,0,0.725,0.597,0.815,0.647,0.372,0.144,0.464,0.314,0
2024-03-11,5.4,weekday,9.3,0.595,4.0,6.5,0.0,0,0.347,0.0,0.026,0.0,0.047,0.0,,0.269,0
2024-03-12,4.8,weekday,10.8,0.6,3.6,4.1,0.0,0,0.278,0.106,0.0,0.068,0.038,0.042,0.397,0.241,1
2024-03-13,2.3,weekday,8.9,0.648,5.0,5.1,0.0,0,0.335,0.0,0.0,0.105,0.0,0.0,0.428,0.204,0
2024-03-14,3.5,weekday,9.3,0.64,2.2,3.3,0.0,0,0.449,0.029,0.0,0.0,0.049,0.0,0.45,0.282,0
2024-03-15,4.6,weekday,10.7,,5.0,2.1,0.0,0,0.34,0.0,0.0,0.0,0.0,0.0,0.394,0.2,0
2024-03-16,7.6,holiday,10.6,0.112,1.9,3.6,0.0,0,0.606,0.439,0.535,0.568,0.404,0.144,,0.505,1
2024-03-17,4.7,holiday,8.7,0.16,1.8,4.0,0.0,0,0.609,0.484,0.582,0.451,0.486,0.192,0.424,0.431,0
2024-03-18,2.0,weekday,7.9,0.615,4.3,3.1,0.0,0,0.509,0.019,0.0,0.051,0.069,0.0,0.475,0.237,0
2024-03-19,8.8,weekday,8.8,0.637,9.1,3.6,0.0,0,0.479,0.0,0.018,0.006,0.313,0.0,0.461,0.257,0
2024-03-20,5.0,weekday,9.3,0.638,3.8,3.6,0.0,0,0.427,0.039,0.0,0.0,0.057,0.0,,0.282,1
2024-03-21,4.5,weekday,6.7,0.629,1.3,4.9,0.0,0,0.342,0.0,0.0,0.0,0.086,0.0,0.581,0.24,0
2024-03-22,6.5,weekday,8.6,0.68,0.3,2.6,1.0,0,0.401,0.273,0.275,0.217,0.11,0.0,0.498,0.324,0
2024-03-23,5.6,holiday,8.4,0.0,4.1,3.8,0.0,0,0.519,0.474,0.623,0.559,0.443,0.148,0.423,,1
2024-03-24,6.7,holiday,7.3,0.07,4.6,3.7,0.0,0,0.706,0.424,0.577,0.466,0.534,0.0,,0.468,0
2024-03-25,1.2,weekday,8.4,0.738,0.7,5.5,0.0,0,0.365,0.0,0.032,0.0,0.033,0.008,0.376,0.174,1
2024-03-26,4.9,weekday,6.7,0.725,4.4,3.7,0.0,0,0.314,0.0,0.063,0.015,0.175,,0.53,0.378,0
