date,ferry_cancel_count,holiday,rainfall_mm,tourist_inflow_count,temperature_c,wind_speed_mps,snowfall_cm,event_local_flag,typhoon_alert_flag,y
2024-01-05,0.19,holiday,2.6,0.588,25.8,7.2,1.5,1.0,0,0
2024-01-06,0.123,holiday,0.7,,26.0,3.5,5.7,0.0,0,0
2024-01-07,0.209,holiday,4.3,0.58,25.4,6.3,0.2,0.0,0,0
2024-01-08,0.169,holiday,1.6,0.403,27.1,6.4,1.4,0.0,0,0
2024-01-09,0.241,holiday,,0.284,27.6,7.6,0.0,0.0,0,0
2024-01-10,0.195,holiday,4.9,0.405,25.6,3.9,1.9,0.0,0,1
2024-01-11,0.242,,2.9,0.3,25.9,7.4,1.7,0.0,0,0
2024-01-12,0.158,holiday,2.2,0.296,25.5,3.9,1.9,0.0,0,0
2024-01-13,0.142,holiday,1.2,0.464,25.1,4.1,3.1,,0,0
2024-01-14,0.19,holiday,3.6,0.404,24.6,6.8,5.1,0.0,0,1
2024-01-15,0.169,holiday,4.9,0.274,25.9,6.1,3.9,0.0,0,0
2024-01-16,0.141,holiday,4.0,,22.7,5.0,2.3,0.0,0,0
2024-01-17,0.1,holiday,2.5,0.189,22.7,3.8,1.6,0.0,0,0
2024-01-18,0.15,holiday,3.1,0.257,24.9,3.2,0.7,0.0,0,0
2024-01-19,0.214,holiday,2.9,0.321,24.0,6.6,6.2,0.0,0,0
2024-01-20,0.25,holiday,1.4,0.524,24.2,6.9,0.6,0.0,0,0
2024-01-21,0.227,holiday,1.0,0.491,24.6,6.8,2.4,0.0,0,0
2024-01-22,0.21,holiday,1.0,0.262,24.2,6.8,3.5,0.0,0,0
2024-01-23,0.231,holiday,6.5,0.253,24.2,4.5,4.2,0.0,0,0
2024-01-24,,holiday,3.6,0.178,23.8,4.4,2.4,0.0,0,1
2024-01-25,0.187,holiday,1.2,0.305,23.8,6.8,2.8,0.0,0,1
2024-01-26,0.175,holiday,8.6,,23.7,4.2,2.2,0.0,0,1
2024-01-27,0.197,holiday,2.2,0.487,23.0,4.2,1.4,0.0,0,0
2024-01-28,0.165,holiday,2.8,0.495,24.5,5.4,0.6,0.0,0,0
2024-01-29,0.181,holiday,4.1,0.272,24.2,4.4,3.2,0.0,0,0
2024-01-30,0.187,holiday,1.8,0.177,20.9,5.6,2.8,0.0,0,0
2024-01-31,0.163,holiday,6.2,0.16,22.6,5.5,2.0,0.0,0,0
2024-02-01,0.186,weekday,3.8,0.086,21.7,4.8,3.1,0.0,0,0
2024-02-02,0.174,weekday,1.1,0.051,22.0,6.4,2.9,0.0,0,1
2024-02-03,0.146,holiday,5.3,0.499,22.3,5.6,4.0,0.0,0,0
2024-02-04,0.095,holiday,6.8,0.37,21.3,2.7,1.9,0.0,0,0
2024-02-05,0.186,weekday,2.6,0.0,21.8,5.8,2.7,0.0,0,0
2024-02-06,0.072,weekday,1.3,0.335,20.1,4.0,4.7,1.0,0,0
2024-02-07,0.183,weekday,1.3,0.203,21.6,5.2,0.8,0.0,0,1
2024-02-08,0.151,weekday,1.9,0.179,20.8,4.3,5.0,0.0,0,0
2024-02-09,0.135,weekday,3.8,0.057,21.8,4.2,2.1,0.0,0,0
2024-02-10,0.166,holiday,5.5,0.37,20.4,4.4,2.7,0.0,0,0
2024-02-11,0.183,holiday,0.5,0.419,20.4,6.1,3.9,0.0,0,0
2024-02-12,0.198,weekday,8.6,0.0,19.9,5.9,3.6,0.0,0,0
2024-02-13,0.243,weekday,2.8,0.167,19.7,5.8,3.7,0.0,0,0
2024-02-14,0.157,weekday,1.6,0.247,19.1,3.7,4.7,1.0,0,0
2024-02-15,0.169,weekday,1.0,0.083,19.5,5.4,6.0,0.0,0,0
2024-02-16,,weekday,3.8,,19.8,6.7,4.1,0.0,0,0
2024-02-17,0.195,holiday,4.8,0.883,18.6,6.5,5.5,1.0,0,0
2024-02-18,0.195,holiday,5.5,0.41,18.1,7.1,6.1,0.0,0,0
2024-02-19,0.165,weekday,4.8,0.0,19.5,5.5,3.3,0.0,0,0
2024-02-20,0.177,weekday,4.8,0.114,18.1,4.5,3.7,0.0,0,0
2024-02-21,0.234,weekday,2.1,0.0,18.0,6.7,5.2,0.0,0,1
2024-02-22,0.268,weekday,3.3,0.139,19.1,8.3,6.0,0.0,0,0
2024-02-23,0.128,weekday,3.0,0.037,18.5,3.7,2.6,0.0,0,0
2024-02-24,0.236,,1.3,0.464,18.5,6.5,2.5,0.0,0,0
2024-02-25,0.167,holiday,1.6,0.381,18.0,5.5,6.8,0.0,0,0
2024-02-26,0.143,weekday,2.0,0.16,16.7,5.5,2.2,0.0,0,1
2024-02-27,0.218,weekday,7.6,0.084,16.6,5.1,5.8,0.0,0,0
2024-02-28,0.217,weekday,0.2,0.0,16.0,6.6,6.2,0.0,0,1
2024-02-29,0.239,weekday,4.6,0.0,17.4,7.3,3.6,0.0,0,1
2024-03-01,0.194,weekday,1.9,0.116,17.7,4.6,4.3,0.0,0,0
2024-03-02,0.172,holiday,4.5,0.49,15.3,3.2,4.6,,0,0
2024-03-03,0.155,holiday,1.6,0.484,17.0,4.8,6.4,0.0,0,0
2024-03-04,0.125,weekday,1.1,0.0,16.2,2.6,4.0,0.0,0,0
2024-03-05,0.199,weekday,1.5,,16.8,5.0,2.9,0.0,0,0
2024-03-06,0.178,weekday,3.4,0.023,16.4,5.0,4.4,0.0,0,0
2024-03-07,0.18,weekday,2.9,0.088,14.7,5.3,5.5,0.0,0,0
2024-03-08,0.193,weekday,1.0,0.087,14.6,5.8,5.4,1.0,0,0
2024-03-09,0.23,holiday,3.9,0.617,14.9,7.0,4.6,1.0,0,1
2024-03-10,0.206,holiday,4.8,0.352,16.7,6.4,8.7,0.0,0,0
2024-03-11,0.23,weekday,5.3,0.02,15.0,5.4,7.0,0.0,0,0
2024-03-12,0.195,weekday,0.6,0.12,14.6,5.9,6.5,0.0,0,0
2024-03-13,0.101,weekday,0.9,0.001,15.5,3.0,4.1,0.0,0,0
2024-03-14,0.148,weekday,1.8,0.03,14.3,4.2,2.6,0.0,0,0
2024-03-15,0.181,weekday,2.7,0.0,12.6,6.4,7.0,0.0,0,0
2024-03-16,0.167,holiday,6.2,0.567,14.7,4.2,7.9,0.0,0,0
2024-03-17,0.174,holiday,6.4,,14.3,5.2,3.1,0.0,0,0
2024-03-18,0.093,weekday,2.9,0.137,13.5,3.5,5.7,0.0,0,0
2024-03-19,0.171,,2.5,0.098,12.5,6.1,3.5,0.0,0,0
2024-03-20,0.194,weekday,1.2,0.0,13.7,5.8,5.1,0.0,0,0
2024-03-21,0.154,weekday,3.0,0.02,12.5,4.4,5.9,0.0,0,0
2024-03-22,0.145,weekday,3.1,0.0,13.2,5.4,7.0,0.0,0,0
2024-03-23,0.171,holiday,4.7,0.389,14.1,5.7,6.1,0.0,0,0
2024-03-24,,holiday,1.6,0.448,12.7,4.5,6.0,0.0,0,0
2024-03-25,0.178,weekday,6.9,0.082,12.4,4.4,8.3,0.0,0,0
2024-03-26,0.159,weekday,2.2,0.135,12.5,4.4,0.9,0.0,0,0
2024-03-27,0.155,weekday,2.4,0.062,12.8,4.6,3.0,0.0,0,0
2024-03-28,0.167,weekday,3.5,0.052,13.2,5.9,4.1,0.0,0,0
2024-03-29,0.212,weekday,3.3,0.0,12.2,5.9,6.0,,0,1
2024-03-30,0.176,holiday,5.7,0.32,11.2,5.7,2.9,0.0,0,0
2024-03-31,0.249,holiday,3.8,0.446,11.4,7.7,7.4,0.0,0,0
2024-04-01,0.069,weekday,3.5,0.014,12.2,2.7,0.6,0.0,0,0
2024-04-02,0.211,weekday,6.5,,8.9,5.8,0.0,0.0,0,1
2024-04-03,0.237,weekday,5.8,0.024,11.4,6.8,0.0,0.0,0,1
2024-04-04,0.232,weekday,2.0,0.0,10.5,7.6,1.0,0.0,0,1
2024-04-05,,weekday,2.8,0.0,12.1,5.7,1.9,0.0,0,0
2024-04-06,0.209,holiday,6.9,0.36,11.3,6.9,4.3,0.0,0,1
2024-04-07,0.184,holiday,1.0,0.376,9.9,4.4,1.9,0.0,0,0
2024-04-08,0.122,weekday,2.0,0.004,10.3,3.6,0.0,0.0,0,0
2024-04-09,0.139,weekday,4.8,0.0,10.8,4.1,1.3,,0,0
2024-04-10,0.182,weekday,0.1,0.334,11.5,6.2,0.0,,0,1
2024-04-11,0.162,weekday,5.4,0.0,10.6,4.6,0.0,0.0,0,1
2024-04-12,0.195,weekday,4.8,0.058,8.6,5.7,0.0,0.0,0,1
2024-04-13,0.142,holiday,1.0,0.371,9.9,4.9,0.0,0.0,0,0
2024-04-14,0.197,holiday,,0.356,9.4,5.7,0.0,0.0,0,1
2024-04-15,0.201,weekday,3.2,0.0,10.6,6.8,0.2,,0,0
2024-04-16,0.233,weekday,2.3,0.0,9.9,6.0,0.0,0.0,0,0
2024-04-17,0.183,weekday,0.4,0.0,8.5,6.9,2.4,0.0,0,0
2024-04-18,0.164,weekday,0.6,0.228,9.7,5.3,0.0,0.0,0,0
2024-04-19,0.207,weekday,3.7,0.0,10.1,6.2,0.2,0.0,0,0
2024-04-20,0.1,holiday,2.3,,8.9,4.2,0.1,0.0,0,0
2024-04-21,0.132,holiday,3.6,0.549,10.2,5.6,0.4,0.0,0,0
2024-04-22,0.118,weekday,3.8,0.086,9.5,3.7,1.6,0.0,0,0
2024-04-23,0.264,weekday,1.6,0.078,8.7,7.6,0.0,0.0,0,1
2024-04-24,,weekday,1.2,0.0,7.9,5.2,1.7,0.0,0,0
2024-04-25,0.093,weekday,1.0,0.077,10.0,3.4,0.2,0.0,0,0
2024-04-26,0.118,weekday,2.2,0.0,8.3,5.6,0.0,0.0,0,1
2024-04-27,0.472,holiday,,0.313,8.3,3.9,1.2,0.0,1,1
2024-04-28,0.179,holiday,3.4,0.44,7.8,5.0,0.0,0.0,0,0
2024-04-29,0.305,weekday,3.0,0.0,8.7,8.5,0.4,0.0,0,0
2024-04-30,0.259,weekday,3.0,,7.9,7.1,0.7,1.0,0,1
2024-05-01,0.157,holiday,3.4,0.202,8.1,5.4,1.0,0.0,0,0
2024-05-02,0.155,holiday,5.2,0.13,7.6,5.4,0.0,0.0,0,1
2024-05-03,0.18,holiday,1.0,0.147,8.1,5.3,0.0,0.0,0,1
2024-05-04,0.147,holiday,3.1,0.487,7.8,5.0,0.8,0.0,0,0
2024-05-05,0.121,holiday,3.4,0.349,8.6,3.8,0.1,0.0,0,0
2024-05-06,0.202,holiday,4.2,0.364,7.5,5.7,0.0,0.0,0,1
2024-05-07,0.162,holiday,2.4,0.219,7.8,5.1,1.0,0.0,0,0
2024-05-08,0.157,holiday,3.9,0.202,7.1,4.9,2.8,0.0,0,0
2024-05-09,0.122,holiday,,,7.8,4.4,2.0,0.0,0,0
2024-05-10,0.199,holiday,10.3,,6.9,5.6,0.5,0.0,0,1
2024-05-11,0.251,holiday,1.6,0.691,4.9,6.5,0.0,1.0,0,0
2024-05-12,0.132,holiday,3.2,0.424,5.6,5.2,1.6,0.0,0,0
2024-05-13,0.183,holiday,4.4,0.335,7.6,5.7,0.0,0.0,0,0
2024-05-14,0.192,holiday,0.3,0.131,6.7,6.5,0.0,0.0,0,0
2024-05-15,0.207,holiday,1.9,0.412,6.7,4.1,0.7,0.0,0,0
2024-05-16,0.205,holiday,3.3,0.283,6.7,4.4,0.5,0.0,0,0
2024-05-17,0.186,holiday,2.6,0.132,6.1,4.7,0.0,0.0,0,0
2024-05-18,0.171,holiday,7.3,0.458,7.0,4.2,0.0,0.0,0,0
2024-05-19,0.23,holiday,3.8,0.445,7.4,6.0,0.4,0.0,0,0
2024-05-20,0.2,holiday,4.1,0.092,7.1,6.4,1.7,0.0,0,0
2024-05-21,0.316,holiday,7.8,0.307,6.5,7.4,0.0,0.0,0,1
2024-05-22,0.179,holiday,,0.153,6.6,4.7,0.6,0.0,0,0
2024-05-23,0.147,holiday,2.1,0.201,8.0,6.2,1.3,0.0,0,0
2024-05-24,0.133,holiday,3.7,0.127,6.8,4.6,0.0,,0,0
2024-05-25,0.1,holiday,3.7,0.339,6.0,3.7,0.9,0.0,0,0
2024-05-26,0.242,holiday,2.6,0.536,7.3,7.5,0.0,0.0,0,1
2024-05-27,0.16,holiday,3.5,0.157,7.6,5.9,0.0,0.0,0,0
2024-05-28,,holiday,5.1,0.194,7.6,4.1,1.9,0.0,0,0
2024-05-29,,holiday,5.6,0.188,8.2,5.2,3.3,0.0,0,0
2024-05-30,0.152,holiday,6.0,0.465,7.1,5.6,0.2,1.0,0,0
2024-05-31,0.242,holiday,7.8,0.216,7.6,5.2,1.2,0.0,0,1
2024-06-01,0.194,holiday,,0.381,7.2,4.6,2.7,0.0,0,0
2024-06-02,0.238,holiday,27.6,0.391,6.1,4.1,0.0,0.0,0,1
2024-06-03,0.201,weekday,22.0,0.0,6.5,3.3,0.0,0.0,0,0
2024-06-04,0.275,weekday,18.4,0.094,7.7,7.3,0.8,,0,0
2024-06-05,0.267,weekday,22.8,0.0,8.3,5.7,2.2,0.0,0,1
2024-06-06,0.218,weekday,19.8,0.0,7.3,5.6,0.0,0.0,0,0
2024-06-07,0.145,weekday,21.8,,6.5,3.6,0.4,0.0,0,0
2024-06-08,0.26,holiday,18.9,0.305,6.6,5.5,0.0,0.0,0,1
2024-06-09,0.295,holiday,20.7,0.201,6.8,5.9,0.0,0.0,0,1
2024-06-10,0.171,weekday,18.6,0.0,6.1,2.9,0.0,0.0,0,0
2024-06-11,0.244,weekday,20.7,0.003,6.7,5.5,0.7,0.0,0,1
2024-06-12,0.22,weekday,24.4,0.0,6.7,3.4,1.1,0.0,0,1
2024-06-13,0.341,weekday,19.2,0.001,6.8,8.4,0.0,0.0,0,1
2024-06-14,0.182,weekday,18.4,0.046,9.1,3.7,0.0,0.0,0,0
2024-06-15,0.206,holiday,19.8,0.264,7.1,4.7,0.0,0.0,0,1
2024-06-16,0.231,holiday,26.2,0.324,8.7,3.9,0.0,0.0,0,0
2024-06-17,0.237,weekday,21.8,0.024,7.1,5.1,0.0,0.0,0,1
2024-06-18,0.316,weekday,24.0,0.0,8.1,6.2,0.0,0.0,0,1
2024-06-19,0.209,weekday,24.1,0.009,7.2,5.4,1.0,0.0,0,1
2024-06-20,0.223,weekday,19.4,0.0,8.2,5.1,0.6,0.0,0,1
2024-06-21,0.222,weekday,18.3,0.0,8.9,5.7,0.0,0.0,0,1
2024-06-22,0.183,holiday,20.2,0.394,8.1,5.2,0.0,0.0,0,1
2024-06-23,0.278,holiday,23.2,,8.4,7.5,1.0,0.0,0,1
2024-06-24,0.199,weekday,20.1,0.0,8.2,5.1,1.2,0.0,0,0
2024-06-25,0.223,weekday,19.2,0.0,10.7,5.2,0.0,0.0,0,0
2024-06-26,0.274,weekday,18.9,0.0,9.4,7.3,0.3,0.0,0,1
2024-06-27,0.244,weekday,21.1,0.0,6.2,5.9,2.1,0.0,0,1
2024-06-28,0.156,weekday,21.3,0.0,8.0,6.1,0.9,0.0,0,1
2024-06-29,,holiday,18.7,0.69,7.6,6.1,2.1,1.0,0,1
2024-06-30,0.202,holiday,19.8,0.405,9.4,4.6,0.0,0.0,0,0
2024-07-01,0.222,weekday,18.8,0.0,8.7,5.0,2.8,0.0,0,0
2024-07-02,0.149,weekday,21.1,0.019,8.7,4.7,0.0,0.0,0,0
2024-07-03,0.251,weekday,24.2,0.0,8.9,5.0,0.0,0.0,0,1
2024-07-04,0.243,weekday,23.9,0.0,10.2,5.2,0.0,0.0,0,1
2024-07-05,0.156,weekday,19.6,0.186,12.1,4.0,0.0,,0,0
2024-07-06,0.211,holiday,20.3,0.333,9.4,4.6,1.6,0.0,0,1
2024-07-07,0.201,holiday,21.8,0.232,10.1,6.2,0.0,0.0,0,1
2024-07-08,0.259,weekday,21.2,0.0,9.6,6.1,0.8,0.0,0,1
2024-07-09,0.218,weekday,23.2,0.0,10.8,4.6,0.0,0.0,0,1
2024-07-10,0.188,weekday,20.9,0.0,9.0,4.0,0.0,0.0,0,1
2024-07-11,0.286,weekday,2.8,0.0,9.8,6.5,0.0,0.0,0,1
2024-07-12,0.253,weekday,7.9,0.0,10.1,6.8,0.0,0.0,0,0
2024-07-13,0.109,holiday,1.9,0.336,10.1,4.8,1.1,0.0,0,0
2024-07-14,0.213,holiday,0.5,0.376,12.0,6.4,1.1,0.0,0,0
2024-07-15,0.116,weekday,8.0,0.0,10.6,2.9,2.2,0.0,0,0
2024-07-16,0.196,weekday,,0.034,10.1,5.7,0.1,1.0,0,0
2024-07-17,0.127,weekday,1.4,0.21,12.1,3.6,0.0,0.0,0,0
2024-07-18,0.195,weekday,2.9,0.02,11.0,6.1,0.0,0.0,0,0
2024-07-19,0.176,weekday,0.5,0.061,11.9,5.0,0.5,0.0,0,0
2024-07-20,0.145,holiday,2.0,0.406,11.5,3.4,0.0,0.0,0,0
2024-07-21,0.248,holiday,6.4,0.293,11.3,7.3,0.0,0.0,0,1
2024-07-22,0.225,weekday,4.2,0.0,12.4,6.7,0.0,0.0,0,0
2024-07-23,0.146,weekday,4.1,0.0,13.3,2.4,1.3,0.0,0,0
2024-07-24,0.129,weekday,3.3,0.187,10.9,3.4,0.0,1.0,0,0
2024-07-25,0.202,weekday,6.5,0.032,14.7,4.5,2.1,0.0,0,0
2024-07-26,0.112,weekday,5.1,0.0,11.8,3.5,0.0,0.0,0,0
2024-07-27,0.113,holiday,1.8,0.554,11.5,3.3,4.1,0.0,0,0
2024-07-28,0.187,holiday,4.1,0.309,11.7,4.9,0.0,0.0,0,0
2024-07-29,0.274,weekday,,0.078,13.3,8.0,0.0,0.0,0,0
2024-07-30,0.209,weekday,4.8,,13.5,6.5,3.3,0.0,0,1
2024-07-31,0.309,weekday,3.1,0.0,14.4,8.2,0.0,0.0,0,1
2024-08-01,0.356,holiday,17.5,0.08,13.6,9.7,0.0,0.0,0,1
2024-08-02,0.379,holiday,15.1,0.169,12.7,10.8,2.7,0.0,0,1
2024-08-03,0.403,holiday,15.1,0.446,13.1,10.4,0.4,0.0,0,1
