date,beach_crowd_index,temperature_c,holiday,rainfall_mm,wind_speed_mps,y
2024-02-16,0.078,24.0,weekday,7.7,3.1,0.373
2024-02-17,0.253,22.5,holiday,6.1,6.4,0.382
2024-02-18,0.338,23.6,holiday,6.0,4.0,0.456
2024-02-19,0.063,22.8,weekday,5.9,5.4,0.277
2024-02-20,,22.7,weekday,5.3,6.6,0.164
2024-02-21,0.261,23.1,weekday,0.6,4.7,0.307
2024-02-22,0.125,22.8,weekday,2.3,5.2,0.273
2024-02-23,0.173,21.8,weekday,2.3,5.3,0.243
2024-02-24,0.357,23.9,holiday,2.2,5.4,0.387
2024-02-25,0.339,23.0,holiday,6.2,5.5,0.345
2024-02-26,0.053,24.0,weekday,1.7,7.5,0.301
2024-02-27,0.01,22.0,weekday,3.6,6.8,0.186
2024-02-28,0.381,23.5,weekday,2.9,2.4,0.377
2024-02-29,0.15,22.5,weekday,5.4,4.3,0.223
2024-03-01,0.049,21.7,weekday,1.5,2.8,0.25
2024-03-02,0.381,21.8,holiday,3.2,4.9,0.385
2024-03-03,0.293,22.6,holiday,3.4,5.8,0.419
2024-03-04,0.178,21.4,weekday,1.5,3.4,0.286
2024-03-05,0.088,20.5,weekday,2.1,4.6,0.233
2024-03-06,0.081,21.9,weekday,5.0,4.0,0.294
2024-03-07,0.121,22.7,weekday,1.7,5.5,0.228
2024-03-08,0.236,20.7,weekday,2.1,4.8,0.182
2024-03-09,0.402,20.6,holiday,4.8,4.4,0.415
2024-03-10,0.277,20.5,holiday,4.9,4.0,0.453
2024-03-11,0.129,20.3,weekday,0.6,4.3,0.287
2024-03-12,0.127,19.6,weekday,2.8,4.4,0.269
2024-03-13,0.086,20.6,weekday,3.2,4.6,0.283
2024-03-14,0.209,21.6,weekday,0.5,4.4,0.261
2024-03-15,0.0,18.0,weekday,4.9,5.5,0.265
2024-03-16,0.246,21.2,holiday,4.5,6.8,0.461
2024-03-17,0.258,18.9,holiday,8.1,6.2,0.316
2024-03-18,0.101,18.3,weekday,2.9,5.7,0.264
2024-03-19,0.056,18.9,weekday,10.9,5.4,0.127
2024-03-20,0.05,18.1,weekday,2.2,6.1,0.153
2024-03-21,0.062,19.2,weekday,5.0,5.4,0.267
2024-03-22,0.025,19.9,weekday,2.7,6.4,0.196
2024-03-23,0.297,18.6,holiday,1.9,5.2,0.344
2024-03-24,0.268,16.7,holiday,2.9,3.2,0.345
2024-03-25,0.0,16.1,weekday,0.8,5.8,0.146
2024-03-26,0.0,17.3,weekday,1.1,6.0,0.158
2024-03-27,,17.0,weekday,1.3,6.3,0.211
2024-03-28,0.017,17.9,weekday,9.3,3.3,0.24
2024-03-29,0.0,16.6,weekday,5.8,5.3,0.178
2024-03-30,0.255,17.9,holiday,0.7,5.5,0.33
2024-03-31,0.149,16.6,holiday,1.3,6.7,0.254
2024-04-01,0.0,17.8,weekday,5.2,4.7,0.247
2024-04-02,0.0,16.6,weekday,4.5,5.2,0.2
2024-04-03,0.0,16.0,weekday,0.4,3.4,0.118
2024-04-04,0.0,16.7,weekday,5.7,4.7,0.193
2024-04-05,0.04,16.1,weekday,2.1,3.4,0.164
2024-04-06,0.101,17.0,holiday,4.5,6.2,0.278
2024-04-07,,15.9,holiday,1.3,3.8,0.312
2024-04-08,0.0,15.2,weekday,9.2,5.2,0.226
2024-04-09,0.0,16.5,weekday,7.7,6.9,0.152
2024-04-10,0.0,14.9,weekday,3.7,1.9,0.216
2024-04-11,0.0,15.6,,2.3,6.1,0.148
2024-04-12,0.0,15.1,weekday,7.0,5.7,0.096
2024-04-13,0.171,15.1,holiday,4.1,6.2,0.268
2024-04-14,0.076,15.1,holiday,1.4,5.8,0.243
2024-04-15,0.0,16.3,weekday,7.7,5.8,0.148
2024-04-16,0.005,14.8,weekday,7.4,5.7,0.087
2024-04-17,0.0,13.6,weekday,1.8,4.0,0.212
2024-04-18,0.0,13.4,weekday,8.1,6.1,0.105
2024-04-19,0.0,14.4,weekday,3.1,4.3,0.181
2024-04-20,0.13,14.9,holiday,4.1,5.5,0.251
2024-04-21,0.0,14.6,holiday,1.7,6.9,0.243
2024-04-22,0.0,14.5,weekday,7.5,4.7,0.111
2024-04-23,0.0,14.4,weekday,0.7,5.9,0.122
2024-04-24,0.0,13.9,weekday,1.0,4.3,0.166
2024-04-25,0.0,13.9,weekday,3.3,6.1,0.165
2024-04-26,0.0,13.2,weekday,0.7,3.4,0.105
2024-04-27,0.06,12.1,holiday,2.1,4.3,0.21
2024-04-28,0.0,14.4,holiday,4.2,6.0,0.267
2024-04-29,0.0,11.8,weekday,5.7,4.0,0.105
2024-04-30,0.0,12.0,weekday,3.1,5.8,0.051
2024-05-01,0.0,11.9,holiday,1.4,4.7,0.222
2024-05-02,0.171,11.8,holiday,0.8,2.8,0.346
2024-05-03,0.004,9.9,holiday,5.3,2.7,0.272
2024-05-04,0.094,11.1,holiday,7.3,4.8,0.118
2024-05-05,0.051,12.3,holiday,2.7,7.4,0.218
2024-05-06,0.0,11.8,holiday,2.2,8.2,0.22
2024-05-07,0.0,11.5,holiday,2.0,5.0,0.25
2024-05-08,0.021,10.6,holiday,5.8,5.5,0.287
2024-05-09,0.0,12.4,holiday,4.8,3.8,0.309
2024-05-10,0.066,11.1,holiday,2.3,5.5,0.207
2024-05-11,0.08,12.1,holiday,9.9,5.5,0.211
2024-05-12,0.144,9.9,holiday,3.7,5.8,0.247
2024-05-13,0.015,13.6,holiday,5.5,5.1,0.289
2024-05-14,0.0,10.7,holiday,3.8,5.5,0.157
2024-05-15,0.0,12.2,holiday,0.9,6.3,0.254
2024-05-16,0.0,12.0,holiday,1.8,4.7,0.235
2024-05-17,0.0,11.0,holiday,10.4,4.1,0.327
2024-05-18,0.071,10.3,,2.6,6.8,0.177
2024-05-19,0.219,12.1,holiday,1.2,3.8,0.306
2024-05-20,0.088,10.8,holiday,2.8,3.8,0.26
2024-05-21,0.0,11.6,holiday,1.6,6.7,0.207
2024-05-22,0.0,10.2,holiday,0.2,7.6,0.233
2024-05-23,0.04,11.0,holiday,7.7,5.2,0.215
2024-05-24,0.0,11.7,holiday,3.6,8.2,0.244
2024-05-25,0.101,10.1,holiday,,5.9,0.193
2024-05-26,,10.4,holiday,5.1,3.1,0.257
2024-05-27,0.0,10.3,holiday,1.9,6.1,0.155
2024-05-28,0.0,10.8,holiday,6.8,7.1,0.198
2024-05-29,0.0,10.4,holiday,3.4,5.8,0.22
2024-05-30,0.0,10.5,holiday,3.5,7.0,0.205
2024-05-31,0.0,10.1,holiday,1.7,4.5,0.187
2024-06-01,0.0,9.3,holiday,,6.7,0.162
2024-06-02,0.057,11.1,holiday,22.7,4.9,0.092
2024-06-03,0.0,11.2,weekday,21.6,5.4,0.061
2024-06-04,0.0,10.0,weekday,23.7,4.0,0.0
2024-06-05,0.0,9.9,weekday,19.5,3.4,0.072
2024-06-06,0.0,10.6,weekday,20.5,7.1,0.0
2024-06-07,0.0,10.0,weekday,24.1,5.3,0.042
2024-06-08,0.0,12.0,holiday,20.1,6.5,0.147
2024-06-09,0.05,10.0,holiday,23.0,3.3,0.178
2024-06-10,0.0,10.1,weekday,24.6,3.1,0.022
2024-06-11,0.0,10.6,weekday,21.5,3.3,0.112
2024-06-12,0.0,10.5,weekday,18.9,6.7,0.056
2024-06-13,0.0,8.4,weekday,19.4,4.0,0.059
2024-06-14,0.0,10.1,weekday,23.3,5.2,0.069
2024-06-15,0.095,8.7,holiday,21.9,3.8,0.129
2024-06-16,0.0,9.7,holiday,,6.7,0.16
2024-06-17,0.0,9.7,weekday,22.2,4.9,0.0
2024-06-18,0.0,10.3,weekday,21.5,5.6,0.033
2024-06-19,0.0,9.7,weekday,27.3,5.7,0.03
2024-06-20,0.0,10.9,weekday,,4.6,0.088
2024-06-21,0.0,9.3,weekday,24.1,2.9,0.015
2024-06-22,0.0,10.9,holiday,20.4,6.8,0.189
2024-06-23,,11.4,holiday,19.3,7.1,0.147
2024-06-24,0.0,9.6,weekday,20.6,3.0,0.022
2024-06-25,0.0,11.1,weekday,19.0,4.6,0.036
2024-06-26,0.0,9.4,weekday,18.9,8.0,0.0
2024-06-27,0.0,10.7,weekday,18.5,6.0,0.011
2024-06-28,0.0,10.4,weekday,24.8,2.9,0.082
2024-06-29,0.0,10.5,holiday,21.2,7.7,0.12
2024-06-30,0.0,11.0,holiday,18.9,4.6,0.182
2024-07-01,0.0,10.5,weekday,19.1,4.7,0.026
2024-07-02,0.0,11.9,weekday,19.9,5.4,0.0
2024-07-03,0.0,11.6,weekday,18.3,6.2,0.0
2024-07-04,,10.0,weekday,22.2,3.6,0.0
2024-07-05,0.0,11.0,weekday,26.5,5.5,0.0
2024-07-06,0.0,10.6,holiday,22.1,7.9,0.043
2024-07-07,,11.1,holiday,19.2,6.2,0.19
2024-07-08,0.0,10.6,weekday,21.3,6.1,0.002
2024-07-09,0.0,9.6,weekday,26.2,7.1,0.0
2024-07-10,0.0,12.6,weekday,21.4,4.6,0.0
2024-07-11,0.0,11.7,weekday,2.4,6.3,0.122
2024-07-12,0.0,10.3,weekday,6.9,7.5,0.08
2024-07-13,0.025,10.6,holiday,4.3,4.2,0.186
2024-07-14,0.12,12.2,holiday,5.2,4.7,0.313
2024-07-15,0.0,13.0,weekday,4.5,6.1,0.031
2024-07-16,0.0,11.9,weekday,3.5,5.4,0.09
2024-07-17,0.0,12.5,weekday,4.0,6.9,0.056
2024-07-18,0.0,12.0,weekday,0.7,4.0,0.162
2024-07-19,0.034,10.6,weekday,6.4,5.5,0.113
2024-07-20,0.294,11.5,holiday,1.3,4.7,0.337
2024-07-21,0.162,11.7,holiday,3.3,7.0,0.135
2024-07-22,0.015,13.8,weekday,1.3,3.8,0.131
2024-07-23,0.0,12.7,weekday,3.1,3.8,0.141
2024-07-24,0.0,13.5,weekday,3.8,7.5,0.104
2024-07-25,0.0,10.9,weekday,1.3,4.5,0.092
2024-07-26,0.0,12.0,weekday,2.1,5.5,0.075
2024-07-27,0.0,12.8,holiday,6.5,6.0,0.27
2024-07-28,,13.1,holiday,0.9,5.0,0.243
2024-07-29,0.0,14.4,weekday,2.2,7.4,0.058
2024-07-30,0.0,14.7,weekday,2.4,5.4,0.198
2024-07-31,0.0,13.8,weekday,2.9,5.1,0.129
2024-08-01,0.0,15.5,holiday,25.6,10.4,0.134
2024-08-02,0.0,14.2,holiday,26.5,11.3,0.142
2024-08-03,0.0,13.6,holiday,30.8,15.8,0.0
2024-08-04,0.0,12.9,,22.1,12.7,0.122
2024-08-05,0.0,15.0,holiday,21.9,10.9,0.106
2024-08-06,0.0,14.0,holiday,21.6,11.6,0.111
2024-08-07,0.0,13.9,holiday,21.4,11.9,0.175
2024-08-08,0.0,12.8,holiday,20.7,12.0,0.085
2024-08-09,0.0,15.4,holiday,26.9,12.3,0.142
2024-08-10,0.0,15.7,holiday,21.5,11.7,0.215
2024-08-11,0.0,14.8,holiday,,11.9,0.223
2024-08-12,0.0,15.1,holiday,24.6,11.7,0.122
2024-08-13,0.0,13.3,holiday,22.7,12.4,0.061
2024-08-14,0.0,15.0,holiday,24.3,12.9,0.0
2024-08-15,0.0,15.6,holiday,26.7,13.3,0.136
2024-08-16,0.0,16.2,,21.3,11.6,0.191
2024-08-17,0.0,15.0,holiday,20.2,14.2,0.165
2024-08-18,0.0,16.6,holiday,21.4,12.6,0.039
2024-08-19,0.0,14.2,holiday,27.3,11.5,0.142
2024-08-20,0.0,15.5,holiday,20.2,12.8,0.247
2024-08-21,0.0,15.5,holiday,20.1,13.6,0.083
2024-08-22,0.0,17.0,holiday,23.4,11.6,0.087
2024-08-23,0.0,17.3,holiday,24.9,9.2,0.16
2024-08-24,0.0,17.2,holiday,21.8,12.3,0.194
2024-08-25,0.0,16.1,holiday,19.5,11.0,0.229
2024-08-26,0.0,16.4,holiday,19.7,10.9,0.199
2024-08-27,0.0,17.0,holiday,20.9,11.7,0.168
2024-08-28,0.0,17.6,holiday,22.2,12.8,0.202
2024-08-29,0.0,17.6,holiday,24.2,12.4,0.218
2024-08-30,0.0,17.6,holiday,19.6,14.3,0.187
2024-08-31,0.052,17.7,holiday,21.6,11.6,0.127
2024-09-01,0.0,18.5,holiday,20.9,12.3,0.152
2024-09-02,0.0,17.7,weekday,24.9,11.8,0.025
2024-09-03,0.0,18.2,weekday,21.8,11.5,0.106
2024-09-04,0.0,20.4,weekday,20.7,12.3,0.092
2024-09-05,0.0,19.8,weekday,23.1,10.9,0.051
2024-09-06,0.0,18.3,weekday,21.0,11.6,0.104
2024-09-07,0.003,18.6,holiday,25.4,10.0,0.176
2024-09-08,0.0,18.8,holiday,25.2,11.5,0.296
2024-09-09,0.0,20.1,weekday,23.1,10.6,0.076
2024-09-10,0.0,20.6,weekday,22.7,14.0,0.007
2024-09-11,0.0,19.8,weekday,20.7,13.3,0.114
2024-09-12,0.0,19.7,weekday,22.1,13.1,0.101
2024-09-13,0.0,19.3,weekday,21.7,10.9,0.113
2024-09-14,0.074,21.3,holiday,24.7,11.7,0.246
2024-09-15,0.0,20.0,holiday,20.9,13.2,0.242
2024-09-16,0.0,20.2,weekday,23.6,11.9,0.161
2024-09-17,0.0,21.7,weekday,19.8,12.7,0.15
2024-09-18,0.0,21.6,weekday,23.4,14.1,0.038
2024-09-19,0.0,21.6,weekday,25.5,9.8,0.162
2024-09-20,0.0,22.5,weekday,,11.8,0.238
2024-09-21,0.0,20.8,holiday,20.7,12.7,0.278
2024-09-22,0.127,22.5,holiday,25.0,11.0,0.268
2024-09-23,0.0,21.7,weekday,21.1,11.1,0.099
2024-09-24,0.0,22.7,weekday,23.7,13.6,0.073
2024-09-25,0.0,22.2,weekday,23.4,13.0,0.134
2024-09-26,0.003,22.6,weekday,23.9,14.3,0.098
2024-09-27,0.0,22.0,weekday,23.5,12.6,0.086
2024-09-28,0.089,22.5,holiday,20.7,10.9,0.308
2024-09-29,0.162,22.2,holiday,19.2,12.3,0.207
2024-09-30,0.0,24.4,weekday,23.6,9.8,0.14
2024-10-01,0.218,23.7,weekday,5.0,6.6,0.3
2024-10-02,0.157,24.1,weekday,3.8,6.2,0.318
2024-10-03,0.153,24.3,weekday,6.6,6.1,0.268
2024-10-04,,24.3,weekday,0.9,5.3,0.281
2024-10-05,0.186,23.0,holiday,8.4,6.0,0.413
2024-10-06,,23.5,holiday,6.6,6.6,0.375
2024-10-07,0.146,24.3,weekday,,4.7,0.314
2024-10-08,0.161,23.5,weekday,2.6,4.8,0.246
2024-10-09,0.162,24.9,weekday,2.3,4.2,0.318
2024-10-10,0.188,25.0,weekday,3.9,5.3,0.347
2024-10-11,,24.8,weekday,2.4,7.0,0.233
2024-10-12,0.4,25.8,holiday,,4.1,0.525
2024-10-13,0.408,26.0,holiday,9.6,3.3,0.436
2024-10-14,0.196,26.2,weekday,0.7,5.3,0.392
2024-10-15,0.103,25.3,weekday,,3.8,0.326
2024-10-16,,25.5,weekday,3.7,3.5,0.423
2024-10-17,0.196,25.5,weekday,1.7,6.7,0.359
2024-10-18,0.254,26.0,weekday,1.3,6.8,0.299
2024-10-19,0.45,26.9,holiday,3.4,6.1,0.539
2024-10-20,0.392,25.7,holiday,0.6,4.9,0.445
2024-10-21,0.246,26.1,weekday,5.0,2.8,0.445
2024-10-22,0.297,26.2,weekday,5.5,5.4,0.295
2024-10-23,0.263,26.5,weekday,2.0,6.4,0.35
2024-10-24,0.247,27.2,weekday,5.3,4.1,0.412
2024-10-25,0.346,26.8,weekday,3.8,5.4,0.276
2024-10-26,0.451,27.5,holiday,3.0,8.9,0.428
2024-10-27,0.502,26.2,holiday,2.2,7.9,0.455
2024-10-28,0.408,28.3,weekday,1.0,5.1,0.407
2024-10-29,0.202,26.7,weekday,3.0,6.1,0.361
2024-10-30,0.229,26.6,weekday,2.8,6.6,0.362
2024-10-31,0.165,26.3,weekday,1.6,6.8,0.269
2024-11-01,0.265,28.2,weekday,3.6,6.0,0.388
2024-11-02,0.427,28.2,holiday,3.0,4.6,0.51
2024-11-03,0.515,28.1,holiday,2.7,4.2,0.582
2024-11-04,0.291,28.8,weekday,0.3,6.9,0.326
2024-11-05,0.181,28.3,weekday,2.0,7.2,0.34
2024-11-06,0.338,29.7,weekday,0.8,6.4,0.392
2024-11-07,0.299,27.7,weekday,4.1,5.6,0.349
2024-11-08,0.379,28.5,weekday,0.4,2.8,0.383
2024-11-09,0.539,27.9,holiday,3.7,4.6,0.485
2024-11-10,0.595,28.4,holiday,3.4,4.8,0.532
2024-11-11,0.263,28.3,weekday,1.4,5.7,0.354
2024-11-12,0.199,27.8,weekday,2.7,5.2,0.354
2024-11-13,0.184,27.8,weekday,5.4,3.5,0.352
2024-11-14,0.16,28.6,,7.3,5.6,0.262
2024-11-15,0.346,29.6,weekday,5.9,2.6,0.387
2024-11-16,0.509,28.2,holiday,3.9,2.8,0.529
2024-11-17,0.418,29.7,holiday,7.2,4.7,0.534
2024-11-18,0.25,30.6,weekday,3.6,6.4,0.361
2024-11-19,0.285,29.9,weekday,6.6,6.0,0.36
2024-11-20,0.322,29.9,weekday,4.9,5.8,0.394
2024-11-21,0.346,29.6,weekday,2.9,5.8,0.376
2024-11-22,0.383,30.0,weekday,1.0,5.1,0.461
2024-11-23,0.713,29.1,holiday,1.7,1.9,0.618
2024-11-24,0.543,28.3,holiday,6.6,3.5,0.551
2024-11-25,0.306,29.1,weekday,2.1,7.6,0.364
2024-11-26,0.284,30.2,weekday,6.7,6.5,0.311
2024-11-27,0.39,30.4,weekday,2.0,5.6,0.353
2024-11-28,0.358,30.0,weekday,3.3,5.9,0.345
2024-11-29,,30.2,weekday,4.4,2.9,0.381
2024-11-30,0.438,28.8,holiday,5.6,5.5,0.431
2024-12-01,0.628,29.2,holiday,2.9,3.9,0.57
2024-12-02,0.577,29.6,holiday,,6.5,0.54
2024-12-03,0.404,29.9,holiday,4.8,7.3,0.502
2024-12-04,0.545,29.3,holiday,1.7,5.5,0.55
2024-12-05,,30.1,holiday,2.6,6.2,0.53
2024-12-06,0.476,30.4,holiday,1.7,5.9,0.469
2024-12-07,0.543,29.2,holiday,6.9,5.9,0.529
2024-12-08,0.587,30.0,holiday,1.2,4.2,0.583
