date,holiday,rainfall_mm,temperature_c,onsen_visitors_count,wind_speed_mps,y
2024-02-11,holiday,1.5,25.9,0.328,3.5,0.566
2024-02-12,weekday,2.9,24.8,0.041,5.4,0.05
2024-02-13,weekday,3.4,25.2,0.007,5.1,0.064
2024-02-14,weekday,8.8,25.4,0.0,4.9,0.045
2024-02-15,weekday,2.9,24.2,0.0,6.5,0.072
2024-02-16,weekday,1.2,24.8,0.086,3.5,0.076
2024-02-17,holiday,2.7,24.5,0.375,7.0,0.506
2024-02-18,holiday,6.9,23.2,0.3,5.4,0.503
2024-02-19,weekday,3.2,22.9,0.0,7.9,0.028
2024-02-20,weekday,0.4,20.6,0.0,5.4,0.091
2024-02-21,weekday,0.9,23.0,0.0,5.2,0.346
2024-02-22,weekday,1.9,22.5,0.0,3.7,0.025
2024-02-23,weekday,4.0,23.0,0.0,1.0,0.368
2024-02-24,holiday,1.5,22.3,0.336,5.0,0.845
2024-02-25,holiday,2.2,22.4,0.393,5.3,0.563
2024-02-26,weekday,8.1,22.6,,4.7,0.0
2024-02-27,weekday,7.2,22.6,0.0,5.9,0.0
2024-02-28,weekday,1.1,22.3,0.061,4.8,0.111
2024-02-29,weekday,1.7,22.4,0.0,5.8,0.039
2024-03-01,weekday,0.8,21.2,0.0,6.3,0.313
2024-03-02,holiday,4.3,23.4,0.375,3.9,0.469
2024-03-03,holiday,2.5,21.3,0.36,4.6,0.583
2024-03-04,weekday,1.1,20.2,0.0,5.8,0.05
2024-03-05,weekday,4.2,23.6,0.0,5.3,0.034
2024-03-06,weekday,0.4,21.5,0.044,6.0,0.089
2024-03-07,weekday,2.1,21.4,0.0,4.8,0.063
2024-03-08,weekday,1.1,22.9,0.002,4.0,0.103
2024-03-09,holiday,1.9,21.5,0.369,4.3,0.517
2024-03-10,holiday,,21.2,0.34,3.3,0.546
2024-03-11,weekday,2.5,20.6,0.0,4.5,0.055
2024-03-12,weekday,3.0,19.8,0.0,4.2,0.042
2024-03-13,weekday,1.5,19.9,0.0,7.2,0.025
2024-03-14,weekday,8.9,19.3,0.038,4.7,0.075
2024-03-15,weekday,3.4,19.9,0.0,4.7,0.013
2024-03-16,holiday,4.9,18.6,0.267,5.9,0.484
2024-03-17,holiday,2.0,20.8,0.276,5.5,0.533
2024-03-18,weekday,2.7,18.5,0.029,6.1,0.04
2024-03-19,weekday,1.3,18.9,0.0,5.1,0.057
2024-03-20,weekday,3.5,19.6,0.075,4.5,0.0
2024-03-21,weekday,6.3,18.9,0.068,3.9,0.0
2024-03-22,weekday,9.6,19.0,0.045,6.3,0.021
2024-03-23,holiday,3.0,18.5,,4.8,0.809
2024-03-24,holiday,2.6,17.3,0.277,7.3,0.474
2024-03-25,weekday,2.5,19.4,0.027,2.8,0.042
2024-03-26,weekday,3.1,17.8,0.0,3.8,0.0
2024-03-27,weekday,1.6,16.2,0.009,4.8,0.029
2024-03-28,weekday,1.7,16.2,0.0,5.5,0.066
2024-03-29,weekday,,16.2,0.0,4.9,0.016
2024-03-30,holiday,3.5,17.7,0.366,4.9,0.79
2024-03-31,holiday,4.4,16.9,0.325,4.5,0.516
2024-04-01,weekday,3.3,18.2,0.039,3.4,0.055
2024-04-02,weekday,3.7,17.2,0.0,5.9,0.018
2024-04-03,weekday,4.2,16.2,0.0,5.1,0.0
2024-04-04,weekday,7.0,17.3,0.005,3.8,0.0
2024-04-05,weekday,9.8,14.9,0.031,4.3,0.001
2024-04-06,holiday,5.6,15.9,0.388,6.6,0.495
2024-04-07,holiday,1.6,16.0,0.458,5.7,0.535
2024-04-08,weekday,7.9,15.8,0.016,5.0,0.018
2024-04-09,weekday,1.5,14.9,0.089,5.0,0.02
2024-04-10,weekday,2.8,16.2,0.0,6.2,0.03
2024-04-11,weekday,1.6,13.5,0.086,5.7,0.0
2024-04-12,weekday,3.9,16.0,0.035,5.0,0.245
2024-04-13,holiday,1.2,13.9,0.365,3.5,0.531
2024-04-14,holiday,2.2,14.7,0.348,6.3,0.573
2024-04-15,weekday,4.6,15.8,0.0,5.9,0.094
2024-04-16,weekday,6.6,14.4,0.0,6.2,0.287
2024-04-17,weekday,5.9,14.6,0.048,6.8,0.303
2024-04-18,weekday,2.2,13.7,0.034,5.3,0.003
2024-04-19,weekday,5.0,13.9,0.067,4.5,0.045
2024-04-20,holiday,3.5,14.1,0.424,5.8,0.521
2024-04-21,holiday,2.1,13.3,0.441,3.3,0.502
2024-04-22,weekday,1.6,14.9,0.0,5.8,0.0
2024-04-23,weekday,1.5,13.0,0.108,5.9,0.027
2024-04-24,weekday,5.4,12.9,0.116,5.1,0.031
2024-04-25,weekday,2.2,13.0,0.051,6.8,0.008
2024-04-26,weekday,3.6,14.1,0.035,6.0,0.062
2024-04-27,holiday,2.8,12.1,0.415,6.2,0.566
2024-04-28,holiday,0.7,13.5,,6.0,0.519
2024-04-29,weekday,2.9,12.6,0.023,5.2,0.0
2024-04-30,weekday,3.3,13.1,0.084,5.5,0.032
2024-05-01,holiday,7.2,12.3,0.162,5.5,0.366
2024-05-02,holiday,3.5,13.2,0.198,5.7,0.448
2024-05-03,holiday,3.6,12.8,0.157,0.8,0.451
2024-05-04,holiday,3.3,12.0,0.453,5.1,0.803
2024-05-05,holiday,4.2,11.0,0.327,5.9,0.465
2024-05-06,holiday,2.6,11.6,0.269,4.5,0.438
2024-05-07,holiday,7.2,10.9,0.218,4.3,0.392
2024-05-08,holiday,5.4,11.5,0.274,7.0,0.414
2024-05-09,holiday,,12.2,0.269,4.5,0.418
2024-05-10,holiday,,10.8,0.313,4.9,0.419
2024-05-11,holiday,2.7,10.9,0.341,6.2,0.508
2024-05-12,holiday,0.5,10.3,0.421,5.4,0.508
2024-05-13,holiday,4.9,10.3,0.156,3.5,0.349
2024-05-14,holiday,1.4,11.0,0.251,5.7,0.652
2024-05-15,holiday,2.3,10.7,0.235,6.1,0.495
2024-05-16,holiday,0.2,11.5,0.302,3.8,0.469
2024-05-17,holiday,2.6,11.6,0.312,5.8,0.46
2024-05-18,holiday,6.6,10.8,0.462,5.6,0.442
2024-05-19,holiday,0.9,11.6,0.446,5.1,0.454
2024-05-20,holiday,5.9,10.6,0.281,5.1,0.426
2024-05-21,holiday,0.4,11.6,0.316,4.2,0.471
2024-05-22,holiday,3.6,10.5,0.272,4.6,0.434
2024-05-23,holiday,2.2,10.6,0.239,5.0,0.344
2024-05-24,holiday,5.1,9.9,0.288,8.2,0.403
2024-05-25,holiday,0.5,10.9,0.351,5.9,0.82
2024-05-26,holiday,0.2,10.6,0.455,5.6,0.531
2024-05-27,holiday,2.0,10.7,0.309,4.9,0.391
2024-05-28,holiday,3.2,9.9,0.207,3.5,0.422
2024-05-29,holiday,5.0,10.4,0.181,7.2,0.409
2024-05-30,holiday,2.9,11.0,0.23,8.1,0.664
2024-05-31,holiday,2.3,11.0,0.256,4.5,0.395
2024-06-01,holiday,21.2,10.8,0.372,4.7,0.408
2024-06-02,holiday,20.2,10.9,0.406,5.5,0.454
2024-06-03,weekday,20.3,9.0,0.053,2.8,0.0
2024-06-04,weekday,23.2,10.2,0.009,4.7,0.0
2024-06-05,weekday,24.1,9.6,0.03,6.5,0.0
2024-06-06,weekday,25.5,10.1,0.092,5.8,0.01
2024-06-07,weekday,21.9,9.9,0.069,5.9,0.0
2024-06-08,holiday,24.1,9.6,0.394,6.1,0.484
2024-06-09,holiday,23.8,10.4,0.346,4.9,0.409
2024-06-10,weekday,,10.6,0.111,4.2,0.0
2024-06-11,weekday,21.0,10.2,0.077,5.0,0.0
2024-06-12,weekday,19.7,10.3,0.0,5.4,0.0
2024-06-13,weekday,20.6,10.5,0.048,5.2,0.0
2024-06-14,weekday,20.9,9.2,0.042,8.7,0.0
2024-06-15,holiday,21.1,9.3,0.497,4.1,0.484
2024-06-16,holiday,19.9,10.6,0.42,4.0,0.452
2024-06-17,weekday,22.9,10.3,0.083,7.1,0.0
2024-06-18,weekday,19.8,10.1,0.0,6.5,0.0
2024-06-19,,19.8,10.7,0.062,5.2,0.0
2024-06-20,weekday,21.0,9.2,0.067,6.2,0.0
2024-06-21,weekday,23.1,11.6,0.0,6.1,0.123
2024-06-22,holiday,26.3,11.2,0.413,5.1,0.431
2024-06-23,holiday,19.0,10.7,0.417,3.9,0.362
2024-06-24,weekday,26.4,10.3,0.144,6.6,0.015
2024-06-25,weekday,22.0,10.6,0.049,4.1,0.0
2024-06-26,weekday,22.8,10.4,,6.0,0.0
2024-06-27,weekday,20.4,10.3,0.053,5.7,0.0
2024-06-28,weekday,19.9,9.5,0.128,2.3,0.022
2024-06-29,holiday,23.4,10.8,0.449,4.5,0.711
2024-06-30,holiday,19.5,11.5,0.505,6.8,0.428
2024-07-01,weekday,20.2,9.8,0.032,7.0,0.0
2024-07-02,weekday,20.3,9.9,0.03,4.6,0.0
2024-07-03,weekday,19.9,12.1,0.091,4.4,0.0
2024-07-04,weekday,19.3,9.9,0.006,5.8,0.0
2024-07-05,weekday,25.6,10.3,0.074,4.4,0.0
2024-07-06,holiday,19.7,12.4,0.392,6.6,0.45
2024-07-07,holiday,21.6,10.3,0.341,4.4,0.695
2024-07-08,weekday,24.6,11.9,0.06,5.9,0.212
2024-07-09,weekday,22.8,10.9,0.069,4.2,0.0
2024-07-10,weekday,19.4,11.3,0.15,6.2,0.0
2024-07-11,weekday,0.9,10.9,0.123,6.7,0.0
2024-07-12,weekday,7.6,12.1,0.05,8.7,0.0
2024-07-13,holiday,0.3,12.0,0.442,4.3,0.821
2024-07-14,holiday,3.8,12.7,0.392,5.7,0.759
2024-07-15,weekday,1.1,11.1,0.015,6.5,0.018
2024-07-16,weekday,6.0,11.7,0.112,3.6,0.0
2024-07-17,weekday,1.9,13.0,0.01,5.7,0.001
2024-07-18,weekday,1.8,12.0,0.13,2.0,0.0
2024-07-19,weekday,3.0,12.6,0.096,6.0,0.039
2024-07-20,holiday,4.9,12.4,0.438,4.1,0.484
2024-07-21,holiday,2.4,12.1,0.431,6.5,0.51
2024-07-22,weekday,2.0,12.3,0.062,3.5,0.032
2024-07-23,weekday,6.1,12.3,0.051,4.7,0.0
2024-07-24,weekday,0.2,13.7,0.022,4.7,0.075
2024-07-25,weekday,9.2,11.6,0.115,3.4,0.003
2024-07-26,weekday,2.7,12.9,0.0,4.9,0.0
2024-07-27,holiday,1.7,13.2,0.38,3.2,0.468
2024-07-28,holiday,5.5,11.8,0.459,5.2,0.478
2024-07-29,weekday,3.2,13.2,0.055,4.0,0.021
2024-07-30,weekday,0.2,13.5,0.057,5.6,0.0
2024-07-31,weekday,5.0,12.8,0.025,6.8,0.007
2024-08-01,holiday,23.1,14.7,0.272,12.8,0.4
2024-08-02,holiday,24.3,13.1,0.285,14.0,0.369
2024-08-03,holiday,21.2,12.3,0.411,14.4,0.442
2024-08-04,holiday,22.3,14.5,0.393,10.2,0.455
2024-08-05,holiday,21.0,13.3,0.175,11.7,0.4
2024-08-06,holiday,21.0,14.6,0.309,12.2,0.375
2024-08-07,holiday,29.4,14.0,0.248,11.0,0.345
2024-08-08,holiday,20.1,13.4,0.271,12.2,0.705
2024-08-09,holiday,20.5,13.4,0.218,10.5,0.342
2024-08-10,holiday,26.3,14.3,0.46,11.8,0.445
2024-08-11,holiday,21.3,14.0,0.446,10.8,0.497
2024-08-12,holiday,21.0,15.3,0.215,10.3,0.364
2024-08-13,holiday,20.4,15.2,0.208,11.7,0.388
2024-08-14,holiday,21.2,16.2,0.164,13.6,0.38
2024-08-15,holiday,22.2,14.7,0.19,14.6,0.372
2024-08-16,holiday,,15.1,0.252,10.4,0.378
2024-08-17,holiday,22.1,14.0,0.381,12.9,0.465
2024-08-18,holiday,19.9,16.0,0.364,12.7,0.697
2024-08-19,holiday,19.7,15.2,,10.1,0.399
2024-08-20,holiday,20.7,16.6,0.138,10.5,0.42
2024-08-21,holiday,22.8,16.1,0.249,10.9,0.386
2024-08-22,holiday,21.3,16.8,0.248,9.5,0.388
2024-08-23,holiday,23.3,17.5,0.21,12.0,0.392
2024-08-24,holiday,21.7,15.9,0.498,11.1,0.493
2024-08-25,holiday,20.3,16.9,,12.7,0.459
2024-08-26,holiday,19.9,17.4,0.189,11.6,0.41
2024-08-27,holiday,20.6,18.5,,11.9,0.69
2024-08-28,holiday,,17.7,0.18,11.9,0.358
2024-08-29,holiday,24.0,18.0,0.128,12.6,0.401
2024-08-30,holiday,22.2,18.8,0.236,8.7,0.379
2024-08-31,holiday,21.6,18.2,0.364,15.2,0.495
2024-09-01,holiday,20.9,17.1,0.334,12.0,0.406
2024-09-02,weekday,23.4,19.9,0.0,13.5,0.0
2024-09-03,weekday,21.3,17.3,0.082,12.0,0.296
2024-09-04,weekday,26.8,18.4,0.014,12.4,0.0
2024-09-05,weekday,24.9,19.4,0.015,12.3,0.0
2024-09-06,weekday,21.8,19.0,0.036,12.5,0.0
2024-09-07,holiday,26.8,20.2,0.269,13.9,0.417
2024-09-08,holiday,,18.9,0.421,13.4,0.532
2024-09-09,weekday,22.7,21.3,0.0,13.5,0.033
2024-09-10,weekday,26.1,19.1,0.0,9.1,0.0
2024-09-11,weekday,22.3,20.4,0.0,11.6,0.0
2024-09-12,weekday,22.7,20.3,0.0,12.2,0.019
2024-09-13,weekday,20.1,19.6,0.0,12.8,0.0
2024-09-14,holiday,,22.0,0.364,14.2,0.477
2024-09-15,holiday,21.1,19.3,0.346,11.9,0.492
2024-09-16,weekday,22.2,21.1,0.021,12.9,0.0
2024-09-17,weekday,20.8,22.8,0.0,12.0,0.0
2024-09-18,weekday,19.5,21.6,0.108,13.5,0.004
2024-09-19,weekday,28.7,20.1,0.041,10.6,0.0
2024-09-20,weekday,25.1,21.8,0.0,12.6,0.0
2024-09-21,holiday,22.3,22.1,0.378,13.7,0.713
2024-09-22,holiday,26.6,23.1,0.457,9.3,0.483
2024-09-23,weekday,19.4,21.0,0.0,13.1,0.016
2024-09-24,weekday,20.1,21.0,0.0,13.5,0.224
2024-09-25,weekday,24.2,23.9,0.061,9.7,0.036
2024-09-26,weekday,20.8,22.6,0.0,12.2,0.01
2024-09-27,weekday,,23.2,0.0,12.9,0.0
2024-09-28,holiday,20.3,22.8,0.258,11.5,0.472
2024-09-29,holiday,21.7,21.9,0.411,12.4,0.503
2024-09-30,weekday,19.1,24.4,0.0,12.3,0.0
2024-10-01,weekday,5.5,22.6,0.0,6.3,0.042
2024-10-02,weekday,2.0,23.2,0.04,3.9,0.095
2024-10-03,weekday,3.8,24.3,0.023,4.7,0.038
2024-10-04,weekday,4.4,24.5,0.0,3.0,0.037
2024-10-05,holiday,7.0,23.3,0.29,5.9,0.579
2024-10-06,holiday,3.1,23.4,0.253,4.7,0.536
2024-10-07,weekday,6.6,24.8,0.0,2.5,0.323
2024-10-08,weekday,5.6,24.6,0.117,5.0,0.035
2024-10-09,weekday,1.2,23.8,0.0,4.1,0.055
2024-10-10,weekday,3.4,23.8,0.0,4.5,0.0
2024-10-11,weekday,1.4,25.9,0.061,6.1,0.107
2024-10-12,holiday,4.6,25.2,0.337,7.4,0.568
2024-10-13,holiday,4.8,25.8,0.395,5.0,0.524
2024-10-14,weekday,1.7,25.4,0.0,6.6,0.059
2024-10-15,weekday,1.5,25.2,0.031,3.5,0.018
2024-10-16,weekday,3.2,25.8,0.0,6.4,0.027
2024-10-17,weekday,1.6,24.9,0.038,3.6,0.059
2024-10-18,weekday,5.7,26.6,0.0,3.9,0.1
2024-10-19,holiday,6.0,24.8,0.302,4.8,0.479
2024-10-20,holiday,0.2,24.0,0.327,4.8,0.599
2024-10-21,weekday,7.9,26.2,0.0,5.3,0.004
2024-10-22,weekday,2.8,26.4,0.022,3.7,0.05
2024-10-23,weekday,2.6,26.6,0.038,4.6,0.0
2024-10-24,weekday,1.1,27.0,0.0,6.0,0.044
2024-10-25,weekday,1.5,27.0,0.0,3.6,0.086
2024-10-26,holiday,7.3,26.7,0.323,6.1,0.774
2024-10-27,holiday,4.0,27.8,0.409,6.0,0.516
2024-10-28,weekday,,27.2,0.0,3.7,0.06
2024-10-29,weekday,3.3,26.7,0.028,4.2,0.104
2024-10-30,weekday,5.6,27.5,0.0,7.4,0.021
2024-10-31,weekday,3.3,27.4,0.0,4.8,0.069
2024-11-01,weekday,,27.6,0.046,3.9,0.384
2024-11-02,holiday,2.3,28.4,0.38,3.7,0.498
2024-11-03,holiday,0.9,29.3,0.411,5.9,0.561
2024-11-04,weekday,2.3,27.9,0.015,7.1,0.125
2024-11-05,weekday,4.2,26.3,,4.7,0.088
2024-11-06,weekday,5.1,28.3,0.038,5.3,0.013
2024-11-07,weekday,7.7,27.7,0.0,2.3,0.027
2024-11-08,weekday,0.4,28.8,0.0,4.8,0.079
2024-11-09,holiday,1.1,28.5,0.346,6.2,0.543
2024-11-10,holiday,4.2,29.5,0.385,4.5,0.541
2024-11-11,weekday,2.7,28.5,0.0,4.7,0.112
2024-11-12,weekday,2.7,29.8,0.01,4.4,0.089
2024-11-13,weekday,5.4,28.6,0.077,4.8,0.324
2024-11-14,weekday,1.3,29.4,0.0,4.6,0.019
2024-11-15,weekday,3.2,28.6,0.025,5.7,0.098
2024-11-16,holiday,1.6,29.2,0.414,5.3,0.604
2024-11-17,holiday,1.8,29.0,0.42,6.2,0.866
2024-11-18,weekday,5.8,28.6,0.018,8.6,0.037
2024-11-19,weekday,8.1,28.2,0.012,4.9,0.069
2024-11-20,weekday,4.7,30.2,0.0,5.7,0.04
2024-11-21,weekday,1.9,29.0,0.045,4.5,0.022
2024-11-22,weekday,1.9,28.3,0.0,4.3,0.031
2024-11-23,holiday,4.9,30.3,0.262,5.4,0.585
2024-11-24,holiday,0.2,30.0,0.423,5.6,0.609
2024-11-25,weekday,2.8,29.1,,4.2,0.386
2024-11-26,weekday,1.4,29.3,0.03,3.8,0.013
2024-11-27,weekday,1.5,29.1,0.021,4.8,0.119
2024-11-28,weekday,2.4,29.9,0.0,4.5,0.374
2024-11-29,weekday,1.3,28.6,0.0,5.6,0.073
2024-11-30,holiday,8.5,28.3,0.387,5.4,0.545
2024-12-01,holiday,9.7,30.0,0.378,3.2,0.494
2024-12-02,holiday,9.3,29.4,0.162,6.1,0.43
2024-12-03,holiday,2.9,28.6,0.212,5.0,0.686
2024-12-04,holiday,8.3,30.1,0.1,6.8,0.523
2024-12-05,holiday,7.4,30.4,0.202,5.6,0.464
2024-12-06,holiday,2.9,29.0,0.219,4.7,0.5
2024-12-07,holiday,2.3,28.7,0.347,5.0,0.557
