date,wind_speed_mps,temperature_c,holiday,rainfall_mm,snowfall_cm,y
2023-12-27,5.1,29.1,holiday,0.3,1.7,0
2023-12-28,3.8,29.3,holiday,1.3,0.0,1
2023-12-29,3.0,30.7,holiday,3.0,0.9,0
2023-12-30,3.1,30.5,holiday,2.5,0.0,0
2023-12-31,1.4,31.2,holiday,5.2,0.5,0
2024-01-01,3.4,30.4,holiday,3.3,0.5,0
2024-01-02,3.8,30.4,holiday,3.0,0.0,0
2024-01-03,4.7,29.8,holiday,1.6,1.4,0
2024-01-04,4.9,28.9,holiday,1.7,0.0,0
2024-01-05,3.7,30.1,holiday,1.6,4.8,0
2024-01-06,3.4,29.3,holiday,2.0,1.7,0
2024-01-07,6.2,29.0,holiday,2.4,0.0,0
2024-01-08,3.7,28.2,holiday,4.8,2.7,0
2024-01-09,3.2,28.2,holiday,2.1,1.4,0
2024-01-10,3.1,29.0,holiday,4.0,0.3,0
2024-01-11,4.1,28.7,holiday,7.7,2.1,1
2024-01-12,2.5,28.3,holiday,5.8,2.0,0
2024-01-13,5.6,27.6,holiday,1.7,3.3,0
2024-01-14,4.5,28.4,holiday,0.5,2.2,1
2024-01-15,3.5,27.9,holiday,6.6,2.6,0
2024-01-16,3.6,27.7,holiday,,2.0,0
2024-01-17,4.4,29.8,holiday,2.6,1.6,1
2024-01-18,4.9,27.8,holiday,3.2,3.3,1
2024-01-19,2.1,26.9,holiday,1.5,4.5,0
2024-01-20,3.4,27.7,holiday,11.0,4.8,0
2024-01-21,5.0,28.7,holiday,4.1,0.0,0
2024-01-22,5.2,26.6,holiday,0.3,1.2,0
2024-01-23,4.2,28.4,holiday,1.0,3.7,0
2024-01-24,4.0,26.3,holiday,3.4,1.9,0
2024-01-25,4.4,27.7,holiday,1.2,2.2,0
2024-01-26,4.9,27.2,holiday,2.4,1.6,0
2024-01-27,2.1,25.8,holiday,1.2,4.7,0
2024-01-28,5.4,26.3,holiday,8.1,3.9,0
2024-01-29,3.3,26.1,holiday,7.0,7.1,0
2024-01-30,4.0,28.2,holiday,7.7,2.9,0
2024-01-31,3.7,25.6,,2.1,0.3,1
2024-02-01,2.8,26.0,,8.8,2.9,1
2024-02-02,5.3,26.1,weekday,7.9,2.3,1
2024-02-03,1.4,26.0,holiday,5.9,1.6,0
2024-02-04,2.9,26.7,holiday,4.4,3.7,0
2024-02-05,5.1,26.8,weekday,,0.7,0
2024-02-06,3.9,26.6,weekday,2.3,1.0,0
2024-02-07,3.8,26.6,weekday,0.8,3.6,0
2024-02-08,3.4,25.8,weekday,0.5,2.8,0
2024-02-09,5.1,25.2,weekday,3.2,4.7,0
2024-02-10,3.5,25.5,holiday,3.3,5.7,0
2024-02-11,2.0,25.9,holiday,3.4,0.0,0
2024-02-12,2.2,25.0,weekday,3.7,3.7,1
2024-02-13,4.2,23.1,weekday,6.9,3.3,1
2024-02-14,2.5,24.4,weekday,4.4,5.8,0
2024-02-15,6.1,25.4,weekday,0.6,3.1,0
2024-02-16,4.1,23.8,weekday,3.5,4.6,0
2024-02-17,4.4,24.7,holiday,4.0,4.8,0
2024-02-18,2.9,24.1,holiday,2.6,4.2,0
2024-02-19,5.8,25.1,weekday,7.9,1.5,1
2024-02-20,6.2,24.0,weekday,6.2,3.8,0
2024-02-21,6.1,23.8,weekday,0.8,0.8,0
2024-02-22,3.8,22.2,weekday,1.4,3.0,0
2024-02-23,4.6,23.3,weekday,3.8,7.9,0
2024-02-24,4.5,22.3,holiday,,2.4,0
2024-02-25,5.1,23.3,holiday,3.3,4.1,0
2024-02-26,1.3,22.0,weekday,3.1,3.0,0
2024-02-27,3.3,23.0,weekday,1.4,6.1,0
2024-02-28,5.1,22.1,weekday,3.0,3.0,1
2024-02-29,4.5,21.6,weekday,4.5,3.1,0
2024-03-01,5.1,22.0,weekday,7.4,2.5,0
2024-03-02,2.5,20.4,holiday,2.2,4.5,0
2024-03-03,3.9,22.3,holiday,4.4,5.6,0
2024-03-04,5.2,20.8,weekday,9.5,3.2,0
2024-03-05,1.2,21.5,weekday,10.2,6.5,0
2024-03-06,4.7,22.1,weekday,2.1,2.3,0
2024-03-07,4.7,22.1,weekday,1.4,3.9,0
2024-03-08,1.8,21.2,weekday,2.4,2.8,0
2024-03-09,6.0,21.6,holiday,4.9,2.9,0
2024-03-10,3.3,20.2,holiday,0.9,1.8,0
2024-03-11,2.0,20.9,weekday,4.5,8.9,0
2024-03-12,2.4,20.2,weekday,3.0,3.7,0
2024-03-13,4.9,18.7,weekday,2.9,7.1,0
2024-03-14,3.7,20.6,weekday,3.8,3.8,0
2024-03-15,1.8,20.0,weekday,7.0,3.9,0
2024-03-16,4.9,19.7,holiday,3.1,7.5,0
2024-03-17,5.8,21.8,holiday,3.8,4.8,1
2024-03-18,4.2,19.4,weekday,1.4,7.5,0
2024-03-19,3.4,19.1,weekday,1.0,3.9,0
2024-03-20,1.7,19.6,weekday,4.5,4.4,0
2024-03-21,2.5,17.9,weekday,2.2,4.8,0
2024-03-22,2.1,19.0,weekday,2.3,5.6,0
2024-03-23,6.1,18.5,holiday,6.2,6.4,0
2024-03-24,4.7,18.8,holiday,5.8,2.4,0
2024-03-25,2.9,16.6,weekday,3.0,4.1,0
2024-03-26,5.2,18.3,weekday,5.7,3.9,0
2024-03-27,5.6,18.6,weekday,1.7,1.5,1
2024-03-28,2.7,17.7,,8.0,7.8,1
2024-03-29,2.9,16.6,weekday,,3.9,0
2024-03-30,3.1,17.8,holiday,5.5,5.3,0
2024-03-31,3.3,17.4,holiday,4.8,7.4,0
2024-04-01,3.5,16.4,weekday,2.2,0.0,1
2024-04-02,7.6,17.5,weekday,3.3,0.0,1
2024-04-03,1.4,16.6,weekday,0.6,3.0,0
2024-04-04,1.1,17.3,weekday,3.3,1.0,0
2024-04-05,2.7,16.4,weekday,5.6,0.0,0
2024-04-06,3.6,16.4,holiday,1.6,0.0,0
2024-04-07,3.3,14.9,holiday,4.7,0.0,0
2024-04-08,2.5,15.9,weekday,3.6,3.1,1
2024-04-09,6.8,15.7,weekday,2.0,0.0,1
2024-04-10,3.5,14.5,weekday,4.0,0.0,0
2024-04-11,2.9,16.1,weekday,0.9,0.0,0
2024-04-12,4.0,14.8,weekday,7.7,0.0,0
2024-04-13,5.5,14.7,holiday,1.4,0.0,1
2024-04-14,4.9,13.6,holiday,5.6,2.2,0
2024-04-15,2.7,14.0,weekday,5.9,0.0,0
2024-04-16,4.5,15.0,weekday,3.6,2.0,0
2024-04-17,2.2,14.5,weekday,1.6,0.0,0
2024-04-18,5.1,13.6,weekday,1.9,0.0,0
2024-04-19,4.2,15.7,weekday,2.7,0.2,0
2024-04-20,5.5,14.5,holiday,5.5,3.4,1
2024-04-21,6.6,13.6,holiday,,0.0,1
2024-04-22,4.4,12.7,weekday,0.9,0.0,0
2024-04-23,6.4,14.2,weekday,5.8,2.4,0
2024-04-24,2.6,13.8,weekday,5.8,0.0,0
2024-04-25,5.5,14.8,weekday,5.0,0.0,1
2024-04-26,2.8,13.0,weekday,4.8,0.0,0
2024-04-27,2.1,14.3,holiday,4.6,0.0,0
2024-04-28,4.6,13.9,holiday,4.3,0.0,0
2024-04-29,5.7,13.1,weekday,6.3,0.7,1
2024-04-30,4.0,13.1,weekday,4.9,0.0,0
2024-05-01,5.5,13.7,holiday,4.3,0.0,1
2024-05-02,3.4,12.1,holiday,2.5,1.0,0
2024-05-03,5.9,10.1,holiday,7.4,0.0,0
2024-05-04,4.4,11.4,holiday,1.8,2.4,0
2024-05-05,5.3,12.5,holiday,4.6,0.0,0
2024-05-06,0.6,12.5,holiday,4.5,0.0,0
2024-05-07,4.8,10.3,holiday,5.2,2.5,0
2024-05-08,4.3,10.9,holiday,6.7,0.0,0
2024-05-09,3.1,10.6,holiday,6.8,0.0,1
2024-05-10,4.9,10.7,holiday,3.2,1.1,1
2024-05-11,4.0,11.7,,2.0,0.1,0
2024-05-12,3.9,11.1,holiday,4.0,0.0,0
2024-05-13,3.3,10.7,holiday,4.7,0.0,0
2024-05-14,4.6,11.2,holiday,6.5,0.0,0
2024-05-15,4.4,11.6,holiday,2.4,0.0,0
2024-05-16,3.9,11.4,holiday,2.4,0.0,0
2024-05-17,5.8,10.9,holiday,1.6,0.0,1
2024-05-18,3.2,10.5,holiday,6.7,0.0,0
2024-05-19,6.2,10.1,holiday,1.4,0.0,1
2024-05-20,6.5,11.6,holiday,1.0,0.0,1
2024-05-21,0.2,11.0,holiday,,0.8,0
2024-05-22,4.4,10.1,holiday,3.8,0.0,0
2024-05-23,3.9,10.4,holiday,2.0,2.0,0
2024-05-24,4.2,9.9,holiday,1.9,0.0,0
2024-05-25,2.1,11.7,holiday,1.5,0.0,0
2024-05-26,1.4,11.3,holiday,6.9,0.0,0
2024-05-27,5.6,12.2,holiday,8.1,1.6,1
2024-05-28,2.8,10.1,holiday,1.2,0.0,0
2024-05-29,3.9,9.6,holiday,4.4,0.0,0
2024-05-30,1.3,10.2,,1.6,0.0,0
2024-05-31,4.3,9.9,holiday,2.9,1.6,0
2024-06-01,4.4,9.4,holiday,21.5,0.0,1
2024-06-02,4.1,10.7,holiday,20.1,1.1,1
2024-06-03,3.3,10.1,weekday,19.3,0.0,1
2024-06-04,3.5,10.1,weekday,21.2,0.0,1
2024-06-05,4.5,10.6,weekday,21.4,3.5,0
2024-06-06,2.1,8.7,weekday,19.3,0.0,0
2024-06-07,5.1,9.4,weekday,21.5,0.0,1
2024-06-08,4.0,8.4,holiday,25.5,0.0,0
2024-06-09,4.2,10.7,holiday,26.9,1.2,1
2024-06-10,3.0,9.2,weekday,27.1,0.5,1
2024-06-11,4.6,9.4,weekday,22.9,0.1,1
2024-06-12,5.6,10.3,weekday,20.9,0.0,1
2024-06-13,6.5,9.6,weekday,21.1,0.3,1
2024-06-14,2.3,11.3,weekday,23.6,1.0,1
2024-06-15,2.6,10.9,holiday,23.6,0.0,1
2024-06-16,3.3,10.2,holiday,24.8,0.1,1
2024-06-17,4.3,9.6,weekday,18.5,0.1,0
2024-06-18,2.8,10.4,weekday,24.0,0.0,1
2024-06-19,4.7,10.9,weekday,22.6,0.8,0
2024-06-20,2.4,10.3,weekday,21.7,0.0,1
2024-06-21,3.3,10.0,weekday,22.8,0.0,1
2024-06-22,3.0,10.8,holiday,23.5,1.3,0
2024-06-23,5.1,11.8,holiday,24.0,0.9,1
2024-06-24,5.4,9.7,weekday,19.0,0.0,1
2024-06-25,3.2,10.3,weekday,20.1,1.2,0
2024-06-26,4.7,9.6,weekday,25.4,0.0,1
2024-06-27,5.1,9.0,weekday,21.8,0.0,1
2024-06-28,4.3,10.6,weekday,19.0,2.5,1
2024-06-29,4.5,9.6,holiday,19.3,0.3,1
2024-06-30,1.5,9.8,holiday,21.7,0.0,0
2024-07-01,2.4,10.4,weekday,26.7,0.2,1
2024-07-02,2.9,10.9,weekday,21.4,0.0,0
2024-07-03,3.4,12.1,weekday,22.5,1.5,1
2024-07-04,2.8,11.1,weekday,28.7,0.0,1
2024-07-05,3.7,11.2,weekday,24.9,1.5,1
2024-07-06,5.7,10.6,holiday,20.0,0.0,1
2024-07-07,5.4,9.6,holiday,22.1,0.0,1
2024-07-08,5.3,10.7,weekday,23.4,0.0,1
2024-07-09,4.6,11.6,weekday,24.7,0.9,1
2024-07-10,5.3,10.5,weekday,23.2,0.7,1
2024-07-11,2.9,10.8,weekday,6.1,0.0,0
2024-07-12,2.7,10.8,weekday,7.6,0.4,0
2024-07-13,3.9,11.2,holiday,,1.9,1
2024-07-14,7.0,11.1,holiday,3.6,2.7,1
2024-07-15,5.8,12.3,weekday,2.2,2.8,1
2024-07-16,3.4,10.6,weekday,4.1,0.0,0
2024-07-17,4.3,11.5,weekday,4.0,0.2,0
2024-07-18,2.9,11.1,weekday,1.4,1.4,0
2024-07-19,6.3,11.6,weekday,3.0,1.1,0
2024-07-20,3.7,12.0,holiday,3.0,3.0,0
2024-07-21,4.5,11.7,holiday,5.8,0.0,0
2024-07-22,5.8,12.6,weekday,0.9,2.9,1
2024-07-23,4.5,14.0,weekday,6.9,0.4,0
2024-07-24,5.0,13.1,weekday,1.5,0.0,0
2024-07-25,4.8,13.0,weekday,4.9,0.0,0
2024-07-26,3.8,12.2,weekday,1.3,2.0,1
2024-07-27,2.2,12.6,holiday,0.5,0.0,0
2024-07-28,3.3,13.0,,1.0,2.8,0
2024-07-29,4.4,13.3,weekday,1.9,0.0,0
2024-07-30,3.9,13.3,weekday,2.1,0.0,0
2024-07-31,4.9,14.1,weekday,2.8,0.0,0
2024-08-01,8.6,12.2,holiday,21.5,0.0,1
2024-08-02,9.3,14.5,holiday,20.9,0.0,1
2024-08-03,10.4,13.4,holiday,25.2,0.0,1
2024-08-04,9.9,13.8,holiday,21.9,0.0,1
2024-08-05,9.8,14.8,holiday,22.0,0.0,1
2024-08-06,10.4,14.4,holiday,24.3,0.0,1
2024-08-07,11.5,16.4,holiday,24.4,0.9,1
2024-08-08,10.8,13.4,holiday,23.7,0.0,1
2024-08-09,11.7,14.0,holiday,20.5,0.0,1
2024-08-10,10.7,15.6,holiday,22.5,0.0,1
2024-08-11,10.5,15.2,holiday,24.5,0.1,1
2024-08-12,9.9,15.8,holiday,,3.6,1
2024-08-13,11.3,15.7,holiday,19.9,0.3,1
2024-08-14,11.5,16.6,holiday,24.7,0.0,1
2024-08-15,10.1,14.9,holiday,19.4,0.0,1
2024-08-16,9.3,15.3,holiday,20.1,0.0,1
2024-08-17,8.7,17.0,holiday,19.6,1.7,1
2024-08-18,11.0,15.5,holiday,22.3,2.8,1
2024-08-19,10.6,15.1,holiday,23.7,0.0,1
2024-08-20,9.4,16.7,holiday,23.9,0.6,1
2024-08-21,12.0,15.9,holiday,23.3,0.3,1
2024-08-22,11.9,17.2,holiday,21.7,0.0,1
2024-08-23,12.1,17.2,holiday,25.3,0.0,1
2024-08-24,12.1,16.2,holiday,27.8,1.1,1
2024-08-25,10.0,16.5,holiday,20.5,0.1,1
2024-08-26,10.0,17.9,holiday,25.8,4.7,1
2024-08-27,9.7,17.3,holiday,20.8,2.1,1
2024-08-28,11.3,18.1,holiday,23.1,0.6,1
2024-08-29,9.0,17.8,holiday,22.7,1.5,1
2024-08-30,10.9,17.4,holiday,19.9,1.9,1
2024-08-31,13.7,19.7,holiday,23.8,0.0,1
2024-09-01,10.4,18.4,holiday,22.3,0.8,1
2024-09-02,10.8,18.3,weekday,26.6,0.8,1
2024-09-03,9.8,17.4,weekday,27.3,1.6,1
2024-09-04,12.5,18.8,weekday,21.5,0.6,1
2024-09-05,11.0,18.6,weekday,21.3,0.0,1
2024-09-06,11.2,18.9,weekday,23.3,1.4,1
2024-09-07,8.3,19.3,holiday,21.4,4.3,1
2024-09-08,7.6,19.9,holiday,25.8,0.0,1
2024-09-09,10.2,18.7,weekday,19.7,0.0,1
2024-09-10,8.4,19.8,weekday,26.0,0.0,1
2024-09-11,12.1,21.1,weekday,21.7,1.7,1
2024-09-12,11.1,21.2,weekday,20.5,2.7,1
2024-09-13,13.1,21.4,weekday,31.1,0.0,1
2024-09-14,9.1,20.2,holiday,23.4,0.0,1
2024-09-15,10.3,20.7,holiday,21.3,0.0,1
2024-09-16,11.8,21.5,weekday,22.7,0.0,1
2024-09-17,12.2,21.0,weekday,23.9,0.0,1
2024-09-18,10.3,22.4,weekday,22.4,1.9,1
2024-09-19,10.1,22.3,weekday,23.7,0.0,1
2024-09-20,9.6,22.8,weekday,25.1,0.0,1
2024-09-21,8.2,20.9,holiday,23.8,0.3,1
2024-09-22,9.2,22.4,holiday,22.8,0.0,1
2024-09-23,10.4,21.8,weekday,21.1,0.0,1
2024-09-24,10.8,21.7,weekday,19.6,0.0,1
2024-09-25,9.4,22.8,weekday,21.0,0.5,1
2024-09-26,11.6,23.1,weekday,24.5,0.0,1
2024-09-27,11.7,21.8,weekday,19.7,1.4,1
2024-09-28,8.9,23.4,holiday,21.9,0.0,1
2024-09-29,7.7,20.9,holiday,20.1,1.4,1
2024-09-30,11.1,23.4,weekday,26.6,4.0,1
2024-10-01,3.9,23.0,weekday,7.9,0.2,0
2024-10-02,4.6,25.3,weekday,4.9,0.0,0
2024-10-03,3.4,22.1,weekday,1.4,2.2,0
2024-10-04,1.4,24.6,weekday,,2.0,0
2024-10-05,3.2,24.2,holiday,5.0,0.0,0
2024-10-06,6.4,24.6,holiday,1.1,0.0,0
2024-10-07,2.9,25.2,weekday,7.7,0.2,0
2024-10-08,4.3,24.3,weekday,3.4,0.0,0
2024-10-09,6.3,24.8,weekday,6.1,0.0,1
2024-10-10,2.2,24.0,weekday,5.1,1.2,0
2024-10-11,3.5,24.7,weekday,0.7,1.4,0
2024-10-12,1.8,26.0,holiday,6.0,0.0,0
2024-10-13,2.8,25.5,holiday,2.9,0.0,0
2024-10-14,3.9,24.7,weekday,1.8,1.7,0
2024-10-15,3.3,27.2,weekday,1.7,1.3,0
2024-10-16,4.1,25.6,weekday,6.5,0.8,0
2024-10-17,4.9,26.4,weekday,2.4,0.0,1
2024-10-18,3.5,25.5,weekday,0.9,0.0,0
2024-10-19,6.2,26.1,holiday,1.6,0.0,1
2024-10-20,4.5,25.7,holiday,5.4,2.2,0
2024-10-21,4.1,25.5,weekday,7.3,0.0,0
2024-10-22,5.5,26.1,weekday,3.1,4.3,1
2024-10-23,3.5,25.9,weekday,2.7,0.8,0
2024-10-24,5.6,25.7,weekday,3.8,0.1,0
2024-10-25,3.6,27.4,weekday,1.4,1.2,0
2024-10-26,2.0,27.0,holiday,4.4,2.2,0
2024-10-27,4.3,26.5,holiday,1.6,0.1,1
2024-10-28,4.3,27.3,weekday,2.5,0.9,1
2024-10-29,4.6,26.9,weekday,3.6,0.0,0
2024-10-30,3.7,28.2,weekday,2.5,0.0,1
2024-10-31,3.8,27.0,weekday,1.8,0.0,0
2024-11-01,4.0,27.0,weekday,0.8,0.0,0
2024-11-02,5.0,27.3,holiday,3.1,0.0,0
2024-11-03,5.0,27.8,holiday,4.0,0.0,0
2024-11-04,4.3,28.3,weekday,6.6,0.5,0
2024-11-05,3.2,27.5,weekday,2.2,0.0,0
2024-11-06,4.2,29.5,weekday,5.8,0.0,0
2024-11-07,3.3,28.0,weekday,2.8,2.5,0
2024-11-08,3.5,27.8,,7.6,0.0,0
2024-11-09,3.2,28.1,holiday,6.6,0.0,1
2024-11-10,3.9,28.0,holiday,1.5,0.0,0
2024-11-11,5.9,29.0,weekday,0.8,0.0,0
2024-11-12,3.3,28.4,weekday,1.6,0.0,0
2024-11-13,4.0,28.9,weekday,,0.0,0
2024-11-14,5.7,28.9,weekday,2.9,0.0,1
2024-11-15,3.9,29.2,weekday,6.2,0.0,1
2024-11-16,4.2,28.8,holiday,3.0,0.0,0
2024-11-17,4.4,27.9,holiday,5.7,3.9,0
2024-11-18,4.5,31.0,weekday,2.1,0.0,1
2024-11-19,6.1,30.3,weekday,5.4,0.1,0
2024-11-20,2.5,28.2,weekday,1.8,0.0,0
2024-11-21,0.7,29.7,weekday,8.2,0.0,0
2024-11-22,4.1,29.2,weekday,,0.0,0
2024-11-23,3.7,30.0,holiday,4.0,1.2,0
2024-11-24,6.0,30.5,holiday,7.5,0.0,0
2024-11-25,4.0,29.4,weekday,4.1,1.6,0
2024-11-26,5.5,31.5,weekday,0.9,0.0,0
2024-11-27,6.9,30.5,weekday,2.7,0.0,0
2024-11-28,2.5,29.5,weekday,4.7,0.0,0
2024-11-29,4.5,30.5,weekday,8.0,0.0,1
2024-11-30,3.1,29.7,holiday,1.1,0.9,1
2024-12-01,2.6,32.0,holiday,5.7,0.8,0
2024-12-02,7.8,30.2,holiday,7.5,0.0,1
2024-12-03,3.5,30.8,holiday,1.7,0.8,0
2024-12-04,3.8,30.2,holiday,2.7,0.4,0
2024-12-05,4.3,30.5,holiday,6.7,0.0,1
2024-12-06,5.5,30.1,holiday,4.7,0.0,1
2024-12-07,3.4,30.4,holiday,1.6,0.0,0
2024-12-08,5.0,30.6,holiday,1.7,0.0,0
2024-12-09,4.6,30.4,holiday,2.0,0.0,0
2024-12-10,4.9,29.4,holiday,3.1,0.5,0
2024-12-11,4.8,28.4,holiday,1.3,3.4,1
2024-12-12,4.7,31.1,holiday,6.1,0.3,1
2024-12-13,3.5,29.3,holiday,1.1,0.7,0
2024-12-14,3.4,30.1,holiday,5.4,1.7,0
2024-12-15,0.9,30.0,holiday,2.9,0.0,0
2024-12-16,4.0,30.1,holiday,6.7,2.5,1
2024-12-17,3.5,30.3,holiday,4.6,1.0,0
2024-12-18,5.3,29.5,holiday,6.7,0.0,1
2024-12-19,3.9,32.1,holiday,0.9,0.3,0
2024-12-20,1.9,29.1,holiday,3.4,0.5,0
2024-12-21,3.3,29.9,holiday,1.3,0.9,1
2024-12-22,0.7,28.2,holiday,3.6,0.4,0
2024-12-23,1.2,29.5,holiday,5.6,3.6,0
2024-12-24,8.9,29.6,holiday,0.5,3.1,1
2024-12-25,5.1,29.5,holiday,,2.2,0
2024-12-26,6.1,30.4,holiday,1.8,0.4,1
2024-12-27,3.6,30.0,holiday,0.6,3.5,0
2024-12-28,6.3,28.2,holiday,4.6,5.1,1
2024-12-29,4.4,29.0,holiday,4.7,4.3,0
2024-12-30,4.4,29.9,holiday,1.7,3.3,0
2024-12-31,3.8,29.4,holiday,3.1,1.1,0
2025-01-01,2.0,27.9,holiday,1.9,3.9,0
2025-01-02,5.4,30.6,holiday,2.7,0.0,0
2025-01-03,3.4,29.4,holiday,,3.0,0
2025-01-04,5.5,29.0,holiday,1.6,0.7,0
2025-01-05,3.7,30.9,holiday,0.9,0.7,0
2025-01-06,3.3,28.7,holiday,1.8,4.8,0
